Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
8/10/2016,EVER-W2,0.14,0.17,0.13,0.13,0.0,161727811,23667920,23667920,23667920.0,23667920.0,0.13,,,,,161727811.0,,
8/11/2016,EVER-W2,0.13,0.14,0.13,0.14,7.69,41677061,5556210,29224130,29224130.0,29224130.0,0.135,,,,,101702436.0,,
8/15/2016,EVER-W2,0.13,0.14,0.12,0.12,-14.29,54391140,7118340,36342470,36342470.0,36342470.0,0.13,,,,,85932004.0,,
8/16/2016,EVER-W2,0.13,0.13,0.11,0.11,-8.33,17676400,2128740,38471210,38471210.0,38471210.0,0.125,,,,,68868103.0,,
8/17/2016,EVER-W2,0.12,0.12,0.11,0.11,0.0,4758700,553410,39024620,39024620.0,39024620.0,0.122,,,,,56046222.4,,
8/18/2016,EVER-W2,0.12,0.12,0.1,0.1,-9.09,10441980,1150940,16507640,40175560.0,40175560.0,0.11599999999999999,,,,,25789056.2,,
8/19/2016,EVER-W2,0.11,0.14,0.09,0.14,40.0,22238490,2790570,13742000,42966130.0,42966130.0,0.11599999999999999,,,,,21901342.0,,
8/22/2016,EVER-W2,0.12,0.12,0.11,0.12,-14.29,3910000,468120,7091780,43434250.0,43434250.0,0.11600000000000002,,,,,11805114.0,,
8/23/2016,EVER-W2,0.12,0.17,0.12,0.14,16.67,40984855,6312500,11275540,49746750.0,49746750.0,0.12200000000000003,,,,,16466805.0,,
8/24/2016,EVER-W2,0.14,0.15,0.14,0.14,0.0,4556700,637940,11360070,50384690.0,50384690.0,0.128,,,,,16426405.0,,
8/25/2016,EVER-W2,0.15,0.15,0.12,0.13,-7.14,8516000,1126050,11335180,51510740.0,51510740.0,0.134,,,,,16041209.0,,
8/26/2016,EVER-W2,0.13,0.14,0.13,0.13,0.0,3985380,526350,9070960,52037090.0,52037090.0,0.132,0.12583333333333332,,,,12390587.0,,
8/29/2016,EVER-W2,0.13,0.14,0.12,0.13,0.0,2760900,358930,8961770,52396020.0,52396020.0,0.134,0.12583333333333332,,,,12160767.0,,
8/30/2016,EVER-W2,0.13,0.14,0.13,0.13,0.0,411500,53510,2702780,28781610.0,52449530.0,0.132,0.12499999999999996,,,,4046096.0,21.42857142857143,21.42857142857143
8/31/2016,EVER-W2,0.14,0.14,0.13,0.14,7.69,629120,84680,2149520,23310080.0,52534210.0,0.132,0.12666666666666668,,,,3260580.0,28.57142857142857,25.0
