Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
6/28/2016,FC,0.67,0.69,0.66,0.68,0.0,3187166,2146670,2146670,2146670.0,2146670.0,0.68,,,,,3187166.0,,,2146670.0,0.0
6/29/2016,FC,0.68,0.71,0.68,0.68,0.0,3898766,2697730,4844400,4844400.0,4844400.0,0.68,,,,,3542966.0,,,2422200.0,0.0
6/30/2016,FC,0.69,0.7,0.66,0.67,-1.47,7934800,5396040,10240440,10240440.0,10240440.0,0.6766666666666667,,,,,5006910.666666667,,,3413480.0,0.0
7/4/2016,FC,0.67,0.67,0.63,0.65,-2.99,11799267,7642090,17882530,17882530.0,17882530.0,0.67,,,,,6704999.75,,,4470632.5,0.0
7/5/2016,FC,0.64,0.65,0.6,0.62,-4.62,11751784,7250460,25132990,25132990.0,25132990.0,0.66,,,,,7714356.6,,,5026598.0,0.0
7/6/2016,FC,0.63,0.67,0.63,0.65,4.84,8323691,5438210,28424530,30571200.0,30571200.0,0.654,,,,,8741661.6,,,5684906.0,0.0
7/7/2016,FC,0.66,0.84,0.66,0.76,16.92,87322323,68049650,93776450,98620850.0,98620850.0,0.6699999999999999,,,,,25426373.0,,,18755290.0,0.0
7/8/2016,FC,0.76,0.79,0.73,0.76,0.0,22298386,16926130,105306540,115546980.0,115546980.0,0.688,,,,,28299090.2,,,21061308.0,0.0
7/11/2016,FC,0.77,0.8,0.75,0.78,2.63,12686416,9954910,107619360,125501890.0,125501890.0,0.7140000000000001,,,,,28476520.0,,,21523872.0,0.0
7/12/2016,FC,0.79,0.81,0.78,0.78,0.0,11022329,8738630,109107530,134240520.0,134240520.0,0.7460000000000001,,,,,28330629.0,,,21821506.0,0.0
7/13/2016,FC,0.78,0.79,0.75,0.76,-2.56,6456933,4975870,108645190,139216390.0,139216390.0,0.768,,,,,27957277.4,,,21729038.0,0.0
7/14/2016,FC,0.78,0.78,0.75,0.76,0.0,2193900,1663910,42259450,140880300.0,140880300.0,0.768,0.7125,,,,10931592.8,,,8451890.0,0.0
7/15/2016,FC,0.75,0.76,0.73,0.73,-3.95,15040528,12895570,38228890,153775870.0,153775870.0,0.762,0.7166666666666667,,,,9480021.2,,,7645778.0,0.0
7/20/2016,FC,0.72,0.74,0.69,0.7,-4.11,12841800,9002380,37276360,160631580.0,162778250.0,0.7459999999999999,0.7183333333333333,,,,9511098.0,21.42857142857143,21.42857142857143,7455272.0,0.0
