Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
6/16/2017,FER-W3,0.07,0.09,0.06,0.07,0.0,181443235,12949420,12949420,12949420.0,12949420.0,0.07,,,,,181443235.0,,,12949420.0,0.0
6/19/2017,FER-W3,0.07,0.08,0.06,0.06,-14.29,26467957,1834830,14784250,14784250.0,14784250.0,0.065,,,,,103955596.0,,,7392125.0,0.0
6/20/2017,FER-W3,0.07,0.07,0.06,0.07,16.67,25401039,1534980,16319230,16319230.0,16319230.0,0.06666666666666668,,,,,77770743.66666667,,,5439743.333333333,0.0
6/21/2017,FER-W3,0.06,0.07,0.06,0.07,0.0,5651491,352360,16671590,16671590.0,16671590.0,0.0675,,,,,59740930.5,,,4167897.5,0.0
6/22/2017,FER-W3,0.07,0.07,0.06,0.06,-14.29,32182618,1931340,18602930,18602930.0,18602930.0,0.066,,,,,54229268.0,,,3720586.0,0.0
6/23/2017,FER-W3,0.06,0.07,0.06,0.06,0.0,3070635,184620,5838130,18787550.0,18787550.0,0.064,,,,,18554748.0,,,1167626.0,0.0
6/26/2017,FER-W3,0.06,0.07,0.05,0.05,-16.67,21682864,1262820,5266120,20050370.0,20050370.0,0.062,,,,,17597729.4,,,1053224.0,0.0
6/27/2017,FER-W3,0.06,0.06,0.05,0.05,0.0,15093972,754990,4486130,20805360.0,20805360.0,0.057999999999999996,,,,,15536316.0,,,897226.0,0.0
6/28/2017,FER-W3,0.05,0.06,0.05,0.05,0.0,3083663,154180,4287950,20959540.0,20959540.0,0.05399999999999999,,,,,15022750.4,,,857590.0,0.0
6/29/2017,FER-W3,0.05,0.06,0.04,0.05,0.0,51909227,2593710,4950320,23553250.0,23553250.0,0.052000000000000005,,,,,18968072.2,,,990064.0,0.0
6/30/2017,FER-W3,0.05,0.06,0.04,0.05,0.0,12300792,615250,5380950,24168500.0,24168500.0,0.05,,,,,20814103.6,,,1076190.0,0.0
7/3/2017,FER-W3,0.05,0.06,0.05,0.06,20.0,2841725,146970,4265100,24315470.0,24315470.0,0.052000000000000005,0.05833333333333335,,,,17045875.8,,,853020.0,0.0
7/4/2017,FER-W3,0.06,0.06,0.04,0.04,-33.33,7154847,355720,3865830,24671190.0,24671190.0,0.05,0.05583333333333335,,,,15458050.8,,,773166.0,0.0
7/5/2017,FER-W3,0.05,0.06,0.04,0.05,25.0,5037729,251480,3963130,11973250.0,24922670.0,0.05,0.05500000000000002,,,,15848864.0,21.42857142857143,21.42857142857143,792626.0,0.0
7/7/2017,FER-W3,0.04,0.05,0.04,0.05,25.0,1672677,71670,1441090,10210090.0,24994340.0,0.05,0.05333333333333334,,,,5801554.0,28.57142857142857,25.0,288218.0,0.0
7/11/2017,FER-W3,0.04,0.05,0.04,0.04,-20.0,2470319,98820,924660,8773930.0,25093160.0,0.048,0.050833333333333335,,,,3835459.4,28.57142857142857,26.190476190476193,184932.0,0.0
7/12/2017,FER-W3,0.05,0.05,0.04,0.04,0.0,4006262,171980,949670,8593550.0,25265140.0,0.044000000000000004,0.04916666666666667,,,,4068366.8,21.42857142857143,25.0,189934.0,0.0
7/13/2017,FER-W3,0.04,0.05,0.04,0.04,0.0,3506833,140380,734330,6802590.0,25405520.0,0.044000000000000004,0.0475,,,,3338764.0,21.42857142857143,24.285714285714285,146866.0,0.0
7/14/2017,FER-W3,0.04,0.04,0.03,0.04,0.0,9710722,388160,871010,7006130.0,25793680.0,0.042,0.04666666666666666,,,,4273362.6,21.42857142857143,24.285714285714285,174202.0,0.0
7/17/2017,FER-W3,0.03,0.04,0.03,0.04,0.0,2054268,82080,881420,5825390.0,25875760.0,0.04,0.04583333333333333,,,,4349680.8,21.42857142857143,22.857142857142854,176284.0,0.0
7/18/2017,FER-W3,0.03,0.04,0.03,0.03,-25.0,1055766,37500,820100,5107900.0,25913260.0,0.038,0.04416666666666666,,,,4066770.2,21.42857142857143,21.42857142857143,164020.0,0.0
7/19/2017,FER-W3,0.04,0.04,0.03,0.04,33.33,4462487,178490,826610,5132210.0,26091750.0,0.038,0.04333333333333333,,,,4158015.2,28.57142857142857,22.857142857142854,165322.0,0.0
7/20/2017,FER-W3,0.05,0.05,0.03,0.04,0.0,3175590,136730,822960,2675230.0,26228480.0,0.038,0.04249999999999999,,,,4091766.6,28.57142857142857,24.285714285714285,164592.0,0.0
7/21/2017,FER-W3,0.04,0.04,0.03,0.04,0.0,2435062,96530,531330,2156510.0,26325010.0,0.038000000000000006,0.040833333333333326,,,,2636634.6,28.57142857142857,25.71428571428571,106266.0,0.0
7/24/2017,FER-W3,0.04,0.04,0.04,0.04,0.0,3988873,159550,608800,2169090.0,26484560.0,0.038000000000000006,0.040833333333333326,,,,3023555.6,28.57142857142857,27.142857142857146,121760.0,0.0
7/25/2017,FER-W3,0.04,0.05,0.04,0.04,0.0,8442720,346780,918080,2160150.0,26831340.0,0.04,0.04,0.048846153846153866,-0.008190883190883222,-0.008190883190883222,4500946.4,21.42857142857143,27.142857142857146,183616.0,0.0
7/26/2017,FER-W3,0.04,0.08,0.04,0.08,100.0,114965857,7444900,8184490,9353570.0,34276240.0,0.048,0.04249999999999999,0.04923076923076927,-0.0032407407407407662,-0.005715811965811994,26601620.4,28.57142857142857,27.142857142857146,1636898.0,2.0
