Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
11/1/2017,FLOYD,6.45,7.35,4.24,4.34,55.0,316569186,1655940710,1655940710,1655940710.0,1655940710.0,4.34,,,,,316569186.0,,,1655940710.0,0.0
11/2/2017,FLOYD,4.4,4.44,3.76,3.84,-11.52,54133341,222452820,1878393530,1878393530.0,1878393530.0,4.09,,,,,185351263.5,,,939196765.0,0.0
11/3/2017,FLOYD,3.82,4.02,3.78,3.88,1.04,44541276,174076250,2052469780,2052469780.0,2052469780.0,4.02,,,,,138414601.0,,,684156593.3333334,0.0
11/6/2017,FLOYD,3.96,4.28,3.94,4.06,4.64,77932004,321746860,2374216640,2374216640.0,2374216640.0,4.029999999999999,,,,,123293951.75,,,593554160.0,0.0
11/7/2017,FLOYD,4.1,4.12,3.94,3.94,-2.96,16284441,65666800,2439883440,2439883440.0,2439883440.0,4.012,,,,,101892049.6,,,487976688.0,0.0
11/8/2017,FLOYD,3.94,4.04,3.84,3.84,-2.54,10140870,39836390,823779120,2479719830.0,2479719830.0,3.912,,,,,40606386.4,,,164755824.0,0.0
11/9/2017,FLOYD,3.86,3.9,3.76,3.76,-2.08,7633621,29226860,630553160,2508946690.0,2508946690.0,3.8960000000000004,,,,,31306442.4,,,126110632.0,0.0
11/10/2017,FLOYD,3.76,3.76,3.56,3.56,-5.32,5014719,18321630,474798540,2527268320.0,2527268320.0,3.832,,,,,23401131.0,,,94959708.0,0.0
11/13/2017,FLOYD,3.6,3.64,3.54,3.54,-0.56,2803760,10032380,163084060,2537300700.0,2537300700.0,3.728,,,,,8375482.2,,,32616812.0,0.0
11/14/2017,FLOYD,3.54,3.58,3.34,3.34,-5.65,3842790,13274350,110691610,2550575050.0,2550575050.0,3.608,,,,,5887152.0,,,22138322.0,0.0
11/16/2017,FLOYD,3.16,3.3,3.1,3.2,3.23,6828089,22017680,92872900,2572592730.0,2572592730.0,3.4799999999999995,,,,,5224595.8,,,18574580.0,0.0
11/17/2017,FLOYD,3.2,3.28,3.16,3.16,-1.25,4983300,16021390,79667430,2588614120.0,2588614120.0,3.3600000000000003,3.705,,,,4694531.6,,,15933486.0,0.0
11/20/2017,FLOYD,3.2,3.22,3.12,3.12,-1.27,1213700,3833380,65179180,2592447500.0,2592447500.0,3.272,3.6033333333333335,,,,3934327.8,,,13035836.0,0.0
11/21/2017,FLOYD,3.14,3.2,3.12,3.12,0.0,1454300,4560270,59707070,941067060.0,2597007770.0,3.188,3.543333333333333,,,,3664435.8,28.57142857142857,28.57142857142857,11941414.0,0.0
11/22/2017,FLOYD,3.14,3.16,3.08,3.08,-1.28,872700,2716800,49149520,721331040.0,2599724570.0,3.136,3.476666666666666,,,,3070417.8,21.42857142857143,25.0,9829904.0,0.0
11/23/2017,FLOYD,3.12,3.12,2.94,2.94,-4.55,3591481,10756000,37887840,558010790.0,2610480570.0,3.084,3.3833333333333333,,,,2423096.2,21.42857142857143,23.809523809523807,7577568.0,0.0
11/24/2017,FLOYD,2.96,3.06,2.86,2.86,-2.72,2909775,8630830,30497280,244894760.0,2619111400.0,3.024,3.293333333333333,,,,2008391.2,14.285714285714292,21.42857142857143,6099456.0,0.0
11/27/2017,FLOYD,2.88,2.88,2.74,2.76,-3.5,1112940,3114070,29777970,182342030.0,2622225470.0,2.952,3.203333333333333,,,,1988239.2,7.142857142857139,18.571428571428573,5955594.0,0.0
11/28/2017,FLOYD,2.74,2.88,2.74,2.76,0.0,1771227,4997110,30214810,147502750.0,2627222580.0,2.88,3.120000000000001,,,,2051624.6,7.142857142857139,14.285714285714285,6042962.0,0.0
11/29/2017,FLOYD,2.8,2.84,2.74,2.74,-0.72,1445502,4025000,31523010,122300890.0,2631247580.0,2.812,3.0516666666666667,,,,2166185.0,7.142857142857139,11.428571428571427,6304602.0,0.0
11/30/2017,FLOYD,2.74,2.76,2.62,2.66,-2.92,1533400,4135210,24902220,108114470.0,2635382790.0,2.756,2.978333333333334,,,,1754568.8,7.142857142857139,8.571428571428571,4980444.0,0.0
12/1/2017,FLOYD,2.68,2.68,2.64,2.68,0.75,751874,2008050,18279440,100090140.0,2637390840.0,2.72,2.923333333333334,,,,1322988.6,14.285714285714292,8.571428571428571,3655888.0,0.0
12/4/2017,FLOYD,2.7,2.7,2.52,2.62,-2.24,1074700,2801540,17966910,89617330.0,2640192380.0,2.692,2.875,,,,1315340.6,14.285714285714292,10.0,3593382.0,0.0
12/6/2017,FLOYD,2.62,2.62,2.56,2.58,-1.53,736400,1909130,14878930,69508780.0,2642101510.0,2.656,2.8266666666666667,,,,1108375.2,14.285714285714292,11.428571428571427,2975786.0,0.0
