Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
11/14/2016,FN,5.15,5.9,5.1,5.65,45.62,449063768,2476375550,2476375550,2476375550.0,2476375550.0,5.65,,,,,449063768.0,,
11/15/2016,FN,5.65,5.75,5.2,5.3,-6.19,102119431,563657400,3040032950,3040032950.0,3040032950.0,5.475,,,,,275591599.5,,
11/16/2016,FN,5.45,5.55,5.3,5.45,2.83,36961606,201134250,3241167200,3241167200.0,3241167200.0,5.466666666666666,,,,,196048268.33333334,,
11/18/2016,FN,6.3,6.65,5.9,6.05,-5.47,230726725,1463016060,4704183260,4704183260.0,4704183260.0,5.6125,,,,,204717882.5,,
11/21/2016,FN,6.1,6.2,5.9,5.95,-1.65,33606442,204022980,4908206240,4908206240.0,4908206240.0,5.68,,,,,170495594.4,,
11/22/2016,FN,6.05,6.45,6.0,6.45,8.4,78415190,492157730,2923988420,5400363970.0,5400363970.0,5.84,,,,,96365878.8,,
11/23/2016,FN,6.4,6.6,6.25,6.3,-2.33,62821868,403802820,2764133840,5804166790.0,5804166790.0,6.04,,,,,88506366.2,,
11/24/2016,FN,6.4,6.55,6.1,6.1,-3.17,58161833,370840150,2933839740,6175006940.0,6175006940.0,6.17,,,,,92746411.6,,
11/25/2016,FN,6.15,6.3,6.1,6.3,3.28,21109151,131140950,1601964630,6306147890.0,6306147890.0,6.22,,,,,50822896.8,,
11/28/2016,FN,6.25,6.35,6.15,6.3,0.0,5678750,35485090,1433426740,6341632980.0,6341632980.0,6.290000000000001,,,,,45237358.4,,
11/29/2016,FN,6.3,6.9,6.2,6.9,9.52,39142101,259805100,1201074110,6601438080.0,6601438080.0,6.38,,,,,37382740.6,,
11/30/2016,FN,6.8,7.25,6.8,7.2,4.35,29202863,207344540,1004615830,6808782620.0,6808782620.0,6.5600000000000005,6.1625000000000005,,,,30658939.6,,
12/1/2016,FN,7.2,7.35,6.65,6.9,-4.17,21765549,153499690,787275370,6962282310.0,6962282310.0,6.720000000000001,6.266666666666667,,,,23379682.8,,
12/2/2016,FN,6.9,6.9,6.5,6.6,-4.35,17181200,113882420,770016840,4599789180.0,7076164730.0,6.779999999999999,6.374999999999999,,,,22594092.6,42.857142857142854,42.857142857142854
12/6/2016,FN,6.65,6.9,6.55,6.8,3.03,11328400,76274480,810806230,4112406260.0,7152439210.0,6.88,6.4875,,,,23724022.6,42.857142857142854,42.857142857142854
12/7/2016,FN,6.75,6.85,6.55,6.85,0.74,12101200,81567680,632568810,3992839690.0,7234006890.0,6.87,6.554166666666666,,,,18315842.4,50.0,45.23809523809524
12/8/2016,FN,6.9,7.2,6.75,7.2,5.11,25150136,175641810,600866080,2705465440.0,7409648700.0,6.87,6.658333333333334,,,,17505297.0,50.0,46.42857142857143
12/9/2016,FN,7.15,7.35,7.1,7.2,0.0,12026946,86528310,533894700,2587970770.0,7496177010.0,6.93,6.720833333333334,,,,15557576.4,50.0,47.142857142857146
12/13/2016,FN,7.2,7.5,7.1,7.45,3.47,15995430,117542020,537554300,2213355060.0,7613719030.0,7.1,6.816666666666667,,,,15320422.4,57.14285714285714,50.0
12/14/2016,FN,7.4,7.5,7.2,7.3,-2.01,10158729,74157960,535437780,1883710200.0,7687876990.0,7.2,6.916666666666667,,,,15086488.2,50.0,51.42857142857142
12/15/2016,FN,7.2,7.4,7.2,7.35,0.68,4360300,31938300,485808400,1544808350.0,7719815290.0,7.3,7.004166666666666,,,,13538308.2,57.14285714285714,52.857142857142854
12/16/2016,FN,7.4,7.65,7.35,7.65,4.08,17998954,135636660,445803250,1549304060.0,7855451950.0,7.389999999999999,7.116666666666667,,,,12108071.8,64.28571428571428,55.71428571428571
12/19/2016,FN,7.6,7.65,7.5,7.65,0.0,4192904,31809120,391084060,1545628090.0,7887261070.0,7.4799999999999995,7.179166666666668,,,,10541263.4,57.14285714285714,57.14285714285713
12/20/2016,FN,7.65,7.65,7.2,7.65,0.0,11620030,86158350,359700390,1371981340.0,7973419420.0,7.519999999999999,7.216666666666669,,,,9666183.4,57.14285714285714,57.14285714285713
12/21/2016,FN,7.6,7.8,7.45,7.75,1.31,6815250,52004170,337546600,1216640970.0,8025423590.0,7.609999999999999,7.287500000000001,,,,8997487.6,57.14285714285714,58.57142857142857
12/22/2016,FN,7.7,8.2,7.7,8.2,5.81,18721970,150689220,456297520,1213830500.0,8176112810.0,7.780000000000001,7.420833333333334,6.788461538461538,0.6476851851851864,0.6476851851851864,11869821.6,57.14285714285714,58.57142857142857
12/23/2016,FN,8.15,9.0,7.9,8.9,8.54,19394370,164882630,485543490,1264830710.0,8340995440.0,8.03,7.595833333333334,6.913461538461538,0.7358618233618239,0.6917735042735051,12148904.8,64.28571428571428,58.57142857142857
12/26/2016,FN,8.9,9.05,8.75,8.95,0.56,9984425,89141450,542875820,1277697680.0,8430136890.0,8.290000000000001,7.770833333333333,7.053846153846153,0.7579415954415971,0.7138295346628691,13307209.0,71.42857142857143,61.42857142857142
12/27/2016,FN,8.85,8.95,8.8,8.85,-1.12,2361602,20930080,477647550,1217060080.0,8451066970.0,8.53,7.908333333333332,7.184615384615384,0.7452279202279186,0.7216791310541315,11455523.4,64.28571428571428,62.857142857142854
12/28/2016,FN,8.95,9.3,8.8,9.2,3.95,13549400,124002240,549645620,1165420510.0,8575069210.0,8.819999999999999,8.075000000000001,7.305769230769229,0.8019943019943048,0.7377421652421662,12802353.4,64.28571428571428,64.28571428571428
12/29/2016,FN,9.15,9.25,9.1,9.2,0.0,3968775,36384880,435341280,1115277080.0,8611454090.0,9.020000000000001,8.220833333333333,7.430769230769229,0.8096509971509986,0.7701353276353287,9851714.4,57.14285714285714,64.28571428571429
12/30/2016,FN,9.2,9.5,9.15,9.5,3.26,12467408,116592840,387051490,1114327900.0,8728046930.0,9.139999999999999,8.404166666666667,7.548076923076922,0.8800925925925931,0.7989814814814824,8466322.0,64.28571428571428,64.28571428571428
1/4/2017,FN,9.4,9.5,8.85,9.15,-3.68,15869499,145430260,443340300,1185600200.0,8873477190.0,9.18,8.554166666666667,7.657692307692307,0.8775997150997163,0.8229131054131062,9643336.8,57.14285714285714,61.42857142857142
1/5/2017,FN,9.2,9.25,8.9,9.15,0.0,10909600,98200940,520611160,1251862840.0,8971678130.0,9.239999999999998,8.679166666666667,7.7749999999999995,0.8747507122507123,0.848817663817665,11352936.4,57.14285714285714,60.0
1/6/2017,FN,9.1,9.15,8.95,9.05,-1.09,4738107,42832270,439441190,1159058450.0,6538134850.0,9.209999999999999,8.795833333333334,7.880769230769231,0.86755698005698,0.8619301994302001,9590677.8,50.0,57.14285714285713
1/9/2017,FN,9.0,9.0,8.35,8.4,-7.18,21139570,179235660,582291970,1306484990.0,6153713110.0,9.049999999999999,8.858333333333334,7.961538461538463,0.7938034188034173,0.8587606837606838,13024836.8,42.857142857142854,54.28571428571428
1/10/2017,FN,8.3,8.65,8.3,8.65,2.98,7504800,63824700,529523830,1284151340.0,6016403560.0,8.879999999999999,8.933333333333335,8.028846153846157,0.8148860398860389,0.845719373219373,12032315.2,50.0,51.42857142857142
1/11/2017,FN,8.55,8.75,8.55,8.65,0.0,4470974,38592840,422686410,1270740010.0,4591980340.0,8.78,8.970833333333335,8.084615384615386,0.7949786324786334,0.8291951566951564,9752610.2,50.0,50.0
1/12/2017,FN,8.6,8.9,8.55,8.9,2.89,4134458,35919380,360404850,1155970170.0,4423876740.0,8.73,8.970833333333335,8.161538461538463,0.7436965811965823,0.8029843304843304,8397581.8,50.0,48.57142857142857
1/13/2017,FN,8.9,9.15,8.75,9.1,2.25,5559500,50080120,367652700,1041167660.0,3981799130.0,8.74,8.983333333333334,8.25769230769231,0.6811965811965806,0.7657122507122505,8561860.4,50.0,48.57142857142857
1/16/2017,FN,9.05,9.05,8.85,8.95,-1.65,1242000,11122580,199539620,963148790.0,3589118890.0,8.85,8.991666666666667,8.340384615384618,0.5997150997150964,0.7268945868945863,4582346.4,42.857142857142854,48.57142857142857
1/17/2017,FN,8.9,8.95,8.65,8.8,-1.68,3241413,28531600,164246520,970750310.0,3246810340.0,8.879999999999999,8.958333333333334,8.415384615384617,0.49009971509971173,0.6619373219373209,3729669.0,35.71428571428572,45.714285714285715
1/18/2017,FN,8.75,8.75,8.2,8.25,-6.25,13940800,116649750,242303430,963397820.0,3232319140.0,8.8,8.879166666666665,8.455769230769231,0.34184472934472687,0.5713105413105396,5623634.2,35.71428571428572,42.85714285714286
1/19/2017,FN,8.25,8.45,7.9,8.45,2.42,13452145,109136910,315520960,1036149850.0,3305970960.0,8.709999999999999,8.791666666666666,8.503846153846155,0.23924501424501443,0.470420227920226,7487171.6,35.71428571428572,40.00000000000001
1/20/2017,FN,8.35,8.55,8.3,8.5,0.59,3435305,28935720,294376560,948492730.0,3075101580.0,8.59,8.737499999999999,8.544230769230769,0.1600071225071229,0.3661823361823345,7062332.6,42.857142857142854,38.57142857142858
1/23/2017,FN,8.5,8.6,8.45,8.6,1.18,2055600,17563040,300817020,820625510.0,2885320080.0,8.52,8.691666666666666,8.59423076923077,0.08290598290598261,0.2628205128205117,7225052.6,42.857142857142854,38.57142857142858
1/24/2017,FN,8.6,8.65,8.1,8.4,-2.33,6343260,52985410,325270830,775409980.0,2784805800.0,8.44,8.637500000000001,8.634615384615385,-0.0162749287749282,0.16154558404558372,7845422.0,42.857142857142854,40.00000000000001
1/25/2017,FN,8.4,8.4,8.0,8.1,-3.57,10996565,89571460,298192540,822149170.0,2760494840.0,8.41,8.612499999999999,8.651923076923076,-0.07738603988603998,0.07769943019943035,7256575.0,42.857142857142854,41.42857142857143
