Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,FOCUS,3.16,3.2,3.04,3.08,-0.65,103800,322000,1492000,11242000.0,47165000.0,3.08,,,,,103800.0,,
1/6/2015,FOCUS,3.16,3.32,3.08,3.28,6.49,500500,1617000,2500000,10295000.0,47133000.0,3.1799999999999997,,,,,302150.0,,
1/7/2015,FOCUS,3.36,3.4,3.3,3.38,3.05,442400,1494000,3716000,10565000.0,46304000.0,3.246666666666666,,,,,348900.0,,
1/8/2015,FOCUS,3.42,3.42,3.3,3.3,-2.37,818000,2735000,6304000,12074000.0,47203000.0,3.26,,,,,466175.0,,
1/9/2015,FOCUS,3.38,3.38,3.26,3.28,-0.61,143300,473000,6641000,11563000.0,46090000.0,3.2640000000000002,,,,,401600.0,,
1/12/2015,FOCUS,3.3,3.3,3.2,3.22,-1.83,630600,2046000,8365000,13098000.0,46626000.0,3.2920000000000003,,,,,506960.0,,
1/13/2015,FOCUS,3.24,3.42,3.16,3.42,6.21,698500,2321000,9069000,14849000.0,48615000.0,3.3200000000000003,,,,,546560.0,,
1/14/2015,FOCUS,3.46,3.64,3.3,3.5,2.34,3136200,10909000,18484000,23584000.0,58713000.0,3.344,,,,,1085320.0,,
1/15/2015,FOCUS,3.56,3.86,3.56,3.76,7.43,17218500,64025000,79774000,87112000.0,122263000.0,3.436,,,,,4365420.0,,
1/16/2015,FOCUS,3.9,4.28,3.64,3.64,-3.19,55379601,222253000,301554000,308756000.0,341434000.0,3.508,,,,,15412680.2,,
1/19/2015,FOCUS,3.7,3.8,3.64,3.64,0.0,6162300,22846000,322354000,331324000.0,362304000.0,3.592,,,,,16519020.2,,
1/20/2015,FOCUS,3.68,3.86,3.66,3.72,2.2,6405500,24062000,344095000,355239000.0,384895000.0,3.652,3.435,,,,17660420.2,,
1/21/2015,FOCUS,3.78,3.98,3.72,3.88,4.3,9066900,34949000,368135000,390052000.0,418291000.0,3.728,3.501666666666667,,,,18846560.2,,
1/22/2015,FOCUS,3.98,4.0,3.72,3.72,-4.12,6023900,23252000,327362000,412982000.0,439384000.0,3.7199999999999998,3.5383333333333336,,,,16607640.2,50.0,50.0
1/23/2015,FOCUS,3.72,3.78,3.62,3.62,-2.69,2196401,8098000,113207000,419463000.0,442740000.0,3.716,3.558333333333333,,,,5971000.2,50.0,50.0
1/26/2015,FOCUS,3.58,3.68,3.48,3.54,-2.21,1586300,5642000,96003000,423611000.0,445713000.0,3.696,3.578333333333333,,,,5055800.2,42.857142857142854,47.61904761904762
1/27/2015,FOCUS,3.52,3.72,3.52,3.7,4.52,2339700,8465000,80406000,429341000.0,453569000.0,3.6919999999999993,3.6133333333333333,,,,4242640.2,42.857142857142854,46.42857142857143
1/28/2015,FOCUS,3.7,3.74,3.66,3.68,-0.54,2685700,9915000,55372000,438783000.0,461892000.0,3.6519999999999997,3.651666666666667,,,,2966400.2,42.857142857142854,45.714285714285715
1/29/2015,FOCUS,3.68,3.72,3.6,3.6,-2.17,2064501,7526000,39646000,444263000.0,468106000.0,3.628,3.6666666666666674,,,,2174520.4,42.857142857142854,44.28571428571429
1/30/2015,FOCUS,3.66,3.66,3.58,3.58,-0.56,991100,3586000,35134000,445528000.0,470832000.0,3.62,3.6733333333333333,,,,1933460.2,42.857142857142854,42.857142857142854
2/2/2015,FOCUS,3.6,3.7,3.6,3.66,2.23,1449001,5295000,34787000,439914000.0,474198000.0,3.6439999999999997,3.6650000000000005,,,,1906000.4,42.857142857142854,42.857142857142854
2/3/2015,FOCUS,3.64,3.78,3.64,3.74,2.19,1586801,5913000,32235000,381802000.0,478664000.0,3.6519999999999997,3.673333333333334,,,,1755420.6,42.857142857142854,42.857142857142854
2/4/2015,FOCUS,3.78,3.98,3.78,3.82,2.14,7638300,29640000,51960000,189189000.0,505740000.0,3.6799999999999997,3.688333333333334,,,,2745940.6,42.857142857142854,42.857142857142854
2/5/2015,FOCUS,3.86,4.18,3.86,4.0,4.71,22053511,88990000,133424000,255333000.0,593506000.0,3.7600000000000002,3.7116666666666673,,,,6743742.6,50.0,44.285714285714285
2/6/2015,FOCUS,4.1,4.18,3.9,4.0,0.0,6525200,26530000,156368000,257801000.0,618810000.0,3.844,3.7216666666666662,,,,7850562.6,50.0,45.71428571428571
2/9/2015,FOCUS,4.02,4.3,3.94,4.3,7.5,11253614,46901000,197974000,269753000.0,664727000.0,3.972,3.7699999999999996,3.6176923076923067,0.18330484330484387,0.18330484330484387,9811485.2,50.0,47.142857142857146
2/10/2015,FOCUS,4.36,4.5,4.02,4.04,-6.05,16229500,68732000,260793000,315233000.0,732948000.0,4.032,3.8049999999999997,3.6546153846153846,0.15799145299145279,0.17064814814814833,12740025.0,42.857142857142854,47.142857142857146
2/11/2015,FOCUS,4.1,4.18,4.02,4.16,2.97,4802447,19655000,250808000,326790000.0,752033000.0,4.1,3.856666666666667,3.6884615384615382,0.17994301994302075,0.17374643874643914,12172854.4,50.0,48.57142857142857
2/12/2015,FOCUS,4.28,4.34,4.14,4.14,-0.48,7012300,29770000,191588000,350918000.0,779629000.0,4.128,3.893333333333333,3.717692307692307,0.18230769230769228,0.17588675213675242,9164612.2,50.0,48.57142857142857
2/13/2015,FOCUS,4.2,4.76,4.14,4.64,12.08,32021601,144092000,309150000,486545000.0,923224000.0,4.256,3.973333333333334,3.7692307692307687,0.24216524216524338,0.18914245014245062,14263892.4,57.14285714285714,50.0
2/16/2015,FOCUS,4.72,5.05,4.32,4.42,-4.74,43315622,205795000,468044000,682425000.0,1128410000.0,4.279999999999999,4.041666666666667,3.813076923076923,0.24183760683760713,0.20084900284900326,20676294.0,50.0,50.0
2/17/2015,FOCUS,4.44,4.6,4.16,4.2,-4.98,8979901,39344000,438656000,714243000.0,1167476000.0,4.311999999999999,4.093333333333334,3.850769230769231,0.2331054131054131,0.21587179487179534,19226374.2,50.0,51.42857142857142
2/18/2015,FOCUS,4.2,4.34,4.18,4.2,0.0,4021300,17084000,436085000,727741000.0,1184413000.0,4.319999999999999,4.138333333333334,3.8807692307692316,0.2434045584045581,0.2285641025641028,19070144.8,50.0,51.42857142857142
2/19/2015,FOCUS,4.22,4.22,4.02,4.14,-1.43,4834400,19856000,426171000,742302000.0,1204133000.0,4.319999999999999,4.171666666666668,3.9053846153846155,0.24403133903134044,0.24090883190883244,18634564.8,50.0,51.42857142857142
2/20/2015,FOCUS,4.1,4.14,4.06,4.08,-1.45,1703100,6960000,289039000,743349000.0,1210771000.0,4.208,4.193333333333334,3.9176923076923083,0.24618233618233587,0.24171225071225094,12570864.6,42.857142857142854,48.57142857142857
2/23/2015,FOCUS,4.04,4.2,4.04,4.12,0.98,684600,2816000,86060000,716525000.0,1211970000.0,4.148,4.203333333333334,3.936153846153847,0.24074074074074048,0.2414928774928776,4044660.2,42.857142857142854,47.142857142857146
2/24/2015,FOCUS,4.14,4.14,3.86,3.9,-5.34,2958300,11686000,58402000,639221000.0,1222162000.0,4.087999999999999,4.194999999999999,3.9461538461538472,0.20688034188034,0.23624786324786298,2840340.0,35.71428571428572,44.28571428571429
2/25/2015,FOCUS,3.8,3.92,3.8,3.88,-0.51,1361100,5222000,46540000,617913000.0,1224649000.0,4.023999999999999,4.159999999999999,3.952307692307693,0.169971509971508,0.22156125356125295,2308300.0,28.57142857142857,40.0
2/26/2015,FOCUS,3.82,3.88,3.64,3.82,-1.55,1482000,5593000,32277000,576605000.0,1229769000.0,3.96,4.141666666666667,3.95,0.15180911680911713,0.2031168091168083,1637820.0,28.57142857142857,35.71428571428571
2/27/2015,FOCUS,3.76,3.76,3.64,3.68,-3.66,2016701,7422000,32739000,515295000.0,1235145000.0,3.88,4.101666666666667,3.948461538461539,0.10821937321937236,0.1755242165242156,1700540.2,21.42857142857143,31.428571428571434
3/2/2015,FOCUS,3.66,4.08,3.66,4.06,10.33,2788600,11038000,40961000,506678000.0,1243862000.0,3.868,4.095000000000001,3.9653846153846155,0.11722222222222278,0.15082051282051206,2121340.2,28.57142857142857,28.571428571428573
3/3/2015,FOCUS,4.0,4.08,3.84,4.02,-0.99,1023201,4081000,33356000,480989000.0,1237034000.0,3.8919999999999995,4.043333333333333,3.9838461538461543,0.05321937321937176,0.12008831908831841,1734320.4,21.42857142857143,25.71428571428571
3/5/2015,FOCUS,4.0,4.04,3.92,4.02,0.0,802500,3202000,31336000,340099000.0,1176211000.0,3.9199999999999995,4.009999999999999,3.996153846153846,0.013618233618232889,0.08881766381766339,1622600.4,21.42857142857143,24.285714285714285
3/6/2015,FOCUS,4.08,4.12,4.0,4.1,1.99,1223900,4982000,30725000,139286000.0,958940000.0,3.976,4.001666666666666,4.012307692307693,-0.0020085470085469126,0.05805413105413058,1570980.4,21.42857142857143,22.857142857142858
3/9/2015,FOCUS,4.02,4.08,3.9,4.04,-1.46,509000,2046000,25349000,101988000.0,938140000.0,4.047999999999999,3.9883333333333333,4.02923076923077,-0.03374643874643901,0.0296609686609683,1269440.2,21.42857142857143,22.857142857142858
3/10/2015,FOCUS,4.06,4.1,3.98,4.02,-0.5,737506,2975000,17286000,87879000.0,917053000.0,4.04,3.978333333333333,4.046153846153846,-0.05947293447293456,-0.0056780626780631675,859221.4,21.42857142857143,21.42857142857143
3/11/2015,FOCUS,3.94,4.06,3.94,4.0,-0.5,593808,2376000,15581000,70399000.0,884480000.0,4.036,3.9716666666666662,4.059230769230769,-0.07881766381766386,-0.03208547008547029,773342.8,21.42857142857143,21.42857142857143
3/12/2015,FOCUS,4.0,4.1,3.98,4.06,1.5,687601,2775000,15154000,66214000.0,864003000.0,4.044,3.9666666666666663,4.071538461538461,-0.08965811965811987,-0.052740740740740845,750363.0,28.57142857142857,22.857142857142858
3/13/2015,FOCUS,4.04,4.14,4.04,4.08,0.49,360300,1470000,11642000,64868000.0,857375000.0,4.039999999999999,3.981666666666667,4.081538461538462,-0.08462962962962894,-0.06926495726495725,577643.0,35.71428571428572,25.714285714285715
3/16/2015,FOCUS,4.06,4.06,3.96,4.04,-0.98,516900,2069000,11665000,55251000.0,853802000.0,4.039999999999999,3.994999999999999,4.0830769230769235,-0.0779629629629639,-0.07810826210826223,579223.0,28.57142857142857,27.142857142857146
3/17/2015,FOCUS,4.08,4.08,3.84,3.9,-3.47,454000,1782000,10472000,51811000.0,847119000.0,4.016,4.001666666666666,4.07923076923077,-0.07992877492877559,-0.08219943019943043,522521.8,28.57142857142857,28.571428571428573
3/18/2015,FOCUS,3.86,4.02,3.82,4.0,2.56,453500,1766000,9862000,47984000.0,838970000.0,4.016,4.028333333333332,4.067692307692308,-0.03870370370370502,-0.07417663817663867,494460.2,35.71428571428572,31.428571428571434
3/19/2015,FOCUS,4.04,4.06,3.9,4.0,0.0,542810,2155000,9242000,42717000.0,833599000.0,4.0040000000000004,4.0233333333333325,4.0661538461538465,-0.04150997150997249,-0.06454700854700919,465502.0,35.71428571428572,32.85714285714286
3/20/2015,FOCUS,3.94,4.02,3.92,4.0,0.0,663000,2634000,10406000,34313000.0,832647000.0,3.9879999999999995,4.0216666666666665,4.0600000000000005,-0.03722222222222271,-0.05506552706552794,526042.0,35.71428571428572,32.85714285714286
3/23/2015,FOCUS,4.06,4.06,3.92,4.0,0.0,485800,1927000,10264000,32159000.0,829279000.0,3.9799999999999995,4.02,4.054615384615385,-0.03364672364672483,-0.04620227920228013,519822.0,28.57142857142857,32.857142857142854
3/24/2015,FOCUS,4.0,4.0,3.68,3.96,-1.0,603600,2350000,10832000,31307000.0,825716000.0,3.992,4.008333333333333,4.0284615384615385,-0.022492877492878094,-0.03471509971510063,549742.0,28.57142857142857,32.857142857142854
3/25/2015,FOCUS,4.0,4.0,3.86,3.96,0.0,89500,356000,9422000,26681000.0,796432000.0,3.9840000000000004,4.001666666666666,4.01076923076923,-0.011752136752137154,-0.029324786324787057,476942.0,28.57142857142857,31.428571428571434
3/26/2015,FOCUS,3.9,3.96,3.84,3.84,-3.03,473500,1851000,9118000,26486000.0,709293000.0,3.9520000000000004,3.986666666666667,3.9969230769230766,-0.021196581196580855,-0.02526210826210873,463080.0,21.42857142857143,28.571428571428573
3/27/2015,FOCUS,3.82,3.88,3.72,3.76,-2.08,563700,2135000,8619000,25646000.0,684898000.0,3.904,3.966666666666667,3.98,-0.02883190883190867,-0.02358404558404592,443220.0,21.42857142857143,25.71428571428571
3/30/2015,FOCUS,3.74,3.76,3.7,3.76,0.0,254200,947000,7639000,24217000.0,638944000.0,3.8560000000000003,3.9416666666666664,3.965384615384615,-0.03645299145299141,-0.024145299145299236,396900.0,21.42857142857143,24.285714285714285
4/1/2015,FOCUS,3.82,4.02,3.8,3.92,3.16,544800,2140000,7429000,23582000.0,572352000.0,3.848,3.9283333333333332,3.959230769230769,-0.02927350427350417,-0.025501424501424452,385140.0,28.57142857142857,24.285714285714285
4/2/2015,FOCUS,4.02,4.04,3.88,3.98,1.53,254500,1002000,8075000,23114000.0,553699000.0,3.8519999999999994,3.9233333333333333,3.9538461538461536,-0.023732193732193263,-0.027897435897435673,418140.0,28.57142857142857,24.285714285714285
4/3/2015,FOCUS,4.02,4.02,3.92,3.94,-1.01,228600,901000,7125000,21946000.0,524830000.0,3.872,3.9266666666666663,3.9553846153846157,-0.02552706552706585,-0.028763532763532672,369160.0,21.42857142857143,24.285714285714285
4/7/2015,FOCUS,3.94,4.24,3.94,4.08,3.55,4343800,17942000,22932000,38106000.0,398680000.0,3.936,3.933333333333333,3.963076923076923,-0.015840455840455903,-0.02616524216524212,1125180.0,28.57142857142857,25.71428571428571
4/8/2015,FOCUS,4.12,4.16,4.06,4.06,-0.49,1177200,4832000,26817000,41172000.0,197717000.0,3.996,3.938333333333333,3.9723076923076923,-0.02175213675213694,-0.023225071225071225,1309780.0,28.57142857142857,27.142857142857146
4/9/2015,FOCUS,4.12,4.18,4.06,4.08,0.49,750300,3076000,27753000,42093000.0,161449000.0,4.0280000000000005,3.9450000000000003,3.987692307692307,-0.028760683760683303,-0.023122507122507054,1350880.0,28.57142857142857,27.142857142857146
4/10/2015,FOCUS,4.08,4.16,4.06,4.14,1.47,621012,2559000,29310000,42018000.0,146924000.0,4.06,3.956666666666667,3.990769230769231,-0.016951566951567187,-0.021766381766381838,1424182.4,35.71428571428572,28.571428571428573
4/16/2015,FOCUS,4.14,4.26,4.1,4.2,1.45,1387600,5846000,34255000,45937000.0,132914000.0,4.112,3.976666666666667,3.9976923076923083,-0.0016524216524214097,-0.016991452991452948,1655982.4,42.857142857142854,32.857142857142854
4/17/2015,FOCUS,4.18,4.54,4.16,4.34,3.33,11517600,50388000,66701000,93975000.0,176342000.0,4.164,4.008333333333334,4.01,0.024914529914529915,-0.008840455840455785,3090742.4,50.0,37.142857142857146
4/20/2015,FOCUS,4.42,4.42,4.24,4.24,-2.3,3110500,13455000,75324000,107074000.0,186981000.0,4.2,4.041666666666667,4.015384615384615,0.0401566951566954,0.0035413105413106827,3477402.4,50.0,41.42857142857143
4/21/2015,FOCUS,4.3,4.3,4.18,4.18,-1.42,623000,2631000,74879000,107854000.0,177926000.0,4.220000000000001,4.076666666666667,4.020769230769231,0.05999999999999961,0.021293447293447267,3451942.4,50.0,45.714285714285715
4/22/2015,FOCUS,4.18,4.2,4.16,4.16,-0.48,640100,2675000,74995000,108394000.0,175379000.0,4.224,4.11,4.026153846153846,0.08162393162393133,0.04100854700854697,3455760.0,50.0,48.57142857142857
4/23/2015,FOCUS,4.16,4.2,4.06,4.06,-2.4,1159800,4794000,73943000,112241000.0,174580000.0,4.196,4.121666666666667,4.0284615384615385,0.08138176638176642,0.057615384615384534,3410200.0,50.0,50.0
4/24/2015,FOCUS,4.08,4.18,4.08,4.08,0.49,502400,2063000,25618000,112164000.0,169221000.0,4.144,4.13,4.029230769230768,0.08931623931624078,0.0704957264957267,1207160.0,57.14285714285714,51.42857142857142
4/27/2015,FOCUS,4.08,4.1,4.0,4.02,-1.47,533500,2162000,14325000,113324000.0,160345000.0,4.1,4.136666666666667,4.026923076923077,0.09230769230769198,0.08092592592592603,691760.0,50.0,51.42857142857142
4/28/2015,FOCUS,4.0,4.06,3.94,3.94,-1.99,841000,3345000,15039000,115768000.0,159609000.0,4.0520000000000005,4.125,4.023076923076923,0.07961538461538442,0.08484900284900299,735360.0,42.857142857142854,50.0
4/29/2015,FOCUS,3.9,4.0,3.88,3.9,-1.02,248500,973000,13337000,98799000.0,157380000.0,4.0,4.111666666666666,4.023076923076923,0.06514245014244935,0.08155270655270659,657040.0,42.857142857142854,48.57142857142857
4/30/2015,FOCUS,3.92,3.94,3.9,3.92,0.51,81500,319000,8862000,94286000.0,152717000.0,3.972,4.098333333333334,4.02,0.05830484330484342,0.07693732193732199,441380.0,42.857142857142854,47.142857142857146
5/6/2015,FOCUS,3.96,4.08,3.88,3.9,-0.51,504800,1979000,8778000,93189000.0,152650000.0,3.936,4.078333333333333,4.016153846153847,0.04334757834757763,0.06774358974358936,441860.0,42.857142857142854,44.28571428571429
5/7/2015,FOCUS,3.84,3.94,3.7,3.72,-4.62,1543600,5849000,12465000,96479000.0,155524000.0,3.876,4.038333333333333,4.0053846153846155,0.0051139601139595925,0.05030484330484288,643880.0,35.71428571428572,41.42857142857143
5/8/2015,FOCUS,3.64,3.68,3.0,3.64,-2.15,1000000,3606000,12726000,94239000.0,156754000.0,3.8160000000000003,3.98,3.991538461538462,-0.03780626780626806,0.02682051282051239,675680.0,28.57142857142857,38.57142857142857
5/11/2015,FOCUS,3.54,3.8,3.54,3.6,-1.1,506000,1833000,13586000,45684000.0,155812000.0,3.7560000000000002,3.9266666666666663,3.977692307692308,-0.07330484330484355,-0.0008689458689461916,727180.0,21.42857142857143,34.28571428571429
5/12/2015,FOCUS,3.64,3.64,3.48,3.48,-3.33,282700,1004000,14271000,33233000.0,155346000.0,3.668,3.8683333333333327,3.9592307692307696,-0.11514245014245095,-0.03555840455840507,767420.0,14.285714285714292,28.571428571428577
5/13/2015,FOCUS,3.34,3.68,3.34,3.56,2.3,100802,360000,12652000,30962000.0,153637000.0,3.6,3.8183333333333334,3.948461538461539,-0.14109686609686634,-0.07244729344729386,686620.4,21.42857142857143,24.28571428571429
5/14/2015,FOCUS,3.54,3.66,3.54,3.6,1.12,67800,243000,7046000,28530000.0,152098000.0,3.5760000000000005,3.78,3.9423076923076925,-0.16464387464387498,-0.10639886039886078,391460.4,28.57142857142857,22.857142857142858
5/15/2015,FOCUS,3.58,3.6,3.5,3.6,0.0,93100,331000,3771000,24067000.0,150663000.0,3.568,3.74,3.936153846153846,-0.19279202279202234,-0.13739601139601162,210080.4,28.57142857142857,22.857142857142858
5/18/2015,FOCUS,3.64,3.64,3.58,3.6,0.0,162600,585000,2523000,22589000.0,149093000.0,3.568,3.7050000000000005,3.9238461538461538,-0.2110113960113953,-0.16493732193732197,141400.4,28.57142857142857,24.285714285714285
