Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,GJS-W2,0.07,0.09,0.07,0.09,12.5,2541593,201000,770000,5682000.0,37546000.0,0.09,,,,,2541593.0,,
1/6/2015,GJS-W2,0.08,0.09,0.07,0.08,-11.11,2002000,160000,637000,3673000.0,37498000.0,0.08499999999999999,,,,,2271796.5,,
1/7/2015,GJS-W2,0.09,0.09,0.09,0.09,12.5,400000,36000,672000,2955000.0,36873000.0,0.08666666666666667,,,,,1647864.3333333333,,
1/8/2015,GJS-W2,0.08,0.09,0.08,0.09,0.0,1016300,82000,515000,2860000.0,36785000.0,0.0875,,,,,1489973.25,,
1/9/2015,GJS-W2,0.08,0.09,0.08,0.08,-11.11,6426294,514000,993000,2961000.0,31424000.0,0.086,,,,,2477237.4,,
1/12/2015,GJS-W2,0.08,0.08,0.08,0.08,0.0,3124900,250000,1042000,2515000.0,27959000.0,0.084,,,,,2593898.8,,
1/13/2015,GJS-W2,0.08,0.09,0.07,0.07,-12.5,12331000,976000,1858000,2927000.0,20735000.0,0.082,,,,,4659698.8,,
1/14/2015,GJS-W2,0.08,0.08,0.07,0.08,14.29,4297887,333000,2155000,3224000.0,20879000.0,0.08,,,,,5439276.2,,
1/15/2015,GJS-W2,0.08,0.08,0.07,0.07,-12.5,5914354,471000,2544000,3592000.0,20217000.0,0.076,,,,,6418887.0,,
1/16/2015,GJS-W2,0.08,0.08,0.08,0.08,14.29,2895200,232000,2262000,3531000.0,18066000.0,0.07600000000000001,,,,,5712668.2,,
1/19/2015,GJS-W2,0.08,0.08,0.08,0.08,0.0,4876705,390000,2402000,3920000.0,17724000.0,0.07600000000000001,,,,,6063029.2,,
1/20/2015,GJS-W2,0.09,0.09,0.08,0.08,0.0,1497500,120000,1546000,3801000.0,14474000.0,0.07800000000000001,0.08083333333333333,,,,3896329.2,,
1/21/2015,GJS-W2,0.08,0.09,0.07,0.08,0.0,7695600,684000,1897000,4449000.0,14699000.0,0.07800000000000001,0.08,,,,4575871.8,,
1/22/2015,GJS-W2,0.08,0.09,0.08,0.08,0.0,2177045,179000,1605000,4427000.0,14384000.0,0.08,0.07999999999999999,,,,3828410.0,28.57142857142857,28.57142857142857
1/23/2015,GJS-W2,0.09,0.09,0.09,0.09,12.5,15400,1000,1374000,4268000.0,14241000.0,0.082,0.07999999999999999,,,,3252450.0,28.57142857142857,28.57142857142857
1/26/2015,GJS-W2,0.09,0.09,0.08,0.08,-11.11,2155489,172000,1156000,4404000.0,14234000.0,0.08199999999999999,0.07916666666666665,,,,2708206.8,28.57142857142857,28.57142857142857
1/27/2015,GJS-W2,0.08,0.09,0.08,0.09,12.5,6931000,555000,1591000,4877000.0,14635000.0,0.084,0.07999999999999999,,,,3794906.8,28.57142857142857,28.57142857142857
1/28/2015,GJS-W2,0.08,0.09,0.08,0.08,-11.11,12335000,1040000,1947000,5403000.0,15586000.0,0.08399999999999999,0.07999999999999999,,,,4722786.8,28.57142857142857,28.571428571428566
1/29/2015,GJS-W2,0.08,0.09,0.08,0.08,0.0,355200,28000,1796000,5181000.0,13917000.0,0.084,0.08083333333333333,,,,4358417.8,28.57142857142857,28.571428571428566
1/30/2015,GJS-W2,0.08,0.08,0.08,0.08,0.0,1372000,110000,1905000,4315000.0,13611000.0,0.082,0.08083333333333333,,,,4629737.8,28.57142857142857,28.571428571428566
2/2/2015,GJS-W2,0.08,0.08,0.08,0.08,0.0,2159500,173000,1906000,4155000.0,12349000.0,0.082,0.08166666666666665,,,,4630540.0,28.57142857142857,28.571428571428566
2/3/2015,GJS-W2,0.07,0.08,0.07,0.08,0.0,341700,25000,1376000,3709000.0,12213000.0,0.08,0.08166666666666665,,,,3312680.0,21.42857142857143,27.142857142857146
2/4/2015,GJS-W2,0.08,0.08,0.08,0.08,0.0,5178171,414000,750000,3891000.0,10458000.0,0.08,0.08166666666666665,,,,1881314.2,21.42857142857143,25.71428571428571
2/5/2015,GJS-W2,0.08,0.08,0.07,0.07,-12.5,3902593,274000,996000,3775000.0,9978000.0,0.078,0.08083333333333331,,,,2590792.8,14.285714285714292,22.857142857142858
2/6/2015,GJS-W2,0.07,0.08,0.07,0.08,14.29,1200100,95000,981000,3750000.0,9896000.0,0.078,0.08083333333333333,,,,2556412.8,21.42857142857143,21.42857142857143
