Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,GJS-W3,0.14,0.14,0.13,0.13,0.0,2331200,326000,1363000,4249000.0,56373000.0,0.13,,,,,2331200.0,,,326000.0,0.0
1/6/2015,GJS-W3,0.14,0.14,0.13,0.13,0.0,3103500,434000,1733000,4122000.0,55164000.0,0.13,,,,,2717350.0,,,380000.0,0.0
1/7/2015,GJS-W3,0.14,0.14,0.14,0.14,7.69,212000,30000,1704000,3887000.0,54510000.0,0.13333333333333333,,,,,1882233.333333333,,,263333.33333333326,0.0
1/8/2015,GJS-W3,0.14,0.14,0.13,0.14,0.0,213200,28000,1422000,3311000.0,51821000.0,0.135,,,,,1464975.0,,,204500.0,0.0
1/9/2015,GJS-W3,0.13,0.14,0.13,0.13,-7.14,2542750,333000,1151000,3194000.0,41069000.0,0.134,,,,,1680530.0,,,230200.0,0.0
1/12/2015,GJS-W3,0.13,0.14,0.13,0.13,0.0,63100,8000,833000,2630000.0,37573000.0,0.134,,,,,1226910.0,,,166600.0,0.0
1/13/2015,GJS-W3,0.14,0.14,0.13,0.13,0.0,4514100,630000,1029000,2915000.0,33413000.0,0.134,,,,,1509030.0,,,205800.0,0.0
1/14/2015,GJS-W3,0.14,0.14,0.14,0.14,7.69,1512247,212000,1211000,3125000.0,30020000.0,0.134,,,,,1769079.4,,,242200.0,0.0
1/15/2015,GJS-W3,0.14,0.14,0.14,0.14,0.0,402100,56000,1239000,3094000.0,27898000.0,0.134,,,,,1806859.4,,,247800.0,0.0
1/16/2015,GJS-W3,0.14,0.14,0.14,0.14,0.0,1050200,147000,1053000,3177000.0,23564000.0,0.136,,,,,1508349.4,,,210600.0,0.0
1/20/2015,GJS-W3,0.13,0.14,0.13,0.13,-7.14,4256355,553000,968000,3361000.0,22248000.0,0.136,,,,,2347000.4,,,319600.0,0.0
1/21/2015,GJS-W3,0.13,0.14,0.13,0.14,7.69,5959100,825000,1581000,3582000.0,22535000.0,0.138,0.135,,,,2636000.4,,,358600.0,0.0
1/22/2015,GJS-W3,0.14,0.14,0.13,0.14,0.0,8140000,1061000,2586000,4317000.0,21772000.0,0.138,0.13583333333333336,,,,3961551.0,,,528400.0,0.0
1/26/2015,GJS-W3,0.13,0.13,0.13,0.13,-7.14,2373750,309000,2748000,4162000.0,20103000.0,0.136,0.13583333333333336,,,,4355881.0,21.42857142857143,21.42857142857143,579000.0,0.0
1/27/2015,GJS-W3,0.13,0.14,0.13,0.14,7.69,6602800,858000,3053000,4992000.0,20902000.0,0.136,0.13583333333333336,,,,5466401.0,28.57142857142857,25.0,721200.0,0.0
1/28/2015,GJS-W3,0.14,0.14,0.13,0.14,0.0,7484650,1038000,3266000,5697000.0,19672000.0,0.138,0.13583333333333336,,,,6112060.0,28.57142857142857,26.190476190476193,818200.0,0.0
1/29/2015,GJS-W3,0.13,0.13,0.13,0.13,-7.14,2122500,276000,2481000,5965000.0,17333000.0,0.136,0.13583333333333336,,,,5344740.0,21.42857142857143,25.0,708400.0,0.0
1/30/2015,GJS-W3,0.13,0.13,0.13,0.13,0.0,2950900,384000,2865000,5719000.0,12128000.0,0.134,0.13583333333333333,,,,4306920.0,21.42857142857143,24.285714285714285,573000.0,0.0
2/2/2015,GJS-W3,0.13,0.14,0.13,0.14,7.69,1532000,204000,2760000,5711000.0,11924000.0,0.136,0.1366666666666667,,,,4138570.0,28.57142857142857,25.71428571428571,552000.0,0.0
2/3/2015,GJS-W3,0.13,0.13,0.13,0.13,-7.14,230200,30000,1932000,5685000.0,11665000.0,0.134,0.13583333333333333,,,,2864050.0,28.57142857142857,25.71428571428571,386400.0,0.0
2/4/2015,GJS-W3,0.13,0.13,0.13,0.13,0.0,54300,7000,901000,5545000.0,11111000.0,0.132,0.135,,,,1377980.0,28.57142857142857,25.71428571428571,180200.0,0.0
2/5/2015,GJS-W3,0.13,0.13,0.12,0.12,-7.69,411600,53000,678000,5598000.0,10899000.0,0.13,0.13333333333333333,,,,1035800.0,21.42857142857143,25.71428571428571,135600.0,0.0
2/6/2015,GJS-W3,0.12,0.13,0.12,0.13,8.33,75400,10000,304000,5055000.0,10305000.0,0.13,0.13333333333333333,,,,460700.0,28.57142857142857,27.142857142857146,60800.0,0.0
2/9/2015,GJS-W3,0.13,0.13,0.13,0.13,0.0,400000,52000,152000,4282000.0,9907000.0,0.128,0.13249999999999998,,,,234300.0,28.57142857142857,27.142857142857146,30400.0,0.0
2/10/2015,GJS-W3,0.13,0.13,0.12,0.13,0.0,1742850,226000,348000,3447000.0,9561000.0,0.128,0.13166666666666665,,,,536830.0,28.57142857142857,27.142857142857146,69600.0,0.0
2/11/2015,GJS-W3,0.13,0.13,0.12,0.12,-7.69,1154200,140000,481000,3587000.0,9356000.0,0.126,0.13083333333333333,0.13307692307692304,-0.0029415954415954178,-0.0029415954415954178,756810.0,21.42857142857143,25.71428571428571,96200.0,0.0
2/13/2015,GJS-W3,0.13,0.13,0.12,0.12,-7.69,4751200,570000,988000,2990000.0,9837000.0,0.126,0.12916666666666668,0.1326923076923077,-0.003995726495726493,-0.0034686609686609554,1624730.0,21.42857142857143,25.71428571428571,199600.0,0.0
2/16/2015,GJS-W3,0.12,0.13,0.12,0.13,8.33,1731900,208000,1144000,2160000.0,9981000.0,0.126,0.12833333333333333,0.1326923076923077,-0.003903133903133904,-0.003613485280151938,1956030.0,28.57142857142857,25.71428571428571,239200.0,0.0
2/17/2015,GJS-W3,0.12,0.12,0.12,0.12,-7.69,12615,2000,920000,1886000.0,9924000.0,0.124,0.12750000000000006,0.13192307692307692,-0.0046937321937321475,-0.0038835470085469906,1878553.0,21.42857142857143,24.285714285714285,229200.0,0.0
2/18/2015,GJS-W3,0.12,0.12,0.12,0.12,0.0,1520247,182000,962000,1684000.0,9796000.0,0.122,0.12666666666666668,0.13115384615384615,-0.004686609686609639,-0.004044159544159521,1834032.4,21.42857142857143,22.857142857142854,220400.0,0.0
2/19/2015,GJS-W3,0.12,0.12,0.12,0.12,0.0,1076200,129000,1091000,1609000.0,9321000.0,0.122,0.12500000000000006,0.13076923076923078,-0.005740740740740713,-0.0046039886039885795,1818432.4,21.42857142857143,22.857142857142854,218200.0,0.0
2/20/2015,GJS-W3,0.12,0.12,0.12,0.12,0.0,755200,91000,612000,1670000.0,9086000.0,0.122,0.12416666666666668,0.13038461538461538,-0.006089743589743568,-0.005022792022791994,1019232.4,21.42857142857143,22.857142857142854,122400.0,0.0
