Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,GJS,0.06,0.07,0.06,0.06,0.0,23456800,1413000,21807000,113883000.0,649471000.0,0.06,,,,,23456800.0,,
1/6/2015,GJS,0.07,0.07,0.06,0.06,0.0,51676900,3177000,17683000,88808000.0,648644000.0,0.06,,,,,37566850.0,,
1/7/2015,GJS,0.06,0.07,0.06,0.07,16.67,23626800,1539000,10732000,87083000.0,637907000.0,0.06333333333333334,,,,,32920166.666666668,,
1/8/2015,GJS,0.06,0.07,0.06,0.06,-14.29,91552099,5496000,12688000,88862000.0,623693000.0,0.0625,,,,,47578149.75,,
1/9/2015,GJS,0.06,0.07,0.06,0.06,0.0,191111097,11469000,23094000,58251000.0,410052000.0,0.062,,,,,76284739.2,,
1/12/2015,GJS,0.07,0.07,0.06,0.06,0.0,30758196,1913000,23594000,56668000.0,270711000.0,0.062,,,,,77745018.4,,
1/13/2015,GJS,0.06,0.07,0.06,0.06,0.0,24729100,1492000,21909000,55098000.0,260878000.0,0.062,,,,,72355458.4,,
1/14/2015,GJS,0.06,0.07,0.06,0.06,0.0,44576594,2680000,23050000,52899000.0,260081000.0,0.06,,,,,76545417.2,,
1/15/2015,GJS,0.07,0.07,0.06,0.06,0.0,28895697,1828000,19382000,51401000.0,255871000.0,0.06,,,,,64014136.8,,
1/16/2015,GJS,0.07,0.07,0.06,0.06,0.0,74396995,4494000,12407000,48594000.0,255651000.0,0.06,,,,,40671316.4,,
1/19/2015,GJS,0.06,0.07,0.06,0.06,0.0,29428152,1766000,12260000,41870000.0,247795000.0,0.06,,,,,40405307.6,,
1/20/2015,GJS,0.06,0.07,0.06,0.06,0.0,120839700,7259000,18027000,45589000.0,216891000.0,0.06,0.06083333333333335,,,,59627427.6,,
1/21/2015,GJS,0.06,0.07,0.05,0.06,0.0,490006800,29374000,44721000,73900000.0,241826000.0,0.06,0.06083333333333335,,,,148713468.8,,
1/22/2015,GJS,0.06,0.07,0.06,0.06,0.0,108688100,6521000,49414000,79008000.0,239836000.0,0.06,0.06083333333333335,,,,164671949.4,7.142857142857139,7.142857142857139
1/23/2015,GJS,0.06,0.07,0.05,0.06,0.0,182164300,10930000,55850000,86761000.0,241142000.0,0.06,0.06000000000000002,,,,186225410.4,7.142857142857139,7.142857142857139
1/26/2015,GJS,0.06,0.07,0.06,0.06,0.0,67547200,4101000,58185000,89323000.0,239899000.0,0.06,0.06000000000000002,,,,193849220.0,7.142857142857139,7.142857142857139
1/27/2015,GJS,0.07,0.07,0.05,0.06,0.0,490514003,29447000,80373000,113274000.0,266705000.0,0.06,0.06000000000000002,,,,267784080.6,0.0,5.357142857142854
1/28/2015,GJS,0.06,0.06,0.05,0.06,0.0,129862500,7778000,58777000,109583000.0,260257000.0,0.06,0.06000000000000002,,,,195755220.6,0.0,4.285714285714283
1/29/2015,GJS,0.06,0.07,0.06,0.06,0.0,38958300,2338000,54594000,110008000.0,257487000.0,0.06,0.06000000000000002,,,,181809260.6,0.0,2.8571428571428554
1/30/2015,GJS,0.06,0.07,0.05,0.06,0.0,133540100,8012000,51676000,116528000.0,263423000.0,0.06,0.06000000000000002,,,,172084420.6,0.0,1.4285714285714277
2/2/2015,GJS,0.06,0.07,0.05,0.06,0.0,76252800,4577000,52152000,118425000.0,262488000.0,0.06,0.06000000000000002,,,,173825540.6,0.0,0.0
2/3/2015,GJS,0.06,0.07,0.06,0.06,0.0,73739700,4425000,27130000,121022000.0,264499000.0,0.06,0.06000000000000002,,,,90470680.0,0.0,0.0
2/4/2015,GJS,0.06,0.07,0.05,0.06,0.0,118892450,7134000,26486000,123662000.0,243381000.0,0.06,0.06000000000000002,,,,88276670.0,0.0,0.0
2/5/2015,GJS,0.06,0.07,0.05,0.06,0.0,47767300,2866000,27014000,124762000.0,242983000.0,0.06,0.06000000000000002,,,,90038470.0,0.0,0.0
2/6/2015,GJS,0.06,0.07,0.05,0.06,0.0,63926701,3814000,22816000,121317000.0,243080000.0,0.06,0.06000000000000002,,,,76115790.2,0.0,0.0
2/9/2015,GJS,0.06,0.06,0.05,0.05,-16.67,100260701,5967000,24206000,97910000.0,206967000.0,0.057999999999999996,0.05916666666666668,0.06000000000000004,-0.0015028490028490271,-0.0015028490028490271,80917370.4,0.0,0.0
2/10/2015,GJS,0.05,0.06,0.05,0.05,0.0,83756889,4334000,24115000,95723000.0,207805000.0,0.055999999999999994,0.05833333333333335,0.05961538461538465,-0.0018518518518518753,-0.0016773504273504512,82920808.2,0.0,0.0
2/11/2015,GJS,0.06,0.06,0.05,0.06,20.0,24602000,1473000,18454000,86266000.0,206216000.0,0.055999999999999994,0.05833333333333335,0.05961538461538465,-0.0010541310541310814,-0.001469610636277328,64062718.2,7.142857142857139,1.4285714285714277
2/12/2015,GJS,0.06,0.06,0.05,0.06,0.0,18916100,1089000,16677000,83254000.0,202426000.0,0.05600000000000001,0.05833333333333335,0.05923076923076927,-0.0006980056980057242,-0.001276709401709427,58292478.2,7.142857142857139,2.8571428571428554
2/13/2015,GJS,0.05,0.06,0.05,0.05,-16.67,70212100,3559000,16422000,57366000.0,202659000.0,0.054000000000000006,0.057500000000000016,0.05884615384615388,-0.0018447293447293664,-0.0013903133903134148,59549558.0,7.142857142857139,4.285714285714283
2/16/2015,GJS,0.05,0.06,0.05,0.06,20.0,25524194,1378000,11833000,50966000.0,196736000.0,0.055999999999999994,0.057500000000000016,0.05884615384615388,-0.0010470085470085724,-0.001299145299145324,44602256.6,14.285714285714292,7.1428571428571415
2/17/2015,GJS,0.06,0.06,0.05,0.06,0.0,34204100,2042000,9541000,50670000.0,190288000.0,0.057999999999999996,0.057500000000000016,0.05884615384615388,-0.0010470085470085724,-0.0011381766381766633,34691698.8,14.285714285714292,10.0
2/18/2015,GJS,0.06,0.06,0.05,0.05,-16.67,15889700,847000,8915000,43505000.0,187595000.0,0.055999999999999994,0.05666666666666668,0.058461538461538495,-0.0021937321937322146,-0.00136609686609689,32949238.8,14.285714285714292,11.42857142857143
2/19/2015,GJS,0.06,0.06,0.05,0.05,0.0,17258600,913000,8739000,39841000.0,187445000.0,0.05399999999999999,0.055833333333333346,0.05807692307692311,-0.002542735042735063,-0.0017350427350427578,32617738.8,14.285714285714292,12.857142857142861
2/20/2015,GJS,0.06,0.06,0.05,0.06,20.0,56826950,3050000,8230000,38466000.0,189082000.0,0.055999999999999994,0.055833333333333346,0.05807692307692311,-0.0017450142450142689,-0.0017150997150997382,29940708.8,21.42857142857143,15.714285714285719
2/23/2015,GJS,0.06,0.06,0.05,0.05,-16.67,118735100,5995000,12847000,37327000.0,191900000.0,0.054000000000000006,0.055000000000000014,0.05769230769230772,-0.002891737891737911,-0.002084045584045606,48582890.0,21.42857142857143,17.142857142857146
2/24/2015,GJS,0.05,0.06,0.05,0.05,0.0,252861800,12645000,23450000,47106000.0,203006000.0,0.052000000000000005,0.054166666666666675,0.057307692307692344,-0.0032407407407407662,-0.0025227920227920446,92314430.0,21.42857142857143,18.571428571428577
2/25/2015,GJS,0.06,0.06,0.05,0.06,20.0,215851800,12847000,35450000,56139000.0,210357000.0,0.054000000000000006,0.05499999999999999,0.057307692307692344,-0.0017378917378917738,-0.0024316239316239567,132306850.0,28.57142857142857,21.42857142857143
2/26/2015,GJS,0.06,0.06,0.05,0.06,0.0,25990800,1499000,36036000,51671000.0,200387000.0,0.05600000000000001,0.055833333333333325,0.057307692307692344,-0.0010327635327635754,-0.0021296296296296592,134053290.0,28.57142857142857,24.285714285714285
2/27/2015,GJS,0.06,0.06,0.05,0.06,0.0,33517300,1931000,34917000,49268000.0,200405000.0,0.05600000000000001,0.055833333333333325,0.057307692307692344,-0.0010327635327635754,-0.00198717948717952,129391360.0,28.57142857142857,25.71428571428571
3/2/2015,GJS,0.05,0.06,0.05,0.05,-16.67,144128102,7226000,36148000,55021000.0,206139000.0,0.055999999999999994,0.05499999999999999,0.05692307692307696,-0.0021794871794872106,-0.0018447293447293803,134469960.4,28.57142857142857,27.142857142857146
3/3/2015,GJS,0.05,0.06,0.05,0.06,20.0,58888100,3135000,26638000,57067000.0,206594000.0,0.057999999999999996,0.055833333333333325,0.05692307692307696,-0.0006766381766382182,-0.0013319088319088707,95675220.4,28.57142857142857,28.571428571428566
3/5/2015,GJS,0.06,0.06,0.05,0.05,-16.67,49775900,2596000,16387000,56104000.0,207362000.0,0.055999999999999994,0.055000000000000014,0.05653846153846157,-0.0018233618233618396,-0.0013490028490028838,62460040.4,28.57142857142857,28.571428571428566
