Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/6/2015,GLAND-W2,1.96,1.96,1.96,1.96,0.0,1000,2000,2000,52000.0,186000.0,1.96,,,,,1000.0,,,2000.0,0.0
1/7/2015,GLAND-W2,2.1,2.1,2.1,2.1,7.14,1100,2000,4000,32000.0,172000.0,2.03,,,,,1050.0,,,2000.0,0.0
1/8/2015,GLAND-W2,2.14,2.14,2.12,2.12,0.95,2400,5000,9000,37000.0,177000.0,2.06,,,,,1500.0,,,3000.0,0.0
1/13/2015,GLAND-W2,2.16,2.16,2.12,2.16,1.89,20000,43000,50000,64000.0,220000.0,2.085,,,,,6125.0,,,13000.0,0.0
1/14/2015,GLAND-W2,2.16,2.16,2.16,2.16,0.0,37100,80000,128000,144000.0,240000.0,2.1,,,,,12320.0,,,26400.0,0.0
1/21/2015,GLAND-W2,1.7,2.12,1.7,2.12,-1.85,800,2000,2000,134000.0,218000.0,2.132,,,,,12280.0,,,26400.0,0.0
1/22/2015,GLAND-W2,2.3,2.3,2.26,2.26,6.6,27776,63000,65000,197000.0,281000.0,2.164,,,,,17615.2,,,38600.0,0.0
1/29/2015,GLAND-W2,1.8,2.18,1.8,2.18,-3.54,992,2000,2000,190000.0,275000.0,2.176,,,,,17333.6,,,38000.0,0.0
1/30/2015,GLAND-W2,2.28,2.3,2.28,2.3,5.5,10000,23000,25000,170000.0,298000.0,2.204,,,,,15333.6,,,34000.0,0.0
2/6/2015,GLAND-W2,2.6,2.6,2.6,2.6,13.04,1000,3000,3000,93000.0,253000.0,2.292,,,,,8113.6,,,18600.0,0.0
2/12/2015,GLAND-W2,2.18,2.18,2.18,2.18,-16.15,1204,3000,6000,31000.0,240000.0,2.3040000000000003,,,,,8194.4,,,18800.0,0.0
2/13/2015,GLAND-W2,2.2,2.2,2.2,2.2,0.92,2400,5000,8000,36000.0,234000.0,2.2920000000000003,2.1950000000000003,,,,3119.2,,,7200.0,0.0
2/16/2015,GLAND-W2,2.2,2.2,2.2,2.2,0.0,12220,27000,35000,63000.0,260000.0,2.2960000000000003,2.215,,,,5364.8,,,12200.0,0.0
2/17/2015,GLAND-W2,2.2,2.2,2.2,2.2,0.0,60000,132000,167000,193000.0,392000.0,2.276,2.223333333333333,,,,15364.8,50.0,50.0,34000.0,0.0
2/23/2015,GLAND-W2,2.18,2.18,2.16,2.16,0.0,23504,51000,183000,221000.0,441000.0,2.188,2.2266666666666666,,,,19865.6,50.0,50.0,43600.0,0.0
2/25/2015,GLAND-W2,2.16,2.16,2.14,2.14,-0.93,21502,46000,97000,264000.0,480000.0,2.1800000000000006,2.225,,,,23925.2,42.857142857142854,47.61904761904761,52200.0,0.0
2/26/2015,GLAND-W2,2.16,2.16,2.16,2.16,0.93,300,1000,98000,265000.0,481000.0,2.172,2.225,,,,23505.2,42.857142857142854,46.42857142857143,51400.0,0.0
2/27/2015,GLAND-W2,2.18,2.18,2.18,2.18,0.93,5918,13000,111000,278000.0,494000.0,2.168,2.23,,,,22244.8,42.857142857142854,45.714285714285715,48600.0,0.0
3/5/2015,GLAND-W2,2.04,2.04,2.0,2.0,-8.26,8324,17000,31000,287000.0,388000.0,2.128,2.208333333333333,,,,11909.6,42.857142857142854,44.28571428571429,25600.0,0.0
3/6/2015,GLAND-W2,2.0,2.0,2.0,2.0,0.0,12000,24000,54000,284000.0,412000.0,2.096,2.1933333333333334,,,,9608.8,42.857142857142854,42.857142857142854,20200.0,0.0
3/13/2015,GLAND-W2,2.4,2.4,2.22,2.22,16.84,650,2000,2000,103000.0,349000.0,2.112,2.1866666666666665,,,,5438.4,42.857142857142854,42.857142857142854,11400.0,0.0
3/23/2015,GLAND-W2,1.8,1.8,1.8,1.8,-18.92,1807,3000,3000,46000.0,327000.0,2.04,2.12,,,,5739.8,42.857142857142854,42.857142857142854,11800.0,0.0
3/27/2015,GLAND-W2,1.82,1.82,1.82,1.82,1.11,6900,13000,16000,18000.0,337000.0,1.9680000000000004,2.0900000000000003,,,,5936.2,42.857142857142854,42.857142857142854,11800.0,0.0
