Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,GOLD,7.25,7.3,7.25,7.3,0.0,309800,2255000,13933000,115585000.0,555779000.0,7.3,,,,,309800.0,,
1/6/2015,GOLD,7.2,7.35,7.2,7.2,-1.37,1140900,8290000,18143000,96262000.0,542255000.0,7.25,,,,,725350.0,,
1/7/2015,GOLD,7.2,7.4,7.2,7.35,2.08,617400,4510000,19380000,88393000.0,536879000.0,7.283333333333334,,,,,689366.6666666666,,
1/8/2015,GOLD,7.4,7.5,7.35,7.45,1.36,1018601,7575000,24826000,86661000.0,536175000.0,7.325,,,,,771675.25,,
1/9/2015,GOLD,7.5,7.8,7.45,7.6,2.01,2440900,18667000,41297000,90365000.0,545045000.0,7.38,,,,,1105520.2,,
1/12/2015,GOLD,7.7,7.8,7.6,7.6,0.0,3237600,24981000,64023000,100479000.0,545321000.0,7.44,,,,,1691080.2,,
1/13/2015,GOLD,7.6,7.75,7.5,7.7,1.32,1517400,11627000,67360000,103773000.0,528795000.0,7.540000000000001,,,,,1766380.2,,
1/14/2015,GOLD,7.85,8.0,7.65,7.65,-0.65,4332300,33863000,96713000,130357000.0,544972000.0,7.6,,,,,2509360.2,,
1/15/2015,GOLD,7.65,7.8,7.65,7.65,0.0,1018400,7875000,97013000,131321000.0,536104000.0,7.639999999999999,,,,,2509320.0,,
1/16/2015,GOLD,7.65,7.75,7.6,7.65,0.0,821902,6298000,84644000,133539000.0,536752000.0,7.65,,,,,2185520.4,,
1/19/2015,GOLD,7.8,7.8,7.6,7.6,-0.65,876900,6703000,66366000,136969000.0,534403000.0,7.65,,,,,1713380.4,,
1/20/2015,GOLD,7.65,7.85,7.6,7.7,1.32,1698700,13163000,67902000,148003000.0,541525000.0,7.650000000000001,7.5375000000000005,,,,1749640.4,,
1/21/2015,GOLD,7.75,7.75,7.6,7.65,-0.65,969700,7418000,41457000,153225000.0,537473000.0,7.65,7.566666666666667,,,,1077120.4,,
1/22/2015,GOLD,7.75,7.9,7.6,7.7,0.65,2372300,18365000,51947000,169335000.0,548264000.0,7.660000000000001,7.608333333333334,,,,1347900.4,42.857142857142854,42.857142857142854
1/23/2015,GOLD,7.75,7.95,7.75,7.9,2.6,3089600,24317000,69966000,185362000.0,569025000.0,7.710000000000001,7.654166666666668,,,,1801440.0,50.0,46.42857142857143
1/26/2015,GOLD,7.9,8.0,7.65,7.7,-2.53,2016800,15707000,78970000,196559000.0,577334000.0,7.730000000000001,7.675000000000001,,,,2029420.0,50.0,47.61904761904762
1/27/2015,GOLD,7.8,7.9,7.75,7.8,1.3,2293302,17929000,83736000,206913000.0,477669000.0,7.75,7.691666666666667,,,,2148340.4,50.0,48.214285714285715
1/28/2015,GOLD,7.8,8.45,7.8,8.4,7.69,14859900,122284000,198602000,310530000.0,554438000.0,7.9,7.758333333333334,,,,4926380.4,50.0,48.57142857142857
1/29/2015,GOLD,8.45,8.65,8.3,8.35,-0.6,6261800,52963000,233200000,338512000.0,584286000.0,8.030000000000001,7.8125,,,,5704280.4,42.857142857142854,48.57142857142857
1/30/2015,GOLD,8.4,8.4,8.1,8.1,-2.99,2222200,18306000,227189000,345191000.0,573364000.0,8.07,7.8500000000000005,,,,5530800.4,42.857142857142854,47.142857142857146
2/2/2015,GOLD,8.1,8.4,8.05,8.2,1.23,1570800,13028000,224510000,324356000.0,564657000.0,8.169999999999998,7.895833333333333,,,,5441600.4,42.857142857142854,45.714285714285715
2/3/2015,GOLD,8.35,8.5,8.3,8.3,1.22,2915801,24474000,231055000,340955000.0,573928000.0,8.27,7.949999999999999,,,,5566100.2,50.0,45.714285714285715
2/4/2015,GOLD,8.35,8.45,8.3,8.3,0.0,2058500,17204000,125975000,351861000.0,563519000.0,8.25,8.008333333333333,,,,3005820.2,50.0,45.71428571428571
2/5/2015,GOLD,8.3,8.45,8.25,8.4,1.2,2317600,19401000,92413000,364559000.0,570541000.0,8.26,8.066666666666666,,,,2216980.2,57.14285714285714,48.57142857142857
2/6/2015,GOLD,8.55,8.65,8.4,8.55,1.79,3599505,30743000,104850000,382139000.0,591977000.0,8.35,8.141666666666667,,,,2492441.2,64.28571428571428,52.857142857142854
2/9/2015,GOLD,8.55,8.7,8.45,8.6,0.58,4394500,37762000,129584000,412483000.0,614776000.0,8.43,8.216666666666667,7.861538461538463,0.3594017094017081,0.3594017094017081,3057181.2,64.28571428571428,57.14285714285713
2/10/2015,GOLD,8.6,8.65,8.5,8.5,-1.16,1643166,14021000,119131000,408139000.0,613930000.0,8.47,8.266666666666666,7.907692307692309,0.35099715099714857,0.35519943019942835,2802654.2,64.28571428571428,60.0
2/11/2015,GOLD,8.55,8.7,8.4,8.4,-1.18,2937000,25062000,126989000,408884000.0,630659000.0,8.49,8.325,7.953846153846156,0.34964387464387237,0.35334757834757635,2978354.2,57.14285714285714,61.42857142857142
2/12/2015,GOLD,8.4,8.5,8.35,8.4,0.0,1097400,9237000,116825000,402414000.0,632617000.0,8.489999999999998,8.375,7.9942307692307715,0.3545584045584036,0.35365028490028316,2734314.2,50.0,60.0
2/13/2015,GOLD,8.45,8.5,8.35,8.35,-0.6,1198124,10088000,96170000,394573000.0,635794000.0,8.45,8.370833333333334,8.028846153846155,0.31499287749287674,0.3459188034188019,2254038.0,50.0,57.14285714285713
2/16/2015,GOLD,8.45,8.6,8.3,8.3,-0.6,2639700,22256000,80664000,294545000.0,653970000.0,8.39,8.366666666666665,8.055769230769233,0.2825498575498546,0.3305484330484312,1903078.0,42.857142857142854,52.857142857142854
2/17/2015,GOLD,8.35,8.45,7.95,7.95,-4.22,4548000,37051000,103694000,278633000.0,687748000.0,8.280000000000001,8.354166666666666,8.069230769230769,0.23158831908831878,0.3066666666666652,2484044.8,35.71428571428572,47.142857142857146
2/18/2015,GOLD,7.95,8.25,7.95,8.05,1.26,2003400,16260000,94892000,276587000.0,701879000.0,8.209999999999999,8.341666666666667,8.082692307692309,0.21652421652421694,0.28004273504273414,2297324.8,42.857142857142854,44.28571428571429
2/19/2015,GOLD,8.1,8.15,8.05,8.1,0.62,362200,2934000,88589000,266493000.0,702617000.0,8.15,8.325,8.100000000000001,0.1903846153846125,0.2472079772079759,2150284.8,50.0,44.28571428571429
