Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,GSTEL-W1,0.07,0.07,0.07,0.07,0.0,7400000,518000,1574000,4618000.0,22862000.0,0.07,,,,,7400000.0,,,518000.0,0.0
1/6/2015,GSTEL-W1,0.07,0.08,0.06,0.07,0.0,7893900,553000,1998000,3901000.0,23001000.0,0.07,,,,,7646950.0,,,535500.0,0.0
1/7/2015,GSTEL-W1,0.07,0.07,0.07,0.07,0.0,5890000,412000,2363000,4078000.0,22812000.0,0.07,,,,,7061300.0,,,494333.33333333326,0.0
1/8/2015,GSTEL-W1,0.07,0.07,0.07,0.07,0.0,557524,39000,2379000,3372000.0,22558000.0,0.07,,,,,5435356.0,,,380500.0,0.0
1/9/2015,GSTEL-W1,0.08,0.08,0.06,0.06,-14.29,2666065,184000,1706000,3364000.0,21269000.0,0.068,,,,,4881497.8,,,341200.0,0.0
1/12/2015,GSTEL-W1,0.07,0.07,0.06,0.06,0.0,1300102,91000,1279000,3420000.0,20673000.0,0.066,,,,,3661518.2,,,255800.0,0.0
1/13/2015,GSTEL-W1,0.06,0.08,0.06,0.07,16.67,3353001,232000,958000,3552000.0,20072000.0,0.066,,,,,2753338.4,,,191600.0,0.0
1/14/2015,GSTEL-W1,0.08,0.08,0.07,0.07,0.0,10744633,758000,1304000,3859000.0,20147000.0,0.066,,,,,3724265.0,,,260800.0,0.0
1/15/2015,GSTEL-W1,0.07,0.08,0.07,0.07,0.0,912766,68000,1333000,3911000.0,18909000.0,0.066,,,,,3795313.4,,,266600.0,0.0
1/16/2015,GSTEL-W1,0.07,0.08,0.07,0.08,14.29,3238166,236000,1385000,4018000.0,18838000.0,0.07,,,,,3909733.6,,,277000.0,0.0
1/19/2015,GSTEL-W1,0.08,0.08,0.07,0.07,-12.5,1906869,135000,1429000,4106000.0,18941000.0,0.07200000000000001,,,,,4031087.0,,,285800.0,0.0
1/20/2015,GSTEL-W1,0.07,0.08,0.07,0.08,14.29,5955200,417000,1614000,4500000.0,18668000.0,0.07400000000000001,0.06999999999999999,,,,4551526.8,,,322800.0,0.0
1/21/2015,GSTEL-W1,0.07,0.08,0.07,0.07,-12.5,947266,71000,927000,3714000.0,18502000.0,0.07400000000000001,0.06999999999999999,,,,2592053.4,,,185400.0,0.0
1/22/2015,GSTEL-W1,0.07,0.08,0.06,0.08,14.29,3715940,252000,1111000,3448000.0,18702000.0,0.07600000000000001,0.07083333333333333,,,,3152688.2,28.57142857142857,28.57142857142857,222200.0,0.0
1/23/2015,GSTEL-W1,0.07,0.08,0.07,0.08,0.0,8074244,569000,1444000,3464000.0,19218000.0,0.07600000000000001,0.07166666666666666,,,,4119903.8,28.57142857142857,28.57142857142857,288800.0,0.0
1/26/2015,GSTEL-W1,0.07,0.07,0.07,0.07,-12.5,1600166,112000,1421000,3164000.0,18367000.0,0.07600000000000001,0.07166666666666667,,,,4058563.2,28.57142857142857,28.57142857142857,284200.0,0.0
1/27/2015,GSTEL-W1,0.07,0.08,0.06,0.06,-14.29,6629500,464000,1468000,3589000.0,18227000.0,0.07200000000000001,0.07166666666666667,,,,4193423.2,28.57142857142857,28.57142857142857,293600.0,0.0
1/28/2015,GSTEL-W1,0.06,0.07,0.06,0.06,0.0,9847566,679000,2076000,4084000.0,18144000.0,0.07,0.07166666666666667,,,,5973483.2,28.57142857142857,28.57142857142857,415200.0,0.0
1/29/2015,GSTEL-W1,0.06,0.07,0.06,0.06,0.0,5692600,342000,2166000,4335000.0,18268000.0,0.066,0.07083333333333335,,,,6368815.2,28.57142857142857,28.57142857142857,433200.0,0.0
1/30/2015,GSTEL-W1,0.07,0.07,0.06,0.07,16.67,11912000,827000,2424000,4930000.0,17899000.0,0.064,0.07083333333333336,,,,7136366.4,35.714285714285715,30.0,484800.0,0.0
2/2/2015,GSTEL-W1,0.07,0.07,0.06,0.06,-14.29,770000,48000,2360000,4220000.0,11372000.0,0.062,0.07000000000000002,,,,6970333.2,28.57142857142857,30.0,472000.0,0.0
2/3/2015,GSTEL-W1,0.06,0.07,0.06,0.06,0.0,1143800,69000,1965000,4221000.0,11176000.0,0.062,0.06833333333333336,,,,5873193.2,28.57142857142857,30.0,393000.0,0.0
2/4/2015,GSTEL-W1,0.06,0.07,0.06,0.06,0.0,15667533,940000,2226000,4925000.0,10846000.0,0.062,0.06750000000000002,,,,7037186.6,28.57142857142857,30.0,445200.0,0.0
2/5/2015,GSTEL-W1,0.06,0.07,0.06,0.07,16.67,1154200,77000,1961000,4867000.0,10688000.0,0.064,0.0666666666666667,,,,6129506.6,28.57142857142857,30.0,392200.0,0.0
2/6/2015,GSTEL-W1,0.07,0.07,0.06,0.07,0.0,687900,48000,1182000,4498000.0,9991000.0,0.064,0.0666666666666667,,,,3884686.6,28.57142857142857,28.57142857142857,236400.0,0.0
2/9/2015,GSTEL-W1,0.07,0.07,0.07,0.07,0.0,700000,49000,1183000,4476000.0,9848000.0,0.066,0.06583333333333335,0.06846153846153848,-0.0021011396011395983,-0.0021011396011395983,3870686.6,21.42857142857143,27.142857142857146,236600.0,0.0
