Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
3/23/2016,GTB,2.04,2.18,1.81,1.81,57.39,990029142,2000469390,2000469390,2000469390.0,2000469390.0,1.81,,,,,990029142.0,,,2000469390.0,0.0
3/24/2016,GTB,1.79,1.84,1.66,1.67,-7.73,153124199,270322930,2270792320,2270792320.0,2270792320.0,1.74,,,,,571576670.5,,,1135396160.0,0.0
3/25/2016,GTB,1.73,1.8,1.7,1.79,7.19,200222110,350549720,2621342040,2621342040.0,2621342040.0,1.7566666666666666,,,,,447791817.0,,,873780680.0,0.0
3/28/2016,GTB,1.8,1.82,1.66,1.66,-7.26,124647812,217881080,2839223120,2839223120.0,2839223120.0,1.7325,,,,,367005815.75,,,709805780.0,0.0
3/29/2016,GTB,1.68,1.74,1.68,1.7,2.41,93307230,158906260,2998129380,2998129380.0,2998129380.0,1.7259999999999998,,,,,312266098.6,,,599625876.0,0.0
3/30/2016,GTB,1.71,1.72,1.67,1.67,-1.76,30196579,51112570,1048772560,3049241950.0,3049241950.0,1.6980000000000002,,,,,120299586.0,,,209754512.0,0.0
3/31/2016,GTB,1.68,1.71,1.68,1.69,1.2,37457690,63420500,841870130,3112662450.0,3112662450.0,1.702,,,,,97166284.2,,,168374026.0,0.0
4/1/2016,GTB,1.68,1.7,1.67,1.68,-0.59,14890941,25019070,516339480,3137681520.0,3137681520.0,1.6799999999999995,,,,,60100050.4,,,103267896.0,0.0
4/4/2016,GTB,1.7,1.78,1.7,1.77,5.36,151044011,263905640,562364040,3401587160.0,3401587160.0,1.702,,,,,65379290.2,,,112472808.0,0.0
4/5/2016,GTB,1.76,1.77,1.69,1.69,-4.52,73853410,128271700,531729480,3529858860.0,3529858860.0,1.7,,,,,61488526.2,,,106345896.0,0.0
4/8/2016,GTB,1.55,1.6,1.54,1.59,3.92,34662900,54536100,535153010,3584394960.0,3584394960.0,1.6840000000000002,,,,,62381790.4,,,107030602.0,0.0
4/11/2016,GTB,1.58,1.6,1.55,1.6,0.63,35661663,56264140,527996650,3640659100.0,3640659100.0,1.666,1.6933333333333334,,,,62022585.0,,,105599330.0,0.0
4/12/2016,GTB,1.6,1.62,1.57,1.57,-1.88,23657341,37552140,540529720,3678211240.0,3678211240.0,1.6440000000000001,1.6733333333333336,,,,63775865.0,,,108105944.0,0.0
4/18/2016,GTB,1.57,1.61,1.56,1.57,0.0,17720533,28083610,304707690,1705825460.0,3706294850.0,1.6040000000000003,1.665,,,,37111169.4,50.0,50.0,60941538.0,0.0
4/19/2016,GTB,1.58,1.63,1.58,1.59,1.27,45085607,72594530,249030520,1508097060.0,3778889380.0,1.584,1.6483333333333332,,,,31357608.8,50.0,50.0,49806104.0,0.0
4/20/2016,GTB,1.59,1.63,1.58,1.59,0.0,26808000,42955540,237449960,1200502880.0,3821844920.0,1.584,1.6424999999999998,,,,29786628.8,50.0,50.0,47489992.0,0.0
4/21/2016,GTB,1.61,1.61,1.59,1.59,0.0,9688100,15477990,196663810,998099790.0,3837322910.0,1.582,1.6333333333333335,,,,24591916.2,42.857142857142854,48.214285714285715,39332762.0,0.0
4/22/2016,GTB,1.6,1.62,1.59,1.6,0.63,14544000,23288400,182400070,862481930.0,3860611310.0,1.588,1.6275000000000002,,,,22769248.0,50.0,48.57142857142857,36480014.0,0.0
4/25/2016,GTB,1.61,1.64,1.59,1.59,-0.62,35760000,57790000,212106460,869159360.0,3918401310.0,1.592,1.6191666666666669,,,,26377141.4,42.857142857142854,47.14285714285714,42421292.0,0.0
4/26/2016,GTB,1.6,1.61,1.58,1.59,0.0,11298500,17989970,157501900,823728830.0,3936391280.0,1.592,1.6116666666666666,,,,19619720.0,42.857142857142854,45.714285714285715,31500380.0,0.0
4/27/2016,GTB,1.59,1.68,1.58,1.68,5.66,119474200,195939230,310485590,994648990.0,4132330510.0,1.61,1.6041666666666667,,,,38152960.0,42.857142857142854,44.28571428571429,62097118.0,0.0
4/29/2016,GTB,1.63,1.64,1.6,1.6,-1.23,16630164,26897240,321904840,757640590.0,4159227750.0,1.612,1.596666666666667,,,,39541372.8,42.857142857142854,44.28571428571429,64380968.0,0.0
5/3/2016,GTB,1.6,1.61,1.59,1.59,-0.62,7449185,11901950,310518390,641270840.0,4171129700.0,1.61,1.596666666666667,,,,38122409.8,35.714285714285715,41.42857142857143,62103678.0,0.0
5/9/2016,GTB,1.57,1.59,1.49,1.51,-3.82,18992500,29056480,281784870,615791220.0,4200186180.0,1.594,1.5891666666666666,,,,34768909.8,35.714285714285715,40.0,56356974.0,0.0
5/10/2016,GTB,1.51,1.51,1.43,1.43,-5.3,22353904,32691790,296486690,592218870.0,4232877970.0,1.5619999999999998,1.5775,,,,36979990.6,28.57142857142857,37.142857142857146,59297338.0,0.0
