Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
12/6/2017,GULF,57.5,59.5,52.25,53.75,19.44,350378166,18366186060,18366186060,18366186060.0,18366186060.0,53.75,,,,,350378166.0,,
12/7/2017,GULF,54.0,54.0,50.75,51.0,-5.12,53041780,2782572560,21148758620,21148758620.0,21148758620.0,52.375,,,,,201709973.0,,
12/8/2017,GULF,52.25,55.25,52.25,54.75,7.35,59418769,3203057420,24351816040,24351816040.0,24351816040.0,53.166666666666664,,,,,154279571.66666666,,
12/12/2017,GULF,55.0,55.0,52.75,52.75,-3.65,31782427,1701763900,26053579940,26053579940.0,26053579940.0,53.0625,,,,,123655285.5,,
12/13/2017,GULF,53.0,54.25,52.25,54.0,2.37,22445673,1197664320,27251244260,27251244260.0,27251244260.0,53.25,,,,,103413363.0,,
12/14/2017,GULF,53.75,54.0,53.25,53.25,-1.39,12906947,690743290,9575801490,27941987550.0,27941987550.0,53.15,,,,,35919119.2,,
12/15/2017,GULF,53.5,54.5,53.25,54.0,1.41,13022071,701607740,7494836670,28643595290.0,28643595290.0,53.75,,,,,27915177.4,,
12/18/2017,GULF,54.0,55.75,53.5,55.25,2.31,42128158,2320467430,6612246680,30964062720.0,30964062720.0,53.85,,,,,24457055.2,,
12/19/2017,GULF,55.25,56.25,55.0,55.25,0.0,40156837,2237784190,7148266970,33201846910.0,33201846910.0,54.35,,,,,26131937.2,,
12/20/2017,GULF,55.25,55.5,54.5,55.0,-0.45,10271920,564572040,6515174690,33766418950.0,33766418950.0,54.55,,,,,23697186.6,,
12/21/2017,GULF,54.75,55.75,54.75,55.5,0.91,10497691,580829690,6405261090,34347248640.0,34347248640.0,55.0,,,,,23215335.4,,
12/22/2017,GULF,55.5,56.0,55.25,55.75,0.45,10326440,574167020,6277820370,34921415660.0,34921415660.0,55.35,54.1875,,,,22676209.2,,
12/25/2017,GULF,55.75,58.5,55.75,58.5,4.93,45094429,2571354670,6528707610,37492770330.0,37492770330.0,56.0,54.583333333333336,,,,23269463.4,,
12/26/2017,GULF,58.5,60.0,58.25,59.5,1.71,28624269,1695655890,5986579310,20822240160.0,39188426220.0,56.85,55.291666666666664,,,,20962949.8,64.28571428571428,64.28571428571428
12/27/2017,GULF,59.75,64.25,59.75,62.75,5.46,48108565,3003816350,8425823620,21043483950.0,42192242570.0,58.4,55.958333333333336,,,,28530278.8,64.28571428571428,64.28571428571428
12/28/2017,GULF,63.25,64.0,60.75,62.25,-0.8,30071638,1863805270,9708799200,19704231800.0,44056047840.0,59.75,56.75,,,,32445068.2,64.28571428571428,64.28571428571428
12/29/2017,GULF,62.5,65.0,62.25,65.0,4.42,46301282,2955920970,12090553150,20958388870.0,47011968810.0,61.6,57.666666666666664,,,,39640036.6,64.28571428571428,64.28571428571428
