Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
11/7/2016,HARN,2.48,2.52,2.44,2.46,-0.81,529900,1309930,1309930,1309930.0,1309930.0,2.46,,,,,529900.0,,
11/8/2016,HARN,2.44,2.46,2.44,2.44,-0.81,779100,1903750,3213680,3213680.0,3213680.0,2.45,,,,,654500.0,,
11/9/2016,HARN,2.42,2.46,2.42,2.46,0.82,1087000,2651460,5865140,5865140.0,5865140.0,2.4533333333333336,,,,,798666.6666666666,,
11/10/2016,HARN,2.48,2.5,2.46,2.5,1.63,346500,857260,6722400,6722400.0,6722400.0,2.465,,,,,685625.0,,
11/11/2016,HARN,2.5,2.5,2.44,2.46,-1.6,760600,1873230,8595630,8595630.0,8595630.0,2.464,,,,,700620.0,,
11/14/2016,HARN,2.42,2.46,2.4,2.42,-1.63,545600,1321900,8607600,9917530.0,9917530.0,2.456,,,,,703760.0,,
11/15/2016,HARN,2.44,2.46,2.42,2.44,0.83,359401,878950,7582800,10796480.0,10796480.0,2.456,,,,,619820.2,,
11/16/2016,HARN,2.48,2.56,2.44,2.5,2.46,3108900,7841370,12772710,18637850.0,18637850.0,2.464,,,,,1024200.2,,
11/18/2016,HARN,2.44,2.46,2.44,2.46,0.0,239800,589540,12504990,19227390.0,19227390.0,2.4560000000000004,,,,,1002860.2,,
11/21/2016,HARN,2.46,2.58,2.46,2.56,4.07,3767000,9560410,20192170,28787800.0,28787800.0,2.476,,,,,1604140.2,,
11/22/2016,HARN,2.52,2.6,2.52,2.54,-0.78,1060400,2733640,21603910,31521440.0,31521440.0,2.5,,,,,1707100.2,,
11/23/2016,HARN,2.58,2.62,2.58,2.6,2.36,1536900,3987680,24712640,35509120.0,35509120.0,2.5319999999999996,2.486666666666667,,,,1942600.0,,
11/24/2016,HARN,2.6,2.64,2.56,2.62,0.77,1524210,3980430,20851700,39489550.0,39489550.0,2.556,2.5,,,,1625662.0,,
11/25/2016,HARN,2.64,2.8,2.62,2.74,4.58,6415710,17442550,37704710,55622170.0,56932100.0,2.612,2.525,,,,2860844.0,57.14285714285714,57.14285714285714
11/28/2016,HARN,2.74,3.06,2.7,2.84,3.65,10227674,29620940,57765240,83339360.0,86553040.0,2.668,2.556666666666667,,,,4152978.8,64.28571428571428,60.71428571428571
