Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,HPF,9.7,9.7,9.55,9.7,2.11,10100,96000,2145000,3363000.0,4020000.0,9.7,,,,,10100.0,,
1/6/2015,HPF,9.5,9.65,9.5,9.5,-2.06,1049200,9967000,12074000,13200000.0,13838000.0,9.6,,,,,529650.0,,
1/7/2015,HPF,9.5,9.5,9.5,9.5,0.0,20000,190000,10381000,13386000.0,14027000.0,9.566666666666666,,,,,359766.6666666667,,
1/12/2015,HPF,9.45,9.5,9.45,9.45,-0.53,5200,49000,10206000,12513000.0,14065000.0,9.5375,,,,,271125.0,,
1/13/2015,HPF,9.4,9.4,9.4,9.4,-0.53,60800,572000,811000,12923000.0,14637000.0,9.51,,,,,229060.0,,
1/14/2015,HPF,9.35,9.45,9.35,9.4,0.0,1903500,17893000,18514000,30816000.0,32525000.0,9.45,,,,,607740.0,,
1/15/2015,HPF,9.4,9.4,9.35,9.35,-0.53,520000,4862000,23376000,35678000.0,37386000.0,9.42,,,,,501900.0,,
1/16/2015,HPF,9.45,9.45,9.45,9.45,1.07,100,1000,23377000,35641000.0,37387000.0,9.41,,,,,497920.0,,
1/19/2015,HPF,9.5,9.5,9.5,9.5,0.53,100,1000,23329000,33759000.0,37388000.0,9.419999999999998,,,,,496900.0,,
1/23/2015,HPF,9.35,9.5,9.35,9.5,0.0,200,2000,3000,23570000.0,37364000.0,9.440000000000001,,,,,484780.0,,
1/26/2015,HPF,9.4,9.4,9.4,9.4,-1.05,7700,72000,74000,23452000.0,37436000.0,9.44,,,,,105620.0,,
1/27/2015,HPF,9.6,9.6,9.6,9.6,2.13,100,1000,75000,23453000.0,37419000.0,9.49,9.479166666666666,,,,1640.0,,
2/3/2015,HPF,9.5,9.5,9.35,9.5,-1.04,14300,134000,134000,211000.0,37107000.0,9.5,9.4625,,,,4480.0,,
2/4/2015,HPF,9.65,9.65,9.35,9.5,0.0,13600,127000,261000,337000.0,37104000.0,9.5,9.4625,,,,7180.0,28.57142857142857,28.57142857142857
2/5/2015,HPF,9.55,9.55,9.35,9.35,-1.58,6101,57000,318000,393000.0,37157000.0,9.47,9.45,,,,8360.2,21.42857142857143,25.0
2/6/2015,HPF,9.3,9.3,9.3,9.3,-0.53,7700,72000,390000,465000.0,37156000.0,9.45,9.437499999999998,,,,8360.2,21.42857142857143,23.80952380952381
2/9/2015,HPF,9.3,9.5,9.2,9.5,2.15,10000,94000,484000,559000.0,36401000.0,9.430000000000001,9.445833333333333,,,,10340.2,28.57142857142857,25.0
2/13/2015,HPF,9.5,9.5,9.5,9.5,0.0,110000,1045000,1139000,1529000.0,37284000.0,9.430000000000001,9.454166666666666,,,,29480.2,28.57142857142857,25.71428571428571
2/16/2015,HPF,9.65,9.65,9.5,9.5,0.0,19000,182000,1227000,1711000.0,37428000.0,9.43,9.466666666666667,,,,30560.2,28.57142857142857,25.71428571428571
2/17/2015,HPF,9.5,9.5,9.5,9.5,0.0,4000,38000,1265000,1749000.0,35583000.0,9.459999999999999,9.470833333333333,,,,30140.0,28.57142857142857,27.142857142857146
2/18/2015,HPF,9.5,9.5,9.5,9.5,0.0,1500,14000,1279000,1763000.0,35597000.0,9.5,9.470833333333333,,,,28900.0,28.57142857142857,28.571428571428566
2/19/2015,HPF,9.5,9.5,9.5,9.5,0.0,1600,15000,1294000,1778000.0,35484000.0,9.5,9.470833333333333,,,,27220.0,21.42857142857143,27.142857142857146
2/23/2015,HPF,9.5,9.5,9.4,9.4,-1.05,50500,475000,542000,1992000.0,25896000.0,9.48,9.470833333333333,,,,15320.0,14.285714285714292,24.285714285714285
2/26/2015,HPF,9.35,9.35,9.35,9.35,-0.53,2700,25000,500000,1794000.0,25731000.0,9.45,9.450000000000001,,,,12060.0,14.285714285714292,21.42857142857143
2/27/2015,HPF,9.45,9.45,9.45,9.45,1.07,100,1000,501000,1795000.0,25683000.0,9.440000000000001,9.445833333333335,,,,11280.0,21.42857142857143,20.000000000000004
3/2/2015,HPF,9.4,9.4,9.25,9.25,-2.12,2100,19000,45000,1814000.0,25130000.0,9.39,9.425,9.455769230769231,-0.04245014245014289,-0.04245014245014289,11400.0,14.285714285714292,17.142857142857146
3/3/2015,HPF,9.3,9.4,9.2,9.25,0.0,14600,136000,181000,1950000.0,7373000.0,9.34,9.416666666666666,9.438461538461539,-0.03347578347578484,-0.037962962962963864,14000.0,14.285714285714292,15.714285714285719
3/5/2015,HPF,9.25,9.25,9.25,9.25,0.0,14500,134000,315000,1039000.0,2645000.0,9.309999999999999,9.4125,9.428846153846154,-0.028098290598290276,-0.034674738841406004,6800.0,14.285714285714292,15.714285714285719
3/6/2015,HPF,9.25,9.25,9.2,9.2,-0.54,16300,150000,440000,1007000.0,2794000.0,9.280000000000001,9.387500000000001,9.417307692307691,-0.04255698005698072,-0.03664529914529968,9520.0,14.285714285714292,15.714285714285719
3/9/2015,HPF,9.2,9.25,9.1,9.25,0.54,5700,52000,491000,1021000.0,2845000.0,9.24,9.366666666666667,9.409615384615384,-0.04907407407407227,-0.0391310541310542,10640.0,21.42857142857143,15.714285714285719
3/10/2015,HPF,9.25,9.25,9.25,9.25,0.0,400,4000,476000,1011000.0,2849000.0,9.24,9.345833333333333,9.403846153846153,-0.06136039886039946,-0.042913105413105515,10300.0,14.285714285714292,15.714285714285719
3/11/2015,HPF,9.2,9.2,9.2,9.2,-0.54,5500,51000,391000,1047000.0,2900000.0,9.23,9.320833333333335,9.396153846153844,-0.0793803418803396,-0.05209401709401647,8480.0,14.285714285714292,15.714285714285719
3/12/2015,HPF,9.2,9.2,9.2,9.2,0.0,42600,392000,649000,1439000.0,3292000.0,9.219999999999999,9.295833333333334,9.390384615384614,-0.09519230769230624,-0.06551282051281966,14100.0,14.285714285714292,15.714285714285719
3/17/2015,HPF,9.15,9.15,9.15,9.15,-0.54,62400,571000,1014000,1535000.0,3788000.0,9.209999999999999,9.266666666666667,9.378846153846151,-0.11317663817663437,-0.0796367521367504,23320.0,14.285714285714292,15.714285714285719
3/20/2015,HPF,9.2,9.2,9.2,9.2,0.55,9700,89000,660000,1579000.0,3877000.0,9.2,9.250000000000002,9.36730769230769,-0.11260683760683499,-0.09234330484330293,24120.0,21.42857142857143,15.714285714285719
3/25/2015,HPF,9.2,9.2,9.2,9.2,0.0,5000,46000,135000,1205000.0,3662000.0,9.190000000000001,9.237500000000002,9.355769230769228,-0.11249999999999716,-0.10257122507122247,25040.0,21.42857142857143,17.142857142857146
