Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
12/8/2017,HUMAN,7.0,8.05,6.7,8.05,101.25,375777133,2733845750,2733845750,2733845750.0,2733845750.0,8.05,,,,,375777133.0,,
12/12/2017,HUMAN,7.95,9.0,7.65,8.6,6.83,276261525,2321940050,5055785800,5055785800.0,5055785800.0,8.325,,,,,326019329.0,,
12/13/2017,HUMAN,8.5,8.65,7.85,8.0,-6.98,94357043,772904160,5828689960,5828689960.0,5828689960.0,8.216666666666667,,,,,248798567.0,,
12/14/2017,HUMAN,8.0,8.15,7.85,7.9,-1.25,31707960,253394790,6082084750,6082084750.0,6082084750.0,8.1375,,,,,194525915.25,,
12/15/2017,HUMAN,7.6,7.6,7.25,7.45,-5.7,35536198,265862070,6347946820,6347946820.0,6347946820.0,8.0,,,,,162727971.8,,
12/18/2017,HUMAN,7.5,7.95,7.05,7.95,6.71,10960600,83781280,3697882350,6431728100.0,6431728100.0,7.9799999999999995,,,,,89764665.2,,
12/19/2017,HUMAN,7.95,8.1,7.7,7.85,-1.26,5332850,42242270,1418184570,6473970370.0,6473970370.0,7.83,,,,,35578930.2,,
12/20/2017,HUMAN,7.9,8.3,7.8,8.2,4.46,9162862,74413950,719694360,6548384320.0,6548384320.0,7.869999999999999,,,,,18540094.0,,
12/21/2017,HUMAN,8.2,8.2,8.0,8.0,-2.44,3873430,31260160,497559730,6579644480.0,6579644480.0,7.890000000000001,,,,,12973188.0,,
12/22/2017,HUMAN,8.0,8.45,8.0,8.4,5.0,8918941,73891600,305589260,6653536080.0,6653536080.0,8.08,,,,,7649736.6,,
12/25/2017,HUMAN,8.45,8.45,8.0,8.15,-2.98,3982400,32585200,254393180,6686121280.0,6686121280.0,8.12,,,,,6254096.6,,
