Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,HYDRO,2.4,2.46,2.32,2.42,0.83,233100,557000,1924000,14642000.0,95594000.0,2.42,,,,,233100.0,,,557000.0,0.0
1/6/2015,HYDRO,2.42,2.42,2.36,2.4,-0.83,278812,668000,2026000,10368000.0,91405000.0,2.41,,,,,255956.0,,,612500.0,0.0
1/7/2015,HYDRO,2.4,2.48,2.4,2.46,2.5,725600,1782000,3566000,11289000.0,90434000.0,2.4266666666666667,,,,,412504.0,,,1002333.3333333335,0.0
1/8/2015,HYDRO,2.5,2.5,2.46,2.46,0.0,556200,1374000,4684000,11962000.0,81387000.0,2.435,,,,,448428.0,,,1095250.0,0.0
1/9/2015,HYDRO,2.46,2.6,2.46,2.54,3.25,568000,1450000,5831000,11442000.0,81626000.0,2.4560000000000004,,,,,472342.4,,,1166200.0,0.0
1/12/2015,HYDRO,2.58,2.58,2.52,2.52,-0.79,603700,1533000,6807000,11680000.0,81632000.0,2.476,,,,,546462.4,,,1361400.0,0.0
1/13/2015,HYDRO,2.48,2.56,2.48,2.54,0.79,296300,742000,6881000,10934000.0,80610000.0,2.504,,,,,549960.0,,,1376200.0,0.0
1/14/2015,HYDRO,2.58,2.66,2.54,2.6,2.36,1200900,3121000,8220000,13060000.0,82102000.0,2.532,,,,,645020.0,,,1644000.0,0.0
1/15/2015,HYDRO,2.64,2.8,2.62,2.78,6.92,2847901,7757000,14603000,20351000.0,77352000.0,2.596,,,,,1103360.2,,,2920600.0,0.0
1/16/2015,HYDRO,2.9,3.34,2.88,3.16,13.67,38645763,121354000,134507000,141139000.0,196076000.0,2.72,,,,,8718912.8,,,26901400.0,0.0
1/19/2015,HYDRO,3.16,3.3,3.08,3.08,-2.53,15631700,49888000,182862000,190785000.0,243943000.0,2.832,,,,,11724512.8,,,36572400.0,0.0
1/20/2015,HYDRO,3.14,3.54,3.12,3.3,7.14,34198624,113902000,296022000,304431000.0,356390000.0,2.9839999999999995,2.688333333333333,,,,18504977.6,,,59204400.0,0.0
1/21/2015,HYDRO,3.3,3.66,3.24,3.48,5.45,54663574,192720000,485621000,496848000.0,548015000.0,3.16,2.776666666666667,,,,29197512.4,,,97124200.0,0.0
1/22/2015,HYDRO,3.58,3.64,3.32,3.46,-0.57,11746301,41338000,519202000,537629000.0,583716000.0,3.2960000000000003,2.865,,,,30977192.4,64.28571428571428,64.28571428571428,103840400.0,0.0
1/23/2015,HYDRO,3.52,3.56,3.3,3.3,-4.62,6904700,23640000,421488000,560601000.0,606369000.0,3.3240000000000003,2.935,,,,24628979.8,57.14285714285714,60.71428571428571,84297600.0,0.0
1/26/2015,HYDRO,3.16,3.2,3.0,3.04,-7.88,3048680,9421000,381021000,568240000.0,614162000.0,3.3160000000000003,2.983333333333333,,,,22112375.8,57.14285714285714,59.52380952380952,76204200.0,0.0
1/27/2015,HYDRO,3.0,3.1,3.0,3.04,0.0,661610,2018000,269137000,568884000.0,615314000.0,3.264,3.0250000000000004,,,,15404973.0,50.0,57.14285714285714,53827400.0,0.0
1/28/2015,HYDRO,3.06,3.06,2.92,2.96,-2.63,1109700,3317000,79734000,570751000.0,600194000.0,3.16,3.061666666666667,,,,4694198.2,50.0,55.71428571428571,15946800.0,0.0
1/29/2015,HYDRO,2.96,3.0,2.84,2.88,-2.7,2295802,6668000,45064000,575886000.0,603678000.0,3.0439999999999996,3.09,,,,2804098.4,42.857142857142854,51.42857142857142,9012800.0,0.0
1/30/2015,HYDRO,2.92,2.92,2.68,2.78,-3.47,2609100,7236000,28660000,582380000.0,609141000.0,2.9399999999999995,3.1050000000000004,,,,1944978.4,42.857142857142854,48.57142857142857,5732000.0,0.0
2/2/2015,HYDRO,2.7,2.8,2.7,2.78,0.0,297600,822000,20061000,580081000.0,607176000.0,2.8879999999999995,3.105,,,,1394762.4,35.714285714285715,44.28571428571429,4012200.0,0.0
2/3/2015,HYDRO,2.8,2.96,2.8,2.94,5.76,1212001,3514000,21557000,575838000.0,608907000.0,2.8679999999999994,3.0866666666666664,,,,1504840.6,35.714285714285715,41.42857142857143,4311400.0,0.0
2/4/2015,HYDRO,3.0,3.06,2.96,3.02,2.72,2348903,7089000,25329000,461573000.0,611054000.0,2.88,3.081666666666667,,,,1752681.2,35.714285714285715,38.571428571428584,5065800.0,0.0
2/5/2015,HYDRO,3.0,3.06,2.94,3.02,0.0,538010,1613000,20274000,413298000.0,611806000.0,2.908,3.0583333333333336,,,,1401122.8,28.57142857142857,35.714285714285715,4054800.0,0.0
2/6/2015,HYDRO,3.06,3.3,3.0,3.24,7.28,4887308,15512000,28550000,314908000.0,626617000.0,3.0,3.0383333333333336,,,,1856764.4,35.714285714285715,34.285714285714285,5710000.0,0.0
2/9/2015,HYDRO,3.24,3.26,3.08,3.08,-4.94,1610008,5083000,32811000,127271000.0,629730000.0,3.06,3.0066666666666664,2.8953846153846152,0.10888888888888948,0.10888888888888948,2119246.0,28.57142857142857,32.857142857142854,6562200.0,0.0
2/10/2015,HYDRO,3.12,3.28,3.08,3.26,5.84,4654290,14854000,44151000,100787000.0,643289000.0,3.124,3.0033333333333325,2.927692307692308,0.0905128205128194,0.09970085470085444,2807703.8,28.57142857142857,31.428571428571434,8830200.0,0.0
2/11/2015,HYDRO,3.2,3.22,3.08,3.12,-4.29,2778600,8770000,45832000,85917000.0,650571000.0,3.1439999999999997,3.01,2.955384615384616,0.05934472934472845,0.0862488129154791,2893643.2,28.57142857142857,30.0,9166400.0,0.0
2/12/2015,HYDRO,3.14,3.16,3.06,3.14,0.64,861900,2683000,46902000,79179000.0,652259000.0,3.168,3.0183333333333326,2.981538461538462,0.04377492877492761,0.07563034188034122,2958421.2,35.714285714285715,31.428571428571434,9380400.0,0.0
2/13/2015,HYDRO,3.1,3.2,3.06,3.1,-1.27,1397702,4346000,35736000,81507000.0,656139000.0,3.14,3.03,3.0061538461538464,0.027663817663817092,0.06603703703703641,2260500.0,35.714285714285715,31.428571428571434,7147200.0,0.0
2/16/2015,HYDRO,3.1,3.14,3.02,3.02,-2.58,1051400,3207000,33860000,81397000.0,658780000.0,3.128,3.0416666666666665,3.024615384615385,0.014059829059828388,0.04707122507122419,2148778.4,35.714285714285715,32.85714285714286,6772000.0,0.0
2/17/2015,HYDRO,2.96,3.04,2.96,3.0,-0.66,497400,1496000,20502000,76225000.0,660034000.0,3.076,3.06,3.0430769230769235,0.010883190883190784,0.031145299145298462,1317400.4,35.714285714285715,34.285714285714285,4100400.0,0.0
2/18/2015,HYDRO,2.96,3.0,2.96,3.0,0.0,361400,1080000,12812000,70069000.0,660858000.0,3.052,3.0783333333333336,3.060769230769232,0.010014245014245304,0.02127920227920184,833960.4,35.714285714285715,35.714285714285715,2562400.0,0.0
2/19/2015,HYDRO,2.98,3.1,2.98,3.1,3.33,412400,1260000,11389000,70507000.0,661815000.0,3.044,3.091666666666667,3.0799999999999987,0.011467236467237464,0.014817663817663806,744060.4,42.857142857142854,37.142857142857146,2277800.0,0.0
2/20/2015,HYDRO,3.08,3.1,3.06,3.08,-0.65,1149750,3531000,10574000,70524000.0,664789000.0,3.04,3.0966666666666662,3.0915384615384607,0.003418803418803851,0.009968660968661159,694470.0,42.857142857142854,38.571428571428584,2114800.0,0.0
2/23/2015,HYDRO,3.1,3.1,3.02,3.04,-1.3,667000,2032000,9399000,65467000.0,666153000.0,3.0439999999999996,3.098333333333333,3.0869230769230773,0.005911680911680596,0.0083390313390316,617590.0,35.714285714285715,38.571428571428584,1879800.0,0.0
2/24/2015,HYDRO,3.06,3.06,3.02,3.02,-0.66,268100,814000,8717000,64668000.0,665185000.0,3.048,3.0800000000000005,3.0846153846153848,-0.00905982905982894,0.0043504273504276535,571730.0,28.57142857142857,37.142857142857146,1743400.0,0.0
2/25/2015,HYDRO,3.02,3.04,2.96,2.98,-1.32,740100,2214000,9851000,51370000.0,666025000.0,3.0439999999999996,3.0716666666666668,3.072307692307692,-0.007905982905982878,0.0007663817663820183,647470.0,28.57142857142857,35.714285714285715,1970200.0,0.0
2/26/2015,HYDRO,2.9,2.98,2.88,2.96,-0.67,626500,1828000,10419000,48115000.0,666403000.0,3.0160000000000005,3.046666666666667,3.0523076923076924,-0.012136752136751916,-0.003954415954415857,690290.0,21.42857142857143,31.428571428571434,2083800.0,0.0
2/27/2015,HYDRO,2.92,2.94,2.88,2.94,-0.68,748400,2178000,9066000,35439000.0,667048000.0,2.988,3.0316666666666663,3.0323076923076924,-0.007905982905982878,-0.006219373219373203,610020.0,21.42857142857143,27.142857142857146,1813200.0,0.0
3/2/2015,HYDRO,2.88,3.0,2.88,2.96,0.68,1105010,3249000,10283000,29918000.0,669555000.0,2.972,3.016666666666667,3.0192307692307687,-0.006894586894586219,-0.008780626780626567,697622.0,21.42857142857143,24.285714285714285,2056600.0,2.0
3/3/2015,HYDRO,3.0,3.04,2.96,2.98,0.68,1402600,4195000,13664000,31430000.0,670629000.0,2.964,3.0066666666666664,3.016923076923076,-0.01162393162393105,-0.009293447293446987,924522.0,28.57142857142857,24.285714285714285,2732800.0,0.0
3/5/2015,HYDRO,3.0,3.04,2.98,3.04,2.01,1145500,3456000,14906000,30540000.0,666328000.0,2.9760000000000004,3.0083333333333333,3.0169230769230766,-0.005427350427350763,-0.008797720797720565,1005602.0,28.57142857142857,24.285714285714285,2981200.0,2.0
3/6/2015,HYDRO,3.02,3.06,2.98,3.04,0.0,768300,2319000,15397000,29652000.0,547293000.0,2.992,3.0116666666666667,3.0200000000000005,-0.00545584045584091,-0.007461538461538364,1033962.0,28.57142857142857,25.71428571428571,3079400.0,0.0
3/9/2015,HYDRO,3.04,3.06,3.02,3.02,-0.66,1813000,5496000,18715000,33652000.0,502901000.0,3.008,3.0133333333333336,3.0253846153846164,-0.01062678062678124,-0.008005698005698036,1246882.0,28.57142857142857,27.142857142857146,3743000.0,0.0
3/10/2015,HYDRO,3.06,3.5,3.06,3.3,9.27,57594040,193683000,209149000,226255000.0,582682000.0,3.076,3.03,3.0453846153846165,0.007293447293446499,-0.0051680911680914935,12544688.0,35.714285714285715,30.0,41829800.0,2.0
3/11/2015,HYDRO,3.3,3.68,3.28,3.68,11.52,42442459,147955000,352909000,372950000.0,537917000.0,3.216,3.08,3.0800000000000005,0.047863247863246805,0.006729344729344078,20752659.8,42.857142857142854,32.857142857142854,70581800.0,2.0
3/12/2015,HYDRO,3.6,3.66,3.3,3.36,-8.7,42374530,150014000,499467000,519433000.0,646593000.0,3.28,3.106666666666667,3.0961538461538463,0.0299430199430204,0.013803418803418307,28998465.8,35.714285714285715,34.285714285714285,99893400.0,2.0
3/13/2015,HYDRO,3.34,3.5,3.16,3.36,0.0,25072300,84395000,581543000,601796000.0,707348000.0,3.344,3.135,3.109230769230769,0.04180911680911725,0.023256410256409944,33859265.8,35.714285714285715,35.714285714285715,116308600.0,0.0
3/16/2015,HYDRO,3.24,3.34,2.8,2.8,-16.67,4235800,13145000,589192000,614127000.0,711072000.0,3.3,3.12,3.1007692307692305,-0.007720797720797369,0.023837606837606717,34343825.8,35.714285714285715,37.142857142857146,117838400.0,0.0
3/17/2015,HYDRO,2.92,3.28,2.86,3.18,13.57,10150100,31600000,427109000,643513000.0,740654000.0,3.276,3.138333333333333,3.09846153846154,0.040242165242164514,0.030427350427350317,24855037.8,42.857142857142854,38.571428571428584,85421800.0,0.0
3/18/2015,HYDRO,3.16,3.4,3.16,3.36,5.66,3988700,13170000,292324000,654855000.0,750507000.0,3.2119999999999997,3.1733333333333333,3.1092307692307686,0.0742450142450144,0.035703703703703835,17164286.0,50.0,40.00000000000001,58464800.0,0.0
3/19/2015,HYDRO,3.36,3.6,3.32,3.48,3.57,10354732,35807000,178117000,688484000.0,779646000.0,3.236,3.2166666666666663,3.117692307692308,0.11264957264957196,0.05224501424501416,10760326.4,57.14285714285714,44.28571428571429,35623400.0,2.0
3/20/2015,HYDRO,3.56,3.56,3.32,3.42,-1.72,4790900,16501000,110223000,701736000.0,788911000.0,3.248,3.2533333333333334,3.1292307692307686,0.12820512820512864,0.06952421652421642,6704046.4,57.14285714285714,48.57142857142857,22044600.0,0.0
3/23/2015,HYDRO,3.34,3.46,3.1,3.18,-7.02,2735300,8903000,105981000,706444000.0,796992000.0,3.3240000000000003,3.265,3.130769230769232,0.1175071225071216,0.09456980056980024,6403946.4,50.0,51.42857142857142,21196200.0,0.0
3/24/2015,HYDRO,3.04,3.14,2.7,3.06,-3.77,10381700,30216000,104597000,733204000.0,823694000.0,3.3,3.266666666666667,3.12923076923077,0.11076923076923027,0.10867521367521338,6450266.4,42.857142857142854,51.42857142857142,20919400.0,2.0
3/25/2015,HYDRO,3.06,3.06,2.9,3.0,-1.96,1047400,3112000,94539000,733997000.0,819717000.0,3.228,3.265,3.128461538461538,0.10528490028489967,0.11488319088319045,5862006.4,35.714285714285715,48.57142857142857,18907800.0,0.0
3/26/2015,HYDRO,2.98,3.32,2.94,3.14,4.67,11512372,36982000,95714000,765483000.0,855086000.0,3.16,3.251666666666667,3.1338461538461537,0.10018518518518472,0.11239031339031297,6093534.4,42.857142857142854,45.714285714285715,19142800.0,0.0
3/27/2015,HYDRO,3.18,3.28,3.12,3.16,0.64,5741300,18375000,97588000,590175000.0,857949000.0,3.108,3.208333333333333,3.14,0.05941595441595472,0.0986324786324782,6283614.4,50.0,44.28571428571429,19517600.0,0.0
3/30/2015,HYDRO,3.16,3.2,3.02,3.12,-1.27,1913400,5974000,94659000,448194000.0,858840000.0,3.096,3.188333333333333,3.1407692307692305,0.0385897435897431,0.0828490028490025,6119234.4,42.857142857142854,42.85714285714286,18931800.0,0.0
4/1/2015,HYDRO,3.14,3.18,3.08,3.18,1.92,872204,2733000,67176000,300913000.0,846719000.0,3.12,3.1733333333333333,3.1446153846153844,0.02712250712250785,0.066119658119658,4217335.2,42.857142857142854,42.85714285714286,13435200.0,0.0
4/2/2015,HYDRO,3.16,3.16,3.08,3.1,-2.52,1694200,5259000,69323000,221777000.0,843208000.0,3.14,3.1983333333333337,3.1469230769230774,0.03975783475783423,0.05301424501424492,4346695.2,42.857142857142854,44.28571428571429,13864600.0,0.0
4/3/2015,HYDRO,3.08,3.12,3.02,3.08,-0.65,1737946,5316000,37657000,213948000.0,845841000.0,3.128,3.19,3.1492307692307686,0.028974358974359408,0.03877207977207986,2391810.0,42.857142857142854,44.28571428571429,7531400.0,0.0
4/7/2015,HYDRO,3.08,3.2,3.08,3.16,2.6,2702655,8567000,27849000,190915000.0,850062000.0,3.128,3.1733333333333333,3.1561538461538463,0.014843304843305203,0.029857549857549962,1784081.0,50.0,44.28571428571429,5569800.0,0.0
4/8/2015,HYDRO,3.16,3.18,3.08,3.12,-1.27,1752000,5441000,27316000,183186000.0,852296000.0,3.128,3.143333333333333,3.1623076923076923,-0.019430199430199302,0.018253561253561482,1751801.0,42.857142857142854,44.28571428571429,5463200.0,0.0
4/9/2015,HYDRO,3.1,3.1,3.06,3.06,-1.92,1004900,3093000,27676000,150472000.0,853893000.0,3.104,3.1133333333333337,3.1669230769230765,-0.053874643874642913,0.002054131054131325,1778340.2,35.714285714285715,42.85714285714286,5535200.0,0.0
4/10/2015,HYDRO,3.04,3.08,2.86,2.94,-3.92,3121402,9200000,31617000,143171000.0,862013000.0,3.072,3.0933333333333337,3.1661538461538465,-0.0796581196581192,-0.02182905982905936,2063780.6,28.57142857142857,40.0,6323400.0,0.0
4/16/2015,HYDRO,2.92,3.02,2.9,2.98,1.36,1241050,3692000,29993000,137960000.0,864445000.0,3.052,3.0866666666666664,3.1661538461538465,-0.08210826210826294,-0.044045584045583834,1964401.4,35.714285714285715,38.571428571428584,5998600.0,0.0
4/17/2015,HYDRO,2.98,2.98,2.88,2.94,-1.34,2337700,6829000,28255000,114573000.0,867743000.0,3.008,3.0816666666666666,3.1623076923076927,-0.0859686609686614,-0.06420797720797715,1891410.4,35.714285714285715,35.714285714285715,5651000.0,0.0
4/20/2015,HYDRO,2.94,2.96,2.88,2.92,-0.68,2155200,6236000,29050000,117697000.0,871947000.0,2.968,3.063333333333334,3.157692307692308,-0.09880341880341836,-0.08008262108262096,1972050.4,35.714285714285715,34.285714285714285,5810000.0,0.0
4/21/2015,HYDRO,2.88,2.96,2.88,2.94,0.68,1591700,4644000,30601000,85359000.0,875777000.0,2.944,3.045,3.154615384615385,-0.1098717948717951,-0.0912820512820514,2089410.4,42.857142857142854,35.714285714285715,6120200.0,0.0
