Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
8/9/2017,INGRS,1.5,1.54,1.41,1.41,6.02,1421711027,2088445330,2088445330,2088445330.0,2088445330.0,1.41,,,,,1421711027.0,,
8/10/2017,INGRS,1.43,1.5,1.41,1.5,6.38,673406637,978015960,3066461290,3066461290.0,3066461290.0,1.455,,,,,1047558832.0,,
8/11/2017,INGRS,1.49,1.56,1.43,1.43,-4.67,1013932051,1517876020,4584337310,4584337310.0,4584337310.0,1.4466666666666665,,,,,1036349905.0,,
8/15/2017,INGRS,1.45,1.48,1.43,1.43,0.0,191056241,276508390,4860845700,4860845700.0,4860845700.0,1.4425,,,,,825026489.0,,
8/17/2017,INGRS,1.45,1.49,1.39,1.41,-2.76,253068076,365234750,5226080450,5226080450.0,5226080450.0,1.436,,,,,710634806.4,,
8/18/2017,INGRS,1.4,1.43,1.39,1.39,-1.42,105274201,148354390,3285989510,5374434840.0,5374434840.0,1.432,,,,,447347441.2,,
8/21/2017,INGRS,1.4,1.42,1.35,1.37,-1.44,105886497,146236370,2454209920,5520671210.0,5520671210.0,1.406,,,,,333843413.2,,
8/22/2017,INGRS,1.37,1.4,1.35,1.37,0.0,71586248,98506650,1034840550,5619177860.0,5619177860.0,1.394,,,,,145374252.6,,
8/23/2017,INGRS,1.37,1.39,1.36,1.38,0.73,36370944,49949410,808281570,5669127270.0,5669127270.0,1.384,,,,,114437193.2,,
8/24/2017,INGRS,1.38,1.43,1.38,1.41,2.17,116479603,164154290,607201110,5833281560.0,5833281560.0,1.384,,,,,87119498.6,,
8/25/2017,INGRS,1.41,1.42,1.39,1.39,-1.42,26881705,37644990,496491710,5870926550.0,5870926550.0,1.384,,,,,71440999.4,,
8/28/2017,INGRS,1.39,1.42,1.39,1.4,0.72,36959997,51835400,402090740,5922761950.0,5922761950.0,1.39,1.4075,,,,57655699.4,,
8/29/2017,INGRS,1.4,1.42,1.39,1.4,0.0,31949700,44758880,348342970,5967520830.0,5967520830.0,1.3960000000000001,1.4066666666666665,,,,49728389.8,,
8/30/2017,INGRS,1.41,1.46,1.41,1.41,0.71,183679853,263008680,561402240,4142084180.0,6230529510.0,1.402,1.3991666666666667,,,,79190171.6,42.857142857142854,42.857142857142854
8/31/2017,INGRS,1.41,1.41,1.39,1.4,-0.71,32794199,45984260,443232210,3210052480.0,6276513770.0,1.4,1.3966666666666667,,,,62453090.8,35.71428571428572,39.28571428571429
9/1/2017,INGRS,1.4,1.42,1.39,1.41,0.71,22748212,31999380,437586600,1724175840.0,6308513150.0,1.404,1.3950000000000002,,,,61626392.2,35.71428571428572,38.0952380952381
9/4/2017,INGRS,1.41,1.45,1.4,1.41,0.0,89931201,128243610,513994810,1575911060.0,6436756760.0,1.406,1.3950000000000002,,,,72220633.0,35.71428571428572,37.50000000000001
9/5/2017,INGRS,1.41,1.42,1.39,1.39,-1.42,42497305,59465310,528701240,1270141620.0,6496222070.0,1.404,1.3950000000000002,,,,74330154.0,35.71428571428572,37.14285714285715
9/6/2017,INGRS,1.39,1.49,1.39,1.49,7.19,501808041,729209090,994901650,1850996320.0,7225431160.0,1.42,1.405,,,,137955791.6,42.857142857142854,37.14285714285715
9/7/2017,INGRS,1.51,1.56,1.45,1.46,-2.01,571755270,860955100,1809872490,2565715050.0,8086386260.0,1.432,1.4125000000000003,,,,245748005.8,42.857142857142854,38.57142857142858
9/8/2017,INGRS,1.47,1.49,1.45,1.46,0.0,103545515,152033160,1929906270,2619241560.0,8238419420.0,1.442,1.4191666666666667,,,,261907466.4,42.857142857142854,40.00000000000001
9/11/2017,INGRS,1.47,1.5,1.46,1.46,0.0,183348372,271979350,2073642010,2841271500.0,8510398770.0,1.452,1.4233333333333336,,,,280590900.6,42.857142857142854,41.42857142857143
9/12/2017,INGRS,1.47,1.48,1.45,1.46,0.0,44683306,65549420,2079726120,2742666630.0,8575948190.0,1.466,1.429166666666667,,,,281028100.8,35.71428571428572,41.42857142857143
9/13/2017,INGRS,1.46,1.47,1.42,1.43,-2.05,58552829,84905640,1435422670,2789927280.0,8660853830.0,1.454,1.4316666666666669,,,,192377058.4,28.57142857142857,38.57142857142857
9/14/2017,INGRS,1.44,1.44,1.41,1.41,-1.4,40979294,58208890,632676460,2796300770.0,8719062720.0,1.444,1.4325,,,,86221863.2,28.57142857142857,35.71428571428571
9/15/2017,INGRS,1.41,1.44,1.4,1.41,0.0,62629298,88847210,569490510,2840389100.0,8807909930.0,1.434,1.4325,1.4188461538461536,0.010847578347578768,0.010847578347578768,78038619.8,21.42857142857143,31.428571428571434
9/18/2017,INGRS,1.42,1.43,1.4,1.4,-0.71,28450359,40137120,337648280,2617517540.0,8848047050.0,1.422,1.4325,1.4184615384615382,0.01040598290598349,0.01062678062678113,47059017.2,21.42857142857143,27.142857142857146
9/19/2017,INGRS,1.41,1.43,1.4,1.42,1.43,23639399,33413890,305512750,2604947170.0,8881460940.0,1.4140000000000001,1.4333333333333333,1.4153846153846152,0.015555555555555545,0.012269705603039268,42850235.8,21.42857142857143,24.285714285714285
9/20/2017,INGRS,1.42,1.45,1.41,1.41,-0.7,46058892,65728830,286335940,2638676620.0,8947189770.0,1.41,1.4333333333333333,1.4146153846153846,0.015470085470085548,0.013069800569800838,40351448.4,21.42857142857143,22.857142857142858
9/21/2017,INGRS,1.42,1.42,1.4,1.4,-0.71,16744797,23591690,251718740,2534024700.0,8970781460.0,1.408,1.4341666666666668,1.4134615384615385,0.016445868945869302,0.013745014245014531,35504549.0,14.285714285714292,20.000000000000004
9/22/2017,INGRS,1.4,1.41,1.39,1.4,0.0,16111410,22570510,185442040,2497129900.0,8993351970.0,1.406,1.4266666666666667,1.413076923076923,0.010455840455840582,0.013666666666666893,26200971.4,14.285714285714292,18.571428571428577
9/25/2017,INGRS,1.4,1.42,1.4,1.4,0.0,15275803,21529110,166834030,1789449920.0,9014881080.0,1.4060000000000001,1.4216666666666666,1.413461538461538,0.005868945868946485,0.012759259259259493,23566060.2,14.285714285714292,17.142857142857146
9/26/2017,INGRS,1.41,1.43,1.4,1.41,0.71,12997502,18378950,151799090,946873770.0,9033260030.0,1.404,1.4175000000000002,1.415,0.0017165242165246841,0.00999145299145332,21437680.8,14.285714285714292,15.714285714285719
9/27/2017,INGRS,1.41,1.42,1.4,1.4,-0.71,20776900,29166060,115236320,824006670.0,9062426090.0,1.402,1.4124999999999999,1.416153846153846,-0.004380341880341643,0.006021367521367882,16381282.4,14.285714285714292,14.285714285714292
9/28/2017,INGRS,1.42,1.42,1.39,1.4,0.0,14877283,20935000,112579630,572962320.0,6994915760.0,1.402,1.4075,1.4169230769230767,-0.009323361823361687,0.0008675213675216842,16007779.6,14.285714285714292,14.285714285714292
9/29/2017,INGRS,1.4,1.41,1.39,1.4,0.0,7612801,10652720,100661840,518065620.0,6027552520.0,1.402,1.405,1.4165384615384613,-0.011082621082620703,-0.0034401709401705727,14308057.8,14.285714285714292,14.285714285714292
10/2/2017,INGRS,1.4,1.41,1.39,1.4,0.0,16986401,23834230,102966960,456994210.0,4533510730.0,1.402,1.4041666666666668,1.4169230769230765,-0.012143874643874009,-0.007042735042734671,14650177.4,14.285714285714292,14.285714285714292
10/3/2017,INGRS,1.41,1.41,1.39,1.39,-0.71,7684622,10740460,95328470,409525780.0,4267742800.0,1.398,1.4025,1.4165384615384613,-0.013995726495726224,-0.010185185185184853,13587601.4,14.285714285714292,14.285714285714292
10/4/2017,INGRS,1.4,1.41,1.39,1.39,0.0,6824400,9525810,75688220,330204380.0,3912033860.0,1.3959999999999997,1.401666666666667,1.4161538461538459,-0.014344729344728746,-0.012178062678062273,10797101.4,14.285714285714292,14.285714285714292
10/5/2017,INGRS,1.39,1.42,1.39,1.4,0.72,24410649,34299370,89052590,324366630.0,3797978840.0,1.3959999999999997,1.4000000000000001,1.4157692307692302,-0.01460113960113918,-0.013233618233617772,12703774.6,21.42857142857143,15.714285714285719
10/6/2017,INGRS,1.41,1.43,1.4,1.4,0.0,28870407,40824740,119224610,331777480.0,3692567210.0,1.3960000000000001,1.399166666666667,1.4157692307692302,-0.015306267806266982,-0.014078347578347028,16955295.8,21.42857142857143,17.142857142857146
10/9/2017,INGRS,1.4,1.41,1.39,1.39,-0.71,15405400,21503360,116893740,287552010.0,3615563920.0,1.394,1.3983333333333334,1.4149999999999994,-0.016096866096865448,-0.014868945868945316,16639095.6,14.285714285714292,17.142857142857146
10/10/2017,INGRS,1.39,1.4,1.38,1.38,-0.72,11237150,15599740,121753020,279560060.0,3581214250.0,1.392,1.3966666666666667,1.4138461538461535,-0.01723646723646688,-0.015517094017093447,17349601.2,14.285714285714292,17.142857142857146
10/11/2017,INGRS,1.38,1.4,1.38,1.38,0.0,10135665,14069170,126296380,271058720.0,3431129130.0,1.39,1.3950000000000002,1.4134615384615385,-0.018290598290598092,-0.016306267806267316,18011854.2,14.285714285714292,17.142857142857146
10/12/2017,INGRS,1.39,1.41,1.38,1.39,0.72,21003000,29309330,121306340,278838940.0,3422793470.0,1.388,1.3933333333333333,1.4096153846153845,-0.015341880341880332,-0.016454415954415547,17330324.4,21.42857142857143,17.142857142857146
10/16/2017,INGRS,1.39,1.4,1.38,1.39,0.0,10200748,14177360,94658960,274637350.0,3385135430.0,1.3859999999999997,1.3925,1.406923076923077,-0.013554131054130947,-0.016103988603988338,13596392.6,21.42857142857143,17.142857142857146
10/17/2017,INGRS,1.38,1.4,1.38,1.38,-0.72,7800001,10831690,83987290,256302980.0,3351208240.0,1.384,1.3908333333333331,1.4038461538461537,-0.01291310541310553,-0.015467236467236356,12075312.8,14.285714285714292,17.142857142857146
10/18/2017,INGRS,1.38,1.39,1.37,1.37,-0.72,10111450,13946720,82334270,249314700.0,3102146280.0,1.382,1.3883333333333334,1.400384615384615,-0.01262108262108197,-0.014544159544159375,11850172.8,14.285714285714292,17.142857142857146
10/19/2017,INGRS,1.38,1.42,1.37,1.38,0.73,32567754,45238930,113504030,283900910.0,3101400950.0,1.3820000000000001,1.3866666666666667,1.3973076923076921,-0.010384615384615214,-0.012962962962962798,16336590.6,21.42857142857143,18.571428571428577
10/20/2017,INGRS,1.38,1.38,1.35,1.36,-1.45,21449567,29330650,113525350,289397330.0,3098732220.0,1.376,1.3841666666666665,1.3946153846153846,-0.011602564102564106,-0.012215099715099553,16425904.0,21.42857142857143,18.571428571428577
10/24/2017,INGRS,1.38,1.38,1.35,1.36,-1.45,21449567,29330650,128678640,307987520.0,2999819260.0,1.37,1.3816666666666666,1.3926923076923077,-0.011937321937321999,-0.011891737891737763,18675667.8,21.42857142857143,18.571428571428577
10/25/2017,INGRS,1.36,1.37,1.35,1.36,0.0,6255000,8511460,126358410,306973170.0,2948865410.0,1.366,1.3783333333333332,1.3907692307692305,-0.012977207977207916,-0.01190455840455824,18366667.6,21.42857142857143,20.000000000000004
10/27/2017,INGRS,1.36,1.37,1.35,1.36,0.0,7255801,9911560,122323250,282585360.0,2229567880.0,1.3640000000000003,1.3749999999999998,1.389230769230769,-0.014373219373219337,-0.012254985754985714,17795537.8,21.42857142857143,21.42857142857143
10/30/2017,INGRS,1.36,1.37,1.35,1.35,-0.74,4799200,6512050,83596370,248272670.0,1375124830.0,1.358,1.3716666666666664,1.3865384615384615,-0.015498575498575917,-0.013277777777777855,12241827.0,14.285714285714292,20.000000000000004
10/31/2017,INGRS,1.35,1.37,1.35,1.35,0.0,5890800,8006300,62272020,234775610.0,1231097970.0,1.3559999999999999,1.3691666666666664,1.3842307692307694,-0.01547720797720853,-0.01405270655270674,9130073.6,14.285714285714292,18.571428571428577
11/1/2017,INGRS,1.36,1.36,1.32,1.32,-2.22,29957100,39983480,72924850,259159350.0,999102100.0,1.348,1.3641666666666665,1.381153846153846,-0.019252136752136773,-0.015515669515669694,10831580.2,14.285714285714292,17.142857142857146
11/2/2017,INGRS,1.32,1.33,1.27,1.28,-3.03,26671098,34564650,98978040,279654830.0,968117330.0,1.3320000000000003,1.3549999999999998,1.3765384615384615,-0.02592592592592613,-0.01810541310541334,14914799.8,14.285714285714292,15.714285714285719
11/3/2017,INGRS,1.27,1.28,1.22,1.23,-3.91,31155651,38723480,127789960,289068980.0,921935170.0,1.3060000000000003,1.3416666666666666,1.3699999999999999,-0.03514245014244999,-0.022259259259259468,19694769.8,14.285714285714292,14.285714285714292
11/6/2017,INGRS,1.23,1.28,1.23,1.27,3.25,8791750,11110330,132388240,286001950.0,874836610.0,1.2899999999999998,1.3325,1.3646153846153846,-0.0347222222222221,-0.026103988603988704,20493279.8,14.285714285714292,14.285714285714292
11/7/2017,INGRS,1.28,1.29,1.26,1.26,-0.79,3143500,4006020,128387960,279176280.0,789995420.0,1.2719999999999998,1.3233333333333335,1.3592307692307695,-0.03829059829059833,-0.030666666666666665,19943819.8,14.285714285714292,14.285714285714292
11/8/2017,INGRS,1.26,1.27,1.25,1.26,0.0,1835500,2311800,90716280,267541360.0,752170100.0,1.26,1.3133333333333332,1.3538461538461537,-0.04176638176638181,-0.03516951566951567,14319499.8,14.285714285714292,14.285714285714292
11/9/2017,INGRS,1.25,1.27,1.24,1.24,-1.59,3660900,4570420,60722050,226872850.0,723326630.0,1.252,1.3033333333333332,1.3476923076923077,-0.04612535612535629,-0.0392094017094017,9717460.2,14.285714285714292,14.285714285714292
11/10/2017,INGRS,1.25,1.25,1.24,1.24,0.0,1539400,1909160,23907730,199451360.0,659506960.0,1.254,1.2933333333333332,1.341538461538462,-0.048888888888889426,-0.041958689458689594,3794210.0,7.142857142857139,12.857142857142861
11/13/2017,INGRS,1.24,1.24,1.22,1.22,-1.61,2433300,2986200,15783600,173106910.0,638901470.0,1.244,1.2816666666666667,1.3350000000000004,-0.054301994301994894,-0.04587464387464415,2522520.0,7.142857142857139,11.42857142857143
11/14/2017,INGRS,1.22,1.24,1.22,1.23,0.82,1918300,2355150,14132730,166950600.0,618686110.0,1.238,1.2708333333333335,1.3288461538461538,-0.05697293447293417,-0.049611111111111314,2277480.0,14.285714285714292,11.42857142857143
11/16/2017,INGRS,1.22,1.23,1.2,1.2,-2.44,4331000,5248700,17069630,162287740.0,602405700.0,1.226,1.2583333333333333,1.3211538461538461,-0.0628205128205126,-0.05382193732193748,2776580.0,14.285714285714292,11.42857142857143
11/17/2017,INGRS,1.2,1.2,1.15,1.18,-1.67,8280761,9738960,22238170,165514650.0,593765710.0,1.214,1.2441666666666666,1.3126923076923078,-0.0685683760683764,-0.058310541310541496,3700552.2,14.285714285714292,11.42857142857143
11/20/2017,INGRS,1.17,1.19,1.17,1.19,0.85,1618001,1910940,22239950,159419290.0,566510590.0,1.204,1.2333333333333332,1.305,-0.06981481481481477,-0.062495726495726565,3716272.4,21.42857142857143,14.285714285714288
11/21/2017,INGRS,1.19,1.26,1.18,1.23,3.36,11416800,13983740,33237490,133419550.0,559559330.0,1.206,1.2291666666666667,1.299230769230769,-0.0648076923076919,-0.06459686609686596,5512972.4,28.57142857142857,18.571428571428577
11/22/2017,INGRS,1.23,1.26,1.22,1.23,0.0,3581000,4435070,35317410,103289970.0,553341680.0,1.206,1.2291666666666667,1.2934615384615382,-0.05946581196581158,-0.06509544159544145,5845512.4,28.57142857142857,21.42857142857143
11/23/2017,INGRS,1.22,1.23,1.2,1.2,-2.44,1580000,1916260,31984970,66482750.0,531423710.0,1.206,1.2233333333333332,1.286153846153846,-0.06002849002848998,-0.06453703703703692,5295312.4,28.57142857142857,24.285714285714285
11/24/2017,INGRS,1.22,1.22,1.19,1.19,-0.83,1818900,2178430,24424440,57550850.0,522861680.0,1.2079999999999997,1.2175,1.2784615384615383,-0.05863960113960087,-0.06255128205128183,4002940.2,28.57142857142857,27.142857142857146
11/27/2017,INGRS,1.19,1.2,1.18,1.18,-0.84,1486251,1767380,24280880,55312210.0,515103250.0,1.206,1.2108333333333332,1.2707692307692307,-0.05795584045584046,-0.06017948717948696,3976590.2,21.42857142857143,27.142857142857146
11/28/2017,INGRS,1.18,1.2,1.18,1.19,0.85,1770801,2109150,12406290,55109560.0,482913030.0,1.198,1.2066666666666666,1.2638461538461538,-0.0542735042735043,-0.05807264957264944,2047390.4,28.57142857142857,27.142857142857146
11/29/2017,INGRS,1.19,1.21,1.18,1.19,0.0,1957380,2338200,10309420,52877340.0,444426490.0,1.19,1.2025,1.2565384615384616,-0.05103276353276365,-0.05638603988603985,1722666.4,28.57142857142857,27.142857142857146
11/30/2017,INGRS,1.19,1.2,1.18,1.18,-0.84,1040229,1230070,9623230,52198250.0,424153200.0,1.186,1.1991666666666665,1.2496153846153848,-0.04824074074074103,-0.05402849002849006,1614712.2,28.57142857142857,27.142857142857146
12/1/2017,INGRS,1.18,1.19,1.17,1.17,-0.85,1373500,1619990,9064790,50832040.0,410173450.0,1.182,1.1941666666666666,1.2423076923076926,-0.0465028490028494,-0.05160113960113977,1525632.2,28.57142857142857,27.142857142857146
12/4/2017,INGRS,1.17,1.18,1.13,1.13,-3.42,3947100,4556780,11854190,53033670.0,400661060.0,1.172,1.1883333333333332,1.2334615384615388,-0.046438746438747014,-0.04929772079772108,2017802.0,28.57142857142857,28.571428571428566
12/6/2017,INGRS,1.12,1.13,1.09,1.1,-2.65,5801944,6415180,16160220,54200150.0,377766910.0,1.154,1.1816666666666664,1.2234615384615386,-0.045213675213675586,-0.04748575498575534,2824030.6,21.42857142857143,27.142857142857146
12/7/2017,INGRS,1.09,1.11,1.08,1.09,-0.91,4929270,5393880,19215900,49855070.0,368983430.0,1.134,1.1733333333333331,1.2134615384615386,-0.04380341880341909,-0.04603988603988642,3418408.6,21.42857142857143,25.71428571428571
12/8/2017,INGRS,1.08,1.11,1.08,1.11,1.83,2572220,2823120,20808950,50767250.0,360974860.0,1.12,1.1633333333333333,1.2042307692307692,-0.04212250712250709,-0.04481623931623964,3724806.8,28.57142857142857,25.71428571428571
12/12/2017,INGRS,1.11,1.11,1.1,1.1,-0.9,1338198,1478110,20667070,38261620.0,348506250.0,1.1060000000000003,1.1524999999999999,1.195769230769231,-0.04425213675213713,-0.04436609686609718,3717746.4,21.42857142857143,24.285714285714285
12/13/2017,INGRS,1.09,1.1,1.08,1.08,-1.82,1302001,1418190,17528480,35244740.0,304685510.0,1.096,1.1424999999999998,1.188076923076923,-0.047186609686609815,-0.044515669515669744,3188726.6,14.285714285714292,21.42857142857143
12/14/2017,INGRS,1.09,1.11,1.08,1.09,0.93,2230600,2441670,13554970,35770150.0,277796530.0,1.094,1.1341666666666665,1.182692307692308,-0.04845441595441646,-0.04516381766381792,2474457.8,21.42857142857143,21.42857142857143
12/15/2017,INGRS,1.09,1.1,1.07,1.07,-1.83,4234104,4596530,12757620,38188250.0,253062410.0,1.09,1.1249999999999998,1.175,-0.0506837606837609,-0.04653988603988628,2335424.6,21.42857142857143,21.42857142857143
12/18/2017,INGRS,1.09,1.12,1.08,1.1,2.8,12959300,14246440,24180940,50667310.0,258797390.0,1.0880000000000003,1.1175,1.168846153846154,-0.04893874643874674,-0.04790313390313421,4412840.6,28.57142857142857,21.42857142857143
12/19/2017,INGRS,1.11,1.12,1.09,1.09,-0.91,8741300,9613130,32315960,58171290.0,258498960.0,1.0859999999999999,1.1091666666666666,1.1623076923076923,-0.050733618233618216,-0.049199430199430426,5893461.0,28.57142857142857,22.857142857142858
12/20/2017,INGRS,1.1,1.15,1.1,1.14,4.59,17632800,19942050,50839820,75775140.0,271928960.0,1.098,1.1058333333333334,1.1584615384615384,-0.046004273504273385,-0.04896296296296314,9159620.8,28.57142857142857,25.71428571428571
