Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,IRCP-W2,2.14,2.32,2.14,2.3,7.48,1066959,2407000,5041000,30807000.0,326607000.0,2.3,,,,,1066959.0,,,2407000.0,0.0
1/6/2015,IRCP-W2,2.24,2.56,2.24,2.5,8.7,3906532,9527000,13922000,34566000.0,336134000.0,2.4,,,,,2486745.5,,,5967000.0,0.0
1/7/2015,IRCP-W2,2.5,2.68,2.48,2.58,3.2,4370232,11367000,23878000,41141000.0,347501000.0,2.46,,,,,3114574.333333333,,,7767000.0,0.0
1/8/2015,IRCP-W2,2.7,2.7,2.48,2.58,0.0,2410238,6265000,29715000,41934000.0,353766000.0,2.49,,,,,2938490.25,,,7391500.0,0.0
1/9/2015,IRCP-W2,2.6,2.6,2.46,2.5,-3.1,1322545,3332000,32898000,42617000.0,357098000.0,2.492,,,,,2615301.2,,,6579600.0,0.0
1/12/2015,IRCP-W2,2.5,2.6,2.46,2.5,0.0,1649673,4166000,34657000,44833000.0,361264000.0,2.532,,,,,2731844.0,,,6931400.0,0.0
1/13/2015,IRCP-W2,2.5,2.54,2.5,2.5,0.0,644406,1615000,26745000,43721000.0,362879000.0,2.532,,,,,2079418.8,,,5349000.0,0.0
1/14/2015,IRCP-W2,2.5,2.52,2.4,2.5,0.0,804656,1999000,17377000,44730000.0,364878000.0,2.516,,,,,1366303.6,,,3475400.0,0.0
1/15/2015,IRCP-W2,2.52,2.7,2.44,2.48,-0.8,6407704,16728000,27840000,60040000.0,381606000.0,2.496,,,,,2165796.8,,,5568000.0,0.0
1/16/2015,IRCP-W2,2.48,2.58,2.46,2.46,-0.81,1224356,3065000,27573000,62459000.0,384671000.0,2.4880000000000004,,,,,2146159.0,,,5514600.0,0.0
1/19/2015,IRCP-W2,2.58,2.58,2.44,2.44,-0.81,922764,2313000,25720000,63361000.0,386984000.0,2.476,,,,,2000777.2,,,5144000.0,0.0
1/20/2015,IRCP-W2,2.5,2.64,2.5,2.56,4.92,1690058,4357000,28462000,67290000.0,343338000.0,2.4880000000000004,2.4916666666666667,,,,2209907.6,,,5692400.0,0.0
1/21/2015,IRCP-W2,2.54,2.54,2.5,2.5,-2.34,1107188,2789000,29252000,69930000.0,319061000.0,2.488,2.5083333333333333,,,,2270414.0,,,5850400.0,0.0
1/22/2015,IRCP-W2,2.54,2.58,2.44,2.44,-2.4,940952,2334000,14858000,69857000.0,282985000.0,2.48,2.5033333333333334,,,,1177063.6,28.57142857142857,28.57142857142857,2971600.0,0.0
1/23/2015,IRCP-W2,2.46,2.48,2.42,2.44,0.0,1018550,2486000,14279000,62816000.0,251657000.0,2.476,2.4916666666666667,,,,1135902.4,21.42857142857143,25.0,2855800.0,0.0
1/26/2015,IRCP-W2,2.44,2.44,2.1,2.4,-1.64,1336980,3146000,15112000,54595000.0,246523000.0,2.468,2.476666666666667,,,,1218745.6,14.285714285714292,21.42857142857143,3022400.0,0.0
1/27/2015,IRCP-W2,2.4,2.42,2.38,2.38,-0.83,355099,855000,11610000,49185000.0,245116000.0,2.432,2.466666666666667,,,,951753.8,7.142857142857139,17.857142857142858,2322000.0,0.0
1/28/2015,IRCP-W2,2.46,2.64,2.4,2.58,8.4,5371800,13730000,22551000,59583000.0,257135000.0,2.448,2.473333333333333,,,,1804676.2,14.285714285714292,17.142857142857142,4510200.0,0.0
1/29/2015,IRCP-W2,2.64,4.26,2.64,3.84,48.84,30487272,106014000,126231000,161431000.0,274772000.0,2.728,2.585,,,,7713940.2,21.42857142857143,15.714285714285715,25246200.0,0.0
1/30/2015,IRCP-W2,3.88,4.56,3.74,3.94,2.6,16646676,69321000,193066000,229137000.0,313879000.0,3.028,2.705,,,,10839565.4,28.57142857142857,17.142857142857142,38613200.0,0.0
2/2/2015,IRCP-W2,3.94,4.1,3.5,3.58,-9.14,4447367,16992000,206912000,244130000.0,323430000.0,3.264,2.7966666666666664,,,,11461642.8,28.57142857142857,20.0,41382400.0,0.0
2/3/2015,IRCP-W2,3.68,3.96,3.6,3.96,10.61,6226688,23693000,229750000,251095000.0,336901000.0,3.58,2.921666666666667,,,,12635960.6,35.714285714285715,25.714285714285715,45950000.0,0.0
2/4/2015,IRCP-W2,4.16,4.36,3.9,4.12,4.04,15527885,64664000,280684000,312694000.0,395797000.0,3.888,3.061666666666666,,,,14667177.6,42.857142857142854,31.42857142857143,56136800.0,0.0
2/5/2015,IRCP-W2,4.16,4.18,3.96,3.98,-3.4,4485853,18182000,192852000,328563000.0,409187000.0,3.9160000000000004,3.18,,,,9466893.8,42.857142857142854,35.714285714285715,38570400.0,0.0
2/6/2015,IRCP-W2,4.06,4.96,3.9,4.6,15.58,24005277,109275000,232806000,433481000.0,512990000.0,4.048,3.3550000000000004,,,,10938614.0,50.0,40.0,46561200.0,0.0
2/9/2015,IRCP-W2,4.72,5.85,4.64,5.25,14.13,22219131,116897000,332711000,547589000.0,627238000.0,4.382,3.589166666666668,2.9965384615384614,0.6812179487179497,0.6812179487179497,14492966.8,50.0,44.28571428571429,66542200.0,0.0
2/10/2015,IRCP-W2,5.4,5.8,4.8,4.84,-7.81,10212525,53976000,362994000,599231000.0,679264000.0,4.558,3.7891666666666666,3.094230769230769,0.7272863247863253,0.7042521367521375,15290134.2,50.0,47.14285714285714,72598800.0,0.0
2/11/2015,IRCP-W2,4.9,5.1,4.6,4.86,0.41,7456519,36174000,334504000,632919000.0,712711000.0,4.706,3.994166666666667,3.185,0.8182977207977213,0.7422673314339988,13675861.0,57.14285714285714,50.0,66900800.0,0.0
2/12/2015,IRCP-W2,5.05,5.15,4.8,4.86,0.0,3697552,18270000,334592000,648043000.0,729991000.0,4.882,4.200833333333333,3.272692307692308,0.9119729344729336,0.7846937321937325,13518200.8,57.14285714285714,52.85714285714285,66918400.0,0.0
2/13/2015,IRCP-W2,4.9,5.05,4.6,4.68,-3.7,4629039,22330000,247647000,669518000.0,750903000.0,4.898,4.3758333333333335,3.3534615384615383,0.970904558404559,0.8219358974358979,9642953.2,57.14285714285714,54.28571428571429,49529400.0,0.0
