Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,IVL-W2,2.02,2.06,2.02,2.04,0.0,15300,31000,653000,3923000.0,30502000.0,2.04,,,,,15300.0,,
1/6/2015,IVL-W2,2.04,2.04,1.96,2.02,-0.98,114500,231000,631000,3040000.0,29352000.0,2.0300000000000002,,,,,64900.0,,
1/7/2015,IVL-W2,1.99,2.04,1.99,2.0,-0.99,243115,489000,1070000,2798000.0,29565000.0,2.02,,,,,124305.0,,
1/8/2015,IVL-W2,2.02,2.04,1.98,2.0,0.0,226546,455000,1471000,2956000.0,28808000.0,2.015,,,,,149865.25,,
1/9/2015,IVL-W2,2.04,2.06,2.0,2.0,0.0,222077,450000,1656000,3279000.0,27487000.0,2.012,,,,,164307.6,,
1/12/2015,IVL-W2,2.02,2.02,2.0,2.0,0.0,94776,190000,1815000,3001000.0,25178000.0,2.004,,,,,180202.8,,
1/13/2015,IVL-W2,2.0,2.12,1.99,2.12,6.0,102908,214000,1798000,2972000.0,24866000.0,2.024,,,,,177884.4,,
1/14/2015,IVL-W2,2.04,2.04,1.99,2.04,-3.77,156397,315000,1624000,3045000.0,24356000.0,2.032,,,,,160540.8,,
1/15/2015,IVL-W2,2.0,2.04,2.0,2.04,0.0,60559,122000,1291000,3119000.0,22113000.0,2.04,,,,,127343.4,,
1/16/2015,IVL-W2,2.04,2.08,2.04,2.04,0.0,70041,144000,985000,3010000.0,18400000.0,2.0479999999999996,,,,,96936.2,,
1/19/2015,IVL-W2,2.02,2.04,2.0,2.04,0.0,155274,316000,1111000,3276000.0,13170000.0,2.056,,,,,109035.8,,
1/20/2015,IVL-W2,2.04,2.04,2.0,2.0,-1.96,159870,324000,1221000,3546000.0,12819000.0,2.032,2.028333333333333,,,,120428.2,,
1/21/2015,IVL-W2,2.02,2.04,1.99,2.0,0.0,138970,278000,1184000,3559000.0,12508000.0,2.024,2.025,,,,116942.8,,
1/22/2015,IVL-W2,2.02,2.04,1.96,2.04,2.0,311619,621000,1683000,4149000.0,12722000.0,2.024,2.0266666666666664,,,,167154.8,14.285714285714292,14.285714285714292
1/23/2015,IVL-W2,2.0,2.06,2.0,2.04,0.0,614810,1254000,2793000,5172000.0,13476000.0,2.024,2.03,,,,276108.6,14.285714285714292,14.285714285714292
1/26/2015,IVL-W2,2.02,2.04,1.99,2.0,-1.96,254569,509000,2986000,5192000.0,13520000.0,2.016,2.03,,,,295967.6,14.285714285714292,14.285714285714292
1/27/2015,IVL-W2,1.99,2.04,1.99,1.99,-0.5,142625,286000,2948000,5023000.0,13384000.0,2.0140000000000002,2.0291666666666663,,,,292518.6,14.285714285714292,14.285714285714292
1/28/2015,IVL-W2,1.99,2.02,1.99,1.99,0.0,50978,102000,2772000,4675000.0,13382000.0,2.012,2.028333333333333,,,,274920.2,14.285714285714292,14.285714285714292
1/29/2015,IVL-W2,1.99,2.02,1.98,1.99,0.0,182970,364000,2515000,4849000.0,12965000.0,2.002,2.0174999999999996,,,,249190.4,14.285714285714292,14.285714285714292
1/30/2015,IVL-W2,2.0,2.18,1.99,2.14,7.54,1098422,2297000,3558000,6932000.0,14138000.0,2.0220000000000002,2.025833333333333,,,,345912.8,21.42857142857143,15.714285714285719
2/2/2015,IVL-W2,2.08,2.12,1.8,2.04,-4.67,224934,462000,3511000,7079000.0,13909000.0,2.03,2.025833333333333,,,,339985.8,14.285714285714292,15.714285714285719
2/3/2015,IVL-W2,2.06,2.12,2.04,2.06,0.98,145329,305000,3530000,7262000.0,13651000.0,2.044,2.0275,,,,340526.6,21.42857142857143,17.142857142857146
2/4/2015,IVL-W2,2.08,2.12,2.04,2.04,-0.97,237798,490000,3918000,7608000.0,13027000.0,2.054,2.0275,,,,377890.6,21.42857142857143,18.571428571428577
2/5/2015,IVL-W2,2.02,2.12,2.02,2.06,0.98,104608,216000,3770000,7508000.0,12512000.0,2.0680000000000005,2.0324999999999998,,,,362218.2,28.57142857142857,21.42857142857143
2/6/2015,IVL-W2,2.1,2.12,2.06,2.08,0.97,228459,477000,1950000,7661000.0,12692000.0,2.056,2.0391666666666666,,,,188225.6,35.71428571428572,24.28571428571429
2/9/2015,IVL-W2,2.08,2.08,2.02,2.08,0.0,187306,386000,1874000,7769000.0,12951000.0,2.064,2.0425,2.0342307692307693,0.010648148148148184,0.010648148148148184,180700.0,35.71428571428572,28.571428571428577
2/10/2015,IVL-W2,2.04,2.26,2.04,2.24,7.69,1085548,2374000,3943000,9522000.0,14857000.0,2.1,2.0591666666666666,2.041923076923077,0.03039173789173777,0.020519943019942977,368743.8,42.857142857142854,32.85714285714286
2/11/2015,IVL-W2,2.22,2.3,2.12,2.24,0.0,766251,1717000,5170000,9985000.0,16331000.0,2.14,2.079166666666667,2.0503846153846155,0.0394800569800573,0.02683998100664775,474434.4,35.71428571428572,35.714285714285715
2/12/2015,IVL-W2,2.24,2.34,2.22,2.24,0.0,389780,883000,5837000,10359000.0,16972000.0,2.176,2.100000000000001,2.0596153846153844,0.048561253561254514,0.03227029914529944,531468.8,35.71428571428572,37.14285714285715
2/13/2015,IVL-W2,2.26,2.28,2.22,2.28,1.79,197933,444000,5804000,10517000.0,17368000.0,2.216,2.1241666666666674,2.0703846153846155,0.06222934472934538,0.03826210826210863,525363.6,42.857142857142854,38.57142857142858
