Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,IVL,20.3,20.3,19.5,19.5,-3.47,5942310,117500000,434988000,1802894000.0,4803063000.0,19.5,,,,,5942310.0,,
1/6/2015,IVL,19.1,19.3,18.8,19.2,-1.54,14216906,271053000,567455000,1775270000.0,4971783000.0,19.35,,,,,10079608.0,,
1/7/2015,IVL,19.0,19.4,19.0,19.1,-0.52,10109801,193782000,724243000,1609389000.0,5006731000.0,19.26666666666667,,,,,10089672.333333334,,
1/8/2015,IVL,19.3,19.8,19.2,19.6,2.62,6703823,130939000,794774000,1568476000.0,4978733000.0,19.35,,,,,9243210.0,,
1/9/2015,IVL,19.9,20.2,19.8,19.8,1.02,4566305,91080000,804354000,1565334000.0,4940566000.0,19.44,,,,,8307829.0,,
1/12/2015,IVL,19.9,20.0,19.6,19.6,-1.01,2777104,54944000,741798000,1544856000.0,4736121000.0,19.46,,,,,7674787.8,,
1/13/2015,IVL,19.4,20.0,19.2,19.7,0.51,3639504,71515000,542260000,1396634000.0,4714441000.0,19.56,,,,,5559307.4,,
1/14/2015,IVL,20.0,20.0,19.4,19.4,-1.52,3501650,68969000,417447000,1369580000.0,4673018000.0,19.619999999999997,,,,,4237677.2,,
1/15/2015,IVL,19.7,20.0,19.3,19.7,1.55,6358500,124723000,411231000,1441993000.0,4580769000.0,19.64,,,,,4168612.6,,
1/16/2015,IVL,19.4,19.9,19.4,19.4,-1.52,4322416,84131000,404282000,1387538000.0,4511702000.0,19.559999999999995,,,,,4119834.8,,
1/19/2015,IVL,19.6,19.9,19.5,19.7,1.55,2445036,48086000,397424000,1398630000.0,4377803000.0,19.58,,,,,4053421.2,,
1/20/2015,IVL,19.8,19.8,19.6,19.7,0.0,1781503,35074000,360983000,1373296000.0,4259252000.0,19.58,19.53333333333333,,,,3681821.0,,
