Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
5/16/2018,JCKH,1.56,1.62,1.51,1.57,3.29,36944750,58782120,58782120,58782120.0,58782120.0,1.57,,,,,36944750.0,,,58782120.0,0.0
5/17/2018,JCKH,1.46,1.5,1.45,1.46,-7.01,4500100,6637120,65419240,65419240.0,65419240.0,1.515,,,,,20722425.0,,,32709620.0,0.0
5/18/2018,JCKH,1.5,1.5,1.41,1.41,-3.42,5849221,8383590,73802830,73802830.0,73802830.0,1.4800000000000002,,,,,15764690.333333336,,,24600943.33333333,0.0
5/21/2018,JCKH,1.41,1.42,1.39,1.42,0.71,1272750,1789450,75592280,75592280.0,75592280.0,1.465,,,,,12141705.25,,,18898070.0,0.0
5/22/2018,JCKH,1.41,1.7,1.41,1.47,3.52,6689000,10035300,85627580,85627580.0,85627580.0,1.466,,,,,11051164.2,,,17125516.0,0.0
5/23/2018,JCKH,1.49,1.52,1.47,1.49,1.36,1475500,2204140,29049600,87831720.0,87831720.0,1.45,,,,,3957314.2,,,5809920.0,0.0
5/25/2018,JCKH,1.44,1.46,1.41,1.42,-1.39,1217912,1741760,24154240,89573480.0,89573480.0,1.442,,,,,3300876.6,,,4830848.0,0.0
5/28/2018,JCKH,1.44,1.44,1.38,1.39,-2.11,1762500,2499120,18269770,92072600.0,92072600.0,1.4380000000000002,,,,,2483532.4,,,3653954.0,0.0
5/30/2018,JCKH,1.39,1.43,1.37,1.41,1.44,569202,798530,17278850,92871130.0,92871130.0,1.436,,,,,2342822.8,,,3455770.0,0.0
5/31/2018,JCKH,1.44,1.44,1.39,1.4,-0.71,583000,815680,8059230,93686810.0,93686810.0,1.422,,,,,1121622.8,,,1611846.0,0.0
6/1/2018,JCKH,1.39,1.45,1.37,1.4,0.0,1192615,1668060,7523150,95354870.0,95354870.0,1.404,,,,,1065045.8,,,1504630.0,0.0
6/2/2018,JCKH,1.39,1.44,1.38,1.38,-1.43,1652250,2321090,8102480,97675960.0,97675960.0,1.396,1.4350000000000005,,,,1151913.4,,,1620496.0,0.0
6/5/2018,JCKH,1.39,1.43,1.36,1.36,-1.45,5360127,7454920,13058280,105130880.0,105130880.0,1.39,1.4175000000000002,,,,1871438.8,,,2611656.0,0.0
6/6/2018,JCKH,1.38,1.4,1.35,1.35,-0.74,2155031,2958850,15218600,49307610.0,108089730.0,1.3780000000000001,1.4083333333333334,,,,2188604.6,35.714285714285715,35.714285714285715,3043720.0,0.0
6/7/2018,JCKH,1.35,1.37,1.31,1.32,-2.22,2701100,3616840,18019760,46287330.0,111706570.0,1.362,1.4008333333333332,,,,2612224.6,28.57142857142857,32.142857142857146,3603952.0,0.0
6/8/2018,JCKH,1.32,1.32,1.29,1.3,-1.52,1837137,2395910,18747610,40299650.0,114102480.0,1.342,1.3908333333333331,,,,2741129.0,28.57142857142857,30.952380952380953,3749522.0,0.0
6/11/2018,JCKH,1.31,1.31,1.29,1.3,0.0,580100,754440,17180960,39264640.0,114856920.0,1.3259999999999998,1.3766666666666667,,,,2526699.0,28.57142857142857,30.357142857142854,3436192.0,0.0
6/12/2018,JCKH,1.3,1.32,1.28,1.28,-1.54,4051160,5242750,14968790,34472090.0,120099670.0,1.31,1.3591666666666666,,,,2264905.6,21.42857142857143,28.57142857142857,2993758.0,0.0
6/13/2018,JCKH,1.3,1.32,1.27,1.27,-0.78,2849300,3672430,15682370,35940380.0,123772100.0,1.294,1.346666666666667,,,,2403759.4,14.285714285714292,24.285714285714285,3136474.0,0.0
6/14/2018,JCKH,1.28,1.29,1.23,1.26,-0.79,7045900,8923230,20988760,43121850.0,132695330.0,1.2819999999999998,1.3358333333333334,,,,3272719.4,7.142857142857139,20.0,4197752.0,0.0
6/15/2018,JCKH,1.27,1.29,1.24,1.25,-0.79,4342400,5470300,24063150,46093030.0,138165630.0,1.272,1.3225,,,,3773772.0,7.142857142857139,15.714285714285715,4812630.0,0.0
6/18/2018,JCKH,1.26,1.26,1.2,1.21,-3.2,3516600,4312590,27621300,49607090.0,142478220.0,1.254,1.3066666666666666,,,,4361072.0,7.142857142857139,11.428571428571427,5524260.0,0.0
