Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
5/25/2018,JKN-W1,3.3,4.98,2.3,2.34,0.0,52295870,172975930,172975930,172975930.0,172975930.0,2.34,,,,,52295870.0,,,172975930.0,0.0
5/28/2018,JKN-W1,2.4,3.1,2.4,2.88,23.08,64536810,183571600,356547530,356547530.0,356547530.0,2.61,,,,,58416340.0,,,178273765.0,0.0
5/30/2018,JKN-W1,2.88,3.04,2.66,2.68,-6.94,26745307,77171460,433718990,433718990.0,433718990.0,2.6333333333333333,,,,,47859329.0,,,144572996.66666666,0.0
5/31/2018,JKN-W1,2.68,2.8,2.6,2.6,-2.99,12652950,34142530,467861520,467861520.0,467861520.0,2.625,,,,,39057734.25,,,116965380.0,0.0
6/1/2018,JKN-W1,2.7,2.98,2.6,2.6,0.0,21104101,60233170,528094690,528094690.0,528094690.0,2.62,,,,,35467007.6,,,105618938.0,0.0
6/2/2018,JKN-W1,2.48,2.52,2.02,2.12,-18.46,2455369,5379020,360497780,533473710.0,533473710.0,2.576,,,,,25498907.4,,,72099556.0,0.0
6/5/2018,JKN-W1,2.16,2.42,2.1,2.3,8.49,2279556,5145300,182071480,538619010.0,538619010.0,2.46,,,,,13047456.6,,,36414296.0,0.0
6/6/2018,JKN-W1,2.32,2.4,2.26,2.4,4.35,1819690,4255520,109155540,542874530.0,542874530.0,2.4040000000000004,,,,,8062333.2,,,21831108.0,0.0
6/7/2018,JKN-W1,2.4,2.7,2.4,2.7,12.5,5540951,14223930,89236940,557098460.0,557098460.0,2.4240000000000004,,,,,6639933.4,,,17847388.0,0.0
6/8/2018,JKN-W1,2.7,2.94,2.7,2.8,3.7,2205660,6281360,35285130,563379820.0,563379820.0,2.464,,,,,2860245.2,,,7057026.0,0.0
6/11/2018,JKN-W1,2.82,2.92,2.7,2.84,1.43,1059471,2989000,32895110,566368820.0,566368820.0,2.608,,,,,2581065.6,,,6579022.0,0.0
6/12/2018,JKN-W1,2.84,3.02,2.84,3.02,6.34,4232145,12599880,40349690,578968700.0,578968700.0,2.752,2.6066666666666665,,,,2971583.4,,,8069938.0,0.0
6/13/2018,JKN-W1,3.0,3.16,3.0,3.1,2.65,4542535,14047160,50141330,593015860.0,593015860.0,2.892,2.67,,,,3516152.4,,,10028266.0,0.0
6/14/2018,JKN-W1,3.04,3.16,3.04,3.08,-0.65,1161720,3597670,39515070,423637600.0,596613530.0,2.968,2.686666666666667,,,,2640306.2,57.14285714285714,57.14285714285714,7903014.0,0.0
6/15/2018,JKN-W1,3.08,3.1,2.9,2.9,-5.84,784841,2360840,35594550,242426840.0,598974370.0,2.988,2.705,,,,2356142.4,57.14285714285714,57.14285714285714,7118910.0,0.0
6/18/2018,JKN-W1,2.9,2.98,2.74,2.76,-4.83,585560,1648500,34254050,166903880.0,600622870.0,2.972,2.7183333333333333,,,,2261360.2,50.0,54.76190476190475,6850810.0,0.0
6/19/2018,JKN-W1,2.76,2.9,2.72,2.78,0.72,207210,572780,22226950,133334130.0,601195650.0,2.924,2.733333333333333,,,,1456373.2,57.14285714285714,55.35714285714285,4445390.0,0.0
6/20/2018,JKN-W1,2.9,2.9,2.78,2.8,0.72,182220,509100,8688890,73610060.0,601704750.0,2.864,2.79,,,,584310.2,64.28571428571428,57.14285714285713,1737778.0,0.0
6/21/2018,JKN-W1,2.8,2.8,2.7,2.7,-3.57,215340,591280,5682500,68822320.0,602296030.0,2.7880000000000003,2.8233333333333333,,,,395034.2,64.28571428571428,58.57142857142857,1136500.0,0.0
6/22/2018,JKN-W1,2.72,2.84,2.58,2.66,-1.48,350600,953870,4275530,64630890.0,603249900.0,2.74,2.845,,,,308186.0,64.28571428571428,60.0,855106.0,0.0
6/23/2018,JKN-W1,2.76,2.76,2.64,2.66,0.0,572381,1555740,4182770,61931110.0,604805640.0,2.72,2.841666666666667,,,,305550.2,57.14285714285714,61.42857142857142,836554.0,0.0
6/25/2018,JKN-W1,2.76,2.76,2.64,2.66,0.0,572381,1555740,5165730,49262920.0,606361380.0,2.696,2.83,,,,378584.4,50.0,60.0,1033146.0,0.0
6/26/2018,JKN-W1,2.68,2.76,2.68,2.74,3.01,88702,241370,4898000,43222930.0,606602750.0,2.684,2.8216666666666668,,,,359880.8,50.0,57.14285714285713,979600.0,0.0
6/27/2018,JKN-W1,2.74,2.9,2.46,2.66,-2.92,1114840,3029630,7336350,43263560.0,609632380.0,2.676,2.7916666666666665,,,,539780.8,42.857142857142854,52.85714285714285,1467270.0,0.0
6/28/2018,JKN-W1,2.68,2.7,2.46,2.46,-7.52,490610,1231280,7613760,31894960.0,610863660.0,2.636,2.7383333333333333,,,,567782.8,35.714285714285715,47.14285714285714,1522752.0,0.0
