Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
9/29/2015,JWD,13.8,15.9,13.1,15.9,44.55,263016522,3745849000,3745849000,3745849000.0,3745849000.0,15.9,,,,,263016522.0,,
9/30/2015,JWD,15.9,16.4,14.4,14.4,-9.43,131310017,2056127000,5801976000,5801976000.0,5801976000.0,15.15,,,,,197163269.5,,
10/1/2015,JWD,14.4,14.9,13.4,13.4,-6.94,57546038,818735000,6620711000,6620711000.0,6620711000.0,14.566666666666668,,,,,150624192.33333334,,
10/2/2015,JWD,13.6,14.0,12.6,13.0,-2.99,53309433,713435000,7334146000,7334146000.0,7334146000.0,14.175,,,,,126295502.5,,
10/5/2015,JWD,13.3,14.3,13.2,14.1,8.46,52379629,726152000,8060298000,8060298000.0,8060298000.0,14.16,,,,,111512327.8,,
10/6/2015,JWD,14.0,14.3,13.7,13.8,-2.13,18510402,257783000,4572232000,8318081000.0,8318081000.0,13.74,,,,,62611103.8,,
10/7/2015,JWD,13.8,14.9,13.6,13.8,0.0,80700984,1147192000,3663297000,9465273000.0,9465273000.0,13.62,,,,,52489297.2,,
10/8/2015,JWD,13.9,13.9,13.3,13.6,-1.45,23196801,315643000,3160205000,9780916000.0,9780916000.0,13.66,,,,,45619449.8,,
10/9/2015,JWD,13.8,14.1,13.6,13.8,1.47,12223100,169067000,2615837000,9949983000.0,9949983000.0,13.820000000000002,,,,,37402183.2,,
10/12/2015,JWD,13.9,14.2,13.5,13.8,0.0,17029149,236984000,2126669000,10186967000.0,10186967000.0,13.76,,,,,30332087.2,,
10/13/2015,JWD,13.8,14.1,13.8,13.9,0.72,6700301,93071000,1961957000,10280038000.0,10280038000.0,13.780000000000001,,,,,27970067.0,,
10/14/2015,JWD,14.0,14.6,14.0,14.5,4.32,22409810,320733000,1135498000,10600771000.0,10600771000.0,13.919999999999998,14.0,,,,16311832.2,,
10/15/2015,JWD,14.5,14.7,14.2,14.2,-2.07,9978720,143794000,963649000,10744565000.0,10744565000.0,14.040000000000001,13.858333333333333,,,,13668216.0,,
10/16/2015,JWD,14.5,15.2,14.0,14.3,0.7,42289482,615992000,1410574000,7614708000.0,11360557000.0,14.14,13.85,,,,19681492.4,42.857142857142854,42.857142857142854
10/19/2015,JWD,14.2,14.6,14.2,14.5,1.4,5671300,81761000,1255351000,5640342000.0,11442318000.0,14.279999999999998,13.941666666666668,,,,17409922.6,42.857142857142854,42.857142857142854
10/20/2015,JWD,14.6,15.0,14.6,14.7,1.38,8607300,127166000,1289446000,4948773000.0,11569484000.0,14.440000000000001,14.083333333333334,,,,17791322.4,50.0,45.23809523809524
10/21/2015,JWD,14.8,14.8,14.5,14.6,-0.68,3814900,55849000,1024562000,4291187000.0,11625333000.0,14.459999999999999,14.124999999999998,,,,14072340.4,50.0,46.42857142857143
10/22/2015,JWD,14.5,14.6,14.3,14.6,0.0,4770300,68808000,949576000,3633843000.0,11694141000.0,14.540000000000001,14.191666666666665,,,,13030656.4,50.0,47.142857142857146
