Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
12/18/2015,K,9.1,10.2,7.05,7.25,25.0,208165540,1944796200,1944796200,1944796200.0,1944796200.0,7.25,,,,,208165540.0,,,1944796200.0,0.0
12/21/2015,K,7.5,7.55,6.15,6.25,-13.79,34574456,236490480,2181286680,2181286680.0,2181286680.0,6.75,,,,,121369998.0,,,1090643340.0,0.0
12/22/2015,K,6.25,7.15,6.2,6.55,4.8,35715401,237288510,2418575190,2418575190.0,2418575190.0,6.683333333333334,,,,,92818465.66666669,,,806191730.0,0.0
12/23/2015,K,6.55,6.85,6.3,6.4,-2.29,10511040,68776860,2487352050,2487352050.0,2487352050.0,6.6125000000000025,,,,,72241609.25,,,621838012.5,0.0
12/24/2015,K,6.45,6.6,6.35,6.35,-0.78,5818020,37277110,2524629160,2524629160.0,2524629160.0,6.5600000000000005,,,,,58956891.4,,,504925832.0,0.0
12/25/2015,K,6.4,6.7,6.4,6.4,0.79,10851800,70848470,650681430,2595477630.0,2595477630.0,6.3900000000000015,,,,,19494143.4,,,130136286.0,0.0
12/28/2015,K,6.45,6.65,6.4,6.45,0.78,7585600,49500320,463691270,2644977950.0,2644977950.0,6.43,,,,,14096372.2,,,92738254.0,0.0
12/29/2015,K,6.5,6.75,6.45,6.6,2.33,8396500,55542250,281945010,2700520200.0,2700520200.0,6.44,,,,,8632592.0,,,56389002.0,0.0
12/30/2015,K,6.7,6.8,6.5,6.5,-1.52,6844501,45384780,258552930,2745904980.0,2745904980.0,6.459999999999999,,,,,7899284.2,,,51710586.0,0.0
1/4/2016,K,6.5,6.7,6.25,6.3,-3.08,6578000,42388220,263664040,2788293200.0,2788293200.0,6.45,,,,,8051280.2,,,52732808.0,0.0
1/5/2016,K,6.35,6.4,6.15,6.2,-1.59,3675300,22991980,215807550,2811285180.0,2811285180.0,6.410000000000001,,,,,6615980.2,,,43161510.0,0.0
1/6/2016,K,6.2,6.4,6.2,6.25,0.81,3707600,23280820,189588050,2834566000.0,2834566000.0,6.369999999999999,6.458333333333335,,,,5840380.2,,,37917610.0,0.0
1/7/2016,K,6.2,6.3,5.95,6.0,-4.0,4900700,29975280,164021080,2864541280.0,2864541280.0,6.25,6.354166666666668,,,,5141220.2,,,32804216.0,0.0
1/8/2016,K,6.05,6.1,6.0,6.0,0.0,1700400,10237720,128874020,929982800.0,2874779000.0,6.15,6.333333333333332,,,,4112400.0,42.857142857142854,42.857142857142854,25774804.0,0.0
1/11/2016,K,5.95,6.3,5.95,6.05,0.83,5143000,31408630,117894430,724900950.0,2906187630.0,6.1,6.291666666666665,,,,3825400.0,42.857142857142854,42.857142857142854,23578886.0,0.0
1/12/2016,K,6.15,6.4,6.15,6.4,5.79,6844362,42882690,137785140,530495130.0,2949070320.0,6.1400000000000015,6.291666666666668,,,,4459212.4,50.0,45.23809523809525,27557028.0,0.0
1/13/2016,K,6.45,6.45,6.2,6.3,-1.56,4196100,26566690,141071010,488284960.0,2975637010.0,6.15,6.2875000000000005,,,,4556912.4,42.857142857142854,44.64285714285715,28214202.0,0.0
1/14/2016,K,6.25,6.25,6.05,6.05,-3.97,3198900,19634770,130730500,470642620.0,2995271780.0,6.160000000000001,6.258333333333333,,,,4216552.4,42.857142857142854,44.28571428571429,26146100.0,0.0
1/15/2016,K,6.1,6.1,5.9,5.95,-1.65,2219600,13341100,133833880,413135250.0,3008612880.0,6.15,6.216666666666666,,,,4320392.4,42.857142857142854,44.28571428571429,26766776.0,0.0
1/18/2016,K,5.95,6.1,5.95,6.05,1.68,919400,5531280,107956530,369166210.0,3014144160.0,6.15,6.1708333333333325,,,,3475672.4,42.857142857142854,44.28571428571429,21591306.0,0.0
1/19/2016,K,6.1,6.35,6.0,6.25,3.31,7069500,44166340,109240180,357790300.0,3058310500.0,6.12,6.15,,,,3520700.0,42.857142857142854,42.857142857142854,21848036.0,0.0
1/20/2016,K,6.2,6.2,6.0,6.05,-3.2,1580200,9601630,92275120,322007150.0,3067912130.0,6.07,6.129166666666666,,,,2997520.0,35.714285714285715,41.42857142857143,18455024.0,0.0
1/21/2016,K,6.05,6.15,5.95,5.95,-1.65,1530100,9201440,81841790,288820370.0,3077113570.0,6.05,6.1083333333333325,,,,2663760.0,35.714285714285715,40.0,16368358.0,0.0
1/22/2016,K,6.0,6.05,6.0,6.05,1.68,488700,2949840,71450530,268778230.0,3080063410.0,6.07,6.091666666666666,,,,2317580.0,42.857142857142854,40.00000000000001,14290106.0,0.0
1/25/2016,K,6.05,6.1,6.0,6.0,-0.83,527500,3182810,69102060,248680220.0,3083246220.0,6.0600000000000005,6.091666666666668,,,,2239200.0,42.857142857142854,40.00000000000001,13820412.0,0.0
