Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,KIAT,12.8,14.7,12.7,14.6,11.45,6018550,84960000,412392000,7707513000.0,10424485000.0,14.6,,,,,6018550.0,,,84960000.0,0.0
1/6/2015,KIAT,14.2,14.7,14.1,14.2,-2.74,2538530,36319000,252639000,7415783000.0,10458504000.0,14.4,,,,,4278540.0,,,60639500.0,0.0
1/7/2015,KIAT,14.3,16.0,14.3,15.8,11.27,13549384,209409000,365579000,6318174000.0,10666634000.0,14.866666666666665,,,,,7368821.333333332,,,110229333.33333331,0.0
1/8/2015,KIAT,15.8,15.9,15.1,15.2,-3.8,3922050,60261000,409037000,4414704000.0,10726565000.0,14.95,,,,,6507128.5,,,97737250.0,0.0
1/9/2015,KIAT,15.2,16.1,15.2,15.6,2.63,6732370,105815000,496764000,4108265000.0,10831359000.0,15.079999999999998,,,,,6552176.8,,,99352800.0,0.0
1/12/2015,KIAT,15.7,16.5,15.5,16.2,3.85,8805688,142081000,553885000,1703516000.0,10973149000.0,15.4,,,,,7109604.4,,,110777000.0,0.0
1/13/2015,KIAT,16.2,16.9,16.1,16.6,2.47,7780604,128141000,645707000,1492363000.0,11101186000.0,15.88,,,,,8158019.2,,,129141400.0,0.0
1/14/2015,KIAT,16.6,16.7,16.2,16.3,-1.81,4609210,75715000,512013000,1316493000.0,11176808000.0,15.98,,,,,6369984.4,,,102402600.0,0.0
1/15/2015,KIAT,16.1,16.5,15.5,16.0,-1.84,3201900,51344000,503096000,1221477000.0,11226152000.0,16.14,,,,,6225954.4,,,100619200.0,0.0
1/16/2015,KIAT,15.9,16.5,15.9,16.1,0.62,2841200,46006000,443287000,1071411000.0,11271089000.0,16.24,,,,,5447720.4,,,88657400.0,0.0
1/19/2015,KIAT,16.0,16.4,15.9,16.0,-0.62,2307400,37293000,338499000,1012235000.0,11307411000.0,16.2,,,,,4148062.8,,,67699800.0,0.0
1/20/2015,KIAT,16.0,16.1,15.3,15.7,-1.88,2914500,45615000,255973000,1041047000.0,11352892000.0,16.020000000000003,15.691666666666665,,,,3174842.0,,,51194600.0,0.0
1/21/2015,KIAT,15.6,16.1,15.6,15.9,1.27,1422020,22693000,202951000,1045652000.0,11374738000.0,15.94,15.8,,,,2537404.0,,,40590200.0,0.0
1/22/2015,KIAT,16.0,16.0,15.7,15.7,-1.26,874205,13799000,165406000,974491000.0,11386244000.0,15.88,15.925,,,,2071865.0,50.0,50.0,33081200.0,0.0
1/23/2015,KIAT,15.8,15.9,15.6,15.7,0.0,1054801,16619000,136019000,954791000.0,11394521000.0,15.8,15.916666666666664,,,,1714585.2,42.857142857142854,46.42857142857143,27203800.0,0.0
1/26/2015,KIAT,15.5,16.2,15.5,16.0,1.91,2570964,41090000,139816000,786472000.0,11431625000.0,15.8,15.983333333333333,,,,1767298.0,50.0,47.61904761904761,27963200.0,0.0
1/27/2015,KIAT,16.1,16.6,15.8,16.3,1.88,4951100,80508000,174709000,806719000.0,11510725000.0,15.919999999999998,16.041666666666664,,,,2174618.0,50.0,48.214285714285715,34941800.0,0.0
1/28/2015,KIAT,16.4,16.5,16.0,16.1,-1.23,2446250,39605000,191621000,740509000.0,11447458000.0,15.960000000000004,16.033333333333335,,,,2379464.0,50.0,48.57142857142857,38324200.0,0.0
1/29/2015,KIAT,16.0,16.4,15.8,16.1,0.0,2304302,37073000,214895000,635501000.0,11310603000.0,16.04,15.991666666666667,,,,2665483.4,42.857142857142854,47.14285714285714,42979000.0,0.0
1/30/2015,KIAT,16.0,16.1,15.9,16.1,0.0,1226813,19632000,217908000,526992000.0,10506688000.0,16.119999999999994,15.975,,,,2699885.8,35.714285714285715,45.714285714285715,43581600.0,0.0
2/2/2015,KIAT,16.2,18.8,16.2,18.6,15.53,25779096,448680000,625498000,899957000.0,10622768000.0,16.640000000000004,16.191666666666666,,,,7341512.2,35.714285714285715,42.85714285714286,125099600.0,0.0
2/3/2015,KIAT,18.0,18.4,17.3,18.2,-2.15,9939553,177463000,722453000,1026076000.0,9542674000.0,17.020000000000003,16.366666666666664,,,,8339202.8,35.714285714285715,40.00000000000001,144490600.0,0.0
2/4/2015,KIAT,18.6,18.6,17.7,17.9,-1.65,4172340,75263000,758111000,1055333000.0,9289888000.0,17.380000000000006,16.525,,,,8684420.8,35.714285714285715,37.142857142857146,151622200.0,0.0
2/5/2015,KIAT,18.0,19.1,17.6,18.6,3.91,6409421,118664000,839702000,1136704000.0,8101534000.0,17.880000000000006,16.766666666666662,,,,9505444.6,35.714285714285715,35.714285714285715,167940400.0,0.0
2/6/2015,KIAT,18.6,18.8,17.3,17.9,-3.76,7423170,133236000,953306000,1224325000.0,6271039000.0,18.24,16.933333333333334,,,,10744716.0,35.714285714285715,35.714285714285715,190661200.0,0.0
2/9/2015,KIAT,17.9,18.0,16.4,17.2,-3.91,9640260,166232000,670858000,1367864000.0,6025017000.0,17.96,17.05833333333333,16.33076923076923,0.6849715099715041,0.6849715099715041,7516948.8,35.714285714285715,35.714285714285715,134171600.0,0.0
2/10/2015,KIAT,13.2,13.5,12.8,13.3,-22.67,3078770,40611000,534006000,1394676000.0,3518798000.0,16.979999999999997,16.85833333333333,16.28076923076923,0.2509259259259231,0.4679487179487136,6144792.2,28.57142857142857,34.285714285714285,106801200.0,0.0
2/11/2015,KIAT,13.0,13.2,12.7,12.9,-3.01,1690200,21838000,480581000,1399895000.0,3201342000.0,15.98,16.6,16.23076923076923,0.04672364672364715,0.3275403608736915,5648364.2,28.57142857142857,32.857142857142854,96116200.0,0.0
2/12/2015,KIAT,13.1,14.5,13.0,14.4,11.63,6983700,96713000,458630000,1455518000.0,3046470000.0,15.139999999999995,16.441666666666666,16.176923076923075,0.08226495726495743,0.26622150997150795,5763220.0,35.714285714285715,32.85714285714286,91726000.0,0.0
2/13/2015,KIAT,14.6,16.4,14.3,16.4,13.89,7662700,118275000,443669000,1493285000.0,3018385000.0,14.839999999999998,16.46666666666667,16.22307692307692,0.2202279202279236,0.2570227920227911,5811126.0,35.714285714285715,32.85714285714286,88733800.0,0.0
2/16/2015,KIAT,16.8,17.0,16.0,16.8,2.44,4397800,72943000,350380000,1526623000.0,2895256000.0,14.76,16.525000000000002,16.269230769230766,0.2587606837606877,0.1717806267806278,4762634.0,35.714285714285715,32.85714285714286,70076000.0,0.0
2/17/2015,KIAT,1.66,1.66,1.47,1.51,-10.12,39770305,61585000,371354000,1551135000.0,2860372000.0,12.402,15.309166666666668,15.704230769230769,-1.4665883190883129,-0.1717222222222194,12100941.0,35.714285714285715,34.285714285714285,74270800.0,0.0
2/18/2015,KIAT,1.51,1.52,1.39,1.49,-1.32,36563095,53119000,402635000,1584622000.0,2896688000.0,10.12,13.883333333333335,15.12307692307692,-2.1365527065527026,-0.6083774928774893,19075520.0,35.714285714285715,35.714285714285715,80527000.0,0.0
2/19/2015,KIAT,1.52,1.52,1.43,1.46,-2.01,14698818,21437000,327359000,1157379000.0,2900037000.0,7.532000000000001,12.488333333333335,14.55230769230769,-2.790840455840451,-1.182998575498571,20618543.6,35.714285714285715,35.714285714285715,65471800.0,0.0
2/20/2015,KIAT,1.44,1.45,1.39,1.42,-2.74,17419800,24610000,233694000,1004526000.0,2839687000.0,4.5360000000000005,11.115000000000002,13.991538461538456,-3.4368518518518467,-1.9144145299145248,22569963.6,28.57142857142857,34.285714285714285,46738800.0,0.0
2/23/2015,KIAT,1.43,1.52,1.43,1.49,4.93,54505902,80831000,241582000,1010094000.0,2884199000.0,1.474,9.689166666666663,13.429615384615385,-4.1174430199430185,-2.7896552706552664,32591584.0,35.714285714285715,34.285714285714285,48316400.0,0.0
