Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,KKC,2.62,2.64,2.58,2.58,-3.01,836700,2178000,37946000,169517000.0,261884000.0,2.58,,,,,836700.0,,
1/6/2015,KKC,2.58,2.68,2.56,2.68,3.88,446400,1171000,31134000,169315000.0,237403000.0,2.63,,,,,641550.0,,
1/7/2015,KKC,2.66,2.72,2.66,2.72,1.49,393800,1061000,11907000,169342000.0,234542000.0,2.66,,,,,558966.6666666666,,
1/8/2015,KKC,2.76,2.84,2.76,2.82,3.68,1036501,2905000,8850000,168550000.0,216022000.0,2.7,,,,,678350.25,,
1/9/2015,KKC,2.84,2.84,2.78,2.8,-0.71,316164,883000,8198000,125380000.0,211290000.0,2.72,,,,,605913.0,,
1/12/2015,KKC,2.84,2.84,2.76,2.8,0.0,181435,505000,6525000,95247000.0,206550000.0,2.7640000000000002,,,,,474860.0,,
1/13/2015,KKC,2.82,2.82,2.76,2.78,-0.71,463800,1290000,6644000,72964000.0,205291000.0,2.784,,,,,478340.0,,
1/14/2015,KKC,2.8,2.82,2.76,2.76,-0.72,742800,2072000,7655000,57333000.0,204082000.0,2.7919999999999994,,,,,548140.0,,
1/15/2015,KKC,2.8,2.8,2.76,2.8,1.45,604741,1685000,6435000,49518000.0,204650000.0,2.7879999999999994,,,,,461788.0,,
1/16/2015,KKC,2.8,2.8,2.72,2.72,-2.86,791300,2191000,7743000,43726000.0,203321000.0,2.7720000000000002,,,,,556815.2,,
1/19/2015,KKC,2.72,2.8,2.72,2.74,0.74,280300,774000,8012000,24212000.0,199597000.0,2.7600000000000002,,,,,576588.2,,
1/20/2015,KKC,2.78,2.78,2.74,2.74,0.0,162400,449000,7171000,18699000.0,199120000.0,2.752,2.7450000000000006,,,,516308.2,,
1/21/2015,KKC,2.78,2.78,2.72,2.72,-0.73,379076,1037000,6136000,18201000.0,199084000.0,2.744,2.7566666666666664,,,,443563.4,,
1/22/2015,KKC,2.76,2.78,2.72,2.72,0.0,223023,616000,5067000,16639000.0,199233000.0,2.7280000000000006,2.76,,,,367219.8,35.71428571428572,35.71428571428572
1/23/2015,KKC,2.74,2.78,2.72,2.74,0.74,454612,1257000,4133000,16725000.0,199130000.0,2.732,2.7616666666666667,,,,299882.2,42.857142857142854,39.28571428571429
1/26/2015,KKC,2.76,2.76,2.72,2.72,-0.73,361900,989000,4348000,16653000.0,199686000.0,2.7280000000000006,2.7533333333333334,,,,316202.2,35.71428571428572,38.0952380952381
1/27/2015,KKC,2.74,2.76,2.72,2.74,0.74,485527,1336000,5235000,15084000.0,198836000.0,2.728,2.7483333333333335,,,,380827.6,35.71428571428572,37.50000000000001
1/28/2015,KKC,2.74,2.78,2.72,2.72,-0.73,474500,1300000,5498000,15501000.0,199669000.0,2.7280000000000006,2.7416666666666667,,,,399912.4,28.57142857142857,35.71428571428572
1/29/2015,KKC,2.72,2.76,2.72,2.74,0.74,274140,749000,5631000,15745000.0,198589000.0,2.732,2.7383333333333333,,,,410135.8,35.71428571428572,35.71428571428572
1/30/2015,KKC,2.74,2.74,2.72,2.74,0.0,138400,379000,4753000,14834000.0,194981000.0,2.732,2.736666666666667,,,,346893.4,35.71428571428572,34.28571428571429
2/2/2015,KKC,2.74,2.74,2.7,2.72,-0.73,261428,711000,4475000,13473000.0,193141000.0,2.732,2.7300000000000004,,,,326799.0,35.71428571428572,34.28571428571429
2/3/2015,KKC,2.72,2.8,2.72,2.78,2.21,483730,1339000,4478000,13127000.0,194216000.0,2.74,2.7350000000000008,,,,326439.6,42.857142857142854,35.714285714285715
