Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,KKP,39.25,39.5,38.5,38.5,-2.53,1637320,63586000,274221000,852988000.0,1686911000.0,38.5,,,,,1637320.0,,,63586000.0,0.0
1/6/2015,KKP,38.5,39.5,38.5,39.5,2.6,643405,25112000,276237000,733025000.0,1701486000.0,39.0,,,,,1140362.5,,,44349000.0,0.0
1/7/2015,KKP,39.0,39.25,38.5,39.0,-1.27,757100,29415000,241305000,608392000.0,1704284000.0,39.0,,,,,1012608.3333333336,,,39371000.0,0.0
1/8/2015,KKP,39.0,39.75,39.0,39.5,1.28,427601,16838000,210142000,515192000.0,1646620000.0,39.125,,,,,866356.5,,,33737750.0,0.0
1/9/2015,KKP,39.25,40.0,39.25,39.75,0.63,457100,18110000,153061000,496212000.0,1655284000.0,39.25,,,,,784505.2,,,30612200.0,0.0
1/12/2015,KKP,40.25,40.25,39.5,39.75,0.0,893801,35606000,125081000,487910000.0,1668455000.0,39.5,,,,,635801.4,,,25016200.0,0.0
1/13/2015,KKP,39.75,40.0,39.25,39.75,0.0,759751,30155000,130124000,490546000.0,1671440000.0,39.55,,,,,659070.6,,,26024800.0,0.0
1/14/2015,KKP,40.0,40.75,39.75,40.75,2.52,1130300,45450000,146159000,515113000.0,1693128000.0,39.9,,,,,733710.6,,,29231800.0,0.0
1/15/2015,KKP,40.5,40.75,40.0,40.0,-1.84,496962,19999000,149320000,494906000.0,1662645000.0,40.0,,,,,747582.8,,,29864000.0,0.0
1/16/2015,KKP,40.0,40.25,39.5,40.0,0.0,313484,12485000,143695000,484295000.0,1650303000.0,40.05,,,,,718859.6,,,28739000.0,0.0
1/19/2015,KKP,39.5,40.0,39.25,39.5,-1.25,477801,18915000,127004000,438863000.0,1620149000.0,40.0,,,,,635659.6,,,25400800.0,0.0
1/20/2015,KKP,39.75,40.0,39.0,39.25,-0.63,668801,26407000,123256000,417269000.0,1594660000.0,39.9,39.60416666666666,,,,617469.6,,,24651200.0,0.0
