Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,KPNPF,9.8,9.8,9.8,9.8,0.0,10000,98000,2695000,15681000.0,38492000.0,9.8,,,,,10000.0,,
1/7/2015,KPNPF,9.8,9.8,9.8,9.8,0.0,50000,490000,2646000,12935000.0,38727000.0,9.8,,,,,30000.0,,
1/8/2015,KPNPF,9.8,9.8,9.8,9.8,0.0,23500,230000,2778000,11988000.0,38957000.0,9.8,,,,,27833.333333333332,,
1/9/2015,KPNPF,9.8,9.8,9.8,9.8,0.0,60000,588000,1406000,12184000.0,39341000.0,9.8,,,,,35875.0,,
1/13/2015,KPNPF,9.85,9.85,9.85,9.85,0.51,5000,49000,1357000,11069000.0,38080000.0,9.81,,,,,29700.0,,
1/14/2015,KPNPF,9.85,9.85,9.85,9.85,0.0,100,1000,868000,4053000.0,37884000.0,9.82,,,,,27720.0,,
1/16/2015,KPNPF,9.85,9.85,9.85,9.85,0.0,10000,98000,148000,4102000.0,30687000.0,9.830000000000002,,,,,19720.0,,
1/19/2015,KPNPF,9.85,9.85,9.85,9.85,0.0,26000,256000,404000,3868000.0,30850000.0,9.84,,,,,20220.0,,
1/21/2015,KPNPF,9.85,9.85,9.85,9.85,0.0,50000,492000,846000,2302000.0,27774000.0,9.85,,,,,18220.0,,
1/22/2015,KPNPF,9.85,9.85,9.85,9.85,0.0,2000,20000,866000,2224000.0,26814000.0,9.85,,,,,17620.0,,
1/26/2015,KPNPF,9.85,9.9,9.85,9.9,0.51,13500,133000,645000,1867000.0,22752000.0,9.86,,,,,20300.0,,
1/28/2015,KPNPF,9.9,9.9,9.9,9.9,0.0,61600,610000,763000,1659000.0,22143000.0,9.87,9.841666666666667,,,,30620.0,,
1/29/2015,KPNPF,9.9,9.9,9.9,9.9,0.0,100000,990000,1733000,2649000.0,22525000.0,9.879999999999999,9.85,,,,45420.0,,
1/30/2015,KPNPF,9.9,9.9,9.9,9.9,0.0,50000,495000,2228000,3095000.0,22285000.0,9.889999999999999,9.858333333333336,,,,45420.0,14.285714285714292,14.285714285714292
2/2/2015,KPNPF,9.85,9.85,9.85,9.85,-0.51,206000,2029000,4124000,5123000.0,22172000.0,9.89,9.862500000000002,,,,86220.0,14.285714285714292,14.285714285714292
2/3/2015,KPNPF,9.9,9.9,9.85,9.85,0.0,154000,1519000,5643000,6642000.0,23681000.0,9.88,9.866666666666667,,,,114320.0,14.285714285714292,14.285714285714292
2/4/2015,KPNPF,9.85,9.85,9.85,9.85,0.0,300,3000,5036000,6547000.0,22520000.0,9.870000000000001,9.866666666666665,,,,102060.0,14.285714285714292,14.285714285714292
2/6/2015,KPNPF,9.85,9.9,9.85,9.9,0.51,110000,1088000,4639000,7379000.0,20359000.0,9.870000000000001,9.870833333333332,,,,104060.0,21.42857142857143,15.714285714285719
2/9/2015,KPNPF,9.85,9.85,9.85,9.85,-0.51,50700,499000,3109000,7386000.0,20466000.0,9.86,9.870833333333332,,,,104200.0,14.285714285714292,15.714285714285719
2/13/2015,KPNPF,9.9,9.9,9.9,9.9,0.51,5000,50000,549000,7283000.0,12335000.0,9.870000000000001,9.874999999999998,,,,64000.0,21.42857142857143,17.142857142857146
2/16/2015,KPNPF,9.9,9.9,9.9,9.9,0.0,98401,974000,1024000,7647000.0,13260000.0,9.879999999999999,9.879166666666666,,,,52880.2,21.42857142857143,18.571428571428577
2/18/2015,KPNPF,9.9,9.9,9.9,9.9,0.0,208600,2065000,3089000,8227000.0,14737000.0,9.889999999999999,9.883333333333335,,,,94540.2,21.42857142857143,20.000000000000004
2/20/2015,KPNPF,9.85,9.85,9.85,9.85,-0.51,70000,690000,3729000,5369000.0,13369000.0,9.879999999999999,9.879166666666668,,,,86540.2,21.42857142857143,20.000000000000004
2/24/2015,KPNPF,9.85,10.0,9.85,10.0,1.52,10100,100000,2855000,5466000.0,12979000.0,9.91,9.887500000000001,,,,78420.2,28.57142857142857,22.857142857142858
2/25/2015,KPNPF,10.0,10.1,9.9,9.9,-1.0,200300,2003000,2793000,6381000.0,14752000.0,9.91,9.887500000000001,,,,117480.2,21.42857142857143,22.857142857142858
