Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,KSL,11.8,11.9,11.7,11.7,-0.85,498500,5874000,25705000,86238000.0,182346000.0,11.7,,,,,498500.0,,,5874000.0,0.0
1/6/2015,KSL,11.7,11.8,11.5,11.7,0.0,627300,7291000,32129000,76907000.0,184383000.0,11.7,,,,,562900.0,,,6582500.0,0.0
1/7/2015,KSL,11.7,11.8,11.6,11.7,0.0,367500,4307000,31356000,74913000.0,184846000.0,11.699999999999998,,,,,497766.66666666674,,,5824000.0,0.0
1/8/2015,KSL,11.8,11.8,11.6,11.7,0.0,664401,7794000,29287000,79050000.0,190122000.0,11.7,,,,,539425.25,,,6316500.0,0.0
1/9/2015,KSL,11.8,11.9,11.7,11.7,0.0,536600,6322000,31588000,69189000.0,189078000.0,11.7,,,,,538860.2,,,6317600.0,0.0
1/12/2015,KSL,11.9,12.0,11.8,11.9,1.71,181000,2149000,27863000,66848000.0,184013000.0,11.739999999999998,,,,,475360.2,,,5572600.0,0.0
1/13/2015,KSL,11.9,12.0,11.9,12.0,0.84,262603,3144000,23716000,65204000.0,185108000.0,11.8,,,,,402420.8,,,4743200.0,0.0
1/14/2015,KSL,12.0,12.1,12.0,12.1,0.83,364500,4382000,23791000,62232000.0,184820000.0,11.88,,,,,401820.8,,,4758200.0,0.0
1/15/2015,KSL,12.0,12.1,12.0,12.0,-0.83,168700,2028000,18025000,63122000.0,186129000.0,11.94,,,,,302680.6,,,3605000.0,0.0
1/16/2015,KSL,12.0,12.3,12.0,12.3,2.5,246700,3019000,14722000,65274000.0,184638000.0,12.06,,,,,244700.6,,,2944400.0,0.0
1/19/2015,KSL,12.1,12.4,12.1,12.2,-0.81,254200,3107000,15680000,63301000.0,180424000.0,12.12,,,,,259340.6,,,3136000.0,0.0
1/20/2015,KSL,12.2,12.3,12.1,12.3,0.82,395700,4838000,17374000,58276000.0,179457000.0,12.18,11.941666666666668,,,,285960.0,,,3474800.0,0.0
1/21/2015,KSL,12.3,12.3,12.1,12.2,-0.81,328200,4020000,17012000,58275000.0,181178000.0,12.2,11.983333333333333,,,,278700.0,,,3402400.0,0.0
1/22/2015,KSL,12.3,12.5,12.2,12.5,2.46,277201,3431000,18415000,55832000.0,178947000.0,12.3,12.05,,,,300400.2,42.857142857142854,42.857142857142854,3683000.0,0.0
1/23/2015,KSL,12.5,12.6,12.4,12.4,-0.8,487800,6090000,21486000,54631000.0,179134000.0,12.32,12.108333333333334,,,,348620.2,42.857142857142854,42.857142857142854,4297200.0,0.0
1/26/2015,KSL,13.2,13.5,12.4,12.8,3.23,2858829,37141000,55520000,87465000.0,214112000.0,12.44,12.2,,,,869546.0,50.0,45.23809523809525,11104000.0,0.0
1/27/2015,KSL,13.1,13.1,12.9,12.9,0.78,820133,10623000,61305000,90294000.0,221145000.0,12.56,12.300000000000002,,,,954432.6,57.14285714285714,48.214285714285715,12261000.0,0.0
1/28/2015,KSL,13.0,13.1,12.9,13.0,0.78,615100,8001000,65286000,91973000.0,225855000.0,12.72,12.391666666666667,,,,1011812.6,64.28571428571428,51.42857142857142,13057200.0,0.0
1/29/2015,KSL,13.0,13.2,13.0,13.1,0.77,581801,7613000,69468000,97437000.0,228272000.0,12.84,12.483333333333334,,,,1072732.6,71.42857142857143,57.14285714285714,13893600.0,0.0
1/30/2015,KSL,13.1,13.2,12.9,13.1,0.0,1077400,14059000,77437000,108352000.0,238617000.0,12.98,12.566666666666668,,,,1190652.6,64.28571428571428,61.42857142857142,15487400.0,0.0
2/2/2015,KSL,13.1,13.1,12.9,13.1,0.0,324655,4216000,44512000,108186000.0,234815000.0,13.04,12.658333333333333,,,,683817.8,57.14285714285714,62.85714285714285,8902400.0,0.0
2/3/2015,KSL,13.1,13.1,13.0,13.0,-0.76,418597,5453000,39342000,111611000.0,235266000.0,13.060000000000002,12.716666666666667,,,,603510.6,50.0,61.42857142857142,7868400.0,0.0
2/4/2015,KSL,13.0,13.1,12.9,13.1,0.77,721304,9372000,40713000,117964000.0,228016000.0,13.079999999999998,12.791666666666664,,,,624751.4,57.14285714285714,60.0,8142600.0,0.0
2/5/2015,KSL,13.1,13.1,12.9,13.0,-0.76,984000,12793000,45893000,127650000.0,234508000.0,13.060000000000002,12.85,,,,705191.2,50.0,55.71428571428571,9178600.0,0.0
2/6/2015,KSL,13.1,13.1,12.9,13.0,0.0,1029185,13373000,45207000,136185000.0,244224000.0,13.04,12.916666666666664,,,,695548.2,50.0,52.85714285714285,9041400.0,0.0
2/9/2015,KSL,13.1,13.2,13.0,13.1,0.77,808300,10582000,51573000,142747000.0,238623000.0,13.04,12.966666666666667,12.44615384615385,0.4925925925925903,0.4925925925925903,792277.2,50.0,51.42857142857142,10314600.0,0.0
2/10/2015,KSL,13.0,13.1,12.8,12.9,-1.53,1446900,18763000,64883000,158079000.0,252896000.0,13.02,13.008333333333333,12.492307692307696,0.4691595441595418,0.480876068376066,997937.8,50.0,51.42857142857142,12976600.0,0.0
2/11/2015,KSL,13.0,13.0,12.8,12.9,0.0,1289823,16599000,72110000,168588000.0,264707000.0,12.98,13.016666666666667,12.538461538461535,0.4334757834757834,0.4650759734093051,1111641.6,42.857142857142854,48.57142857142857,14422000.0,0.0
2/12/2015,KSL,12.9,12.9,12.8,12.9,0.0,471900,6087000,65404000,137534000.0,263440000.0,12.96,13.016666666666667,12.584615384615386,0.3907407407407426,0.4464921652421645,1009221.6,42.857142857142854,47.14285714285714,13080800.0,0.0
2/13/2015,KSL,12.9,13.1,12.9,13.1,1.55,952800,12340000,64371000,139251000.0,274642000.0,12.98,13.025,12.638461538461538,0.3638888888888889,0.4299715099715094,993944.6,42.857142857142854,45.714285714285715,12874200.0,0.0
2/16/2015,KSL,13.0,13.1,12.8,12.9,-1.53,1452501,18722000,72511000,149972000.0,292497000.0,12.94,13.008333333333335,12.684615384615386,0.2910968660968685,0.38967236467236505,1122784.8,35.714285714285715,42.85714285714286,14502200.0,0.0
2/17/2015,KSL,13.0,13.0,12.8,12.8,-0.78,1438400,18516000,72264000,160875000.0,305933000.0,12.919999999999998,12.983333333333334,12.719230769230766,0.2299145299145362,0.3418233618233639,1121084.8,28.57142857142857,38.57142857142857,14452800.0,0.0
2/18/2015,KSL,12.8,13.0,12.8,12.9,0.78,831400,10762000,66427000,157578000.0,306832000.0,12.920000000000002,12.966666666666667,12.753846153846151,0.19173789173789396,0.2934757834757861,1029400.2,28.57142857142857,35.714285714285715,13285400.0,0.0
2/19/2015,KSL,13.0,13.0,12.8,12.8,-0.78,361200,4644000,64984000,158006000.0,307455000.0,12.9,12.950000000000005,12.78076923076923,0.14472934472934895,0.2442735042735073,1007260.2,28.57142857142857,32.857142857142854,12996800.0,0.0
2/20/2015,KSL,12.9,13.0,12.9,12.9,0.78,472400,6122000,58766000,158675000.0,307703000.0,12.860000000000005,12.933333333333335,12.815384615384614,0.10655270655270854,0.19280626780627125,911180.2,35.714285714285715,31.428571428571434,11753200.0,0.0
2/23/2015,KSL,13.0,13.0,12.9,13.0,0.78,459809,5961000,46005000,155264000.0,306373000.0,12.88,12.933333333333335,12.842307692307696,0.08960113960114137,0.1525071225071258,712641.8,42.857142857142854,32.857142857142854,9201000.0,0.0
2/24/2015,KSL,13.0,13.0,12.8,12.9,-0.77,526800,6805000,34294000,149276000.0,308871000.0,12.9,12.925,12.869230769230766,0.049643874643876984,0.11645299145299395,530321.8,35.714285714285715,34.285714285714285,6858800.0,0.0
2/25/2015,KSL,13.0,13.0,12.7,12.8,-0.78,1152300,14810000,38342000,150713000.0,315887000.0,12.88,12.900000000000004,12.888461538461538,0.00270655270655773,0.07864672364672673,594501.8,35.714285714285715,35.714285714285715,7668400.0,0.0
2/26/2015,KSL,12.9,12.9,12.6,12.7,-0.78,1265600,16105000,49803000,156236000.0,325670000.0,12.86,12.883333333333333,12.907692307692304,-0.037179487179487936,0.04226495726495934,775381.8,35.714285714285715,37.142857142857146,9960600.0,0.0
2/27/2015,KSL,12.6,12.6,12.1,12.4,-2.36,2316800,28425000,72106000,165898000.0,351946000.0,12.760000000000002,12.841666666666667,12.903846153846152,-0.09280626780626557,0.0023931623931645165,1144261.8,28.57142857142857,35.714285714285715,14421200.0,0.0
3/2/2015,KSL,12.4,12.4,12.1,12.3,-0.81,747600,9141000,75286000,158440000.0,357943000.0,12.62,12.79166666666667,12.9,-0.13952991452991093,-0.043433048433045934,1201820.0,28.57142857142857,32.857142857142854,15057200.0,0.0
3/3/2015,KSL,12.1,12.4,12.0,12.3,0.0,899601,10922000,79403000,163275000.0,364483000.0,12.5,12.725000000000005,12.880769230769232,-0.17813390313390265,-0.08898860398860188,1276380.2,28.57142857142857,31.428571428571434,15880600.0,0.0
3/5/2015,KSL,12.3,12.4,12.1,12.3,0.0,932600,11425000,76018000,162360000.0,373880000.0,12.4,12.675000000000002,12.85769230769231,-0.19907407407407612,-0.12934472934472865,1232440.2,28.57142857142857,30.0,15203600.0,0.0
3/6/2015,KSL,12.3,12.5,12.3,12.5,1.63,221200,2737000,62650000,146375000.0,373598000.0,12.36,12.65,12.838461538461539,-0.1864672364672355,-0.15920227920227814,1023560.2,28.57142857142857,28.57142857142857,12530000.0,0.0
3/9/2015,KSL,12.6,12.6,12.3,12.5,0.0,770000,9593000,43818000,137452000.0,380084000.0,12.38,12.616666666666667,12.81538461538462,-0.19330484330484587,-0.17930199430199426,714200.2,28.57142857142857,28.57142857142857,8763600.0,0.0
3/10/2015,KSL,6.3,6.45,6.25,6.4,2.4,1737305,11063000,45740000,137753000.0,386309000.0,11.2,12.083333333333336,12.55769230769231,-0.8925925925925959,-0.32991452991453124,912141.2,35.714285714285715,30.0,9148000.0,0.0
3/11/2015,KSL,6.4,6.45,6.3,6.4,0.0,2063501,13124000,47942000,146233000.0,395413000.0,10.02,11.541666666666664,12.3,-1.1123219373219388,-0.5167521367521385,1144921.2,28.57142857142857,30.0,9588400.0,0.0
3/12/2015,KSL,5.35,5.4,5.2,5.35,-16.41,1868612,9915000,46432000,150026000.0,401897000.0,8.629999999999999,10.904166666666667,12.005769230769232,-1.4630698005697995,-0.7695512820512832,1332123.6,28.57142857142857,30.0,9286400.0,0.0
3/13/2015,KSL,5.3,5.3,5.25,5.25,-1.87,781390,4116000,47811000,148181000.0,399923000.0,7.18,10.266666666666667,11.703846153846154,-1.7309116809116816,-1.0784401709401723,1444161.6,21.42857142857143,28.57142857142857,9562200.0,0.0
3/16/2015,KSL,5.3,5.3,5.0,5.05,-3.81,816201,4161000,42379000,145537000.0,366943000.0,5.69,9.620833333333334,11.398076923076928,-2.0102207977207978,-1.441823361823363,1453401.8,14.285714285714292,25.714285714285715,8475800.0,0.0
3/17/2015,KSL,5.05,5.05,4.98,4.98,-1.39,904700,4539000,35855000,135266000.0,360859000.0,5.4060000000000015,8.977500000000003,11.089615384615383,-2.2745512820512843,-1.7182150997151004,1286880.8,14.285714285714292,21.42857142857143,7171000.0,0.0
3/18/2015,KSL,5.0,5.05,5.0,5.0,0.4,456900,2288000,25019000,121449000.0,355146000.0,5.126,8.360833333333334,10.778076923076927,-2.5062891737891766,-1.9970085470085484,965560.6,21.42857142857143,20.000000000000004,5003800.0,0.0
3/19/2015,KSL,5.0,5.05,4.96,5.0,0.0,536000,2671000,17775000,95695000.0,350204000.0,5.056,7.7525,10.47423076923077,-2.739693732193732,-2.252333333333335,699038.2,21.42857142857143,18.571428571428573,3555000.0,0.0
3/20/2015,KSL,5.05,5.05,4.96,5.0,0.0,1122800,5606000,19265000,92160000.0,341751000.0,5.006,7.144166666666668,10.170384615384616,-2.973098290598293,-2.5007706552706566,767320.2,21.42857142857143,18.571428571428573,3853000.0,0.0
3/23/2015,KSL,5.05,5.05,4.96,4.96,-0.8,651400,3252000,18356000,84490000.0,340787000.0,4.988,6.532499999999999,9.865000000000002,-3.2110897435897465,-2.7409444444444464,734360.0,21.42857142857143,20.000000000000004,3671200.0,0.0
3/24/2015,KSL,4.98,4.98,4.9,4.94,-0.4,1028000,5058000,18875000,78123000.0,340392000.0,4.98,5.902499999999999,9.551153846153849,-3.4551638176638217,-2.977066951566953,759020.0,21.42857142857143,21.42857142857143,3775000.0,0.0
3/25/2015,KSL,4.94,4.98,4.92,4.94,0.0,240800,1192000,17779000,76578000.0,332212000.0,4.968000000000001,5.2725,9.245,-3.7047649572649592,-3.2167621082621105,715800.0,21.42857142857143,21.42857142857143,3555800.0,0.0
3/26/2015,KSL,4.94,4.94,4.84,4.92,-0.4,560902,2749000,17857000,69734000.0,322168000.0,4.952000000000001,5.149166666666667,8.941923076923079,-3.5300925925925917,-3.374841880341882,720780.4,14.285714285714292,20.000000000000004,3571400.0,0.0
3/27/2015,KSL,4.92,4.92,4.86,4.88,-0.81,381900,1860000,14111000,60531000.0,310655000.0,4.927999999999999,5.0225,8.633461538461539,-3.354850427350427,-3.4511923076923083,572600.4,14.285714285714292,18.571428571428573,2822200.0,0.0
3/30/2015,KSL,4.9,4.96,4.82,4.84,-0.82,505501,2443000,13302000,49850000.0,302516000.0,4.904,4.98,8.327307692307691,-3.110527065527064,-3.431079772079772,543420.6,7.142857142857139,15.714285714285715,2660400.0,0.0
4/1/2015,KSL,4.82,4.88,4.82,4.88,0.41,135100,654000,8898000,40589000.0,284407000.0,4.8919999999999995,4.9491666666666685,8.018846153846154,-2.84781339031339,-3.3096096866096865,364840.6,14.285714285714292,14.285714285714288,1779600.0,0.0
4/2/2015,KSL,4.88,4.9,4.8,4.82,-1.23,1306528,6332000,14038000,42805000.0,274140000.0,4.868,4.9300000000000015,7.70423076923077,-2.577507122507124,-3.0841581196581203,577986.2,14.285714285714292,12.857142857142858,2807600.0,2.0
4/3/2015,KSL,4.82,4.84,4.82,4.82,0.0,239072,1152000,12441000,39796000.0,269205000.0,4.848,4.916666666666667,7.393461538461537,-2.3010398860398835,-2.8383475783475776,513620.2,14.285714285714292,12.857142857142858,2488200.0,0.0
4/7/2015,KSL,4.8,4.88,4.8,4.84,0.41,529880,2568000,13149000,37825000.0,259433000.0,4.84,4.903333333333333,7.087307692307691,-2.027250712250712,-2.5728276353276347,543216.2,21.42857142857143,14.285714285714288,2629800.0,0.0
4/8/2015,KSL,4.84,4.84,4.8,4.84,0.0,588179,2834000,13540000,38371000.0,243545000.0,4.84,4.8900000000000015,6.7849999999999975,-1.7586182336182317,-2.3024458689458682,559751.8,21.42857142857143,17.142857142857142,2708000.0,2.0
4/9/2015,KSL,4.84,4.88,4.8,4.82,-0.41,564800,2729000,15615000,38429000.0,227758000.0,4.828,4.875000000000001,6.4934615384615375,-1.5029629629629608,-2.033475783475782,645691.8,14.285714285714292,17.142857142857142,3123000.0,0.0
4/10/2015,KSL,4.84,4.94,4.84,4.9,1.66,888629,4357000,13640000,37180000.0,221353000.0,4.843999999999999,4.87,6.208846153846152,-1.2372792022792023,-1.7654301994301982,562112.0,21.42857142857143,18.571428571428573,2728000.0,2.0
4/16/2015,KSL,5.0,5.0,4.94,4.98,1.63,706560,3506000,15994000,37434000.0,220215000.0,4.876,4.873333333333334,5.927307692307693,-0.9673931623931606,-1.4987008547008536,655609.6,28.57142857142857,21.42857142857143,3198800.0,2.0
4/17/2015,KSL,5.0,5.0,4.98,5.0,0.4,658401,3289000,16715000,35665000.0,217382000.0,4.908,4.878333333333334,5.64653846153846,-0.7015954415954404,-1.2335698005697993,681313.8,35.714285714285715,24.28571428571429,3343000.0,0.0
4/20/2015,KSL,5.0,5.0,4.92,4.94,-1.2,393015,1949000,15830000,36422000.0,213370000.0,4.928000000000001,4.88,5.355769230769232,-0.4357407407407399,-0.9689943019943008,642281.0,35.714285714285715,27.142857142857146,3166000.0,0.0
4/21/2015,KSL,4.94,4.96,4.94,4.96,0.4,70262,347000,13448000,34020000.0,206912000.0,4.956,4.886666666666666,5.065769230769232,-0.1599857549857555,-0.7003988603988598,543373.4,42.857142857142854,32.85714285714286,2689600.0,0.0
4/22/2015,KSL,4.94,4.98,4.92,4.98,0.4,547700,2713000,11804000,34873000.0,194815000.0,4.972,4.898333333333333,5.011153846153847,-0.09794871794871708,-0.4725327635327627,475187.6,50.0,38.57142857142857,2360800.0,2.0
4/23/2015,KSL,4.94,4.98,4.92,4.98,0.0,447700,2221000,10519000,34651000.0,180931000.0,4.972,4.906666666666666,4.956538461538462,-0.040327635327635385,-0.2871196581196577,423415.6,50.0,42.85714285714286,2103800.0,2.0
4/24/2015,KSL,4.96,4.98,4.94,4.96,-0.4,110400,547000,7777000,34544000.0,153053000.0,4.964,4.918333333333334,4.941538461538462,-0.018162393162393545,-0.15043304843304828,313815.4,50.0,45.714285714285715,1555400.0,0.0
4/27/2015,KSL,4.98,4.98,4.9,4.92,-0.81,370700,1825000,7653000,30037000.0,145737000.0,4.960000000000001,4.926666666666668,4.928846153846154,-0.002549857549856149,-0.06379487179487152,309352.4,42.857142857142854,47.14285714285714,1530600.0,2.0
4/28/2015,KSL,4.9,4.92,4.88,4.88,-0.81,271800,1331000,8637000,30216000.0,136146000.0,4.944000000000001,4.9300000000000015,4.922307692307693,0.0031339031339019385,-0.031170940170940038,349660.0,42.857142857142854,47.14285714285714,1727400.0,0.0
4/29/2015,KSL,4.88,4.88,4.82,4.86,-0.41,907727,4396000,10320000,32044000.0,129117000.0,4.92,4.931666666666668,4.917692307692309,0.007222222222223351,-0.01013675213675196,421665.4,42.857142857142854,45.714285714285715,2064000.0,2.0
4/30/2015,KSL,4.86,4.92,4.82,4.86,0.0,589620,2871000,10970000,32081000.0,129251000.0,4.895999999999999,4.9350000000000005,4.912307692307691,0.015028490028489829,0.0009344729344730852,450049.4,35.714285714285715,42.85714285714286,2194000.0,2.0
