Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,Money5
7/1/2019,KTECH,0.12,0.29,0.1,0.17,0.0,170655671,27911230,27911230,27911230.0,27911230.0,27911230.0
7/2/2019,KTECH,0.18,0.22,0.17,0.22,29.41,61957347,12607780,40519010,40519010.0,40519010.0,20259505.0
7/3/2019,KTECH,0.26,0.28,0.21,0.25,13.64,139318080,36661920,77180930,77180930.0,77180930.0,25726976.666666668
7/4/2019,KTECH,0.24,0.25,0.19,0.22,-12.0,52459752,11128180,88309110,88309110.0,88309110.0,22077277.5
7/5/2019,KTECH,0.21,0.24,0.19,0.22,0.0,23249255,4893110,93202220,93202220.0,93202220.0,18640444.0
7/8/2019,KTECH,0.22,0.22,0.2,0.21,-4.55,24457842,5228080,70519070,98430300.0,98430300.0,14103814.0
7/9/2019,KTECH,0.2,0.2,0.16,0.18,-14.29,80989206,14395080,72306370,112825380.0,112825380.0,14461274.0
7/10/2019,KTECH,0.17,0.2,0.15,0.16,-11.11,39627417,6631880,42276330,119457260.0,119457260.0,8455266.0
7/11/2019,KTECH,0.16,0.17,0.12,0.12,-25.0,53620941,7449850,38598000,126907110.0,126907110.0,7719600.0
7/12/2019,KTECH,0.11,0.12,0.09,0.11,-8.33,66727643,6835140,40540030,133742250.0,133742250.0,8108006.0
7/15/2019,KTECH,0.11,0.11,0.08,0.09,-18.18,36083002,3346830,38658780,137089080.0,137089080.0,7731756.0
7/17/2019,KTECH,0.08,0.09,0.07,0.07,-22.22,110536880,8023000,32286700,145112080.0,145112080.0,6457340.0
7/18/2019,KTECH,0.06,0.07,0.05,0.07,0.0,47750005,2883760,28538580,147995840.0,147995840.0,5707716.0
7/19/2019,KTECH,0.07,0.08,0.06,0.07,0.0,16739930,1176100,22264830,121260710.0,149171940.0,4452966.0
7/22/2019,KTECH,0.07,0.08,0.06,0.07,0.0,11086984,776070,16205760,109429000.0,149948010.0,3241152.0
7/23/2019,KTECH,0.07,0.09,0.07,0.07,0.0,26835747,2090530,14949460,74857610.0,152038540.0,2989892.0
7/24/2019,KTECH,0.07,0.09,0.07,0.07,0.0,21792712,1738230,8664690,65467660.0,153776770.0,1732938.0
7/25/2019,KTECH,0.08,0.09,0.07,0.08,14.29,11611468,929110,6710040,61503660.0,154705880.0,1342008.0
7/26/2019,KTECH,0.08,0.09,0.07,0.08,0.0,13040939,1043020,6576960,57318600.0,155748900.0,1315392.0
7/30/2019,KTECH,0.08,0.09,0.07,0.08,0.0,25466520,2036830,7837720,44960350.0,157785730.0,1567544.0
