Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,KTIS,11.6,12.1,11.5,12.0,3.45,6612600,79117000,242145000,380247000.0,1361564000.0,12.0,,,,,6612600.0,,
1/6/2015,KTIS,11.9,11.9,11.7,11.9,-0.83,1864700,22112000,241784000,348367000.0,1210528000.0,11.95,,,,,4238650.0,,
1/7/2015,KTIS,11.9,11.9,11.7,11.9,0.0,1155700,13690000,217388000,343627000.0,1132780000.0,11.933333333333332,,,,,3211000.0,,
1/8/2015,KTIS,11.9,11.9,11.7,11.8,-0.84,920805,10876000,196846000,338803000.0,1076648000.0,11.899999999999999,,,,,2638451.25,,
1/9/2015,KTIS,11.8,11.8,11.5,11.6,-1.69,1329100,15490000,141285000,345681000.0,973306000.0,11.84,,,,,2376581.0,,
1/12/2015,KTIS,11.6,11.7,11.5,11.6,0.0,644700,7497000,69665000,345724000.0,894219000.0,11.760000000000002,,,,,1183001.0,,
1/13/2015,KTIS,11.6,11.6,11.5,11.5,-0.86,697900,8071000,55624000,346017000.0,851869000.0,11.680000000000001,,,,,949641.0,,
1/14/2015,KTIS,11.5,11.6,11.4,11.6,0.87,1888300,21733000,63667000,361225000.0,849662000.0,11.620000000000001,,,,,1096161.0,,
1/15/2015,KTIS,11.6,11.7,11.5,11.6,0.0,1182100,13723000,66514000,355337000.0,817992000.0,11.580000000000002,,,,,1148420.0,,
1/16/2015,KTIS,11.6,11.6,11.5,11.6,0.0,444200,5140000,56164000,338004000.0,796222000.0,11.580000000000002,,,,,971440.0,,
1/19/2015,KTIS,11.6,11.7,11.4,11.4,-1.72,2302402,26604000,75271000,326522000.0,736920000.0,11.540000000000001,,,,,1302980.4,,
1/20/2015,KTIS,11.4,11.4,11.2,11.2,-1.75,3657300,41589000,108789000,336693000.0,758491000.0,11.479999999999999,11.641666666666664,,,,1894860.4,,
1/21/2015,KTIS,11.2,11.4,11.2,11.3,0.89,6083500,68997000,156053000,334639000.0,819264000.0,11.419999999999998,11.583333333333334,,,,2733900.4,,
1/22/2015,KTIS,11.3,11.6,11.3,11.4,0.88,10267793,118011000,260341000,373533000.0,915076000.0,11.379999999999999,11.541666666666666,,,,4551039.0,28.57142857142857,28.57142857142857
1/23/2015,KTIS,11.4,11.7,11.3,11.7,2.63,3468400,39870000,295071000,391291000.0,922329000.0,11.4,11.525,,,,5155879.0,28.57142857142857,28.57142857142857
1/26/2015,KTIS,11.7,11.9,11.6,11.6,-0.85,5345501,62629000,331096000,440230000.0,965563000.0,11.44,11.508333333333335,,,,5764498.8,28.57142857142857,28.57142857142857
1/27/2015,KTIS,11.6,11.8,11.4,11.5,-0.86,8663703,100866000,390373000,530220000.0,1045635000.0,11.500000000000002,11.5,,,,6765779.4,28.57142857142857,28.57142857142857
1/28/2015,KTIS,11.5,11.6,11.4,11.5,0.0,9396900,108220000,429596000,622950000.0,1137747000.0,11.540000000000001,11.491666666666667,,,,7428459.4,28.57142857142857,28.571428571428566
1/29/2015,KTIS,11.5,11.7,11.4,11.7,1.74,8732500,100682000,412267000,716135000.0,1225018000.0,11.6,11.508333333333333,,,,7121400.8,35.71428571428572,30.0
1/30/2015,KTIS,11.7,11.7,11.6,11.7,0.0,6045600,70609000,443006000,778673000.0,1272896000.0,11.6,11.516666666666666,,,,7636840.8,35.71428571428572,31.428571428571434
2/2/2015,KTIS,11.6,12.1,11.6,11.9,1.71,20704201,245480000,625857000,1002420000.0,1492403000.0,11.66,11.541666666666666,,,,10708580.8,42.857142857142854,34.28571428571429
2/3/2015,KTIS,11.9,12.0,11.6,11.6,-2.52,10003301,117703000,642694000,1106400000.0,1599839000.0,11.68,11.541666666666666,,,,10976500.4,35.71428571428572,35.714285714285715
2/4/2015,KTIS,11.6,11.7,11.5,11.5,-0.86,5412200,62641000,597115000,1163901000.0,1608488000.0,11.68,11.549999999999999,,,,10179560.4,35.71428571428572,37.14285714285715
