Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,KTP,2.5,2.58,2.5,2.54,1.6,1968620,5011000,1123632000,1358233000.0,2099503000.0,2.54,,,,,1968620.0,,,5011000.0,0.0
1/6/2015,KTP,2.52,2.6,2.46,2.54,0.0,3694600,9318000,768155000,1364422000.0,2104818000.0,2.54,,,,,2831610.0,,,7164500.0,0.0
1/7/2015,KTP,2.54,2.86,2.54,2.82,11.02,9879000,27179000,69522000,1385484000.0,2129509000.0,2.6333333333333333,,,,,5180740.0,,,13836000.0,0.0
1/8/2015,KTP,2.84,2.86,2.74,2.82,0.0,1961900,5503000,54585000,1360084000.0,2130712000.0,2.68,,,,,4376030.0,,,11752750.0,0.0
1/9/2015,KTP,2.84,3.32,2.84,3.08,9.22,21750300,68570000,115581000,1421000000.0,2196838000.0,2.76,,,,,7850884.0,,,23116200.0,0.0
1/12/2015,KTP,3.2,3.2,3.08,3.12,1.3,2609800,8210000,118780000,1395051000.0,2013089000.0,2.8760000000000003,,,,,7979120.0,,,23756000.0,0.0
1/13/2015,KTP,3.08,3.16,2.88,3.02,-3.21,2152600,6422000,115884000,1378880000.0,1984713000.0,2.972,,,,,7670720.0,,,23176800.0,0.0
1/14/2015,KTP,2.96,3.0,2.9,2.9,-3.97,774400,2285000,90990000,1285178000.0,1953692000.0,2.988,,,,,5849800.0,,,18198000.0,0.0
1/15/2015,KTP,2.96,3.12,2.9,3.06,5.52,1664300,5048000,90535000,1256167000.0,1842268000.0,3.0360000000000005,,,,,5790280.0,,,18107000.0,0.0
1/16/2015,KTP,3.08,3.08,2.96,2.98,-2.61,801500,2432000,24397000,893804000.0,1810340000.0,3.0160000000000005,,,,,1600520.0,,,4879400.0,0.0
1/19/2015,KTP,3.08,3.18,3.0,3.06,2.68,3133130,9728000,25915000,177720000.0,1744757000.0,3.0040000000000004,,,,,1705186.0,,,5183000.0,0.0
1/20/2015,KTP,3.1,3.4,3.06,3.14,2.61,15256200,49335000,68828000,206615000.0,1781234000.0,3.028,2.9233333333333333,,,,4325906.0,,,13765600.0,0.0
1/21/2015,KTP,3.2,3.22,2.9,3.0,-4.46,4879200,14676000,81219000,213717000.0,1790305000.0,3.048,2.9616666666666664,,,,5146866.0,,,16243800.0,0.0
1/22/2015,KTP,3.04,3.1,2.96,2.98,-0.67,1698400,5135000,81306000,213841000.0,1790344000.0,3.032,2.998333333333333,,,,5153686.0,50.0,50.0,16261200.0,0.0
1/23/2015,KTP,2.98,3.04,2.98,3.0,0.67,890100,2679000,81553000,207202000.0,1791246000.0,3.036,3.013333333333333,,,,5171406.0,50.0,50.0,16310600.0,0.0
1/26/2015,KTP,3.04,3.46,2.98,3.4,13.33,17036200,56053000,127878000,236076000.0,1693858000.0,3.104,3.061666666666667,,,,7952020.0,57.14285714285714,52.38095238095239,25575600.0,0.0
1/27/2015,KTP,3.42,3.58,3.3,3.4,0.0,12294602,42584000,121127000,273157000.0,1709870000.0,3.156,3.0883333333333334,,,,7359700.4,50.0,51.78571428571429,24225400.0,0.0
1/28/2015,KTP,3.38,3.44,3.16,3.3,-2.94,1699300,5681000,112132000,210268000.0,1692850000.0,3.216,3.103333333333333,,,,6723720.4,50.0,51.42857142857142,22426400.0,0.0
1/29/2015,KTP,3.22,3.32,3.22,3.28,-0.61,923100,2996000,109993000,205054000.0,1689939000.0,3.2760000000000007,3.125,,,,6568660.4,42.857142857142854,50.0,21998600.0,0.0
1/30/2015,KTP,3.28,3.38,3.22,3.3,0.61,1618000,5334000,112648000,203966000.0,1694056000.0,3.3360000000000003,3.1583333333333328,,,,6714240.4,42.857142857142854,48.57142857142857,22529600.0,0.0
2/2/2015,KTP,3.36,3.46,3.32,3.4,3.03,3577201,12166000,68761000,213847000.0,1702553000.0,3.3359999999999994,3.186666666666666,,,,4022440.6,50.0,47.14285714285714,13752200.0,0.0
2/3/2015,KTP,3.36,3.46,3.34,3.46,1.76,1861401,6357000,32534000,215156000.0,1705924000.0,3.3480000000000003,3.2266666666666666,,,,1935800.4,57.14285714285714,48.57142857142857,6506800.0,0.0
2/4/2015,KTP,3.5,3.5,3.38,3.42,-1.16,2569100,8842000,35695000,221566000.0,1711637000.0,3.372,3.256666666666668,,,,2109760.4,50.0,48.57142857142857,7139000.0,0.0
2/5/2015,KTP,3.48,3.5,3.4,3.42,0.0,2068922,7123000,39822000,218961000.0,1712643000.0,3.4,3.2800000000000007,,,,2338924.8,50.0,50.0,7964400.0,0.0
2/6/2015,KTP,3.42,3.48,3.38,3.46,1.17,1906700,6549000,41037000,176175000.0,1688289000.0,3.432,3.318333333333334,,,,2396664.8,50.0,51.42857142857142,8207400.0,0.0
2/9/2015,KTP,3.4,3.46,2.86,2.96,-14.45,8007701,25146000,54017000,186645000.0,1705781000.0,3.3440000000000003,3.316666666666667,3.109999999999999,0.16290598290598401,0.16290598290598401,3282764.8,42.857142857142854,50.0,10803400.0,0.0
2/10/2015,KTP,2.88,3.08,2.88,2.96,0.0,4846300,14281000,61941000,195791000.0,1685903000.0,3.2440000000000007,3.313333333333334,3.1261538461538447,0.145128205128207,0.1540170940170955,3879744.6,42.857142857142854,47.14285714285714,12388200.0,0.0
2/11/2015,KTP,3.0,3.0,2.94,2.98,0.68,1751960,5209000,58308000,198321000.0,1668519000.0,3.156,3.2783333333333333,3.1430769230769218,0.10143874643874673,0.1364909781576459,3716316.6,50.0,47.14285714285714,11661600.0,0.0
2/12/2015,KTP,3.0,3.1,2.98,3.04,2.01,3252800,9943000,61128000,152211000.0,1582475000.0,3.08,3.248333333333333,3.1515384615384607,0.07300569800569877,0.12061965811965912,3953092.2,50.0,47.14285714285714,12225600.0,0.0
2/13/2015,KTP,3.22,3.28,3.1,3.16,3.95,11449202,36713000,91292000,146340000.0,1585129000.0,3.0200000000000005,3.236666666666667,3.164615384615384,0.06059829059829181,0.10861538461538567,5861592.6,50.0,47.14285714285714,18258400.0,0.0
2/16/2015,KTP,3.16,3.16,3.08,3.08,-2.53,1638300,5079000,71225000,145738000.0,1225413000.0,3.044,3.22,3.164615384615384,0.04011396011396151,0.08405698005698117,4587712.4,50.0,48.57142857142857,14245000.0,0.0
2/17/2015,KTP,3.08,3.72,3.02,3.36,9.09,38190771,132074000,189018000,274816000.0,631675000.0,3.1239999999999997,3.225,3.1738461538461538,0.058133903133903424,0.06665811965812045,11256606.6,57.14285714285714,51.42857142857142,37803600.0,0.0
