Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
6/27/2016,KWG,3.72,3.8,3.7,3.74,1.08,1136445,4241310,4241310,4241310.0,4241310.0,3.74,,,,,1136445.0,,,4241310.0,0.0
6/28/2016,KWG,3.72,3.8,3.7,3.74,0.0,355102,1332580,5573890,5573890.0,5573890.0,3.74,,,,,745773.5,,,2786945.0,0.0
6/29/2016,KWG,3.7,3.8,3.7,3.8,1.6,858853,3236540,8810430,8810430.0,8810430.0,3.76,,,,,783466.6666666665,,,2936810.0,0.0
6/30/2016,KWG,3.78,4.06,3.78,4.06,6.84,995700,3914700,12725130,12725130.0,12725130.0,3.835,,,,,836525.0,,,3181282.5,0.0
7/4/2016,KWG,4.1,4.28,4.06,4.18,2.96,1075000,4480580,17205710,17205710.0,17205710.0,3.904,,,,,884220.0,,,3441142.0,0.0
7/5/2016,KWG,4.06,4.28,4.04,4.24,1.44,772300,3183090,16147490,20388800.0,20388800.0,4.004,,,,,811391.0,,,3229498.0,0.0
7/6/2016,KWG,4.24,4.32,4.24,4.28,0.94,284000,1204370,16019280,21593170.0,21593170.0,4.112,,,,,797170.6,,,3203856.0,0.0
7/7/2016,KWG,4.28,4.3,4.16,4.24,-0.93,664000,2819130,15601870,24412300.0,24412300.0,4.2,,,,,758200.0,,,3120374.0,0.0
7/8/2016,KWG,4.24,4.24,4.2,4.2,-0.94,424900,1798640,13485810,26210940.0,26210940.0,4.228,,,,,644040.0,,,2697162.0,0.0
7/11/2016,KWG,4.2,4.2,4.1,4.1,-2.38,117300,483690,9488920,26694630.0,26694630.0,4.2120000000000015,,,,,452500.0,,,1897784.0,0.0
7/12/2016,KWG,4.04,4.06,3.94,4.0,-2.44,224300,898260,7204090,27592890.0,27592890.0,4.164,,,,,342900.0,,,1440818.0,0.0
7/13/2016,KWG,4.04,4.14,4.04,4.1,2.5,70700,288070,6287790,27880960.0,27880960.0,4.128,4.056666666666668,,,,300240.0,,,1257558.0,0.0
7/14/2016,KWG,4.0,4.18,4.0,4.18,1.95,217700,890320,4358980,28771280.0,28771280.0,4.1160000000000005,4.093333333333334,,,,210980.0,,,871796.0,0.0
7/15/2016,KWG,4.0,4.2,4.0,4.08,-2.39,34300,139310,2699650,24669280.0,28910590.0,4.0920000000000005,4.121666666666667,,,,132860.0,57.14285714285714,57.14285714285714,539930.0,0.0
7/20/2016,KWG,4.02,4.08,4.0,4.06,-0.49,84900,341620,2557580,23678320.0,29252210.0,4.084,4.1433333333333335,,,,126380.0,50.0,53.57142857142857,511516.0,0.0
7/21/2016,KWG,4.06,4.12,4.06,4.08,0.49,85200,346080,2005400,20787860.0,29598290.0,4.1,4.145,,,,98560.0,57.14285714285714,54.76190476190475,401080.0,0.0
7/22/2016,KWG,4.08,4.2,4.08,4.08,0.0,85800,350600,2067930,17223760.0,29948890.0,4.095999999999999,4.136666666666667,,,,101580.0,50.0,53.57142857142857,413586.0,0.0
7/25/2016,KWG,4.1,4.38,4.1,4.36,6.86,311100,1321480,2499090,14064660.0,31270370.0,4.132,4.1466666666666665,,,,120260.0,50.0,52.85714285714285,499818.0,0.0
7/26/2016,KWG,4.56,4.84,4.56,4.62,5.96,1026600,4817590,7177370,15699160.0,36087960.0,4.24,4.175,,,,318720.0,50.0,51.42857142857142,1435474.0,0.0
7/27/2016,KWG,4.62,4.8,4.5,4.52,-2.16,58200,266350,7102100,14761140.0,36354310.0,4.332,4.198333333333333,,,,313380.0,42.857142857142854,50.0,1420420.0,0.0
7/28/2016,KWG,4.64,4.64,4.48,4.5,-0.44,25000,112590,6868610,12054600.0,36466900.0,4.416,4.223333333333333,,,,301340.0,35.714285714285715,45.714285714285715,1373722.0,0.0
7/29/2016,KWG,4.48,4.62,4.4,4.48,-0.44,183800,831510,7349520,11087470.0,37298410.0,4.496,4.255,,,,320940.0,35.714285714285715,42.85714285714286,1469904.0,0.0
8/1/2016,KWG,4.6,4.62,4.42,4.48,0.0,63900,293670,6321710,10897450.0,37592080.0,4.5200000000000005,4.295000000000001,,,,271500.0,35.714285714285715,40.00000000000001,1264342.0,0.0
8/2/2016,KWG,4.46,4.5,4.4,4.4,-1.79,50400,223310,1727430,10222500.0,37815390.0,4.476000000000001,4.319999999999999,,,,76260.0,35.714285714285715,37.142857142857146,345486.0,0.0
8/3/2016,KWG,4.24,4.42,4.24,4.36,-0.91,173100,760710,2221790,10695140.0,38576100.0,4.444,4.335,,,,99240.0,35.714285714285715,35.714285714285715,444358.0,0.0
8/4/2016,KWG,4.28,4.36,4.28,4.36,0.0,157400,679610,2788810,10484430.0,39255710.0,4.416,4.358333333333333,4.201538461538463,0.1453133903133894,0.1453133903133894,125720.0,28.57142857142857,34.285714285714285,557762.0,0.0
8/8/2016,KWG,4.3,4.56,4.26,4.56,4.59,27000,116650,1780280,10120150.0,39372360.0,4.432,4.4,4.233076923076924,0.16732193732193767,0.15631766381766354,94360.0,28.57142857142857,32.857142857142854,414790.0,0.0
8/9/2016,KWG,4.36,4.4,4.22,4.28,-6.14,71500,309520,1866490,10083590.0,39681880.0,4.392,4.416666666666667,4.253846153846155,0.13985754985754895,0.15083095916429198,95880.0,28.57142857142857,31.428571428571434,417960.0,0.0
8/10/2016,KWG,4.2,4.3,4.2,4.3,0.47,12600,53120,1158900,9786110.0,39735000.0,4.372000000000001,4.435,4.273076923076924,0.13915954415954346,0.14791310541310487,88320.0,35.714285714285715,31.428571428571434,383922.0,0.0
8/11/2016,KWG,3.3,4.1,3.3,3.9,-9.3,496401,1962270,2441560,10426900.0,41697270.0,4.279999999999999,4.3966666666666665,4.266923076923076,0.08051282051282005,0.1344330484330479,152980.2,28.57142857142857,30.0,624234.0,0.0
8/15/2016,KWG,3.72,4.2,3.64,3.64,-6.67,775500,2883540,5325100,8492850.0,44580810.0,4.136,4.315,4.246153846153846,0.009900284900284715,0.10735042735042696,276600.2,28.57142857142857,30.0,1065020.0,0.0
8/16/2016,KWG,3.56,3.8,3.52,3.52,-3.3,578100,2084590,7293040,10311090.0,46665400.0,3.928,4.2316666666666665,4.218461538461539,-0.04454415954416024,0.06497720797720738,386820.2,21.42857142857143,28.57142857142857,1458608.0,0.0
8/17/2016,KWG,3.52,3.66,3.52,3.6,2.27,305700,1098030,8081550,11296530.0,47763430.0,3.792,4.156666666666667,4.1923076923076925,-0.07740740740740737,0.021524216524216117,433660.2,21.42857142857143,27.142857142857146,1616310.0,0.0
8/18/2016,KWG,3.54,3.68,3.54,3.62,0.56,413600,1502770,9531200,11967790.0,45024890.0,3.656,4.085,4.168461538461538,-0.11437321937322055,-0.02918233618233668,513860.2,28.57142857142857,25.71428571428571,1906240.0,0.0
8/19/2016,KWG,3.64,3.72,3.54,3.72,2.76,875100,3177570,10746500,14851690.0,46869880.0,3.62,4.0216666666666665,4.15,-0.14289173789173848,-0.07386324786324837,589600.0,35.714285714285715,27.142857142857146,2149300.0,0.0
8/22/2016,KWG,3.74,4.02,3.66,3.66,-1.61,3379500,13031310,20894270,27659690.0,56664650.0,3.624,3.96,4.133076923076923,-0.18418803418803487,-0.1126809116809123,1110400.0,35.714285714285715,28.571428571428577,4178854.0,0.0
8/23/2016,KWG,3.68,3.68,3.6,3.64,-0.55,411200,1501100,20310780,28400080.0,54251050.0,3.648000000000001,3.9,4.11923076923077,-0.2237321937321944,-0.1485185185185191,1077020.0,35.714285714285715,31.428571428571434,4062156.0,0.0
8/24/2016,KWG,3.56,3.62,3.46,3.46,-4.95,581800,2036920,21249670,29757390.0,51807390.0,3.62,3.825,4.094615384615384,-0.2787606837606837,-0.1887891737891744,1132240.0,35.714285714285715,34.285714285714285,4249934.0,0.0
8/25/2016,KWG,3.48,3.48,3.36,3.4,-1.73,242000,826420,20573320,30583810.0,49450720.0,3.576,3.7283333333333335,4.064615384615385,-0.3375641025641025,-0.2334273504273508,1097920.0,35.714285714285715,35.714285714285715,4114664.0,0.0
