Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,LALIN,4.1,4.14,4.08,4.14,0.98,166600,680000,5702000,26991000.0,73729000.0,4.14,,,,,166600.0,,
1/6/2015,LALIN,4.1,4.12,4.06,4.08,-1.45,126400,515000,5760000,24181000.0,71470000.0,4.109999999999999,,,,,146500.0,,
1/7/2015,LALIN,4.1,4.1,4.08,4.1,0.49,101700,415000,6042000,13245000.0,61988000.0,4.1066666666666665,,,,,131566.66666666666,,
1/8/2015,LALIN,4.12,4.14,4.08,4.14,0.98,687421,2828000,7861000,14748000.0,62138000.0,4.114999999999999,,,,,270530.25,,
1/9/2015,LALIN,4.14,4.2,4.14,4.2,1.45,525305,2189000,6627000,15815000.0,63213000.0,4.132,,,,,321485.2,,
1/12/2015,LALIN,4.18,4.22,4.18,4.22,0.48,168100,705000,6652000,15195000.0,62308000.0,4.148,,,,,321785.2,,
1/13/2015,LALIN,4.22,4.22,4.18,4.22,0.0,43700,184000,6321000,14872000.0,60726000.0,4.175999999999999,,,,,305245.2,,
1/14/2015,LALIN,4.22,4.24,4.18,4.18,-0.95,185600,779000,6685000,14473000.0,57886000.0,4.191999999999999,,,,,322025.2,,
1/15/2015,LALIN,4.18,4.26,4.18,4.2,0.48,957955,4033000,7890000,17350000.0,56007000.0,4.204,,,,,376132.0,,
1/16/2015,LALIN,4.22,4.22,4.18,4.18,-0.48,396800,1662000,7363000,18555000.0,56107000.0,4.2,,,,,350431.0,,
1/19/2015,LALIN,4.22,4.22,4.18,4.18,0.0,328300,1378000,8036000,19800000.0,55918000.0,4.191999999999999,,,,,382471.0,,
1/20/2015,LALIN,4.2,4.28,4.18,4.2,0.48,2674300,11308000,19160000,30099000.0,64612000.0,4.188,4.17,,,,908591.0,,
1/21/2015,LALIN,4.24,4.24,4.2,4.2,0.0,1678900,7081000,25462000,33757000.0,70167000.0,4.191999999999999,4.175,,,,1207251.0,,
1/22/2015,LALIN,4.22,4.22,4.16,4.22,0.48,827421,3470000,24899000,36547000.0,72847000.0,4.196,4.1866666666666665,,,,1181144.2,57.14285714285714,57.14285714285714
1/23/2015,LALIN,4.2,4.24,4.2,4.2,-0.47,1994800,8420000,31657000,44452000.0,80479000.0,4.199999999999999,4.195,,,,1500744.2,50.0,53.57142857142857
1/26/2015,LALIN,4.2,4.26,4.18,4.22,0.48,1896500,7990000,38269000,52027000.0,87657000.0,4.208,4.201666666666667,,,,1814384.2,57.14285714285714,54.76190476190476
1/27/2015,LALIN,4.24,4.38,4.22,4.3,1.9,6195502,26715000,53676000,75914000.0,112002000.0,4.228,4.21,,,,2518624.6,57.14285714285714,55.357142857142854
1/28/2015,LALIN,4.34,4.34,4.24,4.28,-0.47,2226720,9553000,56148000,83278000.0,120618000.0,4.244000000000001,4.215,,,,2628188.6,50.0,54.28571428571429
1/29/2015,LALIN,4.32,4.44,4.3,4.4,2.8,12096000,53112000,105790000,135685000.0,172374000.0,4.279999999999999,4.2299999999999995,,,,4881904.4,50.0,52.857142857142854
1/30/2015,LALIN,4.44,4.48,4.34,4.34,-1.36,7279400,32064000,129434000,167565000.0,203765000.0,4.308000000000001,4.243333333333332,,,,5938824.4,42.857142857142854,51.42857142857142
2/2/2015,LALIN,4.32,4.36,4.32,4.32,-0.46,1919503,8300000,129744000,175086000.0,210635000.0,4.328,4.253333333333333,,,,5943425.0,42.857142857142854,48.57142857142857
2/3/2015,LALIN,4.32,4.36,4.32,4.32,0.0,1376102,5967000,108996000,177020000.0,215659000.0,4.332,4.265,,,,4979545.0,42.857142857142854,45.714285714285715
2/4/2015,LALIN,4.36,4.36,4.32,4.32,0.0,975703,4236000,103679000,179594000.0,216570000.0,4.340000000000001,4.276666666666666,,,,4729341.6,35.71428571428572,42.85714285714286
2/5/2015,LALIN,4.32,4.38,4.3,4.36,0.93,756000,3278000,53845000,181494000.0,208497000.0,4.332,4.29,,,,2461341.6,42.857142857142854,41.42857142857143
2/6/2015,LALIN,4.36,4.38,4.32,4.36,0.0,854255,3712000,25493000,173898000.0,210884000.0,4.336,4.303333333333334,,,,1176312.6,42.857142857142854,41.42857142857143
2/9/2015,LALIN,4.38,4.42,4.34,4.38,0.46,1249000,5471000,22664000,172288000.0,215233000.0,4.348,4.316666666666666,4.240769230769231,0.07532763532763553,0.07532763532763553,1042212.0,42.857142857142854,41.42857142857143
2/10/2015,LALIN,4.4,4.42,4.36,4.36,-0.46,1123200,4913000,21610000,173731000.0,218821000.0,4.356,4.33,4.24923076923077,0.07717948717948708,0.07625356125356131,991631.6,42.857142857142854,41.42857142857143
2/11/2015,LALIN,4.36,4.4,4.32,4.38,0.46,2683600,11656000,29030000,176967000.0,229970000.0,4.368,4.343333333333334,4.26076923076923,0.0793732193732204,0.07729344729344767,1333211.0,42.857142857142854,42.857142857142854
2/12/2015,LALIN,4.38,4.42,4.36,4.42,0.91,1592000,6983000,32735000,175960000.0,235775000.0,4.38,4.353333333333334,4.273076923076923,0.07962962962963083,0.07787749287749346,1500411.0,50.0,44.285714285714285
2/13/2015,LALIN,4.42,4.5,4.38,4.4,-0.45,5688800,25345000,54368000,174590000.0,259964000.0,4.388,4.363333333333334,4.283076923076923,0.07723646723646738,0.07774928774928824,2467320.0,42.857142857142854,44.285714285714285
2/16/2015,LALIN,4.44,4.58,4.42,4.48,1.82,3981001,17935000,66832000,182972000.0,277442000.0,4.408,4.37,4.293846153846153,0.07928774928774995,0.07854131054131112,3013720.2,42.857142857142854,44.28571428571429
2/17/2015,LALIN,4.52,4.68,4.46,4.46,-0.45,12049700,54892000,116811000,184752000.0,332201000.0,4.428,4.38,4.303076923076923,0.07760683760683751,0.07862678062678122,5199020.2,42.857142857142854,44.28571428571429
2/18/2015,LALIN,4.46,4.5,4.46,4.46,0.0,1795100,8022000,113177000,160710000.0,339214000.0,4.444000000000001,4.391666666666667,4.312307692307692,0.07893162393162445,0.07853846153846203,5021320.2,35.71428571428572,42.85714285714286
2/19/2015,LALIN,4.46,4.6,4.46,4.54,1.79,5412000,24638000,130832000,177048000.0,360429000.0,4.468,4.409999999999999,4.326153846153845,0.08800569800569846,0.08021367521367555,5785320.2,42.857142857142854,41.42857142857143
2/20/2015,LALIN,4.58,4.58,4.52,4.54,0.0,803700,3650000,109137000,174731000.0,363399000.0,4.496,4.428333333333334,4.3392307692307694,0.09141025641025724,0.08304843304843353,4808300.2,42.857142857142854,41.42857142857143
2/23/2015,LALIN,4.54,4.58,4.5,4.5,-0.88,2295300,10381000,101583000,180876000.0,373265000.0,4.5,4.4399999999999995,4.351538461538461,0.08669515669515704,0.08452991452991494,4471160.0,42.857142857142854,41.42857142857143
2/24/2015,LALIN,4.54,4.54,4.48,4.5,0.0,1492000,6712000,53403000,184310000.0,379562000.0,4.508,4.451666666666666,4.363846153846154,0.08517094017093907,0.08604273504273525,2359620.0,42.857142857142854,41.42857142857143
2/25/2015,LALIN,4.52,4.52,4.48,4.48,-0.44,1478400,6647000,52028000,187245000.0,383381000.0,4.512,4.460000000000001,4.374615384615385,0.08065527065527167,0.0863874643874647,2296280.0,35.71428571428572,41.42857142857143
2/26/2015,LALIN,4.5,4.5,4.38,4.44,-0.89,4447600,19726000,47116000,201500000.0,400918000.0,4.492,4.466666666666666,4.383846153846155,0.07455840455840335,0.08369800569800567,2103400.0,35.71428571428572,40.0
2/27/2015,LALIN,4.44,4.54,4.42,4.52,1.8,1883502,8426000,51892000,205013000.0,408639000.0,4.488,4.478333333333333,4.395384615384615,0.08012820512820529,0.08144159544159528,2319360.4,35.71428571428572,38.57142857142858
