Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,LHBANK,1.96,1.98,1.93,1.95,-0.51,22871474,44417000,275451000,1911301000.0,8621921000.0,1.95,,,,,22871474.0,,,44417000.0,0.0
1/6/2015,LHBANK,1.91,1.93,1.89,1.92,-1.54,17229382,33002000,214329000,1533214000.0,8436302000.0,1.935,,,,,20050428.0,,,38709500.0,0.0
1/7/2015,LHBANK,1.93,1.98,1.92,1.95,1.56,28445889,55583000,248265000,1323381000.0,8363464000.0,1.94,,,,,22848915.0,,,44334000.0,0.0
1/8/2015,LHBANK,1.95,1.96,1.94,1.95,0.0,29745465,57890000,228599000,1140876000.0,8326900000.0,1.9425,,,,,24573052.5,,,47723000.0,0.0
1/9/2015,LHBANK,1.95,1.97,1.93,1.94,-0.51,23526355,45826000,236718000,1003232000.0,7884419000.0,1.942,,,,,24363713.0,,,47343600.0,0.0
1/12/2015,LHBANK,1.94,1.96,1.94,1.94,0.0,18071310,35149000,227450000,971977000.0,7268873000.0,1.94,,,,,23403680.2,,,45490000.0,0.0
1/13/2015,LHBANK,1.94,1.95,1.93,1.93,-0.52,12693118,24595000,219043000,927687000.0,7182920000.0,1.942,,,,,22496427.4,,,43808600.0,0.0
1/14/2015,LHBANK,1.93,2.0,1.93,1.94,0.52,94736700,185420000,348880000,815710000.0,7028059000.0,1.94,,,,,35754589.6,,,69776000.0,0.0
1/15/2015,LHBANK,1.94,1.96,1.93,1.93,-0.52,30374676,59064000,350054000,771980000.0,6844828000.0,1.936,,,,,35880431.8,,,70010800.0,0.0
1/16/2015,LHBANK,1.93,1.94,1.92,1.93,0.0,18940300,36548000,340776000,714404000.0,6312642000.0,1.934,,,,,34963220.8,,,68155200.0,0.0
1/19/2015,LHBANK,1.93,1.94,1.92,1.93,0.0,15332697,29604000,335231000,722361000.0,5950728000.0,1.932,,,,,34415498.2,,,67046200.0,0.0
1/20/2015,LHBANK,1.93,1.95,1.92,1.94,0.52,29592859,57382000,368018000,702187000.0,5704906000.0,1.934,1.9375,,,,37795446.4,,,73603600.0,0.0
1/21/2015,LHBANK,1.95,1.97,1.93,1.94,0.0,46775266,91349000,273947000,755829000.0,5691921000.0,1.934,1.9366666666666668,,,,28203159.6,,,54789400.0,0.0
1/22/2015,LHBANK,1.95,1.96,1.94,1.95,0.52,27657235,53900000,268783000,765312000.0,5565505000.0,1.938,1.9391666666666667,,,,27659671.4,28.57142857142857,28.57142857142857,53756600.0,0.0
1/23/2015,LHBANK,1.95,2.04,1.95,2.0,2.56,213306250,426569000,658804000,1158879000.0,5957480000.0,1.9520000000000004,1.9433333333333327,,,,66532861.4,35.714285714285715,32.142857142857146,131760800.0,0.0
1/26/2015,LHBANK,2.0,2.1,2.0,2.06,3.0,163017144,334775000,963975000,1438071000.0,6171373000.0,1.9780000000000002,1.9525,,,,96069750.8,42.857142857142854,35.714285714285715,192795000.0,0.0
1/27/2015,LHBANK,2.06,2.08,2.04,2.06,0.0,96206327,198194000,1104787000,1578375000.0,6329664000.0,2.002,1.9625,,,,109392444.4,35.714285714285715,35.714285714285715,220957400.0,0.0
1/28/2015,LHBANK,2.06,2.08,2.02,2.06,0.0,66943916,137528000,1150966000,1670077000.0,6435721000.0,2.026,1.9725,,,,113426174.4,35.714285714285715,35.714285714285715,230193200.0,0.0
1/29/2015,LHBANK,2.06,2.06,2.0,2.0,-2.91,38346583,77495000,1174561000,1712423000.0,5474740000.0,2.0360000000000005,1.9783333333333328,,,,115564044.0,35.714285714285715,37.142857142857146,234912200.0,0.0
1/30/2015,LHBANK,2.0,2.04,1.98,1.98,-1.0,45139100,90505000,838497000,1778333000.0,4688943000.0,2.032,1.9816666666666665,,,,81930614.0,35.714285714285715,37.142857142857146,167699400.0,0.0
2/2/2015,LHBANK,1.98,2.0,1.96,1.97,-0.51,26975705,53234000,556956000,1646147000.0,4235787000.0,2.0140000000000002,1.985,,,,54722326.2,35.714285714285715,35.714285714285715,111391200.0,0.0
2/3/2015,LHBANK,1.98,2.02,1.97,2.0,1.52,36441248,72650000,431412000,1659733000.0,4067563000.0,2.002,1.9908333333333337,,,,42769310.4,35.714285714285715,35.714285714285715,86282400.0,0.0
2/4/2015,LHBANK,2.02,2.02,1.97,1.99,-0.5,38038757,75653000,369537000,1698838000.0,3732127000.0,1.988,1.995833333333333,,,,36988278.6,35.714285714285715,35.714285714285715,73907400.0,0.0
2/5/2015,LHBANK,1.98,1.99,1.96,1.97,-1.01,20033017,39534000,331576000,1708768000.0,3506245000.0,1.982,1.998333333333333,,,,33325565.4,35.714285714285715,35.714285714285715,66315200.0,0.0
2/6/2015,LHBANK,1.98,1.99,1.97,1.98,0.51,21147164,41817000,282888000,1693203000.0,3307667000.0,1.982,2.0016666666666665,,,,28527178.2,42.857142857142854,37.142857142857146,56577600.0,0.0
2/9/2015,LHBANK,1.97,1.99,1.97,1.98,0.0,12244313,24239000,253893000,1626093000.0,3148436000.0,1.984,2.004166666666667,1.9688461538461528,0.030776353276353863,0.030776353276353863,25580899.8,35.714285714285715,37.142857142857146,50778600.0,0.0
2/10/2015,LHBANK,2.08,2.18,2.02,2.04,3.03,313801586,655849000,837092000,2228042000.0,3737881000.0,1.992,2.0075,1.9723076923076919,0.035178062678063116,0.03297720797720849,81052967.4,42.857142857142854,38.571428571428584,167418400.0,2.0
2/11/2015,LHBANK,2.08,2.08,2.0,2.04,0.0,64350411,131904000,893343000,1933377000.0,3800900000.0,2.002,2.0058333333333334,1.9769230769230763,0.029494301994302582,0.031816239316239864,86315298.2,35.714285714285715,38.571428571428584,178668600.0,0.0
2/12/2015,LHBANK,2.06,2.06,2.0,2.02,-0.98,40820878,82376000,936185000,1680978000.0,3585879000.0,2.012,2.0025,1.9796153846153843,0.0225854700854704,0.02950854700854749,90472870.4,28.57142857142857,37.142857142857146,187237000.0,0.0
2/13/2015,LHBANK,2.02,2.08,2.0,2.04,0.99,42559618,86981000,981349000,1569765000.0,3570066000.0,2.024,2.000833333333333,1.9830769230769223,0.01956552706552728,0.027519943019943448,94755361.2,28.57142857142857,34.285714285714285,196269800.0,0.0
2/16/2015,LHBANK,2.04,2.06,2.0,2.0,-1.96,17517089,35478000,992588000,1467715000.0,3511420000.0,2.028,2.000833333333333,1.985384615384615,0.014237891737892028,0.024212250712251082,95809916.4,28.57142857142857,32.857142857142854,198517600.0,0.0
2/17/2015,LHBANK,2.02,2.04,2.0,2.0,0.0,19129934,38554000,375293000,1428774000.0,3528327000.0,2.0200000000000005,2.0025,1.9876923076923072,0.013511396011396616,0.019878917378917785,36875586.0,28.57142857142857,30.0,75058600.0,0.0
2/18/2015,LHBANK,2.0,2.04,2.0,2.0,0.0,17866613,36005000,279394000,1374274000.0,3486776000.0,2.012,2.005,1.9903846153846148,0.013133903133903502,0.016606837606837958,27578826.4,28.57142857142857,28.57142857142857,55878800.0,0.0
2/19/2015,LHBANK,2.02,2.04,2.0,2.02,1.0,16187531,32698000,229716000,1353738000.0,3481767000.0,2.012,2.0066666666666664,1.9934615384615384,0.013290598290598421,0.014747863247863568,22652157.0,35.714285714285715,30.0,45943200.0,0.0
2/20/2015,LHBANK,2.02,2.08,2.0,2.0,-0.99,43324160,87774000,230509000,1368862000.0,3525124000.0,2.004,2.0075,1.9961538461538464,0.009907407407407256,0.012816239316239564,22805065.4,35.714285714285715,31.428571428571434,46101800.0,0.0
2/23/2015,LHBANK,2.02,2.04,1.99,1.99,-0.5,33899047,67980000,263011000,1361189000.0,3560102000.0,2.002,2.0091666666666663,1.9984615384615387,0.008383190883190395,0.011645299145299238,26081457.0,28.57142857142857,31.428571428571434,52602200.0,0.0
2/24/2015,LHBANK,2.0,2.02,1.99,2.0,0.5,40957620,82366000,306823000,1404021000.0,3586885000.0,2.002,2.0108333333333333,2.0011538461538465,0.008098290598289816,0.010562678062677876,30446994.2,35.714285714285715,32.85714285714286,61364600.0,0.0
2/25/2015,LHBANK,2.0,2.04,1.99,1.99,-0.5,23035201,46104000,316922000,1408308000.0,3575099000.0,2.0,2.0116666666666663,2.0030769230769234,0.006225071225070433,0.009180911680911265,31480711.8,35.714285714285715,34.285714285714285,63384400.0,0.0
2/26/2015,LHBANK,1.99,2.02,1.98,1.98,-0.5,21626100,42945000,327169000,1427014000.0,3572218000.0,1.992,2.0066666666666664,2.0046153846153847,-0.0002279202279207304,0.006477207977207434,32568425.6,28.57142857142857,32.857142857142854,65433800.0,0.0
2/27/2015,LHBANK,1.99,2.02,1.98,1.99,0.51,27059100,54019000,293414000,825184000.0,3591088000.0,1.99,2.0025,2.0061538461538464,-0.004380341880342087,0.0036196581196575647,29315413.6,35.714285714285715,32.85714285714286,58682800.0,0.0
