Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
12/22/2015,LHHOTEL,10.1,10.1,9.95,9.95,-0.5,5155000,51834220,51834220,51834220.0,51834220.0,9.95,,,,,5155000.0,,
12/23/2015,LHHOTEL,10.0,10.0,9.95,10.0,0.5,385000,3844420,55678640,55678640.0,55678640.0,9.975,,,,,2770000.0,,
12/24/2015,LHHOTEL,10.0,10.0,9.95,9.95,-0.5,49300,492530,56171170,56171170.0,56171170.0,9.966666666666667,,,,,1863100.0,,
12/25/2015,LHHOTEL,9.95,10.0,9.95,10.0,0.5,449000,4489130,60660300,60660300.0,60660300.0,9.975,,,,,1509575.0,,
12/28/2015,LHHOTEL,10.0,10.0,9.95,9.95,-0.5,16400,163920,60824220,60824220.0,60824220.0,9.969999999999999,,,,,1210940.0,,
12/29/2015,LHHOTEL,10.0,10.0,10.0,10.0,0.5,88100,881000,9871000,61705220.0,61705220.0,9.98,,,,,197560.0,,
12/30/2015,LHHOTEL,10.0,10.0,9.95,10.0,0.0,20300,202880,6229460,61908100.0,61908100.0,9.98,,,,,124620.0,,
1/4/2016,LHHOTEL,9.95,10.0,9.95,10.0,0.0,305800,3055480,8792410,64963580.0,64963580.0,9.99,,,,,175920.0,,
1/5/2016,LHHOTEL,9.95,10.0,9.95,10.0,0.0,54000,539500,4842780,65503080.0,65503080.0,9.99,,,,,96920.0,,
1/6/2016,LHHOTEL,10.0,10.0,10.0,10.0,0.0,500,5000,4683860,65508080.0,65508080.0,10.0,,,,,93740.0,,
1/7/2016,LHHOTEL,10.0,10.0,10.0,10.0,0.0,79000,790000,4592860,66298080.0,66298080.0,10.0,,,,,91920.0,,
1/8/2016,LHHOTEL,10.0,10.0,10.0,10.0,0.0,131000,1310000,5699980,67608080.0,67608080.0,10.0,9.987499999999999,,,,114060.0,,
1/11/2016,LHHOTEL,10.0,10.0,10.0,10.0,0.0,142700,1427000,4071500,69035080.0,69035080.0,10.0,9.991666666666667,,,,81440.0,,
1/12/2016,LHHOTEL,10.0,10.0,10.0,10.0,0.0,6600,66000,3598000,17266860.0,69101080.0,10.0,9.991666666666667,,,,71960.0,21.42857142857143,21.42857142857143
1/13/2016,LHHOTEL,10.0,10.1,10.0,10.1,1.0,161600,1628720,5221720,15051160.0,70729800.0,10.02,10.004166666666666,,,,104180.0,28.57142857142857,25.0
1/14/2016,LHHOTEL,10.0,10.1,10.0,10.1,0.0,80500,812000,5243720,15370630.0,71541800.0,10.040000000000001,10.0125,,,,104480.0,21.42857142857143,23.80952380952381
