Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,LHSC,10.1,10.2,10.1,10.2,0.0,758000,7726000,52375000,52375000.0,52375000.0,10.2,,,,,758000.0,,
1/6/2015,LHSC,10.1,10.2,10.1,10.2,0.0,166100,1692000,54067000,54067000.0,54067000.0,10.2,,,,,462050.0,,
1/7/2015,LHSC,10.3,10.3,10.2,10.2,0.0,82900,851000,21702000,54918000.0,54918000.0,10.2,,,,,335666.6666666667,,
1/8/2015,LHSC,10.2,10.2,10.2,10.2,0.0,118200,1206000,16811000,56124000.0,56124000.0,10.2,,,,,281300.0,,
1/9/2015,LHSC,10.2,10.2,10.1,10.2,0.0,1281600,13015000,24490000,69139000.0,69139000.0,10.2,,,,,481360.0,,
1/12/2015,LHSC,10.2,10.3,10.2,10.2,0.0,74000,760000,17524000,69899000.0,69899000.0,10.2,,,,,344560.0,,
1/13/2015,LHSC,10.2,10.2,10.2,10.2,0.0,230000,2346000,18178000,72245000.0,72245000.0,10.2,,,,,357340.0,,
1/14/2015,LHSC,10.2,10.2,10.2,10.2,0.0,511400,5216000,22543000,77461000.0,77461000.0,10.2,,,,,443040.0,,
1/15/2015,LHSC,10.2,10.3,10.2,10.2,0.0,775700,7912000,29249000,85373000.0,85373000.0,10.2,,,,,574540.0,,
1/16/2015,LHSC,10.2,10.2,10.2,10.2,0.0,187700,1915000,18149000,87288000.0,87288000.0,10.2,,,,,355760.0,,
1/19/2015,LHSC,10.2,10.2,10.2,10.2,0.0,145500,1484000,18873000,55556000.0,88772000.0,10.2,,,,,370060.0,,
1/20/2015,LHSC,10.2,10.3,10.2,10.2,0.0,273300,2788000,19315000,52247000.0,91560000.0,10.2,10.200000000000001,,,,378720.0,,
1/21/2015,LHSC,10.2,10.2,10.2,10.2,0.0,20300,207000,14306000,47118000.0,91767000.0,10.2,10.200000000000001,,,,280500.0,,
1/22/2015,LHSC,10.3,10.3,10.2,10.2,0.0,778600,7942000,14336000,47334000.0,99709000.0,10.2,10.200000000000001,,,,281080.0,0.0,0.0
1/23/2015,LHSC,10.2,10.3,10.2,10.2,0.0,102700,1049000,13470000,46691000.0,100758000.0,10.2,10.200000000000001,,,,264080.0,0.0,0.0
1/26/2015,LHSC,10.2,10.2,10.2,10.2,0.0,387300,3950000,15936000,49790000.0,104708000.0,10.2,10.200000000000001,,,,312440.0,0.0,0.0
1/27/2015,LHSC,10.3,10.3,10.2,10.3,0.98,288700,2974000,16122000,51558000.0,107682000.0,10.219999999999999,10.208333333333334,,,,315520.0,7.142857142857139,1.7857142857142847
1/28/2015,LHSC,10.2,10.3,10.2,10.3,0.0,422600,4347000,20262000,42890000.0,112029000.0,10.24,10.216666666666667,,,,395980.0,7.142857142857139,2.8571428571428554
1/29/2015,LHSC,10.3,10.3,10.2,10.2,-0.97,873900,8962000,21282000,51092000.0,120991000.0,10.24,10.216666666666667,,,,415040.0,7.142857142857139,4.285714285714283
1/30/2015,LHSC,10.2,10.3,10.2,10.3,0.98,396500,4074000,24307000,52820000.0,125065000.0,10.26,10.225,,,,473800.0,14.285714285714292,7.1428571428571415
2/2/2015,LHSC,10.3,10.3,10.2,10.3,0.0,296800,3057000,23414000,50661000.0,128122000.0,10.280000000000001,10.233333333333333,,,,455700.0,14.285714285714292,10.0
2/3/2015,LHSC,10.2,10.2,10.2,10.2,-0.97,805000,8211000,28651000,50960000.0,136333000.0,10.26,10.233333333333333,,,,558960.0,14.285714285714292,11.42857142857143
2/4/2015,LHSC,10.2,10.3,10.2,10.3,0.98,20200,208000,24512000,49253000.0,136541000.0,10.26,10.241666666666665,,,,478480.0,21.42857142857143,14.285714285714288
2/5/2015,LHSC,10.3,10.3,10.2,10.3,0.0,654900,6724000,22274000,54493000.0,143265000.0,10.280000000000001,10.249999999999998,,,,434680.0,21.42857142857143,17.142857142857146
2/6/2015,LHSC,10.2,10.3,10.2,10.2,-0.97,685200,7018000,25218000,58723000.0,150283000.0,10.26,10.25,,,,492420.0,21.42857142857143,18.571428571428577
2/9/2015,LHSC,10.2,10.3,10.2,10.2,0.0,534300,5450000,27611000,63966000.0,155733000.0,10.24,10.25,10.223076923076924,0.020940170940171754,0.020940170940171754,539920.0,21.42857142857143,20.000000000000004
2/10/2015,LHSC,10.2,10.3,10.2,10.3,0.98,434900,4436000,23836000,60460000.0,160169000.0,10.26,10.258333333333333,10.226923076923079,0.032407407407404776,0.026673789173788265,465900.0,28.57142857142857,22.857142857142858
2/11/2015,LHSC,10.2,10.2,10.2,10.2,-0.97,567300,5786000,29414000,65197000.0,165955000.0,10.24,10.258333333333335,10.226923076923079,0.024430199430199195,0.02592592592592524,575320.0,28.57142857142857,24.285714285714285
2/12/2015,LHSC,10.2,10.2,10.2,10.2,0.0,221000,2254000,24944000,63501000.0,168209000.0,10.219999999999999,10.25,10.226923076923079,0.017378917378916725,0.023789173789173113,488540.0,28.57142857142857,25.71428571428571
2/13/2015,LHSC,10.2,10.2,10.2,10.2,0.0,341000,3478000,21404000,64005000.0,171687000.0,10.219999999999999,10.241666666666667,10.226923076923079,0.010327635327634255,0.02109686609686534,419700.0,28.57142857142857,27.142857142857146
2/16/2015,LHSC,10.2,10.3,10.2,10.2,0.0,412000,4202000,20156000,63860000.0,175889000.0,10.219999999999999,10.241666666666669,10.226923076923075,0.010327635327639584,0.018974358974358906,395240.0,21.42857142857143,27.142857142857146
2/17/2015,LHSC,10.2,10.2,10.2,10.2,0.0,153900,1570000,17290000,56468000.0,144243000.0,10.2,10.233333333333334,10.226923076923075,0.0032763532763571135,0.013148148148149375,339040.0,21.42857142857143,25.71428571428571
