Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,M-II,10.1,10.1,10.1,10.1,1.0,100,1000,1000,2327000.0,2548000.0,10.1,,,,,100.0,,,1000.0,0.0
1/8/2015,M-II,10.0,10.1,10.0,10.1,0.0,300,3000,4000,2315000.0,2551000.0,10.1,,,,,200.0,,,2000.0,0.0
1/14/2015,M-II,10.0,10.0,10.0,10.0,-0.99,10000,100000,103000,104000.0,2637000.0,10.066666666666666,,,,,3466.666666666666,,,34666.666666666664,0.0
1/19/2015,M-II,9.95,10.0,9.95,10.0,0.0,500,5000,105000,109000.0,2641000.0,10.05,,,,,2725.0,,,27250.0,0.0
1/20/2015,M-II,10.1,10.1,10.1,10.1,1.0,100,1000,106000,110000.0,2485000.0,10.06,,,,,2200.0,,,22000.0,0.0
1/23/2015,M-II,10.0,10.1,10.0,10.1,0.0,2000,20000,26000,129000.0,2463000.0,10.06,,,,,2580.0,,,25800.0,0.0
2/5/2015,M-II,10.0,10.0,10.0,10.0,-0.99,3000,30000,30000,51000.0,2486000.0,10.04,,,,,3120.0,,,31200.0,0.0
2/6/2015,M-II,10.1,10.1,10.1,10.1,1.0,100,1000,31000,51000.0,2472000.0,10.06,,,,,1140.0,,,11400.0,0.0
2/10/2015,M-II,10.2,10.2,10.2,10.2,0.99,100,1000,32000,52000.0,1483000.0,10.1,,,,,1060.0,,,10600.0,0.0
2/18/2015,M-II,9.9,9.9,9.75,9.75,-4.41,1200,12000,12000,44000.0,174000.0,10.03,,,,,1280.0,,,12800.0,0.0
2/19/2015,M-II,9.8,9.8,9.8,9.8,0.51,1000,10000,22000,54000.0,184000.0,9.97,,,,,1080.0,,,10800.0,0.0
2/20/2015,M-II,9.9,9.9,9.9,9.9,1.02,23000,228000,250000,282000.0,411000.0,9.95,10.0125,,,,5080.0,,,50400.0,0.0
2/25/2015,M-II,9.95,9.95,9.95,9.95,0.51,600,6000,244000,257000.0,414000.0,9.919999999999998,10.000000000000002,,,,5180.0,,,51400.0,0.0
3/9/2015,M-II,9.95,10.1,9.95,10.1,1.51,1100,11000,11000,267000.0,320000.0,9.900000000000002,10.0,,,,5380.0,57.14285714285714,57.14285714285714,53400.0,0.0
4/2/2015,M-II,9.8,9.8,9.7,9.7,-3.96,1900,19000,19000,19000.0,286000.0,9.89,9.975,,,,5520.0,50.0,53.57142857142857,54800.0,0.0
4/7/2015,M-II,9.7,10.0,9.7,10.0,3.09,200,2000,21000,21000.0,288000.0,9.93,9.975,,,,5360.0,57.14285714285714,54.76190476190475,53200.0,0.0
4/30/2015,M-II,10.0,10.0,10.0,10.0,0.0,200,2000,2000,2000.0,34000.0,9.95,9.966666666666667,,,,800.0,57.14285714285714,55.35714285714285,8000.0,0.0
5/12/2015,M-II,9.7,9.7,9.5,9.5,-5.0,10600,101000,101000,103000.0,124000.0,9.86,9.916666666666666,,,,2800.0,57.14285714285714,55.71428571428571,27000.0,0.0
5/13/2015,M-II,9.5,9.5,9.5,9.5,0.0,5000,48000,149000,151000.0,172000.0,9.74,9.874999999999998,,,,3580.0,50.0,54.28571428571429,34400.0,0.0
5/14/2015,M-II,9.5,9.5,9.5,9.5,0.0,5000,48000,197000,199000.0,220000.0,9.7,9.825,,,,4200.0,50.0,54.28571428571429,40200.0,0.0
5/15/2015,M-II,9.5,9.95,9.5,9.95,4.74,4500,43000,240000,242000.0,263000.0,9.69,9.804166666666667,,,,5060.0,57.14285714285714,54.28571428571429,48400.0,0.0
5/18/2015,M-II,9.5,9.5,9.5,9.5,-4.52,5000,48000,288000,290000.0,311000.0,9.59,9.783333333333333,,,,6020.0,50.0,52.85714285714285,57600.0,0.0
5/19/2015,M-II,9.5,9.5,9.5,9.5,0.0,10000,95000,282000,385000.0,406000.0,9.59,9.758333333333336,,,,5900.0,42.857142857142854,50.0,56400.0,0.0
5/20/2015,M-II,9.45,9.45,9.45,9.45,-0.53,100,1000,235000,386000.0,407000.0,9.580000000000002,9.720833333333333,,,,4920.0,42.857142857142854,48.57142857142857,47000.0,0.0
5/25/2015,M-II,9.8,9.95,9.8,9.9,4.76,1800,18000,114000,402000.0,425000.0,9.66,9.716666666666667,,,,4280.0,42.857142857142854,47.14285714285714,41000.0,0.0
5/27/2015,M-II,9.9,9.9,9.8,9.8,-1.01,21800,215000,233000,617000.0,640000.0,9.63,9.691666666666668,9.865384615384613,-0.15220797720797566,-0.15220797720797566,7740.0,35.714285714285715,42.85714285714286,75400.0,0.0
5/28/2015,M-II,9.55,9.55,9.55,9.55,-2.55,100,1000,234000,618000.0,641000.0,9.64,9.679166666666667,9.84423076923077,-0.16314102564102484,-0.15767450142450026,6760.0,28.57142857142857,38.57142857142857,66000.0,0.0
5/29/2015,M-II,9.75,9.8,9.75,9.75,2.09,5300,52000,286000,569000.0,674000.0,9.69,9.658333333333333,9.830769230769233,-0.15235042735042906,-0.1558998100664765,5820.0,28.57142857142857,35.714285714285715,57400.0,0.0
6/2/2015,M-II,9.8,9.8,9.8,9.8,0.51,2800,27000,295000,548000.0,701000.0,9.76,9.641666666666667,9.823076923076924,-0.15534188034188112,-0.15576032763532766,6360.0,35.714285714285715,34.285714285714285,62600.0,0.0
