Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,MACO-W1,0.41,0.43,0.41,0.43,2.38,11519085,4932000,16309000,102812000.0,1509352000.0,0.43,,,,,11519085.0,,,4932000.0,0.0
1/6/2015,MACO-W1,0.42,0.43,0.41,0.42,-2.33,17705887,7394000,19479000,101070000.0,1516746000.0,0.425,,,,,14612486.0,,,6163000.0,0.0
1/7/2015,MACO-W1,0.43,0.46,0.42,0.45,7.14,23993249,10691000,26931000,105566000.0,1527437000.0,0.43333333333333335,,,,,17739407.0,,,7672333.333333332,0.0
1/8/2015,MACO-W1,0.46,0.47,0.44,0.45,0.0,10726595,4868000,29508000,103938000.0,1225669000.0,0.4375,,,,,15986204.0,,,6971250.0,0.0
1/9/2015,MACO-W1,0.45,0.48,0.44,0.47,4.44,24729103,11493000,39378000,108794000.0,1173079000.0,0.444,,,,,17734783.8,,,7875600.0,0.0
1/12/2015,MACO-W1,0.47,0.49,0.46,0.46,-2.13,17591653,8318000,42764000,114270000.0,690410000.0,0.45,,,,,18949297.4,,,8552800.0,0.0
1/13/2015,MACO-W1,0.46,0.49,0.46,0.48,4.35,14598019,6920000,42290000,118092000.0,405386000.0,0.462,,,,,18327723.8,,,8458000.0,0.0
1/14/2015,MACO-W1,0.48,0.49,0.46,0.46,-4.17,7541500,3565000,35164000,82320000.0,359002000.0,0.46399999999999997,,,,,15037374.0,,,7032800.0,0.0
1/15/2015,MACO-W1,0.47,0.48,0.46,0.46,0.0,9380597,4366000,34662000,73924000.0,263080000.0,0.466,,,,,14768174.4,,,6932400.0,0.0
1/16/2015,MACO-W1,0.46,0.47,0.45,0.46,0.0,7144682,3298000,26467000,72998000.0,242552000.0,0.46399999999999997,,,,,11251290.2,,,5293400.0,0.0
1/19/2015,MACO-W1,0.46,0.47,0.45,0.46,0.0,4262437,1967000,20116000,71726000.0,227928000.0,0.46399999999999997,,,,,8585447.0,,,4023200.0,0.0
1/20/2015,MACO-W1,0.46,0.48,0.45,0.45,-2.17,8238556,3799000,16995000,73234000.0,222249000.0,0.458,0.4541666666666666,,,,7313554.4,,,3399000.0,0.0
1/21/2015,MACO-W1,0.45,0.48,0.45,0.48,6.67,20175917,9475000,22905000,81086000.0,225015000.0,0.462,0.4583333333333333,,,,9840437.8,,,4581000.0,0.0
1/22/2015,MACO-W1,0.49,0.56,0.49,0.52,8.33,155262394,83258000,101797000,159412000.0,303567000.0,0.474,0.4666666666666666,,,,39016797.2,42.857142857142854,42.857142857142854,20359400.0,0.0
1/23/2015,MACO-W1,0.52,0.55,0.48,0.48,-7.69,48734376,24976000,123475000,176994000.0,325635000.0,0.478,0.4691666666666666,,,,47334736.0,35.714285714285715,39.285714285714285,24695000.0,0.0
1/26/2015,MACO-W1,0.48,0.49,0.46,0.46,-4.17,11994527,5666000,127174000,171969000.0,328505000.0,0.478,0.47,,,,48881154.0,35.714285714285715,38.0952380952381,25434800.0,0.0
1/27/2015,MACO-W1,0.47,0.5,0.46,0.48,4.35,19560344,9451000,132826000,176552000.0,336290000.0,0.484,0.4708333333333334,,,,51145511.6,35.714285714285715,37.50000000000001,26565200.0,0.0
1/28/2015,MACO-W1,0.49,0.5,0.47,0.49,2.08,19224012,9468000,132819000,174527000.0,328730000.0,0.4859999999999999,0.4733333333333333,,,,50955130.6,42.857142857142854,38.571428571428584,26563800.0,0.0
1/29/2015,MACO-W1,0.5,0.53,0.49,0.49,0.0,30396170,15361000,64922000,181570000.0,338369000.0,0.48,0.4741666666666668,,,,25981885.8,35.714285714285715,37.142857142857146,12984400.0,0.0
1/30/2015,MACO-W1,0.5,0.51,0.49,0.49,0.0,10299597,5121000,45067000,179771000.0,342007000.0,0.48200000000000004,0.4766666666666667,,,,18294930.0,35.714285714285715,37.142857142857146,9013400.0,0.0
2/2/2015,MACO-W1,0.49,0.49,0.46,0.47,-4.08,15306600,7273000,46674000,183479000.0,343393000.0,0.484,0.4775,,,,18957344.6,28.57142857142857,35.714285714285715,9334800.0,0.0
2/3/2015,MACO-W1,0.48,0.49,0.47,0.48,2.13,7223764,3434000,40657000,182547000.0,342974000.0,0.484,0.4791666666666667,,,,16490028.6,35.714285714285715,35.714285714285715,8131400.0,0.0
2/4/2015,MACO-W1,0.49,0.49,0.47,0.48,0.0,18181850,8834000,40023000,188083000.0,342672000.0,0.48200000000000004,0.4808333333333335,,,,16281596.2,35.714285714285715,34.285714285714285,8004600.0,0.0
2/5/2015,MACO-W1,0.48,0.48,0.47,0.47,-2.08,12549945,5993000,30655000,192109000.0,342470000.0,0.4779999999999999,0.4825,,,,12712351.2,35.714285714285715,34.285714285714285,6131000.0,0.0
2/6/2015,MACO-W1,0.48,0.49,0.47,0.48,2.13,4332721,2078000,27612000,190388000.0,338052000.0,0.476,0.4824999999999999,,,,11518976.0,42.857142857142854,35.714285714285715,5522400.0,0.0
2/9/2015,MACO-W1,0.49,0.51,0.48,0.48,0.0,33513977,16591000,36930000,197504000.0,348006000.0,0.4779999999999999,0.4791666666666667,0.4692307692307693,0.00926638176638167,0.00926638176638167,15160451.4,42.857142857142854,38.571428571428584,7386000.0,0.0
2/10/2015,MACO-W1,0.48,0.5,0.48,0.49,2.08,15829000,7716000,41212000,121962000.0,352880000.0,0.48,0.48,0.4715384615384617,0.008632478632478513,0.008949430199430092,16881498.6,42.857142857142854,40.00000000000001,8242400.0,0.0
2/11/2015,MACO-W1,0.5,0.5,0.47,0.47,-4.08,9384509,4547000,36925000,101533000.0,354329000.0,0.4779999999999999,0.4808333333333334,0.4734615384615386,0.005961538461538352,0.007953466286799512,15122030.4,35.714285714285715,40.00000000000001,7385000.0,0.0
2/12/2015,MACO-W1,0.48,0.49,0.46,0.46,-2.13,12652400,5934000,36866000,101801000.0,320926000.0,0.476,0.4791666666666667,0.473846153846154,0.0033974358974357965,0.006814458689458583,15142521.4,35.714285714285715,40.0,7373200.0,0.0
2/13/2015,MACO-W1,0.47,0.48,0.46,0.46,0.0,6409400,2975000,37763000,95325000.0,311139000.0,0.472,0.4766666666666666,0.4742307692307695,0.0009259259259257193,0.00563675213675201,15557857.2,35.714285714285715,38.571428571428584,7552600.0,0.0
2/16/2015,MACO-W1,0.47,0.48,0.46,0.47,2.17,4125384,1933000,23105000,87790000.0,308848000.0,0.4699999999999999,0.4749999999999999,0.4742307692307695,0.0003133903133900051,0.0038461538461536772,9680138.6,35.714285714285715,37.142857142857146,4621000.0,0.0
