Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,MAKRO,36.25,37.0,36.25,36.5,0.69,70408,2582000,13460000,54626000.0,143907000.0,36.5,,,,,70408.0,,
1/6/2015,MAKRO,36.25,36.5,36.0,36.5,0.0,183901,6636000,18881000,45279000.0,147885000.0,36.5,,,,,127154.5,,
1/7/2015,MAKRO,36.75,37.0,36.25,36.5,0.0,78600,2872000,17600000,41249000.0,148162000.0,36.5,,,,,110969.66666666667,,
1/8/2015,MAKRO,37.0,37.0,35.5,36.75,0.68,154700,5586000,21662000,43604000.0,146545000.0,36.5625,,,,,121902.25,,
1/9/2015,MAKRO,36.25,37.0,36.25,37.0,0.68,32700,1206000,18882000,42254000.0,145157000.0,36.65,,,,,104061.8,,
1/12/2015,MAKRO,37.75,37.75,37.0,37.0,0.0,76002,2827000,19127000,40768000.0,142498000.0,36.75,,,,,105180.6,,
1/13/2015,MAKRO,36.5,37.0,36.5,37.0,0.0,23000,849000,13340000,38005000.0,137157000.0,36.85,,,,,73000.4,,
1/14/2015,MAKRO,37.25,37.25,36.5,37.0,0.0,23500,865000,11333000,37563000.0,136581000.0,36.95,,,,,61980.4,,
1/15/2015,MAKRO,37.25,37.25,36.75,37.0,0.0,11201,416000,6163000,34717000.0,136086000.0,37.0,,,,,33280.6,,
1/16/2015,MAKRO,37.0,37.0,36.75,36.75,-0.68,52901,1953000,6910000,35455000.0,136751000.0,36.95,,,,,37320.8,,
1/19/2015,MAKRO,36.75,37.0,36.75,36.75,0.0,15101,555000,4638000,31857000.0,133177000.0,36.9,,,,,25140.6,,
1/20/2015,MAKRO,36.75,37.0,36.75,36.75,0.0,47000,1728000,5517000,32061000.0,125690000.0,36.85,36.791666666666664,,,,29940.6,,
1/21/2015,MAKRO,36.75,37.0,36.75,36.75,0.0,94901,3489000,8141000,31564000.0,118286000.0,36.8,36.8125,,,,44220.8,,
1/22/2015,MAKRO,36.75,37.0,36.5,37.0,0.68,126200,4649000,12374000,33631000.0,121748000.0,36.8,36.854166666666664,,,,67220.6,28.57142857142857,28.57142857142857
1/23/2015,MAKRO,37.0,37.25,37.0,37.25,0.68,75105,2779000,13200000,29774000.0,120283000.0,36.9,36.916666666666664,,,,71661.4,28.57142857142857,28.57142857142857
1/26/2015,MAKRO,37.25,37.25,36.75,37.0,-0.67,175000,6450000,19095000,33352000.0,123976000.0,36.95,36.9375,,,,103641.2,28.57142857142857,28.57142857142857
