Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,MALEE,27.5,27.75,27.25,27.5,0.0,286010,7875000,12036000,119475000.0,366809000.0,27.5,,,,,286010.0,,
1/6/2015,MALEE,27.0,27.75,27.0,27.5,0.0,38200,1050000,11098000,77729000.0,367051000.0,27.5,,,,,162105.0,,
1/7/2015,MALEE,27.5,27.75,27.0,27.75,0.91,93200,2549000,12821000,64219000.0,367821000.0,27.583333333333332,,,,,139136.66666666666,,
1/8/2015,MALEE,27.5,28.0,27.5,27.75,0.0,165601,4594000,16943000,62877000.0,371339000.0,27.625,,,,,145752.75,,
1/9/2015,MALEE,27.75,29.25,27.75,27.75,0.0,896600,25359000,41427000,77911000.0,389744000.0,27.65,,,,,295922.2,,
1/12/2015,MALEE,27.75,28.5,27.75,28.0,0.9,154500,4339000,37891000,72615000.0,391815000.0,27.75,,,,,269620.2,,
1/13/2015,MALEE,28.0,29.0,28.0,28.75,2.68,194300,5549000,42390000,66960000.0,394471000.0,28.0,,,,,300840.2,,
1/14/2015,MALEE,29.0,29.25,28.5,28.75,0.0,165329,4784000,44625000,64477000.0,392322000.0,28.2,,,,,315266.0,,
1/15/2015,MALEE,28.75,29.25,28.75,29.25,1.74,98100,2859000,42890000,63119000.0,388219000.0,28.5,,,,,301765.8,,
1/16/2015,MALEE,30.0,30.75,29.75,30.5,4.27,329801,10015000,27546000,71146000.0,390705000.0,29.05,,,,,188406.0,,
1/19/2015,MALEE,30.5,32.25,30.5,32.25,5.74,287100,9060000,32267000,79380000.0,393186000.0,29.9,,,,,214926.0,,
1/20/2015,MALEE,32.75,32.75,31.25,32.25,0.0,238900,7592000,34310000,86500000.0,392028000.0,30.6,29.0,,,,223846.0,,
1/21/2015,MALEE,32.0,32.5,31.75,32.0,-0.78,162900,5222000,34748000,90847000.0,331226000.0,31.25,29.375,,,,223360.2,,
1/22/2015,MALEE,32.0,33.0,32.0,32.5,1.56,101501,3285000,35174000,86257000.0,325112000.0,31.9,29.791666666666668,,,,224040.4,50.0,50.0
1/23/2015,MALEE,32.5,32.75,31.75,32.0,-1.54,238500,7735000,32894000,92942000.0,330227000.0,32.2,30.145833333333332,,,,205780.2,50.0,50.0
1/26/2015,MALEE,31.5,32.25,31.5,31.75,-0.78,122700,3915000,27749000,94308000.0,331120000.0,32.1,30.479166666666668,,,,172900.2,50.0,50.0
1/27/2015,MALEE,32.75,32.75,31.75,31.75,0.0,108011,3470000,23627000,93184000.0,327356000.0,32.0,30.8125,,,,146722.4,42.857142857142854,48.214285714285715
