Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,MATCH,2.54,2.58,2.52,2.52,0.8,92000,234000,2272000,18270000.0,72254000.0,2.52,,,,,92000.0,,,234000.0,0.0
1/6/2015,MATCH,2.5,2.5,2.4,2.46,-2.38,1213702,2959000,4888000,15427000.0,67752000.0,2.49,,,,,652851.0,,,1596500.0,0.0
1/7/2015,MATCH,2.44,2.48,2.44,2.48,0.81,604300,1488000,5672000,15537000.0,66773000.0,2.486666666666667,,,,,636667.3333333335,,,1560333.333333333,0.0
1/8/2015,MATCH,2.48,2.54,2.48,2.52,1.61,262901,657000,5970000,14417000.0,64991000.0,2.495,,,,,543225.75,,,1334500.0,0.0
1/9/2015,MATCH,2.54,2.54,2.48,2.48,-1.59,743700,1854000,7192000,13243000.0,64135000.0,2.492,,,,,583320.6,,,1438400.0,0.0
1/12/2015,MATCH,2.5,2.5,2.48,2.48,0.0,115300,286000,7244000,12352000.0,62932000.0,2.484,,,,,587980.6,,,1448800.0,0.0
1/13/2015,MATCH,2.48,2.6,2.48,2.56,3.23,1467500,3758000,8043000,14371000.0,64738000.0,2.5040000000000004,,,,,638740.2,,,1608600.0,0.0
1/14/2015,MATCH,2.58,2.62,2.54,2.56,0.0,1022800,2654000,9209000,16614000.0,64939000.0,2.5200000000000005,,,,,722440.2,,,1841800.0,0.0
1/15/2015,MATCH,2.58,2.58,2.58,2.58,0.78,500,1000,8553000,15929000.0,64045000.0,2.532,,,,,669960.0,,,1710600.0,0.0
1/16/2015,MATCH,2.56,2.66,2.56,2.64,2.33,1008421,2651000,9350000,18237000.0,66280000.0,2.564,,,,,722904.2,,,1870000.0,0.0
1/19/2015,MATCH,2.62,2.7,2.6,2.64,0.0,765700,2047000,11111000,19580000.0,66552000.0,2.596,,,,,852984.2,,,2222200.0,0.0
1/20/2015,MATCH,2.72,2.72,2.66,2.66,0.76,1776600,4791000,12144000,24012000.0,69791000.0,2.6160000000000005,2.5483333333333333,,,,914804.2,,,2428800.0,0.0
1/21/2015,MATCH,2.72,2.76,2.72,2.74,3.01,1180600,3231000,12721000,26611000.0,71827000.0,2.652,2.5666666666666664,,,,946364.2,,,2544200.0,0.0
1/22/2015,MATCH,2.76,2.8,2.7,2.72,-0.73,860260,2365000,15085000,28742000.0,72126000.0,2.68,2.5883333333333334,,,,1118316.2,57.14285714285714,57.14285714285714,3017000.0,0.0
1/23/2015,MATCH,2.76,2.78,2.68,2.68,-1.47,376701,1026000,13460000,26809000.0,72024000.0,2.688,2.605,,,,991972.2,50.0,53.57142857142857,2692000.0,0.0
1/26/2015,MATCH,2.7,2.7,2.62,2.64,-1.49,709101,1889000,13302000,27210000.0,73263000.0,2.688,2.615,,,,980652.4,50.0,52.38095238095239,2660400.0,0.0
1/27/2015,MATCH,2.62,2.66,2.62,2.62,-0.76,409302,1076000,9587000,27629000.0,70125000.0,2.6800000000000006,2.6266666666666665,,,,707192.8,42.857142857142854,50.0,1917400.0,0.0
1/28/2015,MATCH,2.64,2.66,2.6,2.66,1.53,380000,999000,7355000,26774000.0,64117000.0,2.664,2.641666666666667,,,,547072.8,42.857142857142854,48.57142857142857,1471000.0,0.0
1/29/2015,MATCH,2.64,2.72,2.64,2.7,1.5,461400,1241000,6231000,27729000.0,63898000.0,2.66,2.6533333333333338,,,,467300.8,50.0,47.14285714285714,1246200.0,0.0
1/30/2015,MATCH,2.7,2.72,2.66,2.7,0.0,542000,1456000,6661000,25427000.0,62878000.0,2.664,2.6650000000000005,,,,500360.6,50.0,47.14285714285714,1332200.0,0.0
2/2/2015,MATCH,2.7,2.7,2.64,2.68,-0.74,56900,152000,4924000,22925000.0,58976000.0,2.6719999999999997,2.6733333333333342,,,,369920.4,42.857142857142854,45.714285714285715,984800.0,0.0
2/3/2015,MATCH,2.68,2.7,2.68,2.7,0.75,247800,664000,4512000,23588000.0,55515000.0,2.688,2.6783333333333332,,,,337620.0,50.0,47.14285714285714,902400.0,0.0
2/4/2015,MATCH,2.7,2.92,2.7,2.88,6.67,18034801,51177000,54690000,72114000.0,100890000.0,2.732,2.6983333333333337,,,,3868580.2,50.0,48.57142857142857,10938000.0,0.0
2/5/2015,MATCH,2.92,2.92,2.8,2.84,-1.39,4054412,11560000,65009000,81627000.0,111072000.0,2.76,2.7133333333333334,,,,4587182.6,42.857142857142854,47.14285714285714,13001800.0,0.0
