Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,MATI,6.65,6.7,6.65,6.7,-0.74,130900,871000,3108000,3850000.0,7502000.0,6.7,,,,,130900.0,,,871000.0,0.0
1/6/2015,MATI,6.65,6.65,6.65,6.65,-0.75,91500,608000,2177000,4359000.0,7776000.0,6.6750000000000025,,,,,111200.0,,,739500.0,0.0
1/7/2015,MATI,6.8,7.0,6.8,7.0,5.26,10300,71000,2213000,4298000.0,7457000.0,6.783333333333334,,,,,77566.66666666669,,,516666.66666666674,0.0
1/8/2015,MATI,6.7,6.7,6.7,6.7,-4.29,5001,34000,2171000,4332000.0,7469000.0,6.7625,,,,,59425.25,,,396000.0,0.0
1/9/2015,MATI,6.85,6.85,6.6,6.6,-1.49,33600,223000,1807000,4516000.0,6796000.0,6.73,,,,,54260.2,,,361400.0,0.0
1/12/2015,MATI,6.7,6.7,6.55,6.7,1.52,20200,134000,1070000,4542000.0,6692000.0,6.730000000000001,,,,,32120.2,,,214000.0,0.0
1/13/2015,MATI,6.55,6.65,6.55,6.65,-0.75,17000,112000,574000,4346000.0,6783000.0,6.73,,,,,17220.2,,,114800.0,0.0
1/14/2015,MATI,6.55,6.6,6.55,6.6,-0.75,1901,12000,515000,4344000.0,6626000.0,6.65,,,,,15540.4,,,103000.0,0.0
1/15/2015,MATI,6.65,6.65,6.65,6.65,0.76,1000,7000,488000,4309000.0,6526000.0,6.6400000000000015,,,,,14740.2,,,97600.0,0.0
1/16/2015,MATI,6.6,6.6,6.3,6.5,-2.26,33001,211000,476000,2981000.0,6394000.0,6.62,,,,,14620.4,,,95200.0,0.0
1/19/2015,MATI,6.5,6.65,6.5,6.6,1.54,73301,476000,818000,3422000.0,6846000.0,6.6,,,,,25240.6,,,163600.0,0.0
1/20/2015,MATI,6.45,6.6,6.45,6.6,0.0,1500,10000,716000,3356000.0,6491000.0,6.5900000000000025,6.662499999999999,,,,22140.6,,,143200.0,0.0
1/21/2015,MATI,6.6,6.65,6.6,6.65,0.76,25300,167000,871000,2936000.0,6605000.0,6.6,6.658333333333334,,,,26820.4,,,174200.0,0.0
1/22/2015,MATI,6.55,6.7,6.55,6.7,0.75,5900,39000,903000,2104000.0,6629000.0,6.610000000000001,6.6625000000000005,,,,27800.4,42.857142857142854,42.857142857142854,180600.0,0.0
1/23/2015,MATI,6.9,6.9,6.75,6.75,0.75,22300,152000,844000,1648000.0,6745000.0,6.6599999999999975,6.641666666666668,,,,25660.2,50.0,46.42857142857143,168800.0,0.0
1/26/2015,MATI,6.95,6.95,6.75,6.75,0.0,2001,14000,382000,1591000.0,6757000.0,6.69,6.645833333333332,,,,11400.2,50.0,47.61904761904761,76400.0,0.0
1/27/2015,MATI,6.9,6.9,6.6,6.8,0.74,87102,575000,947000,2132000.0,7318000.0,6.73,6.6625000000000005,,,,28520.6,50.0,48.214285714285715,189400.0,0.0
1/28/2015,MATI,6.55,6.8,6.5,6.8,0.0,33200,216000,996000,2125000.0,7514000.0,6.76,6.6708333333333325,,,,30100.6,50.0,48.57142857142857,199200.0,0.0
1/29/2015,MATI,6.75,6.75,6.7,6.7,-1.47,400,3000,960000,1994000.0,7481000.0,6.7600000000000025,6.6750000000000025,,,,29000.6,50.0,50.0,192000.0,0.0
2/2/2015,MATI,6.75,6.75,6.75,6.75,0.75,100,1000,795000,1871000.0,6954000.0,6.76,6.6875,,,,24560.6,50.0,50.0,161800.0,0.0
2/3/2015,MATI,6.75,6.75,6.5,6.7,-0.74,7400,49000,269000,1913000.0,6964000.0,6.75,6.691666666666666,,,,25640.4,50.0,50.0,168800.0,0.0
2/4/2015,MATI,6.45,6.75,6.45,6.7,0.0,1900,13000,66000,1715000.0,6878000.0,6.73,6.708333333333332,,,,8600.0,50.0,50.0,56400.0,0.0
2/5/2015,MATI,6.5,6.7,6.5,6.7,0.0,2100,14000,77000,1253000.0,6760000.0,6.709999999999999,6.716666666666668,,,,2380.0,42.857142857142854,48.57142857142857,16000.0,0.0
2/6/2015,MATI,6.5,6.7,6.5,6.7,0.0,14700,96000,173000,1339000.0,6856000.0,6.709999999999999,6.7250000000000005,,,,5240.0,42.857142857142854,47.14285714285714,34600.0,0.0
2/9/2015,MATI,6.65,6.7,6.65,6.7,0.0,600,4000,176000,1176000.0,6821000.0,6.7,6.729166666666668,,,,5340.0,35.714285714285715,44.28571428571429,35200.0,0.0
2/10/2015,MATI,6.75,6.75,6.75,6.75,0.75,100,1000,128000,1138000.0,6714000.0,6.709999999999999,6.7333333333333325,6.696153846153844,0.03575498575498859,0.03575498575498859,3880.0,42.857142857142854,42.85714285714286,25600.0,0.0
2/12/2015,MATI,6.75,6.8,6.75,6.8,0.74,1000,7000,108000,979000.0,6399000.0,6.73,6.7375000000000025,6.6999999999999975,0.03970797720797847,0.03773148148148353,3700.0,42.857142857142854,41.42857142857143,24400.0,0.0
2/13/2015,MATI,6.55,6.85,6.55,6.85,0.74,10600,72000,84000,476000.0,6429000.0,6.76,6.745833333333334,6.707692307692307,0.04362535612535723,0.03969610636277476,5400.0,42.857142857142854,41.42857142857143,36000.0,0.0
2/16/2015,MATI,6.85,6.85,6.85,6.85,0.0,1000,7000,87000,267000.0,4897000.0,6.790000000000001,6.75,6.701923076923076,0.05249287749287923,0.04289529914530088,2660.0,35.714285714285715,40.00000000000001,18200.0,0.0
2/17/2015,MATI,6.55,6.8,6.55,6.8,-0.73,1200,8000,94000,272000.0,4870000.0,6.81,6.749999999999999,6.705769230769231,0.04494301994301875,0.04330484330484445,2780.0,35.714285714285715,40.0,19000.0,0.0
2/18/2015,MATI,6.6,6.8,6.45,6.8,0.0,10100,65000,159000,337000.0,4859000.0,6.82,6.758333333333333,6.71346153846154,0.044871794871792936,0.045128205128205326,4780.0,28.57142857142857,37.142857142857146,31800.0,0.0
2/19/2015,MATI,6.65,6.7,6.6,6.6,-2.94,2800,19000,171000,355000.0,4291000.0,6.779999999999999,6.745833333333333,6.709615384615384,0.02190170940170777,0.041566951566951185,5140.0,28.57142857142857,34.285714285714285,34200.0,0.0
2/20/2015,MATI,6.7,6.75,6.7,6.75,2.27,400,3000,102000,309000.0,3423000.0,6.76,6.749999999999999,6.71346153846154,0.03383190883190679,0.039608262108261086,3100.0,35.714285714285715,32.85714285714286,20400.0,0.0
