Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
5/9/2017,MAX-W3,0.01,0.02,0.01,0.01,0.0,1553868098,19258790,19258790,19258790.0,19258790.0,0.01,,,,,1553868098.0,,
5/11/2017,MAX-W3,0.01,0.01,0.01,0.01,0.0,14158162,141580,19400370,19400370.0,19400370.0,0.01,,,,,784013130.0,,
5/12/2017,MAX-W3,0.01,0.01,0.01,0.01,0.0,301025,3010,19403380,19403380.0,19403380.0,0.01,,,,,522775761.6666667,,
5/15/2017,MAX-W3,0.01,0.01,0.01,0.01,0.0,1491000,14910,19418290,19418290.0,19418290.0,0.01,,,,,392454571.25,,
5/16/2017,MAX-W3,0.01,0.01,0.01,0.01,0.0,200000,2000,19420290,19420290.0,19420290.0,0.01,,,,,314003657.0,,
5/26/2017,MAX-W3,0.01,0.01,0.01,0.01,0.0,483500,4840,4840,19425130.0,19425130.0,0.01,,,,,3326737.4,,
6/7/2017,MAX-W3,0.01,0.01,0.01,0.01,0.0,175000,1750,1750,6590.0,19426880.0,0.01,,,,,530105.0,,
6/15/2017,MAX-W3,,,,,0.0,374000,3740,3740,5490.0,19430620.0,0.01,,,,,544700.0,,
6/16/2017,MAX-W3,0.01,0.01,0.01,0.01,0.0,999900,10000,13740,15490.0,19440620.0,0.01,,,,,446480.0,,
6/26/2017,MAX-W3,0.01,0.01,0.01,0.01,0.0,1201000,12010,12010,25750.0,19452630.0,0.01,,,,,646680.0,,
6/27/2017,MAX-W3,0.01,0.01,0.01,0.01,0.0,137500,1380,13390,27130.0,195220.0,0.01,,,,,577480.0,,
6/28/2017,MAX-W3,0.01,0.01,0.01,0.01,0.0,999900,10000,23390,37130.0,63640.0,0.01,0.009999999999999998,,,,742460.0,,
7/18/2017,MAX-W3,0.01,0.01,0.01,0.01,0.0,100100,1000,1000,11000.0,39880.0,0.01,0.009999999999999998,,,,687680.0,,
7/19/2017,MAX-W3,0.01,0.01,0.01,0.01,0.0,1103000,11030,12030,12030.0,50910.0,0.01,0.009999999999999998,,,,708300.0,0.0,0.0
7/20/2017,MAX-W3,0.01,0.01,0.01,0.01,0.0,200000,2000,14030,14030.0,52910.0,0.01,0.009999999999999998,,,,508100.0,0.0,0.0
7/21/2017,MAX-W3,0.01,0.01,0.01,0.01,0.0,500000,5000,19030,19030.0,57910.0,0.01,0.009999999999999998,,,,580600.0,0.0,0.0
7/25/2017,MAX-W3,0.01,0.01,0.01,0.01,0.0,259000,2590,20620,21620.0,60500.0,0.01,0.009999999999999998,,,,432420.0,0.0,0.0
7/26/2017,MAX-W3,0.01,0.01,0.01,0.01,0.0,234000,2340,11930,23960.0,62840.0,0.01,0.009999999999999998,,,,459200.0,0.0,0.0
7/27/2017,MAX-W3,0.01,0.01,0.01,0.01,0.0,2400100,24000,33930,47960.0,85090.0,0.01,0.009999999999999998,,,,718620.0,0.0,0.0
7/31/2017,MAX-W3,0.01,0.01,0.01,0.01,0.0,231000,2310,31240,50270.0,87400.0,0.01,0.009999999999999998,,,,724820.0,0.0,0.0
8/31/2017,MAX-W3,0.01,0.01,0.01,0.01,0.0,200000,2000,2000,2000.0,52270.0,0.01,0.009999999999999998,,,,664820.0,0.0,0.0
9/1/2017,MAX-W3,0.01,0.01,0.01,0.01,0.0,200000,2000,4000,4000.0,54270.0,0.01,0.009999999999999998,,,,653020.0,0.0,0.0
9/7/2017,MAX-W3,0.01,0.01,0.01,0.01,0.0,200300,2000,4000,6000.0,56270.0,0.01,0.009999999999999998,,,,646280.0,0.0,0.0
9/8/2017,MAX-W3,0.01,0.01,0.01,0.01,0.0,206100,2060,4060,8060.0,58330.0,0.01,0.009999999999999998,,,,207480.0,0.0,0.0
9/13/2017,MAX-W3,0.01,0.01,0.01,0.01,0.0,500500,5000,9060,13060.0,49300.0,0.01,0.009999999999999998,,,,261380.0,0.0,0.0
9/14/2017,MAX-W3,0.01,0.01,0.01,0.01,0.0,193700,1940,9000,15000.0,46240.0,0.01,0.009999999999999998,0.010000000000000002,-3.469446951953614e-18,-3.469446951953614e-18,260120.0,0.0,0.0
9/20/2017,MAX-W3,0.01,0.01,0.01,0.01,0.0,4900500,49000,50940,60000.0,66310.0,0.01,0.009999999999999998,0.010000000000000002,-3.469446951953614e-18,-3.469446951953614e-18,1200220.0,0.0,0.0
