Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,MBK,14.6,14.6,14.5,14.5,-0.68,37250,543000,17039000,78808000.0,361833000.0,14.5,,,,,37250.0,,
1/6/2015,MBK,14.4,14.7,14.4,14.7,1.38,143000,2084000,17390000,70521000.0,358726000.0,14.6,,,,,90125.0,,
1/7/2015,MBK,14.5,14.8,14.4,14.8,0.68,179801,2633000,14123000,60085000.0,356530000.0,14.666666666666666,,,,,120017.0,,
1/8/2015,MBK,14.7,14.8,14.6,14.7,-0.68,124002,1827000,12948000,53710000.0,352627000.0,14.675,,,,,121013.25,,
1/9/2015,MBK,14.7,14.7,14.5,14.6,-0.68,137695,2015000,9102000,52429000.0,353630000.0,14.66,,,,,124349.6,,
1/12/2015,MBK,14.6,14.7,14.5,14.6,0.0,116400,1699000,10258000,50277000.0,352107000.0,14.680000000000001,,,,,140179.6,,
1/13/2015,MBK,14.7,14.7,14.5,14.6,0.0,328600,4783000,12957000,41184000.0,354974000.0,14.66,,,,,177299.6,,
1/14/2015,MBK,14.5,14.6,14.5,14.6,0.0,285900,4163000,14487000,37425000.0,349097000.0,14.62,,,,,198519.4,,
1/15/2015,MBK,14.6,14.9,14.6,14.7,0.68,521687,7689000,20349000,43932000.0,353358000.0,14.62,,,,,278056.4,,
1/16/2015,MBK,14.7,14.9,14.7,14.9,1.36,257807,3809000,22143000,46008000.0,355603000.0,14.680000000000001,,,,,302078.8,,
1/19/2015,MBK,15.0,15.0,14.7,14.7,-1.34,233900,3442000,23886000,43550000.0,344971000.0,14.7,,,,,325578.8,,
1/20/2015,MBK,14.7,14.8,14.7,14.8,0.68,580500,8548000,27651000,49096000.0,352071000.0,14.739999999999998,14.683333333333332,,,,375958.8,,
1/21/2015,MBK,14.9,14.9,14.7,14.8,0.0,73600,1082000,24570000,44317000.0,351698000.0,14.779999999999998,14.708333333333334,,,,333498.8,,
1/22/2015,MBK,14.7,14.9,14.6,14.8,0.0,239218,3516000,20397000,47290000.0,179283000.0,14.8,14.716666666666669,,,,277005.0,35.71428571428572,35.71428571428572
1/23/2015,MBK,14.8,14.8,14.5,14.6,-1.35,554519,8112000,24700000,53318000.0,186083000.0,14.739999999999998,14.700000000000003,,,,336347.4,35.71428571428572,35.71428571428572
1/26/2015,MBK,14.7,14.7,14.6,14.6,0.0,107500,1572000,22830000,52257000.0,175395000.0,14.720000000000002,14.691666666666668,,,,311067.4,28.57142857142857,33.333333333333336
1/27/2015,MBK,14.6,14.7,14.5,14.7,0.68,302802,4406000,18688000,54836000.0,179152000.0,14.7,14.699999999999998,,,,255527.8,28.57142857142857,32.142857142857146
1/28/2015,MBK,14.7,14.7,14.5,14.6,-0.68,190400,2782000,20388000,55603000.0,165833000.0,14.66,14.699999999999998,,,,278887.8,28.57142857142857,31.428571428571434
1/29/2015,MBK,14.7,14.7,14.5,14.6,0.0,286000,4151000,21023000,58055000.0,167378000.0,14.62,14.699999999999996,,,,288244.2,28.57142857142857,30.0
1/30/2015,MBK,14.5,14.7,14.5,14.7,0.68,240500,3526000,16437000,56798000.0,166625000.0,14.64,14.708333333333329,,,,225440.4,35.71428571428572,30.0
2/2/2015,MBK,14.6,14.7,14.6,14.7,0.0,50100,733000,15598000,53368000.0,160472000.0,14.66,14.70833333333333,,,,213960.4,35.71428571428572,31.428571428571434
2/3/2015,MBK,14.7,14.7,14.5,14.6,-0.68,487901,7110000,18302000,52789000.0,158490000.0,14.639999999999997,14.68333333333333,,,,250980.2,35.71428571428572,32.85714285714286
2/4/2015,MBK,14.6,14.7,14.5,14.6,0.0,306100,4460000,19980000,53440000.0,152579000.0,14.64,14.674999999999997,,,,274120.2,28.57142857142857,32.857142857142854
2/5/2015,MBK,14.6,14.6,14.5,14.6,0.0,150574,2192000,18021000,52190000.0,141702000.0,14.64,14.658333333333331,,,,247035.0,21.42857142857143,31.428571428571434
2/6/2015,MBK,14.5,14.6,14.5,14.6,0.0,129301,1876000,16371000,45518000.0,135376000.0,14.62,14.641666666666666,,,,224795.2,21.42857142857143,28.571428571428577
2/9/2015,MBK,14.5,14.7,14.5,14.5,-0.68,177000,2573000,18211000,47009000.0,134653000.0,14.580000000000002,14.616666666666665,14.661538461538466,-0.05085470085470689,-0.05085470085470689,250175.2,14.285714285714292,24.28571428571429
2/10/2015,MBK,14.5,14.6,14.4,14.5,0.0,109900,1595000,12696000,45088000.0,132397000.0,14.559999999999999,14.608333333333333,14.661538461538463,-0.05790598290598581,-0.05438034188034635,174575.0,14.285714285714292,20.000000000000004
2/11/2015,MBK,14.6,14.6,14.4,14.6,0.69,210000,3047000,11283000,40023000.0,121568000.0,14.559999999999999,14.608333333333333,14.657692307692312,-0.0463675213675252,-0.05170940170940597,155355.0,21.42857142857143,18.571428571428577
2/12/2015,MBK,14.5,14.6,14.4,14.5,-0.68,118800,1723000,10814000,40174000.0,115369000.0,14.540000000000001,14.591666666666663,14.646153846153851,-0.057763532763539516,-0.053222934472939354,149000.2,21.42857142857143,18.571428571428577
2/13/2015,MBK,14.5,14.6,14.5,14.6,0.69,63867,930000,9868000,36698000.0,115117000.0,14.540000000000001,14.591666666666663,14.642307692307696,-0.04622507122507713,-0.05182336182336691,135913.4,28.57142857142857,20.000000000000004
2/16/2015,MBK,14.6,14.6,14.4,14.6,0.0,90208,1310000,8605000,35226000.0,114694000.0,14.559999999999999,14.591666666666667,14.642307692307694,-0.04622507122507358,-0.050897435897440245,118555.0,21.42857142857143,21.42857142857143
2/17/2015,MBK,14.6,14.7,14.4,14.5,-0.68,280000,4058000,11068000,35133000.0,112852000.0,14.560000000000002,14.574999999999998,14.63846153846154,-0.0647435897435944,-0.05226495726496196,152575.0,21.42857142857143,22.857142857142858
2/18/2015,MBK,14.5,14.5,14.4,14.5,0.0,37407,542000,8563000,32149000.0,110392000.0,14.540000000000001,14.558333333333332,14.634615384615385,-0.07528490028490253,-0.05804843304843743,118056.4,21.42857142857143,22.857142857142858
2/19/2015,MBK,14.6,14.6,14.5,14.6,0.69,244804,3550000,10390000,34966000.0,108081000.0,14.559999999999999,14.558333333333332,14.634615384615385,-0.0673076923076934,-0.059957264957268205,143257.2,21.42857142857143,22.857142857142858
2/20/2015,MBK,14.5,14.6,14.3,14.6,0.0,917801,13223000,22683000,41079000.0,120761000.0,14.559999999999999,14.558333333333332,14.630769230769234,-0.06374643874644192,-0.06346153846154116,314044.0,21.42857142857143,21.42857142857143
2/23/2015,MBK,14.5,14.6,14.4,14.6,0.0,122400,1776000,23149000,38395000.0,120453000.0,14.559999999999999,14.55833333333333,14.619230769230771,-0.05306267806268394,-0.06482905982906324,320482.4,21.42857142857143,21.42857142857143
2/24/2015,MBK,14.6,14.6,14.5,14.5,-0.68,200100,2903000,21994000,39106000.0,120723000.0,14.560000000000002,14.549999999999999,14.611538461538466,-0.06096866096866549,-0.06407407407407746,304502.4,21.42857142857143,21.42857142857143
2/25/2015,MBK,14.6,14.6,14.5,14.5,0.0,117400,1708000,23160000,38938000.0,120604000.0,14.559999999999999,14.549999999999999,14.600000000000003,-0.050284900284903955,-0.05907407407407774,320501.0,21.42857142857143,21.42857142857143
2/26/2015,MBK,14.5,14.6,14.3,14.6,0.69,424449,6114000,25724000,42479000.0,124703000.0,14.559999999999999,14.558333333333332,14.592307692307696,-0.028133903133905847,-0.05123931623932023,356430.0,28.57142857142857,22.857142857142858
2/27/2015,MBK,14.5,14.7,14.5,14.6,0.0,537055,7817000,20318000,48701000.0,130821000.0,14.559999999999999,14.558333333333332,14.584615384615386,-0.02101139601139934,-0.042692307692311714,280280.8,28.57142857142857,24.285714285714285
3/2/2015,MBK,14.7,14.7,14.5,14.5,-0.68,282355,4113000,22655000,49767000.0,130151000.0,14.540000000000001,14.558333333333332,14.580769230769233,-0.025427350427353446,-0.03716524216524562,312271.8,28.57142857142857,25.71428571428571
3/3/2015,MBK,14.5,14.6,14.4,14.5,0.0,224200,3245000,22997000,51289000.0,129233000.0,14.540000000000001,14.549999999999999,14.576923076923078,-0.028917378917380887,-0.030754985754988695,317091.8,21.42857142857143,25.71428571428571
3/5/2015,MBK,14.5,14.5,14.3,14.5,0.0,171801,2480000,23769000,52839000.0,124024000.0,14.540000000000001,14.541666666666666,14.569230769230769,-0.028846153846155076,-0.02646723646723892,327972.0,21.42857142857143,25.71428571428571
3/6/2015,MBK,14.5,14.5,14.3,14.4,-0.69,569602,8179000,25834000,59708000.0,128394000.0,14.5,14.533333333333333,14.56153846153846,-0.03675213675213662,-0.028190883190885075,357002.6,14.285714285714292,22.857142857142858
3/9/2015,MBK,14.5,14.5,14.3,14.4,0.0,345630,4982000,22999000,60632000.0,129934000.0,14.459999999999999,14.525,14.553846153846154,-0.03668091168091081,-0.03132478632478737,318717.6,14.285714285714292,20.000000000000004
3/10/2015,MBK,14.2,14.2,14.1,14.1,-2.08,202073,2865000,21751000,62955000.0,124251000.0,14.379999999999999,14.483333333333333,14.530769230769229,-0.07450142450142394,-0.04113960113960147,302661.2,14.285714285714292,17.142857142857146
3/11/2015,MBK,14.0,14.1,13.9,14.0,-0.71,601130,8389000,26895000,67794000.0,131558000.0,14.280000000000001,14.433333333333332,14.503846153846153,-0.09985754985754802,-0.05532763532763489,378047.2,14.285714285714292,15.714285714285719
3/12/2015,MBK,14.0,14.2,14.0,14.2,1.43,187500,2645000,27060000,57216000.0,130687000.0,14.219999999999999,14.399999999999999,14.488461538461536,-0.09786324786324663,-0.06913105413105321,381187.0,14.285714285714292,14.285714285714292
3/13/2015,MBK,14.2,14.2,14.1,14.1,-0.7,58906,831000,19712000,56271000.0,123406000.0,14.16,14.366666666666667,14.46923076923077,-0.11623931623931583,-0.08502849002848904,279047.8,14.285714285714292,14.285714285714292
3/16/2015,MBK,14.2,14.2,13.8,13.8,-2.13,211486,2941000,17671000,56309000.0,124775000.0,14.040000000000001,14.308333333333335,14.438461538461537,-0.16103988603988384,-0.10990028490028365,252219.0,14.285714285714292,14.285714285714292
3/17/2015,MBK,13.9,13.9,13.7,13.8,0.0,113800,1571000,16377000,56172000.0,121940000.0,13.979999999999999,14.241666666666667,14.407692307692306,-0.18896011396011225,-0.13279202279202132,234564.4,14.285714285714292,14.285714285714292
3/18/2015,MBK,13.8,14.0,13.7,14.0,1.45,259352,3598000,11586000,53656000.0,122756000.0,13.979999999999999,14.191666666666668,14.38846153846154,-0.19750712250712077,-0.15232193732193586,166208.8,21.42857142857143,15.714285714285719
3/19/2015,MBK,14.0,14.0,13.8,13.9,-0.71,154648,2154000,11095000,47993000.0,120759000.0,13.920000000000002,14.141666666666666,14.365384615384615,-0.22642450142450343,-0.17803418803418722,159638.4,14.285714285714292,15.714285714285719
3/20/2015,MBK,13.8,14.0,13.5,13.6,-2.16,908351,12479000,22743000,56359000.0,129712000.0,13.819999999999999,14.066666666666668,14.326923076923078,-0.2782051282051299,-0.21042735042735003,329527.4,14.285714285714292,15.714285714285719
3/23/2015,MBK,13.9,13.9,13.6,13.6,0.0,69752,956000,20758000,54070000.0,129935000.0,13.780000000000001,13.991666666666665,14.292307692307695,-0.3096153846153893,-0.2401424501424511,301180.6,14.285714285714292,15.714285714285719
3/24/2015,MBK,13.8,13.8,13.5,13.7,0.74,112300,1530000,20717000,53120000.0,124355000.0,13.76,13.933333333333332,14.25769230769231,-0.31894586894587107,-0.2661396011396029,300880.6,21.42857142857143,17.142857142857146
3/25/2015,MBK,13.8,14.0,13.7,13.8,0.73,407172,5618000,22737000,50559000.0,125513000.0,13.719999999999999,13.883333333333333,14.226923076923079,-0.3247863247863272,-0.29159544159544415,330444.6,28.57142857142857,18.571428571428577
3/26/2015,MBK,13.9,13.9,13.7,13.9,0.72,168645,2327000,22910000,47904000.0,125648000.0,13.720000000000002,13.866666666666667,14.203846153846154,-0.3095441595441599,-0.3082193732193755,333244.0,35.71428571428572,22.85714285714286
3/27/2015,MBK,13.8,13.9,13.6,13.9,0.0,184600,2536000,12967000,47575000.0,126308000.0,13.779999999999998,13.858333333333334,14.180769230769231,-0.2952279202279211,-0.3116239316239337,188493.8,35.71428571428572,27.142857142857146
3/30/2015,MBK,13.8,14.0,13.8,14.0,0.72,359510,4990000,17001000,44176000.0,128725000.0,13.86,13.841666666666667,14.157692307692306,-0.27998575498575384,-0.30569800569800665,246445.4,42.857142857142854,32.85714285714286
4/1/2015,MBK,14.0,14.0,13.8,14.0,0.0,81100,1130000,16601000,42661000.0,128260000.0,13.919999999999998,13.833333333333334,14.134615384615385,-0.26566951566951325,-0.29504273504273504,240205.4,42.857142857142854,37.142857142857146
4/2/2015,MBK,14.0,14.2,13.8,13.9,-0.71,583300,8127000,19110000,49957000.0,133340000.0,13.940000000000001,13.841666666666669,14.107692307692306,-0.2416666666666636,-0.2784188034188023,275431.0,35.71428571428572,38.57142857142858
4/3/2015,MBK,13.9,13.9,13.8,13.9,0.0,524801,7243000,24026000,54259000.0,138860000.0,13.940000000000001,13.850000000000001,14.084615384615383,-0.21324786324785983,-0.25915954415954234,346662.2,35.71428571428572,38.57142857142858
4/7/2015,MBK,13.8,13.9,13.7,13.9,0.0,375600,5179000,26669000,57867000.0,143109000.0,13.940000000000001,13.841666666666669,14.061538461538458,-0.19893162393161923,-0.23990028490028195,384862.2,35.71428571428572,38.57142857142858
4/8/2015,MBK,14.0,14.0,13.7,13.8,-0.72,377300,5211000,26890000,59480000.0,147010000.0,13.9,13.833333333333336,14.030769230769227,-0.18547008547008126,-0.22099715099714742,388420.2,35.71428571428572,37.14285714285715
