Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
10/1/2018,META-W3,0.33,0.39,0.25,0.26,0.0,112408966,34474360,34474360,34474360.0,34474360.0,0.26,,,,,112408966.0,,,34474360.0,0.0
10/2/2018,META-W3,0.25,0.26,0.23,0.24,-7.69,20819476,5003490,39477850,39477850.0,39477850.0,0.25,,,,,66614221.0,,,19738925.0,0.0
10/3/2018,META-W3,0.24,0.25,0.22,0.22,-8.33,30284600,6996720,46474570,46474570.0,46474570.0,0.24,,,,,54504347.33333334,,,15491523.333333336,0.0
10/4/2018,META-W3,0.22,0.23,0.22,0.22,0.0,4642477,1023610,47498180,47498180.0,47498180.0,0.235,,,,,42038879.75,,,11874545.0,0.0
10/5/2018,META-W3,0.22,0.23,0.22,0.22,0.0,4493655,988800,48486980,48486980.0,48486980.0,0.23199999999999998,,,,,34529834.8,,,9697396.0,0.0
10/8/2018,META-W3,0.22,0.22,0.2,0.2,-9.09,7693733,1595450,15608070,50082430.0,50082430.0,0.22,,,,,13586788.2,,,3121614.0,0.0
10/9/2018,META-W3,0.21,0.22,0.2,0.21,5.0,2092782,439740,11044320,50522170.0,50522170.0,0.214,,,,,9841449.4,,,2208864.0,0.0
10/10/2018,META-W3,0.21,0.22,0.2,0.2,-4.76,2060742,428620,4476220,50950790.0,50950790.0,0.21,,,,,4196677.8,,,895244.0,0.0
10/11/2018,META-W3,0.2,0.2,0.18,0.18,-10.0,6292240,1165280,4617890,52116070.0,52116070.0,0.202,,,,,4526630.4,,,923578.0,0.0
10/12/2018,META-W3,0.18,0.2,0.18,0.19,5.56,9846230,1886350,5515440,54002420.0,54002420.0,0.196,,,,,5597145.4,,,1103088.0,0.0
10/16/2018,META-W3,0.2,0.2,0.19,0.2,5.26,1190495,235190,4155180,54237610.0,54237610.0,0.196,,,,,4296497.8,,,831036.0,0.0
10/17/2018,META-W3,0.2,0.21,0.18,0.18,-10.0,4656757,874940,4590380,55112550.0,55112550.0,0.19,0.21,,,,4809292.8,,,918076.0,0.0
10/18/2018,META-W3,0.19,0.19,0.18,0.18,0.0,2400016,444180,4605940,55556730.0,55556730.0,0.18600000000000005,0.20333333333333334,,,,4877147.6,,,921188.0,0.0
10/19/2018,META-W3,0.18,0.2,0.17,0.19,5.56,10731623,1992420,5433080,23074790.0,57549150.0,0.188,0.1991666666666667,,,,5765024.2,28.57142857142857,28.57142857142857,1086616.0,0.0
10/22/2018,META-W3,0.2,0.2,0.19,0.19,0.0,2463127,476650,4023380,18547950.0,58025800.0,0.188,0.19666666666666666,,,,4288403.6,28.57142857142857,28.57142857142857,804676.0,0.0
10/24/2018,META-W3,0.19,0.2,0.18,0.18,-5.26,12129704,2267070,6055260,13818300.0,60292870.0,0.184,0.19333333333333333,,,,6476245.4,28.57142857142857,28.57142857142857,1211052.0,0.0
10/25/2018,META-W3,0.18,0.19,0.18,0.18,0.0,693261,124790,5305110,12919480.0,60417660.0,0.184,0.19,,,,5683546.2,28.57142857142857,28.57142857142857,1061022.0,0.0
10/29/2018,META-W3,0.19,0.21,0.17,0.17,-10.53,21937777,4161400,9022330,16092080.0,64579060.0,0.182,0.1875,,,,9591098.4,28.57142857142857,28.57142857142857,1804466.0,0.0
10/30/2018,META-W3,0.17,0.17,0.16,0.16,-5.88,2775052,460760,7490670,14957390.0,65039820.0,0.17600000000000002,0.18333333333333326,,,,7999784.2,28.57142857142857,28.57142857142857,1498134.0,0.0
10/31/2018,META-W3,0.16,0.17,0.15,0.16,0.0,2051992,328890,7342910,14846540.0,65368710.0,0.17,0.17999999999999994,,,,7917557.2,28.57142857142857,28.57142857142857,1468582.0,0.0
11/1/2018,META-W3,0.15,0.17,0.15,0.15,-6.25,5034297,780260,5856100,15198180.0,66148970.0,0.16399999999999998,0.17749999999999996,,,,6498475.8,21.42857142857143,27.142857142857146,1171220.0,0.0
11/2/2018,META-W3,0.16,0.17,0.15,0.16,6.67,2433240,389110,6120420,14422010.0,66538080.0,0.16,0.17499999999999996,,,,6846471.6,28.57142857142857,27.142857142857146,1224084.0,0.0
11/5/2018,META-W3,0.16,0.16,0.15,0.15,-6.25,1646611,252650,2211670,12788310.0,66790730.0,0.156,0.17083333333333328,,,,2788238.4,28.57142857142857,27.142857142857146,442334.0,0.0
11/6/2018,META-W3,0.15,0.16,0.15,0.15,0.0,2822597,428780,2179690,12981900.0,67219510.0,0.154,0.1683333333333333,,,,2797747.4,21.42857142857143,25.71428571428571,435938.0,0.0
11/7/2018,META-W3,0.15,0.16,0.15,0.15,0.0,2359217,353880,2204680,12460840.0,67573390.0,0.152,0.1658333333333333,,,,2859192.4,14.285714285714292,22.857142857142854,440936.0,0.0
11/8/2018,META-W3,0.15,0.16,0.14,0.15,0.0,1577828,236500,1660920,12253160.0,67809890.0,0.152,0.16249999999999995,0.18615384615384625,-0.022898860398860518,-0.022898860398860518,2167898.6,14.285714285714292,21.42857142857143,332184.0,0.0
11/9/2018,META-W3,0.15,0.16,0.14,0.14,-6.67,2746629,421240,1693050,10681980.0,68231130.0,0.14800000000000002,0.1583333333333333,0.1815384615384616,-0.022948717948718028,-0.022923789173789275,2230576.4,14.285714285714292,18.571428571428573,338610.0,0.0
11/12/2018,META-W3,0.14,0.16,0.14,0.14,0.0,3158575,454260,1894660,10659590.0,68685390.0,0.146,0.155,0.17769230769230773,-0.02220797720797724,-0.022685185185185263,2532969.2,7.142857142857139,14.285714285714288,378932.0,2.0
11/13/2018,META-W3,0.14,0.14,0.13,0.14,0.0,1283583,179220,1645100,8571740.0,68864610.0,0.14400000000000002,0.1516666666666667,0.1746153846153846,-0.022179487179487145,-0.022558760683760733,2225166.4,7.142857142857139,11.428571428571427,329020.0,0.0
11/14/2018,META-W3,0.14,0.14,0.12,0.13,-7.14,4482879,587600,1878820,9034550.0,69452210.0,0.14,0.14833333333333334,0.17115384615384613,-0.02259259259259256,-0.022565527065527096,2649898.8,7.142857142857139,10.0,375764.0,0.0
11/15/2018,META-W3,0.13,0.14,0.12,0.13,0.0,1584156,211600,1853920,5084750.0,69663810.0,0.136,0.14583333333333334,0.16769230769230767,-0.02150284900284899,-0.02228632478632479,2651164.4,7.142857142857139,8.571428571428571,370784.0,0.0
11/16/2018,META-W3,0.13,0.14,0.13,0.13,0.0,1595905,207570,1640250,4831560.0,69871380.0,0.134,0.1433333333333333,0.165,-0.02112535612535616,-0.021921652421652414,2421019.6,7.142857142857139,7.142857142857139,328050.0,0.0
11/19/2018,META-W3,0.13,0.13,0.12,0.12,-7.69,2553735,309850,1495840,4812520.0,70181230.0,0.13,0.14083333333333334,0.16153846153846155,-0.020833333333333315,-0.02164672364672364,2300051.6,7.142857142857139,7.142857142857139,299168.0,2.0
11/20/2018,META-W3,0.12,0.12,0.11,0.12,0.0,1507111,180270,1496890,4212530.0,70361500.0,0.126,0.13749999999999998,0.15846153846153846,-0.020804843304843286,-0.021371794871794855,2344757.2,7.142857142857139,7.142857142857139,299378.0,0.0
11/21/2018,META-W3,0.11,0.11,0.11,0.11,-8.33,4143977,455830,1365120,4279250.0,36342970.0,0.122,0.13416666666666668,0.15576923076923074,-0.021930199430199443,-0.02123931623931624,2276976.8,7.142857142857139,7.142857142857139,273024.0,0.0
11/22/2018,META-W3,0.11,0.11,0.09,0.09,-18.18,1645002,163760,1317280,4190360.0,31503240.0,0.114,0.12916666666666668,0.15192307692307688,-0.02419515669515664,-0.021777777777777764,2289146.0,0.0,5.714285714285711,263456.0,0.0
11/23/2018,META-W3,0.09,0.09,0.08,0.09,0.0,916440,82480,1192190,3844060.0,24589000.0,0.10599999999999997,0.1241666666666667,0.14769230769230765,-0.024508547008546933,-0.02245441595441592,2153253.0,0.0,4.285714285714283,238438.0,0.0
11/26/2018,META-W3,0.08,0.09,0.07,0.09,0.0,2032156,162510,1044850,3652690.0,23727900.0,0.09999999999999998,0.1191666666666667,0.1442307692307692,-0.025534188034187968,-0.02339458689458685,2048937.2,0.0,2.8571428571428554,208970.0,0.0
11/27/2018,META-W3,0.08,0.09,0.08,0.08,-11.11,1642097,131420,996000,3547610.0,22870520.0,0.092,0.1141666666666667,0.14038461538461536,-0.02700142450142444,-0.024633903133903085,2075934.4,0.0,1.4285714285714275,199200.0,0.0
11/28/2018,META-W3,0.08,0.1,0.08,0.08,0.0,2747652,239910,780080,3366280.0,21514980.0,0.08600000000000001,0.10916666666666668,0.13615384615384613,-0.02731481481481475,-0.025710826210826144,1796669.4,0.0,0.0,156016.0,0.0
11/29/2018,META-W3,0.1,0.1,0.09,0.1,25.0,506940,48830,665150,2960850.0,21124070.0,0.08800000000000001,0.10583333333333336,0.13269230769230764,-0.02533475783475781,-0.025938746438746385,1569057.0,7.142857142857139,1.4285714285714275,133030.0,0.0
11/30/2018,META-W3,0.1,0.1,0.09,0.1,0.0,250588,24410,607080,2806040.0,20719860.0,0.09,0.10333333333333332,0.1296153846153846,-0.02460113960113959,-0.025957264957264914,1435886.6,7.142857142857139,2.8571428571428554,121416.0,0.0
12/3/2018,META-W3,0.1,0.1,0.09,0.09,-10.0,655391,64870,509440,2283310.0,19619450.0,0.09,0.1,0.12615384615384614,-0.025014245014245026,-0.02585327635327633,1160533.6,7.142857142857139,4.285714285714283,101888.0,0.0
12/4/2018,META-W3,0.09,0.1,0.09,0.1,11.11,1343304,121160,499180,2192870.0,17854260.0,0.094,0.0975,0.12346153846153846,-0.02383903133903134,-0.025220797720797702,1100775.0,14.285714285714292,7.1428571428571415,99836.0,2.0
