Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,MINT-W5,4.82,4.84,4.72,4.76,-2.06,396118,1899000,14903000,90443000.0,615850000.0,4.76,,,,,396118.0,,
1/6/2015,MINT-W5,4.7,4.7,4.56,4.56,-4.2,942075,4335000,17783000,73906000.0,620185000.0,4.66,,,,,669096.5,,
1/7/2015,MINT-W5,4.5,4.9,4.5,4.9,7.46,1307435,6107000,22790000,68214000.0,626292000.0,4.74,,,,,881876.0,,
1/8/2015,MINT-W5,5.05,5.2,4.94,4.96,1.22,1833811,9243000,25092000,66653000.0,635535000.0,4.795,,,,,1119859.75,,
1/9/2015,MINT-W5,5.0,5.2,4.98,4.98,0.4,1227308,6175000,27759000,56797000.0,641710000.0,4.832,,,,,1141349.4,,
1/12/2015,MINT-W5,4.98,5.0,4.9,4.94,-0.8,333562,1652000,27512000,52129000.0,643362000.0,4.868,,,,,1128838.2,,
1/13/2015,MINT-W5,5.0,5.1,4.92,4.96,0.4,976816,4896000,28073000,53905000.0,648258000.0,4.948,,,,,1135786.4,,
1/14/2015,MINT-W5,5.2,5.2,4.94,4.98,0.4,1135493,5717000,27683000,57129000.0,601186000.0,4.964,,,,,1101398.0,,
1/15/2015,MINT-W5,4.96,5.05,4.94,4.96,-0.4,552708,2760000,21200000,55788000.0,586884000.0,4.964,,,,,845177.4,,
1/16/2015,MINT-W5,4.96,4.96,4.76,4.8,-3.23,1625826,7925000,22950000,62258000.0,584452000.0,4.928,,,,,924881.0,,
1/19/2015,MINT-W5,4.82,4.88,4.8,4.82,0.42,775708,3750000,25048000,64908000.0,572147000.0,4.904000000000001,,,,,1013310.2,,
1/20/2015,MINT-W5,4.84,4.86,4.7,4.72,-2.07,1183003,5644000,25796000,63611000.0,561333000.0,4.856,4.861666666666667,,,,1054547.6,,
1/21/2015,MINT-W5,4.72,4.76,4.68,4.68,-0.85,367577,1733000,21812000,61836000.0,466714000.0,4.796,4.8549999999999995,,,,900964.4,,
1/22/2015,MINT-W5,4.68,4.82,4.68,4.82,2.99,1634078,7801000,26853000,67738000.0,431588000.0,4.768,4.876666666666666,,,,1117238.4,50.0,50.0
