Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,MK,4.24,4.24,4.18,4.22,-0.47,520800,2188000,30069000,78234000.0,277161000.0,4.22,,,,,520800.0,,,2188000.0,0.0
1/6/2015,MK,4.2,4.2,4.16,4.2,-0.47,900430,3766000,29556000,64623000.0,272044000.0,4.21,,,,,710615.0,,,2977000.0,0.0
1/7/2015,MK,4.2,4.22,4.18,4.22,0.48,477730,2010000,29649000,60529000.0,270138000.0,4.213333333333334,,,,,632986.6666666665,,,2654666.666666666,0.0
1/8/2015,MK,4.22,4.28,4.22,4.28,1.42,1779301,7572000,34068000,59709000.0,267309000.0,4.23,,,,,919565.25,,,3884000.0,0.0
1/9/2015,MK,4.28,4.32,4.28,4.32,0.93,809400,3484000,19020000,59784000.0,260790000.0,4.248,,,,,897532.2,,,3804000.0,0.0
1/12/2015,MK,4.3,4.34,4.3,4.34,0.46,886600,3832000,20664000,59185000.0,245552000.0,4.272,,,,,970692.2,,,4132800.0,0.0
1/13/2015,MK,4.36,4.36,4.3,4.34,0.0,825550,3575000,20473000,61759000.0,220528000.0,4.3,,,,,955716.2,,,4094600.0,0.0
1/14/2015,MK,4.34,4.34,4.28,4.32,-0.46,751300,3234000,21697000,61730000.0,205505000.0,4.32,,,,,1010430.2,,,4339400.0,0.0
1/15/2015,MK,4.3,4.32,4.26,4.3,-0.46,1252645,5363000,19488000,62905000.0,195462000.0,4.324,,,,,905099.0,,,3897600.0,0.0
1/16/2015,MK,4.3,4.3,4.28,4.3,0.0,166100,714000,16718000,59340000.0,180969000.0,4.32,,,,,776439.0,,,3343600.0,0.0
1/19/2015,MK,4.3,4.3,4.26,4.3,0.0,1337801,5725000,18611000,63148000.0,176991000.0,4.312,,,,,866679.2,,,3722200.0,0.0
1/20/2015,MK,4.3,4.4,4.3,4.36,1.4,8617502,37270000,52306000,97265000.0,208324000.0,4.316000000000002,4.291666666666666,,,,2425069.6,,,10461200.0,0.0
1/21/2015,MK,4.34,4.38,4.3,4.38,0.46,3601800,15675000,64747000,94408000.0,219910000.0,4.327999999999999,4.305,,,,2995169.6,,,12949400.0,0.0
1/22/2015,MK,4.38,4.4,4.32,4.36,-0.46,6010816,26149000,85533000,118369000.0,244088000.0,4.34,4.318333333333333,,,,3946803.8,42.857142857142854,42.857142857142854,17106600.0,0.0
