Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,MONTRI,10.0,10.0,10.0,10.0,2.04,100,1000,54000,267000.0,7366000.0,10.0,,,,,100.0,,
1/7/2015,MONTRI,9.9,9.9,9.9,9.9,-1.0,2000,20000,21000,246000.0,5484000.0,9.95,,,,,1050.0,,
1/13/2015,MONTRI,9.75,9.9,9.75,9.9,0.0,1100,11000,31000,85000.0,687000.0,9.933333333333332,,,,,1066.6666666666667,,
1/14/2015,MONTRI,10.0,10.0,9.9,9.9,0.0,1100,11000,22000,96000.0,685000.0,9.924999999999999,,,,,1075.0,,
1/15/2015,MONTRI,9.9,9.9,9.6,9.6,-3.03,7900,77000,99000,173000.0,762000.0,9.86,,,,,2440.0,,
1/16/2015,MONTRI,9.9,9.9,9.9,9.9,3.12,200,2000,101000,175000.0,764000.0,9.84,,,,,2460.0,,
1/21/2015,MONTRI,9.9,9.9,9.9,9.9,0.0,400,4000,83000,126000.0,570000.0,9.84,,,,,2140.0,,
1/23/2015,MONTRI,9.9,9.9,9.9,9.9,0.0,100,1000,5000,126000.0,564000.0,9.84,,,,,1940.0,,
1/28/2015,MONTRI,9.95,9.95,9.95,9.95,0.51,1400,14000,15000,120000.0,548000.0,9.85,,,,,2000.0,,
1/29/2015,MONTRI,9.9,9.9,9.9,9.9,-0.5,12600,125000,140000,245000.0,636000.0,9.91,,,,,2940.0,,
1/30/2015,MONTRI,9.9,9.9,9.9,9.9,0.0,3000,30000,169000,264000.0,656000.0,9.91,,,,,3500.0,,
2/3/2015,MONTRI,9.9,9.9,9.9,9.9,0.0,1000,10000,179000,186000.0,572000.0,9.91,9.887500000000001,,,,3620.0,,
2/6/2015,MONTRI,9.8,9.9,9.8,9.9,0.0,37100,364000,374000,548000.0,756000.0,9.91,9.879166666666668,,,,11020.0,,
2/11/2015,MONTRI,9.85,9.85,9.85,9.85,-0.51,2100,21000,385000,564000.0,744000.0,9.89,9.875000000000002,,,,11160.0,21.42857142857143,21.42857142857143
2/12/2015,MONTRI,9.8,9.8,9.8,9.8,-0.51,17300,170000,555000,734000.0,914000.0,9.870000000000001,9.866666666666667,,,,12100.0,14.285714285714292,17.85714285714286
2/13/2015,MONTRI,9.85,9.85,9.8,9.8,0.0,50000,490000,681000,1224000.0,1404000.0,9.85,9.858333333333333,,,,21500.0,14.285714285714292,16.66666666666667
2/17/2015,MONTRI,9.85,9.85,9.85,9.85,0.51,400,4000,685000,1089000.0,1355000.0,9.84,9.879166666666666,,,,21380.0,21.42857142857143,17.85714285714286
3/5/2015,MONTRI,9.9,9.9,9.9,9.9,0.51,500,5000,5000,9000.0,1240000.0,9.84,9.879166666666665,,,,14060.0,28.57142857142857,20.000000000000004
3/6/2015,MONTRI,9.85,9.85,9.8,9.8,-1.01,45000,441000,446000,450000.0,1679000.0,9.830000000000002,9.870833333333332,,,,22640.0,28.57142857142857,21.42857142857143
3/9/2015,MONTRI,9.8,9.9,9.8,9.9,1.02,41700,409000,855000,855000.0,2088000.0,9.849999999999998,9.870833333333334,,,,27520.0,28.57142857142857,24.285714285714285
3/10/2015,MONTRI,9.8,9.8,9.8,9.8,-1.01,30105,295000,1150000,1150000.0,2383000.0,9.85,9.858333333333333,,,,23541.0,28.57142857142857,27.142857142857146
3/11/2015,MONTRI,9.95,9.95,9.8,9.8,0.0,83201,815000,1965000,1965000.0,3194000.0,9.84,9.85,,,,40101.2,28.57142857142857,28.571428571428566
3/13/2015,MONTRI,9.6,9.8,9.6,9.75,-0.51,55300,542000,2061000,2507000.0,3735000.0,9.81,9.8375,,,,51061.2,21.42857142857143,27.142857142857146
3/16/2015,MONTRI,9.85,9.85,9.85,9.85,1.03,400,4000,1656000,2511000.0,3739000.0,9.82,9.833333333333334,,,,42141.2,28.57142857142857,27.142857142857146
3/20/2015,MONTRI,9.8,9.8,9.8,9.8,-0.51,10000,98000,102000,2609000.0,3668000.0,9.8,9.825,,,,35801.2,28.57142857142857,27.142857142857146
3/25/2015,MONTRI,9.8,9.8,9.8,9.8,0.0,3000,29000,127000,2192000.0,3687000.0,9.8,9.820833333333333,9.855769230769234,-0.03400997150997398,-0.03400997150997398,30380.2,28.57142857142857,27.142857142857146
3/27/2015,MONTRI,9.75,9.85,9.75,9.75,-0.51,22500,221000,250000,1709000.0,3544000.0,9.790000000000001,9.816666666666665,9.84615384615385,-0.03262108262108754,-0.03331552706553076,18240.0,28.57142857142857,27.142857142857146
4/1/2015,MONTRI,9.8,9.8,9.8,9.8,3.16,13100,128000,378000,1022000.0,3672000.0,9.8,9.816666666666665,9.842307692307696,-0.02507122507122972,-0.030567426400763747,9800.0,35.71428571428572,30.0
4/2/2015,MONTRI,9.6,9.85,9.6,9.6,-2.04,47300,454000,803000,934000.0,4105000.0,9.750000000000002,9.795833333333333,9.830769230769233,-0.0479700854700873,-0.034918091168094634,19180.0,35.71428571428572,31.428571428571434
4/7/2015,MONTRI,9.85,9.85,9.85,9.85,2.6,100,1000,583000,931000.0,3446000.0,9.760000000000002,9.791666666666666,9.828846153846156,-0.029772079772083515,-0.03388888888889241,17200.0,42.857142857142854,34.28571428571429
