Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,MOONG,5.85,5.85,5.75,5.85,-0.85,51800,300000,1149000,9688000.0,75505000.0,5.85,,,,,51800.0,,
1/6/2015,MOONG,5.75,5.8,5.7,5.75,-1.71,161300,924000,1818000,8342000.0,57777000.0,5.8,,,,,106550.0,,
1/7/2015,MOONG,5.8,5.85,5.75,5.75,0.0,51900,300000,2054000,6444000.0,54883000.0,5.783333333333334,,,,,88333.33333333333,,
1/8/2015,MOONG,5.85,5.9,5.8,5.85,1.74,41300,241000,2097000,6399000.0,53210000.0,5.800000000000001,,,,,76575.0,,
1/9/2015,MOONG,5.85,5.9,5.8,5.8,-0.85,35200,204000,1969000,5695000.0,46616000.0,5.800000000000001,,,,,68300.0,,
1/12/2015,MOONG,5.95,6.3,5.95,6.15,6.03,409600,2498000,4167000,7886000.0,46246000.0,5.860000000000001,,,,,139860.0,,
1/13/2015,MOONG,6.2,6.3,6.1,6.1,-0.81,173400,1071000,4314000,7989000.0,43048000.0,5.93,,,,,142280.0,,
1/14/2015,MOONG,6.3,6.3,6.1,6.1,0.0,110400,676000,4690000,8224000.0,41455000.0,6.0,,,,,153980.0,,
1/15/2015,MOONG,6.2,6.2,6.1,6.1,0.0,172300,1053000,5502000,8116000.0,41681000.0,6.05,,,,,180180.0,,
1/16/2015,MOONG,6.15,6.2,6.1,6.1,0.0,93801,576000,5874000,8437000.0,40740000.0,6.110000000000001,,,,,191900.2,,
1/19/2015,MOONG,6.2,6.25,6.1,6.15,0.82,137300,847000,4223000,9220000.0,40315000.0,6.109999999999999,,,,,137440.2,,
1/20/2015,MOONG,6.15,6.2,6.1,6.1,-0.81,62700,386000,3538000,9408000.0,38140000.0,6.109999999999999,5.983333333333334,,,,115300.2,,
1/21/2015,MOONG,6.1,6.2,6.1,6.15,0.82,73600,451000,3313000,9527000.0,37390000.0,6.12,6.008333333333334,,,,107940.2,,
1/22/2015,MOONG,6.25,6.25,6.15,6.15,0.0,68000,420000,2680000,9647000.0,35645000.0,6.13,6.041666666666668,,,,87080.2,28.57142857142857,28.57142857142857
1/23/2015,MOONG,6.15,6.6,6.15,6.3,2.44,322300,2063000,4167000,10786000.0,35718000.0,6.17,6.0874999999999995,,,,132780.0,35.71428571428572,32.142857142857146
1/26/2015,MOONG,6.7,6.7,6.3,6.3,0.0,116500,744000,4064000,11230000.0,34812000.0,6.2,6.125,,,,128620.0,35.71428571428572,33.333333333333336
1/27/2015,MOONG,6.3,6.5,6.25,6.35,0.79,70106,445000,4123000,11434000.0,34077000.0,6.25,6.170833333333333,,,,130101.2,42.857142857142854,35.714285714285715
1/28/2015,MOONG,6.35,6.45,6.25,6.35,0.0,64500,407000,4079000,11637000.0,33446000.0,6.290000000000001,6.187499999999999,,,,128281.2,35.71428571428572,35.714285714285715
1/29/2015,MOONG,6.35,6.4,6.25,6.35,0.0,225500,1428000,5087000,10567000.0,33250000.0,6.33,6.208333333333332,,,,159781.2,35.71428571428572,37.14285714285715
1/30/2015,MOONG,6.3,6.3,6.2,6.3,-0.79,68400,429000,3453000,9925000.0,30475000.0,6.33,6.224999999999999,,,,109001.2,28.57142857142857,35.71428571428572
2/2/2015,MOONG,6.2,6.3,6.2,6.2,-1.59,72003,448000,3157000,9697000.0,26746000.0,6.31,6.233333333333333,,,,100101.8,28.57142857142857,34.28571428571429
2/3/2015,MOONG,6.3,6.35,6.3,6.3,1.61,30500,192000,2904000,8836000.0,25491000.0,6.3,6.25,,,,92180.6,35.71428571428572,32.85714285714286
2/4/2015,MOONG,6.3,6.3,6.2,6.25,-0.79,99900,622000,3119000,8882000.0,23843000.0,6.279999999999999,6.258333333333334,,,,99260.6,35.71428571428572,32.85714285714286
2/5/2015,MOONG,6.15,6.25,6.15,6.25,0.0,198400,1220000,2911000,9255000.0,22865000.0,6.26,6.270833333333333,,,,93840.6,35.71428571428572,32.85714285714286
2/6/2015,MOONG,6.35,6.35,6.2,6.2,-0.8,118500,736000,3218000,9605000.0,23315000.0,6.24,6.2749999999999995,,,,103860.6,28.57142857142857,32.857142857142854
2/9/2015,MOONG,6.2,6.25,6.2,6.2,0.0,28500,177000,2947000,9331000.0,22584000.0,6.24,6.279166666666666,6.132692307692308,0.12930911680911628,0.12930911680911628,95160.0,28.57142857142857,32.857142857142854
2/10/2015,MOONG,6.2,6.3,6.15,6.15,-0.81,53200,330000,3085000,9241000.0,22607000.0,6.209999999999999,6.266666666666667,6.144230769230768,0.10405982905983002,0.11668447293447315,99700.0,21.42857142857143,30.0
