Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,MPG,1.73,1.77,1.73,1.73,-1.14,342800,600000,12426000,44337000.0,252096000.0,1.73,,,,,342800.0,,,600000.0,0.0
1/6/2015,MPG,1.73,1.74,1.72,1.72,-0.58,592000,1023000,7681000,41576000.0,228942000.0,1.725,,,,,467400.0,,,811500.0,0.0
1/7/2015,MPG,1.73,1.77,1.72,1.76,2.33,1415800,2470000,7029000,40868000.0,219544000.0,1.7366666666666666,,,,,783533.3333333335,,,1364333.333333333,0.0
1/8/2015,MPG,1.8,2.1,1.79,1.89,7.39,16999500,33506000,39701000,67352000.0,223811000.0,1.775,,,,,4837525.0,,,9399750.0,0.0
1/9/2015,MPG,1.92,1.92,1.83,1.84,-2.65,3019000,5643000,43242000,69557000.0,213701000.0,1.7879999999999998,,,,,4473820.0,,,8648400.0,0.0
1/12/2015,MPG,1.86,1.87,1.83,1.83,-0.54,2469400,4566000,47208000,72629000.0,206834000.0,1.808,,,,,4899140.0,,,9441600.0,0.0
1/13/2015,MPG,1.83,1.83,1.79,1.79,-2.19,1081600,1956000,48141000,72728000.0,204483000.0,1.8219999999999998,,,,,4997060.0,,,9628200.0,0.0
1/14/2015,MPG,1.8,1.85,1.79,1.8,0.56,4007400,7248000,52919000,79541000.0,203784000.0,1.83,,,,,5515380.0,,,10583800.0,0.0
1/15/2015,MPG,1.84,1.84,1.79,1.79,-0.56,1609500,2895000,22308000,71733000.0,189176000.0,1.81,,,,,2437380.0,,,4461600.0,0.0
1/16/2015,MPG,1.8,1.82,1.79,1.79,0.0,1892002,3415000,20080000,69380000.0,182110000.0,1.8,,,,,2211980.4,,,4016000.0,0.0
1/19/2015,MPG,1.79,1.8,1.73,1.75,-2.23,5136500,9057000,24571000,75315000.0,186296000.0,1.784,,,,,2745400.4,,,4914200.0,0.0
1/20/2015,MPG,1.76,1.82,1.76,1.77,1.14,2051208,3648000,26263000,78129000.0,179044000.0,1.78,1.788333333333333,,,,2939322.0,,,5252600.0,0.0
1/21/2015,MPG,1.81,2.12,1.78,1.99,12.43,72590600,146731000,165746000,222758000.0,319960000.0,1.818,1.81,,,,16655962.0,,,33149200.0,0.0
1/22/2015,MPG,2.04,2.14,1.96,1.97,-1.01,50041100,103316000,266167000,325474000.0,418425000.0,1.8540000000000003,1.8308333333333329,,,,26342282.0,35.714285714285715,35.714285714285715,53233400.0,0.0
1/23/2015,MPG,1.98,2.04,1.95,1.95,-1.02,9207600,18251000,281003000,342702000.0,433017000.0,1.886,1.8466666666666665,,,,27805401.6,35.714285714285715,35.714285714285715,56200600.0,0.0
1/26/2015,MPG,1.95,1.96,1.85,1.9,-2.56,6818000,13010000,284956000,353242000.0,436894000.0,1.916,1.8475,,,,28141701.6,35.714285714285715,35.714285714285715,56991200.0,0.0
1/27/2015,MPG,1.95,2.1,1.9,2.1,10.53,27274302,55676000,336984000,375412000.0,486484000.0,1.982,1.8691666666666664,,,,33186320.4,35.714285714285715,35.714285714285715,67396800.0,0.0
1/28/2015,MPG,2.16,2.18,1.95,1.95,-7.14,30928210,64030000,254283000,433799000.0,539819000.0,1.974,1.8791666666666669,,,,24853842.4,28.57142857142857,34.285714285714285,50856600.0,0.0
1/29/2015,MPG,1.96,2.02,1.91,1.93,-1.03,14772900,29114000,180081000,458347000.0,561679000.0,1.966,1.8908333333333327,,,,17800202.4,28.57142857142857,32.857142857142854,36016200.0,0.0
1/30/2015,MPG,1.98,1.99,1.93,1.94,0.52,4437700,8670000,170500000,465061000.0,567154000.0,1.964,1.9025,,,,16846222.4,35.714285714285715,32.85714285714286,34100000.0,0.0
2/2/2015,MPG,1.94,1.99,1.94,1.94,0.0,4391702,8608000,166098000,466421000.0,570434000.0,1.972,1.9150000000000005,,,,16360962.8,35.714285714285715,32.85714285714286,33219600.0,0.0
2/3/2015,MPG,1.95,1.96,1.91,1.94,0.0,3931300,7584000,118006000,471110000.0,574754000.0,1.94,1.9275,,,,11692362.4,28.57142857142857,31.428571428571434,23601200.0,0.0
2/4/2015,MPG,1.94,1.94,1.9,1.9,-2.06,2462801,4715000,58691000,472410000.0,575685000.0,1.93,1.94,,,,5999280.6,28.57142857142857,31.428571428571434,11738200.0,0.0
2/5/2015,MPG,1.91,1.97,1.91,1.94,2.11,7280300,14158000,43735000,477511000.0,586665000.0,1.932,1.9541666666666664,,,,4500760.6,35.714285714285715,32.85714285714286,8747000.0,0.0
2/6/2015,MPG,1.95,1.96,1.9,1.92,-1.03,3950801,7567000,42632000,481430000.0,587210000.0,1.9280000000000002,1.948333333333333,,,,4403380.8,35.714285714285715,32.85714285714286,8526400.0,0.0
2/9/2015,MPG,1.91,1.93,1.88,1.88,-2.08,3394100,6463000,40487000,341162000.0,590235000.0,1.916,1.9408333333333327,1.8734615384615376,0.05752849002849025,0.05752849002849025,4203860.4,28.57142857142857,31.428571428571434,8097400.0,0.0
2/10/2015,MPG,1.91,1.91,1.87,1.87,-0.53,2952000,5550000,38453000,243396000.0,594291000.0,1.902,1.9341666666666668,1.8788461538461527,0.04610398860398912,0.05181623931623969,4008000.4,21.42857142857143,30.0,7690600.0,0.0
2/11/2015,MPG,1.88,1.9,1.86,1.86,-0.53,1071900,2008000,35746000,227153000.0,594442000.0,1.8940000000000001,1.9308333333333327,1.8842307692307687,0.03750000000000031,0.047044159544159886,3729820.2,21.42857142857143,28.571428571428577,7149200.0,0.0
2/12/2015,MPG,1.9,1.9,1.87,1.87,0.54,1181400,2227000,23815000,216370000.0,596234000.0,1.88,1.9116666666666668,1.888461538461538,0.018162393162393764,0.03982371794871836,2510040.2,28.57142857142857,27.142857142857146,4763000.0,0.0
2/13/2015,MPG,1.89,1.98,1.89,1.96,4.81,16512501,32049000,48297000,192743000.0,617580000.0,1.8880000000000003,1.9125000000000003,1.8911538461538453,0.023554131054131844,0.03656980056980106,5022380.2,35.714285714285715,27.142857142857146,9659400.0,0.0
2/16/2015,MPG,1.96,2.08,1.95,2.08,6.12,37738101,76877000,118711000,205590000.0,688689000.0,1.9280000000000002,1.925,1.900384615384616,0.03515669515669528,0.03209544159544206,11891180.4,35.714285714285715,28.571428571428577,23742200.0,2.0
2/17/2015,MPG,2.08,2.16,1.99,1.99,-4.33,31289400,65386000,178547000,241862000.0,750953000.0,1.952,1.929166666666667,1.9065384615384613,0.02580484330484345,0.02803561253561293,17558660.4,35.714285714285715,31.428571428571434,35709400.0,0.0
2/18/2015,MPG,1.99,2.08,1.96,2.06,3.52,11431100,23114000,199653000,256306000.0,773233000.0,1.992,1.9391666666666665,1.9169230769230767,0.030235042735042406,0.026582621082621348,19630500.4,42.857142857142854,35.714285714285715,39930600.0,0.0
2/19/2015,MPG,2.1,2.38,2.1,2.32,12.62,128478820,292642000,490068000,540340000.0,1063773000.0,2.082,1.9708333333333328,1.9369230769230767,0.05925213675213593,0.03480056980056978,45089984.4,42.857142857142854,38.571428571428584,98013600.0,2.0
2/20/2015,MPG,2.36,2.52,2.24,2.3,-0.86,89256601,214729000,672748000,747485000.0,1277902000.0,2.15,2.004166666666667,1.9565384615384616,0.06769943019943002,0.04362962962962942,59638804.4,42.857142857142854,40.00000000000001,134549600.0,2.0
2/23/2015,MPG,2.4,2.4,2.24,2.4,4.35,11123200,26159000,622030000,768929000.0,1303038000.0,2.2139999999999995,2.0425,1.98,0.08638888888888907,0.053876068376068176,54315824.2,50.0,42.85714285714286,124406000.0,0.0
2/24/2015,MPG,2.44,2.52,2.3,2.32,-3.33,15473802,37327000,593971000,792098000.0,1337895000.0,2.28,2.075833333333333,2.001923076923077,0.08791310541310482,0.06629772079772045,51152704.6,50.0,45.71428571428571,118794200.0,0.0
2/25/2015,MPG,2.32,2.36,2.26,2.32,0.0,5675110,13027000,583884000,797558000.0,1317416000.0,2.332,2.1125000000000003,2.023076923076923,0.09935185185185258,0.08012108262108249,50001506.6,42.857142857142854,45.714285714285715,116776800.0,0.0
2/26/2015,MPG,2.28,2.32,1.97,2.1,-9.48,13527100,28199000,319441000,819294000.0,1339972000.0,2.2880000000000003,2.131666666666667,2.027307692307692,0.09410256410256457,0.08709116809116821,27011162.6,42.857142857142854,45.714285714285715,63888200.0,0.0
2/27/2015,MPG,2.08,2.1,2.02,2.08,-0.95,3354801,6873000,111585000,820617000.0,1342279000.0,2.244,2.1500000000000004,2.031538461538461,0.10410256410256392,0.09437179487179499,9830802.6,42.857142857142854,45.714285714285715,22317000.0,0.0
3/2/2015,MPG,2.04,2.06,1.99,2.02,-2.88,5276200,10615000,96041000,829224000.0,1350938000.0,2.168,2.1625,2.0342307692307697,0.10740028490028444,0.09857407407407406,8661402.6,42.857142857142854,44.28571428571429,19208200.0,0.0
3/3/2015,MPG,2.02,2.02,1.85,1.91,-5.45,6692200,12723000,71437000,839720000.0,1356413000.0,2.086,2.158333333333333,2.0346153846153845,0.0947435897435902,0.09994017094017113,6905082.2,42.857142857142854,42.857142857142854,14287400.0,0.0
3/5/2015,MPG,1.87,2.18,1.87,2.08,8.9,14109500,29152000,87562000,836823000.0,1382670000.0,2.0380000000000003,2.158333333333333,2.0338461538461536,0.10901709401709424,0.10187321937321947,8591960.2,42.857142857142854,42.857142857142854,17512400.0,2.0
3/6/2015,MPG,2.08,2.14,2.0,2.14,2.88,17074000,35954000,95317000,795900000.0,1415209000.0,2.0460000000000003,2.170833333333333,2.041153846153846,0.11761396011395985,0.10657549857549853,9301340.2,42.857142857142854,42.857142857142854,19063400.0,2.0
3/9/2015,MPG,2.06,2.14,2.04,2.14,0.0,2564600,5414000,93858000,735928000.0,1411566000.0,2.0580000000000003,2.1775,2.0492307692307694,0.11577635327635336,0.10891025641025642,9143300.0,35.714285714285715,41.42857142857143,18771600.0,0.0
3/10/2015,MPG,2.12,2.12,2.02,2.04,-4.67,2879900,5929000,89172000,718743000.0,1413847000.0,2.0620000000000003,2.154166666666667,2.0530769230769232,0.0844943019943023,0.10432905982906,8664040.0,35.714285714285715,40.0,17834400.0,0.0
3/11/2015,MPG,1.97,2.04,1.97,2.04,0.0,1142100,2288000,78737000,428389000.0,1269404000.0,2.088,2.1325,2.0569230769230766,0.06259971509971507,0.09790028490028498,7554020.0,28.57142857142857,37.142857142857146,15747400.0,0.0
3/12/2015,MPG,2.04,2.2,2.02,2.14,4.9,4728800,10138000,59723000,223798000.0,1176226000.0,2.1,2.1108333333333333,2.0646153846153843,0.04512108262108283,0.08512108262108269,5677880.0,28.57142857142857,34.285714285714285,11944600.0,0.0
3/13/2015,MPG,2.18,2.5,2.12,2.48,15.89,39209900,93270000,117039000,290909000.0,1251245000.0,2.168,2.1241666666666665,2.0869230769230764,0.06287037037037058,0.07417236467236482,10105060.0,35.714285714285715,32.85714285714286,23407800.0,0.0
3/16/2015,MPG,2.42,2.44,2.1,2.3,-7.26,10960500,24690000,136315000,278272000.0,1262925000.0,2.2,2.1225,2.1007692307692305,0.03428062678062682,0.05787321937321953,11784240.0,28.57142857142857,31.428571428571434,27263000.0,0.0
3/17/2015,MPG,2.3,2.36,2.2,2.3,0.0,5223000,11853000,142239000,277098000.0,1219102000.0,2.252,2.1391666666666667,2.115384615384615,0.03485042735042754,0.04794444444444457,12252860.0,28.57142857142857,30.0,28447800.0,0.0
3/18/2015,MPG,2.48,2.62,2.1,2.3,0.0,23340000,56093000,196044000,304992000.0,1211165000.0,2.3040000000000003,2.1575,2.1315384615384607,0.035405982905983624,0.04250569800569829,16692440.0,28.57142857142857,30.0,39208800.0,0.0
3/19/2015,MPG,2.34,2.34,2.24,2.26,-1.74,1146700,2600000,188506000,300719000.0,1184651000.0,2.3280000000000003,2.1775,2.1465384615384613,0.03524928774928826,0.04053133903133936,15976020.0,28.57142857142857,30.0,37701200.0,0.0
3/20/2015,MPG,2.24,2.3,2.08,2.2,-2.65,2876400,6166000,101402000,296270000.0,1182147000.0,2.272,2.2016666666666667,2.1596153846153845,0.0388034188034192,0.03571794871794909,8709320.0,28.57142857142857,28.57142857142857,20280400.0,0.0
