Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/25/2016,NCL-W1,0.43,0.63,0.41,0.46,0.0,72376535,35699150,35699150,35699150.0,35699150.0,0.46,,,,,72376535.0,,,35699150.0,0.0
1/26/2016,NCL-W1,0.42,0.42,0.35,0.4,-13.04,6916491,2636750,38335900,38335900.0,38335900.0,0.4300000000000001,,,,,39646513.0,,,19167950.0,0.0
1/27/2016,NCL-W1,0.4,0.44,0.4,0.42,5.0,5922987,2495970,40831870,40831870.0,40831870.0,0.4266666666666667,,,,,28405337.66666667,,,13610623.333333336,0.0
1/28/2016,NCL-W1,0.42,0.48,0.42,0.47,11.9,8727904,3980640,44812510,44812510.0,44812510.0,0.4375,,,,,23485979.25,,,11203127.5,0.0
1/29/2016,NCL-W1,0.47,0.47,0.44,0.45,-4.26,2147188,959110,45771620,45771620.0,45771620.0,0.4400000000000001,,,,,19218221.0,,,9154324.0,0.0
2/1/2016,NCL-W1,0.44,0.45,0.44,0.44,-2.22,690701,306580,10379050,46078200.0,46078200.0,0.4360000000000001,,,,,4881054.2,,,2075810.0,0.0
2/3/2016,NCL-W1,0.42,0.44,0.42,0.44,4.76,1050934,455150,8197450,46533350.0,46533350.0,0.444,,,,,3707942.8,,,1639490.0,0.0
2/4/2016,NCL-W1,0.44,0.46,0.43,0.44,0.0,2444832,1085990,6787470,47619340.0,47619340.0,0.44799999999999995,,,,,3012311.8,,,1357494.0,0.0
2/5/2016,NCL-W1,0.44,0.45,0.42,0.45,2.27,2844468,1230290,4037120,48849630.0,48849630.0,0.4440000000000001,,,,,1835624.6,,,807424.0,0.0
2/8/2016,NCL-W1,0.44,0.47,0.44,0.47,4.44,2034308,938280,4016290,49787910.0,49787910.0,0.4480000000000001,,,,,1813048.6,,,803258.0,0.0
2/9/2016,NCL-W1,0.46,0.46,0.45,0.45,-4.26,1824664,830230,4539940,50618140.0,50618140.0,0.45,,,,,2039841.2,,,907988.0,0.0
2/10/2016,NCL-W1,0.45,0.46,0.44,0.46,2.22,1904433,862080,4946870,51480220.0,51480220.0,0.454,0.44583333333333336,,,,2210541.0,,,989374.0,0.0
2/11/2016,NCL-W1,0.46,0.51,0.45,0.48,4.35,19839497,9511760,13372640,60991980.0,60991980.0,0.4619999999999999,0.4475000000000001,,,,5689474.0,,,2674528.0,0.0
2/12/2016,NCL-W1,0.48,0.49,0.46,0.48,0.0,2263869,1070400,13212750,26363230.0,62062380.0,0.46799999999999997,0.4541666666666668,,,,5573354.2,50.0,50.0,2642550.0,0.0
2/15/2016,NCL-W1,0.48,0.48,0.47,0.48,0.0,2087568,1001680,13276150,24728160.0,63064060.0,0.47,0.4591666666666668,,,,5584006.2,50.0,50.0,2655230.0,0.0
2/16/2016,NCL-W1,0.48,0.48,0.46,0.46,-4.17,1017902,475960,12921880,22708150.0,63540020.0,0.472,0.4583333333333334,,,,5422653.8,50.0,50.0,2584376.0,0.0
2/17/2016,NCL-W1,0.46,0.46,0.42,0.44,-4.35,2609100,1149300,13209100,19876810.0,64689320.0,0.46799999999999997,0.4575,,,,5563587.2,42.857142857142854,48.214285714285715,2641820.0,0.0
2/18/2016,NCL-W1,0.45,0.45,0.44,0.45,2.27,1223100,546760,4244100,19464460.0,65236080.0,0.462,0.4583333333333334,,,,1840307.8,42.857142857142854,47.14285714285714,848820.0,0.0
2/19/2016,NCL-W1,0.46,0.47,0.45,0.47,4.44,2406610,1118650,4292350,20276530.0,66354730.0,0.46,0.4608333333333334,,,,1868856.0,50.0,47.14285714285714,858470.0,0.0
2/23/2016,NCL-W1,0.5,0.61,0.49,0.61,29.79,64285071,35414770,38705440,55236150.0,101769500.0,0.486,0.475,,,,14308356.6,57.14285714285714,48.57142857142857,7741088.0,0.0
2/24/2016,NCL-W1,0.59,0.7,0.52,0.54,-11.48,129077651,78793480,117022960,132943640.0,180562980.0,0.502,0.4825,,,,39920306.4,50.0,48.57142857142857,23404592.0,0.0
2/25/2016,NCL-W1,0.56,0.56,0.52,0.56,3.7,29408965,16270170,132143830,147983520.0,196833150.0,0.526,0.4900000000000001,,,,45280279.4,57.14285714285714,51.42857142857142,26428766.0,0.0
2/26/2016,NCL-W1,0.58,0.58,0.5,0.5,-10.71,14205933,7791790,139388860,154837030.0,204624940.0,0.536,0.4941666666666666,,,,47876846.0,50.0,52.85714285714285,27877772.0,0.0
2/29/2016,NCL-W1,0.51,0.53,0.49,0.5,0.0,4543595,2314890,140585100,156321690.0,206939830.0,0.542,0.4975000000000001,,,,48304243.0,42.857142857142854,51.42857142857142,28117020.0,0.0
3/1/2016,NCL-W1,0.5,0.55,0.5,0.53,6.0,10217569,5433920,110604250,160893530.0,212373750.0,0.526,0.5016666666666667,,,,37490742.6,50.0,50.0,22120850.0,0.0
3/2/2016,NCL-W1,0.54,0.55,0.53,0.55,3.77,8444744,4598470,36409240,155980240.0,216972220.0,0.5279999999999999,0.5075,0.476923076923077,0.03170227920227904,0.03170227920227904,13364161.2,50.0,50.0,7281848.0,0.0
3/3/2016,NCL-W1,0.55,0.57,0.53,0.54,-1.82,26196899,14389710,34528780,169299550.0,231361930.0,0.524,0.5125000000000001,0.48,0.03228632478632487,0.03199430199430195,12721748.0,42.857142857142854,47.14285714285714,6905756.0,0.0
3/4/2016,NCL-W1,0.54,0.55,0.52,0.52,-3.7,5658309,3025130,29762120,171323000.0,234387060.0,0.528,0.5175000000000001,0.4846153846153847,0.030648148148148088,0.031545584045584,11012223.2,42.857142857142854,45.714285714285715,5952424.0,0.0
3/7/2016,NCL-W1,0.52,0.53,0.47,0.48,-7.69,6177070,3043120,30490350,173890160.0,237430180.0,0.524,0.5208333333333334,0.486923076923077,0.028141025641025552,0.030694444444444382,11338918.2,42.857142857142854,45.714285714285715,6098070.0,0.0
3/8/2016,NCL-W1,0.48,0.48,0.45,0.45,-6.25,2899997,1359040,26415470,174099900.0,238789220.0,0.508,0.5208333333333334,0.4861538461538462,0.02646011396011405,0.02984757834757832,9875403.8,42.857142857142854,44.28571428571429,5283094.0,0.0
3/9/2016,NCL-W1,0.47,0.52,0.47,0.5,11.11,18071300,9110530,30927530,182663670.0,247899750.0,0.4980000000000001,0.5233333333333333,0.4880769230769231,0.03078347578347579,0.02966381766381767,11800715.0,50.0,44.28571428571429,6185506.0,0.0
3/10/2016,NCL-W1,0.5,0.51,0.48,0.48,-4.0,5099866,2511730,19049550,184056750.0,250411480.0,0.4859999999999999,0.5125000000000001,0.4896153846153846,0.018596866096866168,0.02692592592592593,7581308.4,42.857142857142854,44.28571428571429,3809910.0,0.0
3/11/2016,NCL-W1,0.49,0.52,0.48,0.5,4.17,6603900,3313510,19337930,151955490.0,253724990.0,0.48200000000000004,0.5091666666666667,0.4919230769230769,0.01523504273504278,0.02384330484330487,7770426.6,42.857142857142854,44.28571428571429,3867586.0,0.0
3/14/2016,NCL-W1,0.5,0.51,0.49,0.49,-2.0,3381600,1683480,17978290,74845490.0,255408470.0,0.484,0.5033333333333334,0.4938461538461539,0.007720797720797645,0.01975925925925929,7211332.6,35.714285714285715,42.85714285714286,3595658.0,0.0
3/15/2016,NCL-W1,0.5,0.52,0.49,0.5,2.04,14605796,7427420,24046670,66002740.0,227136740.0,0.494,0.5033333333333334,0.4957692307692307,0.006737891737891799,0.015814814814814837,9552492.4,42.857142857142854,42.85714285714286,4809334.0,0.0
3/16/2016,NCL-W1,0.51,0.51,0.48,0.48,-4.0,4622303,2256880,17193020,60467830.0,226756870.0,0.4900000000000001,0.5016666666666668,0.4961538461538462,0.003376068376068464,0.010333333333333371,6862693.0,35.714285714285715,40.0,3438604.0,0.0
3/17/2016,NCL-W1,0.49,0.49,0.47,0.47,-2.08,2189200,1050060,15731350,59203000.0,225310960.0,0.488,0.4966666666666666,0.496923076923077,-0.0023646723646724155,0.006141025641025655,6280559.8,35.714285714285715,38.571428571428584,3146270.0,0.0
3/18/2016,NCL-W1,0.48,0.51,0.48,0.48,2.13,14100600,7023920,19441760,60793000.0,228354240.0,0.484,0.4908333333333332,0.4976923076923078,-0.007215099715099926,0.0016509971509971132,7779899.8,42.857142857142854,38.571428571428584,3888352.0,0.0
3/21/2016,NCL-W1,0.48,0.49,0.48,0.48,0.0,2112432,1018800,18777080,57213330.0,228413930.0,0.48200000000000004,0.4858333333333333,0.4976923076923078,-0.011445868945869077,-0.0021823361823362307,7526066.2,35.714285714285715,38.571428571428584,3755416.0,0.0
3/22/2016,NCL-W1,0.48,0.49,0.46,0.47,-2.08,1265468,597910,11947570,43421530.0,228705260.0,0.476,0.4816666666666667,0.4973076923076925,-0.01541310541310553,-0.006612535612535697,4858000.6,28.57142857142857,35.714285714285715,2389514.0,0.0
3/23/2016,NCL-W1,0.48,0.48,0.47,0.47,0.0,1843500,873590,10564280,41269990.0,229123700.0,0.474,0.4808333333333333,0.4969230769230771,-0.0157621082621085,-0.010440170940171087,4302240.0,28.57142857142857,34.285714285714285,2112856.0,0.0
3/24/2016,NCL-W1,0.47,0.49,0.47,0.48,2.13,2793778,1339130,10853350,39566000.0,229376840.0,0.476,0.4833333333333332,0.4976923076923079,-0.013561253561253872,-0.01267948717948738,4423155.6,35.714285714285715,34.285714285714285,2170670.0,0.0
3/25/2016,NCL-W1,0.48,0.48,0.47,0.48,0.0,130000,61650,3891080,38268610.0,228208200.0,0.476,0.4816666666666666,0.4992307692307694,-0.0163960113960116,-0.014515669515669715,1629035.6,35.714285714285715,32.85714285714286,778216.0,0.0
3/28/2016,NCL-W1,0.47,0.48,0.47,0.47,-2.08,1183000,558090,3430370,29716170.0,227828010.0,0.474,0.4808333333333334,0.5000000000000002,-0.0186111111111113,-0.01594871794871816,1443149.2,35.714285714285715,32.85714285714286,686074.0,0.0
3/29/2016,NCL-W1,0.47,0.49,0.46,0.46,-2.13,1506482,712580,3545040,27917020.0,227710360.0,0.472,0.4775,0.4996153846153849,-0.02187321937321957,-0.017240740740740966,1491352.0,28.57142857142857,32.857142857142854,709008.0,0.0
3/30/2016,NCL-W1,0.47,0.47,0.46,0.47,2.17,1063299,495390,3166840,25098900.0,227343670.0,0.472,0.4758333333333333,0.4942307692307695,-0.01750000000000029,-0.017588319088319326,1335311.8,35.714285714285715,34.285714285714285,633368.0,0.0
3/31/2016,NCL-W1,0.46,0.46,0.46,0.46,-2.13,634019,291640,2119350,23707060.0,218123550.0,0.46799999999999997,0.4724999999999999,0.4911538461538464,-0.01826923076923109,-0.01852991452991477,903360.0,28.57142857142857,32.857142857142854,423870.0,0.0
4/1/2016,NCL-W1,0.46,0.5,0.46,0.47,2.17,11392168,5499690,7557390,21779330.0,222552840.0,0.466,0.4716666666666666,0.487692307692308,-0.014971509971510257,-0.018245014245014502,3155793.6,35.714285714285715,32.85714285714286,1511478.0,2.0
4/4/2016,NCL-W1,0.48,0.48,0.47,0.48,2.13,849931,401430,7400730,19923880.0,221952590.0,0.46799999999999997,0.4725,0.4869230769230772,-0.0127564102564105,-0.017074074074074342,3089179.8,35.714285714285715,32.85714285714286,1480146.0,0.0
4/5/2016,NCL-W1,0.47,0.48,0.45,0.46,-4.17,1845333,855370,7543520,19729190.0,222332000.0,0.46799999999999997,0.4708333333333333,0.4853846153846157,-0.014337606837607153,-0.01556695156695186,3156950.0,35.714285714285715,34.285714285714285,1508704.0,0.0
4/8/2016,NCL-W1,0.44,0.44,0.41,0.42,-2.33,2386400,998770,8046900,13704040.0,222181470.0,0.458,0.4658333333333333,0.4811538461538464,-0.017841880341880556,-0.015635327635327913,3421570.2,35.714285714285715,34.285714285714285,1609380.0,0.0
4/11/2016,NCL-W1,0.42,0.43,0.39,0.41,-2.38,2781834,1127740,8883000,13812980.0,222762450.0,0.44799999999999995,0.4608333333333334,0.4757692307692309,-0.0178846153846155,-0.01555840455840479,3851133.2,28.57142857142857,34.285714285714285,1776600.0,0.0
4/12/2016,NCL-W1,0.41,0.43,0.4,0.4,-2.44,4925557,2060960,5444270,15276030.0,223704760.0,0.434,0.4550000000000001,0.4703846153846156,-0.0186324786324788,-0.0162905982905985,2557811.0,28.57142857142857,32.857142857142854,1088854.0,0.0
4/18/2016,NCL-W1,0.41,0.43,0.4,0.42,5.0,5351000,2264120,7306960,16666560.0,190554110.0,0.422,0.45,0.4665384615384617,-0.017706552706552803,-0.017280626780626963,3458024.8,35.714285714285715,32.85714285714286,1461392.0,0.0
4/19/2016,NCL-W1,0.42,0.43,0.41,0.43,2.38,2026499,865390,7316980,16192820.0,112626020.0,0.41600000000000004,0.4458333333333333,0.4646153846153848,-0.0186538461538463,-0.01814387464387479,3494258.0,42.857142857142854,34.285714285714285,1463396.0,0.0
4/20/2016,NCL-W1,0.43,0.43,0.41,0.41,-4.65,2749769,1137500,7455710,17268670.0,97493350.0,0.414,0.44083333333333335,0.4630769230769231,-0.02305555555555555,-0.01918660968660979,3566931.8,35.714285714285715,34.285714285714285,1491142.0,0.0
4/21/2016,NCL-W1,0.41,0.42,0.4,0.41,0.0,1562988,639330,6967300,17349910.0,90340890.0,0.414,0.4366666666666667,0.4596153846153847,-0.023376068376068367,-0.02028490028490036,3323162.6,35.714285714285715,35.714285714285715,1393460.0,0.0
4/22/2016,NCL-W1,0.4,0.44,0.4,0.41,0.0,8084131,3425290,8331630,20062620.0,91451290.0,0.41600000000000004,0.4316666666666667,0.4569230769230769,-0.02511396011396011,-0.021581196581196626,3954877.4,35.714285714285715,37.142857142857146,1666326.0,0.0
4/25/2016,NCL-W1,0.42,0.43,0.41,0.42,2.44,2324532,984460,7051970,20551690.0,87001830.0,0.41600000000000004,0.4283333333333333,0.4538461538461539,-0.02428774928774935,-0.02289743589743593,3349583.8,42.857142857142854,38.571428571428584,1410394.0,0.0
4/26/2016,NCL-W1,0.42,0.43,0.41,0.42,0.0,475156,199580,6386160,20459630.0,82602940.0,0.414,0.4241666666666665,0.4511538461538461,-0.025320512820512786,-0.02423076923076924,3039315.2,35.714285714285715,37.142857142857146,1277232.0,0.0
4/27/2016,NCL-W1,0.42,0.43,0.42,0.42,0.0,435759,183030,5431690,15142970.0,68396260.0,0.41600000000000004,0.4191666666666667,0.44807692307692304,-0.02670227920227908,-0.024960113960113942,2576513.2,35.714285714285715,37.142857142857146,1086338.0,0.0
4/29/2016,NCL-W1,0.41,0.41,0.39,0.4,0.0,457433,182990,4975350,14924530.0,65554120.0,0.414,0.4141666666666667,0.445,-0.029679487179487093,-0.026220797720797686,2355402.2,28.57142857142857,35.714285714285715,995070.0,0.0
5/3/2016,NCL-W1,0.4,0.4,0.38,0.38,-5.0,1509099,590350,2140410,14659510.0,63101350.0,0.408,0.4108333333333334,0.4415384615384616,-0.030890313390313395,-0.02737606837606834,1040395.8,21.42857142857143,32.857142857142875,428082.0,0.0
5/9/2016,NCL-W1,0.38,0.38,0.35,0.36,-2.7,653866,236260,1392210,13897000.0,61978570.0,0.396,0.4066666666666667,0.4369230769230769,-0.03173789173789171,-0.028866096866096813,706262.6,21.42857142857143,28.571428571428577,278442.0,0.0
5/10/2016,NCL-W1,0.36,0.38,0.36,0.37,2.78,751136,279310,1471940,13048570.0,53147350.0,0.386,0.4041666666666667,0.4326923076923076,-0.029138176638176475,-0.02962962962962955,761458.6,28.57142857142857,27.142857142857146,294388.0,0.0
5/11/2016,NCL-W1,0.36,0.39,0.36,0.38,2.7,2438266,928910,2217820,11916520.0,51564530.0,0.378,0.4008333333333333,0.4292307692307693,-0.027955840455840486,-0.029880341880341832,1161960.0,35.714285714285715,27.142857142857146,443564.0,2.0
5/12/2016,NCL-W1,0.37,0.43,0.37,0.41,7.89,10194631,4152220,6187050,13804620.0,52403240.0,0.38,0.39916666666666667,0.42692307692307696,-0.0248361823361824,-0.028911680911680893,3109399.6,42.857142857142854,30.0,1237410.0,2.0
5/13/2016,NCL-W1,0.42,0.42,0.39,0.39,-4.88,3680199,1511730,7108430,14450960.0,52231490.0,0.382,0.3975,0.4234615384615385,-0.02463675213675226,-0.027660968660968663,3543619.6,35.714285714285715,32.85714285714286,1421686.0,2.0
5/16/2016,NCL-W1,0.39,0.4,0.38,0.39,0.0,685999,265790,7137960,13579250.0,45069860.0,0.388,0.3958333333333333,0.42,-0.0228418803418805,-0.025881766381766425,3550046.2,28.57142857142857,34.285714285714285,1427592.0,0.0
5/17/2016,NCL-W1,0.39,0.39,0.38,0.38,-2.56,650514,248700,7107350,13188620.0,43061680.0,0.39,0.3933333333333333,0.4165384615384616,-0.022549857549857662,-0.024564102564102658,3529921.8,28.57142857142857,34.285714285714285,1421470.0,0.0
5/18/2016,NCL-W1,0.38,0.39,0.37,0.37,-2.63,995462,378600,6557040,10141930.0,42390220.0,0.388,0.3891666666666667,0.4130769230769232,-0.02366809116809121,-0.023706552706552808,3241361.0,28.57142857142857,32.857142857142854,1311408.0,0.0
5/19/2016,NCL-W1,0.37,0.38,0.35,0.36,-2.7,1169460,426670,2831490,9584140.0,35792970.0,0.378,0.3841666666666667,0.40884615384615397,-0.024779202279202384,-0.02369515669515681,1436326.8,28.57142857142857,30.0,566298.0,0.0
5/23/2016,NCL-W1,0.36,0.37,0.35,0.35,-2.78,332877,118280,1438040,9502840.0,34892450.0,0.37,0.37833333333333335,0.4046153846153846,-0.026595441595441468,-0.02408689458689465,766862.4,21.42857142857143,27.142857142857146,287608.0,0.0
5/24/2016,NCL-W1,0.37,0.37,0.33,0.34,-2.86,1030433,360560,1532810,9680370.0,34655100.0,0.36,0.3733333333333333,0.3996153846153847,-0.026994301994302083,-0.024917378917378958,835749.2,21.42857142857143,25.71428571428571,306562.0,0.0
5/25/2016,NCL-W1,0.34,0.38,0.34,0.36,5.88,3803400,1403940,2688050,10901320.0,35185450.0,0.35600000000000004,0.37166666666666665,0.395,-0.022535612535612537,-0.02491452991452994,1466326.4,28.57142857142857,25.71428571428571,537610.0,2.0
5/26/2016,NCL-W1,0.37,0.37,0.36,0.37,2.78,310800,114110,2423560,10425080.0,33960430.0,0.35600000000000004,0.3725,0.3915384615384615,-0.01782763532763526,-0.023746438746438742,1329394.0,35.714285714285715,27.142857142857146,484712.0,0.0
5/30/2016,NCL-W1,0.37,0.39,0.37,0.37,0.0,2709834,1025180,3022070,11214000.0,34923960.0,0.358,0.3725,0.3896153846153845,-0.016047008547008468,-0.021999999999999964,1637468.8,35.714285714285715,28.571428571428577,604414.0,2.0
5/31/2016,NCL-W1,0.36,0.37,0.36,0.37,0.0,345300,127730,3031520,11062420.0,34493600.0,0.362,0.37166666666666665,0.3880769230769229,-0.015327635327635203,-0.01974643874643871,1639953.4,35.714285714285715,31.428571428571434,606304.0,0.0
6/1/2016,NCL-W1,0.37,0.37,0.36,0.36,-2.7,471366,171860,2842820,10305370.0,33952880.0,0.366,0.3675,0.38653846153846144,-0.01822649572649565,-0.017992877492877424,1528140.0,28.57142857142857,32.857142857142854,568564.0,0.0
6/2/2016,NCL-W1,0.37,0.4,0.36,0.37,2.78,5861866,2220410,3659290,8373560.0,35677900.0,0.368,0.3658333333333334,0.3846153846153844,-0.017058404558404294,-0.016897435897435774,1939833.2,28.57142857142857,32.857142857142854,731858.0,0.0
6/3/2016,NCL-W1,0.37,0.37,0.36,0.37,0.0,414033,150420,3695600,7012250.0,35536680.0,0.3680000000000001,0.3641666666666667,0.3823076923076921,-0.01633190883190866,-0.016598290598290454,1960479.8,21.42857142857143,30.0,739120.0,0.0
6/6/2016,NCL-W1,0.37,0.38,0.36,0.36,-2.7,926097,339550,3009970,7086010.0,30376540.0,0.366,0.3625,0.3803846153846152,-0.016759259259259085,-0.016740740740740574,1603732.4,21.42857142857143,27.142857142857146,601994.0,0.0
6/7/2016,NCL-W1,0.36,0.37,0.36,0.37,2.78,667389,244390,3126630,7081700.0,30219500.0,0.366,0.3625,0.3788461538461537,-0.014537037037036904,-0.01658262108262092,1668150.2,28.57142857142857,25.71428571428571,625326.0,0.0
6/8/2016,NCL-W1,0.37,0.4,0.37,0.38,2.7,5036540,1945110,4899880,8648210.0,31309240.0,0.37,0.3641666666666667,0.3776923076923077,-0.011260683760683732,-0.015189458689458538,2581185.0,35.714285714285715,27.142857142857146,979976.0,2.0
