Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
6/16/2016,NETBAY,8.5,11.7,8.3,11.3,182.5,253242793,2654580020,2654580020,2654580020.0,2654580020.0,11.3,,,,,253242793.0,,,2654580020.0,0.0
6/17/2016,NETBAY,11.3,11.8,9.7,9.7,-14.16,82722203,913768720,3568348740,3568348740.0,3568348740.0,10.5,,,,,167982498.0,,,1784174370.0,0.0
6/20/2016,NETBAY,9.7,12.5,9.65,12.0,23.71,113714422,1265178680,4833527420,4833527420.0,4833527420.0,11.0,,,,,149893139.33333334,,,1611175806.6666667,0.0
6/21/2016,NETBAY,12.3,12.8,11.3,11.3,-5.83,78376345,950521040,5784048460,5784048460.0,5784048460.0,11.075,,,,,132013940.75,,,1446012115.0,0.0
6/22/2016,NETBAY,11.3,11.9,10.1,10.2,-9.73,40669552,451237780,6235286240,6235286240.0,6235286240.0,10.9,,,,,113745063.0,,,1247057248.0,0.0
6/23/2016,NETBAY,10.6,10.9,10.1,10.2,0.0,22356799,235263760,3815969980,6470550000.0,6470550000.0,10.68,,,,,67567864.2,,,763193996.0,0.0
6/24/2016,NETBAY,10.0,10.6,9.9,10.5,2.94,17788221,181925690,3084126950,6652475690.0,6652475690.0,10.84,,,,,54581067.8,,,616825390.0,0.0
6/27/2016,NETBAY,10.7,11.1,10.5,10.7,1.9,25405002,273579500,2092527770,6926055190.0,6926055190.0,10.580000000000002,,,,,36919183.8,,,418505554.0,0.0
6/28/2016,NETBAY,10.7,10.8,10.0,10.3,-3.74,9928482,103832780,1245839510,7029887970.0,7029887970.0,10.38,,,,,23229611.2,,,249167902.0,0.0
6/29/2016,NETBAY,10.4,10.7,10.3,10.3,0.0,8261396,86220890,880822620,7116108860.0,7116108860.0,10.4,,,,,16747980.0,,,176164524.0,0.0
