Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
9/14/2015,NEWS-W5,0.1,0.13,0.08,0.08,0.0,769603974,75781000,75781000,75781000.0,75781000.0,0.08,,,,,769603974.0,,,75781000.0,0.0
9/15/2015,NEWS-W5,0.09,0.1,0.08,0.08,0.0,62894105,5322000,81103000,81103000.0,81103000.0,0.08,,,,,416249039.5,,,40551500.0,0.0
9/16/2015,NEWS-W5,0.08,0.09,0.07,0.08,0.0,61110006,4878000,85981000,85981000.0,85981000.0,0.08,,,,,297869361.6666667,,,28660333.33333333,0.0
9/17/2015,NEWS-W5,0.08,0.08,0.07,0.08,0.0,21918008,1583000,87564000,87564000.0,87564000.0,0.08,,,,,228881523.25,,,21891000.0,0.0
9/18/2015,NEWS-W5,0.08,0.09,0.07,0.08,0.0,79832057,6383000,93947000,93947000.0,93947000.0,0.08,,,,,199071630.0,,,18789400.0,0.0
9/21/2015,NEWS-W5,0.08,0.09,0.07,0.08,0.0,15361669,1229000,19395000,95176000.0,95176000.0,0.08,,,,,48223169.0,,,3879000.0,0.0
9/22/2015,NEWS-W5,0.08,0.09,0.08,0.08,0.0,12169825,975000,15048000,96151000.0,96151000.0,0.08,,,,,38078313.0,,,3009600.0,0.0
9/23/2015,NEWS-W5,0.08,0.09,0.08,0.08,0.0,21085130,1687000,11857000,97838000.0,97838000.0,0.08,,,,,30073337.8,,,2371400.0,0.0
9/24/2015,NEWS-W5,0.08,0.09,0.07,0.07,-12.5,21793644,1739000,12013000,99577000.0,99577000.0,0.078,,,,,30048465.0,,,2402600.0,0.0
9/25/2015,NEWS-W5,0.08,0.09,0.08,0.08,14.29,10463897,837000,6467000,100414000.0,100414000.0,0.078,,,,,16174833.0,,,1293400.0,0.0
9/28/2015,NEWS-W5,0.08,0.09,0.07,0.08,0.0,16663755,1333000,6571000,101747000.0,101747000.0,0.078,,,,,16435250.2,,,1314200.0,0.0
9/29/2015,NEWS-W5,0.08,0.08,0.07,0.08,0.0,3819944,295000,5891000,102042000.0,102042000.0,0.07800000000000001,0.07916666666666665,,,,14765274.0,,,1178200.0,0.0
9/30/2015,NEWS-W5,0.08,0.08,0.07,0.07,-12.5,2876273,209000,4413000,102251000.0,102251000.0,0.07600000000000001,0.07833333333333332,,,,11123502.6,,,882600.0,0.0
10/1/2015,NEWS-W5,0.08,0.08,0.07,0.08,14.29,1663724,119000,2793000,26589000.0,102370000.0,0.078,0.07833333333333332,,,,7097518.6,14.285714285714292,14.285714285714292,558600.0,0.0
10/2/2015,NEWS-W5,0.08,0.08,0.07,0.08,0.0,9853413,776000,2732000,22043000.0,103146000.0,0.078,0.07833333333333332,,,,6975421.8,14.285714285714292,14.285714285714292,546400.0,0.0
10/5/2015,NEWS-W5,0.08,0.08,0.07,0.08,0.0,8931304,686000,2085000,17851000.0,103832000.0,0.07800000000000001,0.07833333333333332,,,,5428931.6,14.285714285714292,14.285714285714292,417000.0,0.0
10/6/2015,NEWS-W5,0.07,0.08,0.07,0.08,0.0,4786835,354000,2144000,16622000.0,104186000.0,0.07800000000000001,0.07833333333333332,,,,5622309.8,14.285714285714292,14.285714285714292,428800.0,0.0
10/7/2015,NEWS-W5,0.08,0.08,0.07,0.07,-12.5,10415203,826000,2761000,11065000.0,105012000.0,0.078,0.0775,,,,7130095.8,14.285714285714292,14.285714285714292,552200.0,0.0
10/8/2015,NEWS-W5,0.08,0.08,0.07,0.08,14.29,3671297,285000,2927000,10121000.0,105297000.0,0.078,0.07749999999999999,,,,7531610.4,21.42857142857143,15.714285714285722,585400.0,0.0
10/9/2015,NEWS-W5,0.07,0.09,0.07,0.07,-12.5,12421350,988000,3139000,10134000.0,106285000.0,0.076,0.07666666666666666,,,,8045197.8,21.42857142857143,17.142857142857142,627800.0,0.0
10/12/2015,NEWS-W5,0.07,0.08,0.07,0.07,0.0,1093631,77000,2530000,8524000.0,106362000.0,0.07400000000000001,0.07666666666666666,,,,6477663.2,21.42857142857143,18.571428571428573,506000.0,0.0
10/13/2015,NEWS-W5,0.07,0.07,0.07,0.07,0.0,508235,36000,2212000,6821000.0,106398000.0,0.07200000000000001,0.07583333333333335,,,,5621943.2,21.42857142857143,20.000000000000004,442400.0,0.0
10/14/2015,NEWS-W5,0.07,0.08,0.07,0.08,14.29,13502306,1065000,2451000,7049000.0,107463000.0,0.07400000000000001,0.07583333333333334,,,,6239363.8,28.57142857142857,22.857142857142854,490200.0,0.0
