Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
5/17/2019,NEX,3.3,3.4,3.22,3.36,2.44,2225700,7302160,7302160,7302160.0,7302160.0,3.36,,,,,2225700.0,,
5/21/2019,NEX,3.32,3.32,3.2,3.3,-1.79,124300,404400,7706560,7706560.0,7706560.0,3.33,,,,,1175000.0,,
5/22/2019,NEX,3.34,3.34,3.28,3.34,1.21,38100,127250,7833810,7833810.0,7833810.0,3.3333333333333335,,,,,796033.3333333334,,
5/23/2019,NEX,3.3,3.32,3.18,3.3,-1.2,199901,644560,8478370,8478370.0,8478370.0,3.325,,,,,647000.25,,
5/24/2019,NEX,3.2,3.3,3.2,3.3,0.0,126500,413040,8891410,8891410.0,8891410.0,3.3200000000000003,,,,,542900.2,,
5/27/2019,NEX,3.3,3.3,3.24,3.3,0.0,823000,2714430,4303680,11605840.0,11605840.0,3.308,,,,,262360.2,,
5/28/2019,NEX,3.28,3.28,3.24,3.28,-0.61,212201,694780,4594060,12300620.0,12300620.0,3.304,,,,,279940.4,,
5/29/2019,NEX,3.28,3.74,3.24,3.6,9.76,7201383,24486700,28953510,36787320.0,36787320.0,3.3559999999999994,,,,,1712597.0,,
5/30/2019,NEX,3.7,3.82,3.6,3.6,0.0,4622902,17138710,45447660,53926030.0,53926030.0,3.4159999999999995,,,,,2597197.2,,
5/31/2019,NEX,3.6,3.64,3.5,3.5,-2.78,1453803,5159310,50193930,59085340.0,59085340.0,3.4560000000000004,,,,,2862657.8,,
6/4/2019,NEX,3.5,3.5,3.3,3.38,-3.43,895900,3020610,50500110,62105950.0,62105950.0,3.472,,,,,2877237.8,,
6/5/2019,NEX,3.38,3.42,3.28,3.42,1.18,290100,972770,50778100,63078720.0,63078720.0,3.5,3.390000000000001,,,,2892817.6,,
6/10/2019,NEX,3.3,3.34,3.28,3.34,0.0,226600,751350,27042750,63830070.0,63830070.0,3.4480000000000004,3.388333333333334,,,,1497861.0,,
6/11/2019,NEX,3.36,3.36,3.3,3.32,-0.6,115900,384110,10288150,56912020.0,64214180.0,3.3920000000000003,3.39,,,,596460.6,28.57142857142857,28.57142857142857
6/12/2019,NEX,3.34,3.34,3.28,3.3,-0.6,142200,468090,5596930,56975710.0,64682270.0,3.3520000000000003,3.3866666666666663,,,,334140.0,21.42857142857143,25.0
6/13/2019,NEX,3.28,3.3,3.26,3.3,0.0,144900,476560,3052880,57325020.0,65158830.0,3.336,3.3866666666666654,,,,183940.0,21.42857142857143,23.80952380952381
6/14/2019,NEX,3.28,3.3,3.24,3.3,0.0,129101,422500,2502610,57102960.0,65581330.0,3.3120000000000003,3.3866666666666663,,,,151740.2,14.285714285714292,21.42857142857143
6/17/2019,NEX,3.28,3.3,3.18,3.2,-3.03,723000,2335520,4086780,59025440.0,67916850.0,3.284,3.3783333333333334,,,,251020.2,14.285714285714292,20.000000000000004
6/18/2019,NEX,3.2,3.34,3.18,3.28,2.5,613001,1991310,5693980,58302320.0,69908160.0,3.276,3.378333333333334,,,,350440.4,21.42857142857143,18.571428571428577
6/19/2019,NEX,3.26,3.28,3.24,3.28,0.0,145700,476390,5702280,58083930.0,70384550.0,3.272,3.351666666666667,,,,351140.4,21.42857142857143,18.571428571428577
6/20/2019,NEX,3.26,3.28,3.22,3.26,-0.61,197500,640360,5866080,34237590.0,71024910.0,3.2640000000000002,3.3233333333333337,,,,361660.4,21.42857142857143,18.571428571428577
6/21/2019,NEX,3.22,3.28,3.2,3.28,0.61,875100,2837840,8281420,19936720.0,73862750.0,3.2600000000000002,3.305,,,,510860.2,21.42857142857143,20.000000000000004
6/24/2019,NEX,3.22,3.22,3.2,3.2,-2.44,70200,225640,6171540,15003050.0,74088390.0,3.2600000000000002,3.2900000000000005,,,,380300.2,21.42857142857143,21.42857142857143
6/25/2019,NEX,3.2,3.22,3.16,3.2,0.0,427000,1363390,5543620,13345830.0,75451780.0,3.2439999999999998,3.271666666666668,,,,343100.0,21.42857142857143,21.42857142857143
6/27/2019,NEX,3.2,3.2,3.16,3.16,-0.63,995200,3153320,8220550,15526380.0,78605100.0,3.2199999999999998,3.2566666666666677,,,,513000.0,21.42857142857143,21.42857142857143
