Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,NMG,1.85,1.96,1.85,1.88,1.62,22955301,44081000,381874000,2646206000.0,4564739000.0,1.88,,,,,22955301.0,,,44081000.0,0.0
1/6/2015,NMG,1.87,1.89,1.85,1.87,-0.53,25645600,47922000,292745000,2371502000.0,4427347000.0,1.875,,,,,24300450.5,,,46001500.0,0.0
1/7/2015,NMG,1.87,1.92,1.85,1.88,0.53,9930721,18696000,264266000,1800044000.0,4340125000.0,1.8766666666666667,,,,,19510540.666666668,,,36899666.66666666,0.0
1/8/2015,NMG,1.9,1.9,1.86,1.86,-1.06,10294629,19299000,159175000,915825000.0,4295338000.0,1.8725,,,,,17206562.75,,,32499500.0,0.0
1/9/2015,NMG,1.88,1.89,1.85,1.85,-0.54,12795206,23803000,153801000,851797000.0,4295519000.0,1.868,,,,,16324291.4,,,30760200.0,0.0
1/12/2015,NMG,1.87,1.87,1.8,1.8,-2.7,14857100,27019000,136739000,808460000.0,4278693000.0,1.8520000000000003,,,,,14704651.2,,,27347800.0,0.0
1/13/2015,NMG,1.77,1.8,1.72,1.8,0.0,17377501,30593000,119410000,764935000.0,4260034000.0,1.838,,,,,13051031.4,,,23882000.0,0.0
1/14/2015,NMG,1.83,1.9,1.81,1.89,5.0,42041142,78359000,179073000,820514000.0,4308001000.0,1.84,,,,,19473115.6,,,35814600.0,0.0
1/15/2015,NMG,1.88,1.92,1.85,1.85,-2.12,26989092,50687000,210461000,678252000.0,4322339000.0,1.838,,,,,22812008.2,,,42092200.0,0.0
1/16/2015,NMG,1.85,1.87,1.8,1.81,-2.16,6857500,12624000,199282000,553825000.0,4292289000.0,1.83,,,,,21624467.0,,,39856400.0,0.0
1/19/2015,NMG,1.82,1.85,1.8,1.81,0.0,8657237,15768000,188031000,522418000.0,4260901000.0,1.832,,,,,20384494.4,,,37606200.0,0.0
1/20/2015,NMG,1.82,1.84,1.82,1.83,1.1,5079601,9283000,166721000,407311000.0,4196962000.0,1.8380000000000003,1.844166666666667,,,,17924914.4,,,33344200.0,0.0
1/21/2015,NMG,1.83,1.86,1.82,1.82,-0.55,6790408,12469000,100831000,390603000.0,4163318000.0,1.8240000000000005,1.8391666666666664,,,,10874767.6,,,20166200.0,0.0
1/22/2015,NMG,1.82,1.85,1.82,1.82,0.0,5237622,9608000,59752000,356130000.0,3960922000.0,1.818,1.835,,,,6524473.6,28.57142857142857,28.57142857142857,11950400.0,0.0
1/23/2015,NMG,1.82,1.89,1.79,1.84,1.1,83413590,154620000,201748000,462828000.0,4042847000.0,1.8240000000000005,1.8316666666666668,,,,21835691.6,28.57142857142857,28.57142857142857,40349600.0,0.0
1/26/2015,NMG,1.86,1.86,1.78,1.8,-2.17,10269800,18583000,204563000,462715000.0,3980912000.0,1.8220000000000005,1.8266666666666669,,,,22158204.2,28.57142857142857,28.57142857142857,40912600.0,0.0
1/27/2015,NMG,1.79,1.83,1.79,1.8,0.0,16837774,30418000,225698000,473834000.0,3915192000.0,1.816,1.8225,,,,24509838.8,21.42857142857143,26.785714285714285,45139600.0,0.0
1/28/2015,NMG,1.81,1.83,1.79,1.8,0.0,6527816,11794000,225023000,461825000.0,3814591000.0,1.812,1.8225000000000005,,,,24457320.4,21.42857142857143,25.71428571428571,45004600.0,0.0
1/29/2015,NMG,1.8,1.81,1.79,1.8,0.0,4452500,8026000,223441000,442832000.0,3511551000.0,1.8080000000000005,1.8225000000000005,,,,24300296.0,21.42857142857143,24.285714285714285,44688200.0,0.0
1/30/2015,NMG,1.81,1.82,1.79,1.79,-0.56,5303300,9585000,78406000,421824000.0,3447248000.0,1.798,1.814166666666667,,,,8678238.0,21.42857142857143,22.857142857142854,15681200.0,0.0
2/2/2015,NMG,1.8,1.81,1.76,1.81,1.12,10167900,18116000,77939000,361581000.0,3329394000.0,1.8,1.8108333333333333,,,,8657858.0,28.57142857142857,22.857142857142854,15587800.0,0.0
2/3/2015,NMG,1.82,1.82,1.79,1.8,-0.55,4886041,8798000,56319000,319692000.0,3262276000.0,1.8000000000000005,1.8100000000000005,,,,6267511.4,21.42857142857143,22.857142857142854,11263800.0,0.0
2/4/2015,NMG,1.81,1.81,1.79,1.79,-0.56,10292314,18492000,63017000,325560000.0,2958142000.0,1.798,1.8083333333333336,,,,7020411.0,21.42857142857143,22.857142857142854,12603400.0,0.0
2/5/2015,NMG,1.79,1.8,1.78,1.78,-0.56,9343001,16668000,71659000,326460000.0,2384656000.0,1.794,1.804166666666667,,,,7998511.2,21.42857142857143,22.857142857142854,14331800.0,0.0
2/6/2015,NMG,1.79,1.81,1.79,1.81,1.69,18758201,33702000,95776000,350879000.0,1514840000.0,1.798,1.8033333333333328,,,,10689491.4,28.57142857142857,24.285714285714285,19155200.0,0.0
2/9/2015,NMG,1.8,1.95,1.8,1.88,3.87,114543823,217490000,295150000,555900000.0,1644499000.0,1.8119999999999998,1.8083333333333336,1.825769230769231,-0.010427350427350657,-0.010427350427350657,31564676.0,28.57142857142857,24.285714285714285,59030000.0,0.0
2/10/2015,NMG,1.88,1.93,1.87,1.89,0.53,53309900,101147000,387499000,647439000.0,1675290000.0,1.83,1.8125,1.8261538461538465,-0.0064601139601141435,-0.0084437321937324,41249447.8,35.714285714285715,27.142857142857146,77499800.0,2.0
2/11/2015,NMG,1.93,1.98,1.9,1.95,3.17,45522847,88414000,457421000,581233000.0,1689586000.0,1.8619999999999999,1.825,1.8292307692307697,0.0060541310541304405,-0.003611111111111453,48295554.4,42.857142857142854,31.42857142857143,91484200.0,0.0
2/12/2015,NMG,1.96,2.06,1.94,1.96,0.51,95087699,189657000,630410000,752307000.0,1856463000.0,1.8980000000000001,1.8383333333333336,1.8323076923076929,0.01528490028490026,0.0011128917378914749,65444494.0,42.857142857142854,35.714285714285715,126082000.0,2.0
2/13/2015,NMG,1.96,1.98,1.91,1.91,-2.55,16855561,32845000,629553000,754734000.0,1696359000.0,1.918,1.8475,1.8342307692307689,0.017272079772079785,0.004344729344729137,65063966.0,42.857142857142854,38.57142857142857,125910600.0,0.0
2/16/2015,NMG,1.91,2.02,1.88,2.0,4.71,31079832,61365000,473428000,804305000.0,1620673000.0,1.942,1.8641666666666667,1.8400000000000003,0.03321225071225053,0.013072649572649376,48371167.8,50.0,42.85714285714286,94685600.0,0.0
2/17/2015,NMG,1.99,2.08,1.99,2.02,1.0,48644613,98838000,471119000,895117000.0,1672336000.0,1.968,1.8833333333333333,1.8484615384615388,0.04319088319088316,0.02300284900284884,47438110.4,57.14285714285714,47.14285714285714,94223800.0,2.0
2/18/2015,NMG,2.06,2.18,2.04,2.16,6.93,99944207,208131000,590836000,1093663000.0,1756077000.0,2.01,1.9125,1.8623076923076929,0.06621794871794817,0.03503561253561238,58322382.4,64.28571428571428,51.42857142857142,118167200.0,2.0
2/19/2015,NMG,2.18,2.5,2.18,2.44,12.96,133026625,313870000,715049000,1389417000.0,2040770000.0,2.106,1.965833333333333,1.8834615384615383,0.1140954415954416,0.05479772079772065,65910167.6,71.42857142857143,57.14285714285714,143009800.0,0.0
2/20/2015,NMG,2.54,2.6,2.26,2.3,-5.74,121316079,293991000,976195000,1674610000.0,2290680000.0,2.184,2.0083333333333333,1.9007692307692308,0.12286324786324765,0.07591595441595422,86802271.2,64.28571428571428,61.42857142857142,195239000.0,0.0
2/23/2015,NMG,2.3,2.54,2.28,2.52,9.57,104485299,256760000,1171590000,1912878000.0,2499518000.0,2.2880000000000003,2.07,1.9280769230769232,0.16730769230769216,0.10273504273504257,101483364.6,71.42857142857143,65.71428571428571,234318000.0,0.0
2/24/2015,NMG,2.6,2.72,2.56,2.64,4.76,117529329,311452000,1384204000,2207662000.0,2792274000.0,2.412,2.1391666666666667,1.96,0.20584757834757814,0.13526638176638156,115260307.8,78.57142857142857,70.0,276840800.0,0.0
2/25/2015,NMG,2.58,2.7,2.44,2.56,-3.03,64942070,167847000,1343920000,2341807000.0,2940822000.0,2.492,2.1958333333333333,1.9880769230769235,0.22141737891737856,0.16630626780626762,108259880.4,78.57142857142857,72.85714285714286,268784000.0,0.0
2/26/2015,NMG,2.58,2.66,2.46,2.66,3.91,63914855,164208000,1194258000,2288525000.0,3081227000.0,2.5360000000000005,2.26,2.020384615384616,0.2537749287749276,0.1942421652421648,94437526.4,78.57142857142857,74.28571428571428,238851600.0,0.0
2/27/2015,NMG,2.66,2.92,2.6,2.84,6.77,129455637,364632000,1264899000,2552010000.0,3418840000.0,2.644,2.3341666666666665,2.059615384615385,0.2945655270655263,0.22858262108262056,96065438.0,78.57142857142857,77.14285714285714,252979800.0,0.0
3/2/2015,NMG,2.84,2.84,2.7,2.7,-4.93,75861354,211535000,1219674000,2675131000.0,3599782000.0,2.68,2.395833333333333,2.092692307692308,0.3049501424501417,0.2561111111111105,90340649.0,71.42857142857143,77.14285714285714,243934800.0,0.0
3/3/2015,NMG,2.74,2.74,2.32,2.32,-14.07,128413919,318115000,1226337000,2803589000.0,3839538000.0,2.6160000000000005,2.43,2.112692307692308,0.2850284900284894,0.27194729344729274,92517567.0,64.28571428571428,74.28571428571429,245267400.0,0.0
3/5/2015,NMG,2.32,2.54,2.3,2.34,0.86,97472617,237721000,1296211000,3008465000.0,4026572000.0,2.572,2.458333333333333,2.133461538461539,0.2913675213675204,0.2859373219373211,99023676.4,64.28571428571428,71.42857142857143,259242200.0,0.0
3/6/2015,NMG,2.36,2.52,2.36,2.52,7.69,61151884,150163000,1282166000,3097263000.0,4164111000.0,2.544,2.5,2.161153846153847,0.3153418803418795,0.2982507122507115,98471082.2,71.42857142857143,70.0,256433200.0,0.0
3/9/2015,NMG,2.5,2.9,2.48,2.72,7.94,91571029,253361000,1170895000,3251786000.0,4401704000.0,2.52,2.5466666666666664,2.196538461538462,0.3380199430199422,0.30694159544159466,90894160.6,71.42857142857143,68.57142857142857,234179000.0,0.0
3/10/2015,NMG,2.68,2.78,2.56,2.64,-2.94,61238036,166421000,1125781000,3210076000.0,4558842000.0,2.508,2.563333333333333,2.22923076923077,0.31547008547008515,0.3090455840455833,87969497.0,64.28571428571428,67.14285714285714,225156200.0,0.0
3/11/2015,NMG,2.7,3.2,2.7,3.16,19.7,323923262,982367000,1790033000,3878573000.0,5528740000.0,2.676,2.635,2.2811538461538468,0.3695156695156694,0.3259430199430193,127071365.6,64.28571428571428,67.14285714285714,358006600.0,0.0
3/12/2015,NMG,2.96,3.0,2.4,2.58,-18.35,235790444,616431000,2168743000,4201013000.0,6135563000.0,2.724,2.64,2.3111538461538457,0.2997008547008546,0.3276096866096861,154734931.0,57.14285714285714,65.71428571428571,433748600.0,1.0
3/13/2015,NMG,2.5,2.54,1.99,2.12,-17.83,198528392,440514000,2459094000,4384767000.0,6421457000.0,2.6439999999999997,2.5966666666666667,2.323846153846154,0.2145868945868945,0.30745868945868915,182210232.6,57.14285714285714,62.85714285714285,491818800.0,0.0
3/16/2015,NMG,2.08,2.22,1.89,2.16,1.89,170620817,344696000,2550429000,4418011000.0,6747570000.0,2.532,2.563333333333333,2.338461538461539,0.17603988603988485,0.2750626780626777,198020190.2,57.14285714285714,60.0,510085800.0,0.0
3/17/2015,NMG,2.14,2.14,2.04,2.06,-4.63,30628644,63696000,2447704000,4313860000.0,6780848000.0,2.416,2.513333333333333,2.3480769230769236,0.11685185185185087,0.2353390313390309,191898311.8,50.0,57.14285714285713,489540800.0,0.0
3/18/2015,NMG,2.02,2.14,1.99,2.1,1.94,26129566,53618000,1518955000,4203270000.0,6822672000.0,2.204,2.4516666666666667,2.356538461538462,0.06002849002848976,0.17344159544159493,132339572.6,57.14285714285714,55.71428571428571,303791000.0,0.0
3/19/2015,NMG,2.08,2.1,2.02,2.06,-1.9,13408427,27375000,929899000,3866013000.0,6842021000.0,2.1,2.398333333333333,2.363076923076924,0.0056552706552706064,0.11463247863247812,87863169.2,50.0,54.28571428571429,185979800.0,0.0
