Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,NPARK,0.05,0.06,0.05,0.05,0.0,273732548,13827000,439556000,1245280000.0,3504383000.0,0.05,,,,,273732548.0,,
1/6/2015,NPARK,0.06,0.06,0.05,0.05,0.0,484367767,25300000,422488000,835082000.0,3319251000.0,0.05,,,,,379050157.5,,
1/7/2015,NPARK,0.05,0.06,0.05,0.05,0.0,358397839,18158000,97676000,719805000.0,3002354000.0,0.05000000000000001,,,,,372166051.3333333,,
1/8/2015,NPARK,0.05,0.06,0.05,0.05,0.0,355639427,18441000,97187000,698592000.0,2934909000.0,0.05,,,,,368034395.25,,
1/9/2015,NPARK,0.05,0.06,0.05,0.06,20.0,755435590,38804000,114530000,690708000.0,2911565000.0,0.052000000000000005,,,,,445514634.2,,
1/12/2015,NPARK,0.05,0.06,0.05,0.05,-16.67,722665340,36952000,137655000,693737000.0,2883428000.0,0.052000000000000005,,,,,535301192.6,,
1/13/2015,NPARK,0.05,0.06,0.05,0.06,20.0,569508353,30950000,143305000,680797000.0,2835475000.0,0.054000000000000006,,,,,552329309.8,,
1/14/2015,NPARK,0.06,0.06,0.05,0.05,-16.67,287704182,15949000,141096000,660791000.0,2686063000.0,0.054000000000000006,,,,,538190578.4,,
1/15/2015,NPARK,0.05,0.06,0.05,0.06,20.0,328565352,18642000,141297000,642752000.0,2577990000.0,0.055999999999999994,,,,,532775763.4,,
1/16/2015,NPARK,0.05,0.06,0.05,0.05,-16.67,402046582,20795000,123288000,621179000.0,2295424000.0,0.054000000000000006,,,,,462097961.8,,
1/19/2015,NPARK,0.05,0.06,0.05,0.05,0.0,622036574,31192000,117528000,309401000.0,2246548000.0,0.05399999999999999,,,,,441972208.6,,
1/20/2015,NPARK,0.06,0.06,0.05,0.05,0.0,440439087,22946000,109524000,313417000.0,2064612000.0,0.052000000000000005,0.05250000000000001,,,,416158355.4,,
1/21/2015,NPARK,0.05,0.06,0.05,0.05,0.0,645459243,32374000,125949000,324330000.0,2024858000.0,0.052000000000000005,0.05250000000000001,,,,487709367.6,,
1/22/2015,NPARK,0.05,0.06,0.05,0.05,0.0,841127168,42359000,149666000,352862000.0,2031768000.0,0.05,0.05250000000000001,,,,590221730.8,21.42857142857143,21.42857142857143
