Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,NPK,22.1,22.1,22.1,22.1,-4.33,200,4000,196000,342000.0,1621000.0,22.1,,,,,200.0,,,4000.0,0.0
1/7/2015,NPK,21.2,21.2,21.2,21.2,-4.07,125,3000,184000,338000.0,1618000.0,21.65,,,,,162.5,,,3500.0,0.0
1/9/2015,NPK,23.9,23.9,23.9,23.9,12.74,100,2000,9000,257000.0,1578000.0,22.399999999999995,,,,,141.66666666666666,,,3000.0,0.0
1/12/2015,NPK,22.1,22.1,21.1,21.9,-8.37,500,11000,16000,244000.0,1535000.0,22.275,,,,,231.25,,,5000.0,0.0
1/13/2015,NPK,23.9,23.9,23.9,23.9,9.13,600,14000,30000,256000.0,1549000.0,22.6,,,,,305.0,,,6800.0,0.0
1/14/2015,NPK,24.9,25.0,24.0,24.0,0.42,900,22000,49000,248000.0,1551000.0,22.98,,,,,445.0,,,10400.0,0.0
1/16/2015,NPK,23.2,24.0,23.2,24.0,0.0,200,5000,52000,253000.0,1497000.0,23.54,,,,,460.0,,,10800.0,0.0
1/19/2015,NPK,24.0,24.0,24.0,24.0,0.0,500,12000,53000,250000.0,1419000.0,23.56,,,,,540.0,,,12800.0,0.0
1/20/2015,NPK,24.0,24.0,24.0,24.0,0.0,301,7000,46000,80000.0,1243000.0,23.98,,,,,500.2,,,12000.0,0.0
1/23/2015,NPK,23.5,23.5,23.5,23.5,-2.08,200,5000,24000,81000.0,972000.0,23.9,,,,,420.2,,,10200.0,0.0
1/27/2015,NPK,24.9,24.9,24.9,24.9,5.96,100,2000,7000,80000.0,774000.0,24.08,,,,,260.2,,,6200.0,0.0
1/28/2015,NPK,24.9,25.0,24.9,25.0,0.4,800,20000,27000,98000.0,733000.0,24.28,23.53333333333333,,,,380.2,,,9200.0,0.0
1/29/2015,NPK,25.0,25.75,25.0,25.5,2.0,3301,85000,112000,172000.0,771000.0,24.58,23.816666666666666,,,,940.4,,,23800.0,0.0
1/30/2015,NPK,25.0,25.0,25.0,25.0,-1.96,100,2000,109000,160000.0,631000.0,24.78,24.133333333333336,,,,900.2,42.857142857142854,42.857142857142854,22800.0,0.0
2/5/2015,NPK,25.0,25.0,23.0,23.0,-8.0,300,7000,9000,128000.0,532000.0,24.68,24.05833333333333,,,,920.2,42.857142857142854,42.857142857142854,23200.0,0.0
2/6/2015,NPK,24.0,25.5,24.0,25.5,10.87,300,8000,15000,129000.0,457000.0,24.8,24.35833333333333,,,,960.2,50.0,45.23809523809525,24400.0,0.0
2/9/2015,NPK,24.5,25.0,24.5,25.0,-1.96,1400,35000,50000,164000.0,492000.0,24.8,24.45,,,,1080.2,42.857142857142854,44.64285714285715,27400.0,0.0
2/10/2015,NPK,24.0,24.9,24.0,24.9,-0.4,402,10000,60000,174000.0,478000.0,24.68,24.524999999999995,,,,500.4,42.857142857142854,44.28571428571429,12400.0,0.0
2/11/2015,NPK,24.0,24.0,24.0,24.0,-3.61,101,2000,62000,171000.0,478000.0,24.48,24.525,,,,500.6,35.714285714285715,42.85714285714286,12400.0,0.0
2/13/2015,NPK,24.0,24.0,24.0,24.0,0.0,1900,46000,93000,215000.0,494000.0,24.68,24.525,,,,820.6,28.57142857142857,40.0,20200.0,0.0
2/16/2015,NPK,24.9,25.0,24.0,24.0,0.0,1000,24000,82000,219000.0,518000.0,24.38000000000001,24.525,,,,960.6,28.57142857142857,35.714285714285715,23400.0,0.0
2/17/2015,NPK,25.0,25.0,25.0,25.0,4.17,100,2000,74000,136000.0,505000.0,24.38000000000001,24.65,,,,700.6,35.714285714285715,34.285714285714285,16800.0,0.0
2/18/2015,NPK,25.75,26.0,25.75,26.0,4.0,600,16000,88000,150000.0,344000.0,24.6,24.741666666666664,,,,740.2,42.857142857142854,34.285714285714285,18000.0,0.0
2/20/2015,NPK,26.25,26.25,26.25,26.25,0.96,2000,52000,94000,202000.0,392000.0,25.05,24.84583333333333,,,,1120.0,50.0,37.142857142857146,28000.0,0.0
2/23/2015,NPK,26.25,26.25,26.25,26.25,0.0,400,10000,80000,212000.0,402000.0,25.5,24.90833333333333,,,,820.0,42.857142857142854,40.0,20800.0,0.0
2/25/2015,NPK,26.75,26.75,25.5,25.5,-2.86,1900,50000,112000,247000.0,449000.0,25.8,24.95,24.31923076923077,0.6279202279202316,0.6279202279202316,1000.0,35.714285714285715,41.42857142857143,26000.0,0.0
2/27/2015,NPK,26.75,26.75,26.75,26.75,4.9,5000,134000,194000,336000.0,570000.0,26.15,25.2625,24.49807692307693,0.8264601139601133,0.7271901709401725,1980.0,35.714285714285715,41.42857142857143,52400.0,2.0
3/2/2015,NPK,26.5,26.5,26.5,26.5,-0.93,100,3000,187000,337000.0,559000.0,26.25,25.34583333333333,24.70192307692308,0.688283475783475,0.7142212725546067,1880.0,35.714285714285715,40.00000000000001,49800.0,0.0
3/3/2015,NPK,26.5,26.5,26.5,26.5,0.0,200,5000,192000,342000.0,542000.0,26.3,25.47083333333333,24.801923076923078,0.7014601139601098,0.7110309829059824,1520.0,35.714285714285715,37.142857142857146,40400.0,0.0
3/12/2015,NPK,25.0,25.0,25.0,25.0,-5.66,200,5000,5000,207000.0,523000.0,26.05,25.47916666666667,24.92115384615385,0.4784544159544133,0.6645156695156686,1480.0,28.57142857142857,34.285714285714285,39400.0,0.0
3/13/2015,NPK,25.25,25.25,25.25,25.25,1.0,164,4000,9000,201000.0,522000.0,26.0,25.58333333333333,24.97307692307692,0.5384615384615437,0.6466239316239311,1132.8,35.714285714285715,34.285714285714285,30200.0,0.0
3/16/2015,NPK,24.1,24.1,24.1,24.1,-4.55,100,2000,11000,203000.0,524000.0,25.47,25.59166666666667,24.976923076923075,0.4502136752136785,0.5713746438746441,152.8,35.714285714285715,34.285714285714285,3800.0,0.0
3/26/2015,NPK,24.0,24.0,24.0,24.0,-0.41,200,5000,5000,16000.0,413000.0,24.97,25.59166666666667,24.976923076923075,0.44223646723646937,0.522165242165243,172.8,35.714285714285715,34.285714285714285,4200.0,0.0
3/30/2015,NPK,23.0,23.0,23.0,23.0,-4.17,400,9000,14000,25000.0,379000.0,24.27,25.425,24.93846153846154,0.2570512820512825,0.4332834757834775,212.8,35.714285714285715,34.285714285714285,5000.0,0.0
4/3/2015,NPK,23.0,23.0,23.0,23.0,0.0,100,2000,11000,16000.0,369000.0,23.87,25.175,24.9,0.0811253561253622,0.3538176638176672,192.8,35.714285714285715,35.714285714285715,4400.0,0.0
4/7/2015,NPK,21.6,23.0,21.6,22.2,-3.48,1200,27000,38000,43000.0,350000.0,23.26,24.8375,24.85,-0.2219729344729373,0.20173076923077105,400.0,28.57142857142857,34.285714285714285,9000.0,0.0
4/8/2015,NPK,22.2,22.2,22.2,22.2,0.0,100,2000,31000,45000.0,328000.0,22.88000000000001,24.5,24.74615384615385,-0.4113960113960182,0.0294088319088317,400.0,21.42857142857143,31.428571428571434,9000.0,0.0
4/9/2015,NPK,,,,,0.0,33,1000,32000,46000.0,327000.0,22.6,24.40909090909091,24.736000000000004,,-0.07379807692307773,366.6,14.285714285714292,27.142857142857146,8200.0,0.0
4/16/2015,NPK,22.1,22.1,20.0,21.7,-2.25,700,15000,45000,61000.0,326000.0,22.275,23.95,24.58400000000001,-0.7665242165242248,-0.3296919515669545,426.6,14.285714285714292,22.857142857142854,9400.0,0.0
4/17/2015,NPK,21.9,21.9,21.5,21.5,-0.92,200,4000,22000,65000.0,278000.0,21.9,23.49545454545454,24.44400000000001,-1.0374643874644,-0.6093393874643951,446.6,14.285714285714292,18.571428571428573,9800.0,0.0
4/21/2015,NPK,22.9,25.0,22.9,24.1,12.09,600,15000,34000,75000.0,283000.0,22.375,23.277272727272724,24.48800000000001,-1.0554131054131126,-0.8176994301994389,326.6,14.285714285714292,15.714285714285722,7400.0,0.0
4/29/2015,NPK,24.9,24.9,24.9,24.9,3.32,100,2000,2000,39000.0,93000.0,23.050000000000004,23.268181818181816,24.464000000000002,-0.977065527065534,-0.9591168091168178,326.6,21.42857142857143,15.714285714285722,7400.0,0.0
5/8/2015,NPK,24.9,24.9,24.9,24.9,0.0,100,2000,4000,23000.0,95000.0,23.420000000000005,23.236363636363635,24.46,-1.0002849002849032,-0.9673504273504352,340.0,21.42857142857143,17.142857142857142,7600.0,0.0
5/12/2015,NPK,25.75,25.75,25.0,25.0,0.4,200,5000,7000,24000.0,91000.0,24.08,23.318181818181817,24.464000000000002,-0.92678062678063,-0.999401709401716,240.0,28.57142857142857,20.000000000000004,5600.0,0.0
5/13/2015,NPK,23.5,23.5,23.5,23.5,-6.0,100,2000,9000,11000.0,91000.0,24.48,23.272727272727273,24.444000000000003,-1.0663817663817596,-1.0051851851851878,220.0,21.42857142857143,21.42857142857143,5200.0,0.0
5/18/2015,NPK,23.2,23.2,23.2,23.2,-1.28,100,2000,9000,13000.0,93000.0,24.3,23.290909090909096,24.41200000000001,-1.0452991452991398,-1.0031623931623934,120.0,21.42857142857143,22.857142857142854,2600.0,0.0
5/20/2015,NPK,24.1,24.1,24.0,24.0,3.45,200,5000,7000,18000.0,98000.0,24.12,23.38181818181818,24.41200000000001,-0.904558404558408,-0.988660968660968,140.0,28.57142857142857,24.285714285714285,3200.0,2.0
5/21/2015,NPK,23.2,23.2,23.2,23.2,-3.33,100,2000,9000,18000.0,100000.0,23.78,23.47272727272728,24.34,-0.8247863247863236,-0.9535612535612522,140.0,28.57142857142857,25.71428571428571,3200.0,0.0
5/22/2015,NPK,25.75,26.75,24.0,24.0,3.45,1800,45000,54000,63000.0,145000.0,23.58,23.63636363636364,24.26,-0.5484330484330506,-0.8778917378917364,460.0,35.714285714285715,27.142857142857146,11200.0,2.0
