Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
2/11/2019,NPPG-W4,0.8,0.84,0.7,0.75,0.0,169150333,128405820,128405820,128405820.0,128405820.0,0.75,,,,,169150333.0,,,128405820.0,0.0
2/12/2019,NPPG-W4,0.73,0.74,0.69,0.71,-5.33,52550270,37847950,166253770,166253770.0,166253770.0,0.73,,,,,110850301.5,,,83126885.0,0.0
2/13/2019,NPPG-W4,0.74,0.81,0.72,0.77,8.45,159934996,122334730,288588500,288588500.0,288588500.0,0.7433333333333333,,,,,127211866.33333331,,,96196166.66666669,0.0
2/14/2019,NPPG-W4,0.78,0.86,0.78,0.86,11.69,100040818,81927060,370515560,370515560.0,370515560.0,0.7725,,,,,120419104.25,,,92628890.0,0.0
2/15/2019,NPPG-W4,0.9,0.93,0.81,0.82,-4.65,206297255,176214970,546730530,546730530.0,546730530.0,0.7819999999999999,,,,,137594734.4,,,109346106.0,0.0
2/18/2019,NPPG-W4,0.82,0.83,0.79,0.81,-1.22,27048549,21926960,440251670,568657490.0,568657490.0,0.7939999999999999,,,,,109174377.6,,,88050334.0,0.0
2/20/2019,NPPG-W4,0.81,0.85,0.81,0.85,4.94,26155533,21819970,424223690,590477460.0,590477460.0,0.8219999999999998,,,,,103895430.2,,,84844738.0,0.0
2/21/2019,NPPG-W4,0.85,0.85,0.78,0.8,-5.88,34187739,27649890,329538850,618127350.0,618127350.0,0.8280000000000001,,,,,78745978.8,,,65907770.0,0.0
2/22/2019,NPPG-W4,0.8,0.81,0.76,0.76,-5.0,19764423,15514010,263125800,633641360.0,633641360.0,0.8079999999999999,,,,,62690699.8,,,52625160.0,0.0
2/25/2019,NPPG-W4,0.78,0.79,0.76,0.76,0.0,12550364,9763400,96674230,643404760.0,643404760.0,0.7959999999999999,,,,,23941321.6,,,19334846.0,0.0
2/26/2019,NPPG-W4,0.77,0.8,0.76,0.78,2.63,12325900,9609060,84356330,653013820.0,653013820.0,0.79,,,,,20996791.8,,,16871266.0,0.0
2/27/2019,NPPG-W4,0.8,0.81,0.77,0.78,0.0,7624866,6011810,68548170,659025630.0,659025630.0,0.7760000000000001,0.7874999999999998,,,,17290658.4,,,13709634.0,0.0
2/28/2019,NPPG-W4,0.78,0.79,0.76,0.77,-1.28,5086133,3928770,44827050,662954400.0,662954400.0,0.77,0.7891666666666666,,,,11470337.2,,,8965410.0,0.0
