Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,NSI,86.25,87.0,86.25,87.0,-0.85,2500,217000,1191000,4441000.0,12660000.0,87.0,,,,,2500.0,,
1/6/2015,NSI,87.0,89.75,87.0,89.75,3.16,13401,1166000,2067000,4114000.0,13127000.0,88.375,,,,,7950.5,,
1/7/2015,NSI,91.0,96.5,91.0,96.5,7.52,400,37000,1903000,3840000.0,12757000.0,91.08333333333333,,,,,5433.666666666667,,
1/9/2015,NSI,95.0,95.0,95.0,95.0,-1.55,600,57000,1477000,3582000.0,11751000.0,92.0625,,,,,4225.25,,
1/12/2015,NSI,95.0,95.0,94.0,94.0,-1.05,593,56000,1316000,3525000.0,10840000.0,92.45,,,,,3498.8,,
1/13/2015,NSI,91.0,95.5,91.0,91.5,-2.66,1700,157000,307000,2752000.0,10552000.0,93.35,,,,,3338.8,,
1/14/2015,NSI,93.75,93.75,92.0,92.0,0.55,400,37000,307000,2736000.0,10440000.0,93.8,,,,,738.6,,
1/15/2015,NSI,91.0,94.5,91.0,94.5,2.72,900,83000,390000,2784000.0,10158000.0,93.4,,,,,838.6,,
1/16/2015,NSI,94.5,94.5,94.5,94.5,0.0,300,28000,361000,2522000.0,10103000.0,93.3,,,,,778.6,,
1/19/2015,NSI,92.25,92.25,92.0,92.25,-2.38,3100,286000,591000,2607000.0,10150000.0,92.95,,,,,1280.0,,
1/20/2015,NSI,91.5,93.0,91.0,93.0,0.81,5200,478000,912000,3067000.0,10619000.0,93.25,,,,,1980.0,,
1/21/2015,NSI,91.75,92.0,91.75,92.0,-1.08,200,18000,893000,2620000.0,10426000.0,93.25,92.66666666666667,,,,1940.0,,
1/22/2015,NSI,92.0,92.0,90.0,90.5,-1.63,8300,751000,1561000,3154000.0,11122000.0,92.45,92.95833333333333,,,,3420.0,,
1/23/2015,NSI,91.0,92.25,91.0,92.25,1.93,1000,92000,1625000,2080000.0,10521000.0,92.0,93.16666666666667,,,,3560.0,42.857142857142854,42.857142857142854
1/26/2015,NSI,92.25,92.25,91.5,92.25,0.0,1501,138000,1477000,2181000.0,10649000.0,92.0,92.8125,,,,3240.2,42.857142857142854,42.857142857142854
1/27/2015,NSI,91.75,92.75,91.5,92.75,0.54,2002,184000,1183000,2365000.0,10459000.0,91.95,92.625,,,,2600.6,42.857142857142854,42.857142857142854
1/28/2015,NSI,92.5,92.5,92.25,92.5,-0.27,900,83000,1248000,2391000.0,9442000.0,92.05,92.5,,,,2740.6,35.71428571428572,41.07142857142857
1/29/2015,NSI,93.0,93.75,93.0,93.25,0.81,2600,243000,740000,2578000.0,9685000.0,92.6,92.64583333333333,,,,1600.6,42.857142857142854,41.42857142857143
1/30/2015,NSI,93.5,94.0,93.5,93.75,0.54,1000,94000,742000,2515000.0,9760000.0,92.9,92.79166666666667,,,,1600.6,50.0,42.857142857142854
2/2/2015,NSI,94.0,94.5,93.0,93.75,0.0,1800,169000,773000,2647000.0,9412000.0,93.2,92.72916666666667,,,,1660.4,50.0,44.28571428571429
2/3/2015,NSI,94.5,94.75,94.25,94.75,1.07,2002,189000,778000,2753000.0,8787000.0,93.6,92.75,,,,1660.4,50.0,45.714285714285715
2/4/2015,NSI,94.75,94.75,93.0,93.0,-1.85,9100,860000,1555000,3585000.0,8154000.0,93.7,92.8125,,,,3300.4,42.857142857142854,47.142857142857146
2/5/2015,NSI,93.0,94.75,93.0,94.75,1.88,1000,94000,1406000,3393000.0,7937000.0,94.0,92.95833333333333,,,,2980.4,50.0,48.57142857142857
2/6/2015,NSI,94.5,95.0,94.5,95.0,0.26,2100,199000,1511000,3114000.0,8093000.0,94.25,93.20833333333333,,,,3200.4,57.14285714285714,50.0
2/9/2015,NSI,94.0,95.25,93.75,95.25,0.26,4000,380000,1722000,3476000.0,8201000.0,94.55,93.60416666666667,,,,3640.4,57.14285714285714,51.42857142857142
2/10/2015,NSI,94.25,94.25,94.25,94.25,-1.05,200,19000,1552000,2744000.0,8107000.0,94.45,93.77083333333333,93.07692307692308,0.680733618233603,0.680733618233603,3280.0,57.14285714285714,52.857142857142854
2/11/2015,NSI,94.0,94.0,94.0,94.0,-0.27,300,28000,720000,2680000.0,7205000.0,94.65,93.91666666666667,93.34615384615384,0.5349002849002886,0.6078169515669458,1520.0,57.14285714285714,55.71428571428571
2/12/2015,NSI,94.0,94.0,94.0,94.0,0.0,200,19000,645000,2561000.0,7171000.0,94.5,94.02083333333333,93.50961538461539,0.47168803418803407,0.5624406457739752,1360.0,50.0,55.71428571428571
2/13/2015,NSI,95.0,95.5,95.0,95.5,1.6,1600,152000,598000,2529000.0,7288000.0,94.6,94.27083333333333,93.47115384615384,0.8384971509971564,0.6314547720797705,1260.0,57.14285714285714,55.71428571428571
2/17/2015,NSI,94.75,95.0,94.0,94.0,-1.57,3200,302000,501000,2505000.0,7099000.0,94.35,94.33333333333333,93.4326923076923,0.8073361823361864,0.6666310541310537,1100.0,50.0,54.28571428571429
2/18/2015,NSI,94.75,95.0,94.5,95.0,1.06,1700,161000,634000,2572000.0,7242000.0,94.5,94.4375,93.47115384615384,0.9396367521367495,0.718411680911683,1400.0,57.14285714285714,54.28571428571429
2/19/2015,NSI,95.5,97.0,95.5,97.0,2.11,4100,395000,1010000,2798000.0,7172000.0,95.1,94.70833333333333,93.6826923076923,1.1324786324786231,0.8379273504273499,2160.0,57.14285714285714,54.28571428571429
