Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/5/2015,NUSA-W1,0.59,0.59,0.55,0.55,-6.78,1692132,948000,2818000,25813000.0,254000000.0,0.55,,,,,1692132.0,,
1/6/2015,NUSA-W1,0.55,0.55,0.53,0.53,-3.64,877200,474000,2047000,20937000.0,243630000.0,0.54,,,,,1284666.0,,
1/7/2015,NUSA-W1,0.54,0.64,0.54,0.62,16.98,3350287,2034000,3941000,20613000.0,236769000.0,0.5666666666666668,,,,,1973206.3333333333,,
1/8/2015,NUSA-W1,0.62,0.65,0.61,0.62,0.0,1347073,839000,4560000,19151000.0,225993000.0,0.5800000000000001,,,,,1816673.0,,
1/9/2015,NUSA-W1,0.63,0.64,0.61,0.63,1.61,3162940,1992000,6287000,15683000.0,220154000.0,0.5900000000000001,,,,,2085926.4,,
1/12/2015,NUSA-W1,0.61,0.63,0.6,0.6,-4.76,1553468,955000,6294000,14760000.0,212536000.0,0.6,,,,,2058193.6,,
1/13/2015,NUSA-W1,0.59,0.62,0.59,0.59,-1.67,1257309,756000,6576000,13996000.0,161800000.0,0.612,,,,,2134215.4,,
1/14/2015,NUSA-W1,0.6,0.68,0.6,0.62,5.08,8815710,5677000,10219000,18128000.0,137558000.0,0.612,,,,,3227300.0,,
1/15/2015,NUSA-W1,0.63,0.65,0.61,0.62,0.0,2920168,1833000,11213000,17378000.0,131936000.0,0.612,,,,,3541919.0,,
1/16/2015,NUSA-W1,0.62,0.63,0.61,0.61,-1.61,1761685,1091000,10312000,17224000.0,113378000.0,0.608,,,,,3261668.0,,
1/19/2015,NUSA-W1,0.62,0.62,0.57,0.58,-4.92,3989923,2343000,11700000,19427000.0,96971000.0,0.604,,,,,3748959.0,,
1/20/2015,NUSA-W1,0.59,0.63,0.58,0.58,0.0,3662326,2201000,13145000,21408000.0,85794000.0,0.6020000000000001,0.5958333333333334,,,,4229962.4,,
1/21/2015,NUSA-W1,0.59,0.61,0.59,0.59,1.72,1526327,910000,8378000,22053000.0,78347000.0,0.596,0.5991666666666667,,,,2772085.8,,
1/22/2015,NUSA-W1,0.59,0.6,0.59,0.6,1.69,264600,158000,6703000,21263000.0,75434000.0,0.592,0.605,,,,2240972.2,35.71428571428572,35.71428571428572
1/23/2015,NUSA-W1,0.59,0.61,0.57,0.57,-5.0,3598071,2113000,7725000,22902000.0,76443000.0,0.584,0.6008333333333333,,,,2608249.4,35.71428571428572,35.71428571428572
1/26/2015,NUSA-W1,0.57,0.57,0.49,0.51,-10.53,12657805,6564000,11946000,27432000.0,77524000.0,0.57,0.5916666666666667,,,,4341825.8,35.71428571428572,35.71428571428572
1/27/2015,NUSA-W1,0.53,0.53,0.42,0.43,-15.69,14891787,6823000,16568000,33416000.0,81643000.0,0.5399999999999999,0.575,,,,6587718.0,28.57142857142857,33.92857142857143
1/28/2015,NUSA-W1,0.43,0.44,0.42,0.43,0.0,4817273,2059000,17717000,33483000.0,81768000.0,0.508,0.5608333333333333,,,,7245907.2,28.57142857142857,32.857142857142854
1/29/2015,NUSA-W1,0.44,0.57,0.43,0.57,32.56,16271470,8288000,25847000,40816000.0,86301000.0,0.502,0.5591666666666667,,,,10447281.2,28.57142857142857,31.428571428571434
1/30/2015,NUSA-W1,0.62,0.65,0.59,0.62,8.77,22481100,13880000,37614000,53940000.0,92517000.0,0.512,0.5591666666666667,,,,14223887.0,35.71428571428572,31.428571428571434
2/2/2015,NUSA-W1,0.61,0.68,0.6,0.68,9.68,21408715,14087000,45137000,62350000.0,101727000.0,0.546,0.5641666666666666,,,,15974069.0,42.857142857142854,32.857142857142854
2/3/2015,NUSA-W1,0.68,0.71,0.65,0.68,0.0,13364993,9170000,47484000,69687000.0,110060000.0,0.5960000000000001,0.57,,,,15668710.2,35.71428571428572,34.28571428571429
2/4/2015,NUSA-W1,0.67,0.68,0.65,0.66,-2.94,3805336,2517000,47942000,71113000.0,107227000.0,0.6420000000000001,0.5766666666666667,,,,15466322.8,35.71428571428572,35.714285714285715
2/5/2015,NUSA-W1,0.66,0.66,0.62,0.62,-6.06,2432300,1525000,41179000,70295000.0,106394000.0,0.652,0.58,,,,12698488.8,35.71428571428572,37.14285714285715
2/6/2015,NUSA-W1,0.63,0.63,0.61,0.62,0.0,1513001,933000,28232000,69027000.0,105026000.0,0.652,0.5825,,,,8504869.0,35.71428571428572,37.14285714285715
2/9/2015,NUSA-W1,0.63,0.63,0.56,0.58,-6.45,2151856,1246000,15391000,69363000.0,100812000.0,0.632,0.5808333333333334,0.5888461538461538,-0.007485754985754878,-0.007485754985754878,4653497.2,35.71428571428572,35.71428571428572
2/10/2015,NUSA-W1,0.54,0.59,0.52,0.53,-8.62,896072,482000,6703000,69687000.0,99416000.0,0.602,0.5775,0.5880769230769229,-0.013582621082620983,-0.01053418803418793,2159713.0,28.57142857142857,34.28571428571429
2/11/2015,NUSA-W1,0.55,0.56,0.52,0.56,5.66,484710,266000,4452000,67840000.0,98162000.0,0.582,0.5816666666666667,0.5892307692307691,-0.008732193732193583,-0.009933523266856481,1495587.8,28.57142857142857,32.857142857142854
2/12/2015,NUSA-W1,0.52,0.56,0.52,0.53,-5.36,1592970,842000,3769000,62118000.0,97459000.0,0.5640000000000001,0.5900000000000001,0.5857692307692306,-0.000868945868945592,-0.007667378917378759,1327721.8,28.57142857142857,31.428571428571434
2/13/2015,NUSA-W1,0.55,0.59,0.52,0.59,11.32,2282171,1266000,4102000,56561000.0,96142000.0,0.558,0.6033333333333334,0.5846153846153844,0.01626780626780655,-0.002880341880341697,1481555.8,35.71428571428572,31.428571428571434
2/16/2015,NUSA-W1,0.61,0.61,0.53,0.53,-10.17,2281597,1252000,4108000,55754000.0,96149000.0,0.548,0.6000000000000001,0.5807692307692306,0.012222222222222578,0.0010612535612537944,1507504.0,35.71428571428572,31.428571428571434
2/17/2015,NUSA-W1,0.52,0.53,0.44,0.46,-13.21,4770700,2267000,5893000,49733000.0,98276000.0,0.534,0.5866666666666667,0.5753846153846153,0.0003418803418805405,0.0038461538461540988,2282429.6,35.71428571428572,32.85714285714286
2/18/2015,NUSA-W1,0.46,0.48,0.45,0.48,4.35,1262116,584000,6211000,36437000.0,98640000.0,0.518,0.57,0.5711538461538461,-0.008247863247863307,0.003943019943020154,2437910.8,35.71428571428572,34.28571428571429
2/19/2015,NUSA-W1,0.49,0.49,0.47,0.47,-2.08,552294,264000,5633000,22614000.0,98639000.0,0.506,0.5525,0.5653846153846154,-0.018511396011396064,0.0004145299145300596,2229775.6,28.57142857142857,34.28571428571429
2/20/2015,NUSA-W1,0.47,0.48,0.41,0.45,-4.26,2683496,1198000,5565000,14642000.0,98889000.0,0.47800000000000004,0.535,0.5588461538461538,-0.028860398860398817,-0.008611111111111014,2310040.6,21.42857142857143,31.428571428571434
2/23/2015,NUSA-W1,0.44,0.46,0.44,0.45,0.0,805704,358000,4671000,12483000.0,98773000.0,0.462,0.5208333333333334,0.5526923076923076,-0.035149572649572525,-0.018085470085470033,2014862.0,21.42857142857143,28.571428571428577
2/24/2015,NUSA-W1,0.46,0.46,0.41,0.45,0.0,308041,131000,2535000,11089000.0,96870000.0,0.45999999999999996,0.5066666666666667,0.5476923076923076,-0.04250712250712241,-0.026655270655270624,1122330.2,21.42857142857143,25.714285714285715
2/25/2015,NUSA-W1,0.48,0.48,0.44,0.45,0.0,894742,404000,2355000,10560000.0,96435000.0,0.454,0.4958333333333334,0.5426923076923076,-0.047044159544159414,-0.03441452991452985,1048855.4,21.42857142857143,22.857142857142858
2/26/2015,NUSA-W1,0.44,0.46,0.43,0.44,-2.22,119800,53000,2144000,9367000.0,94496000.0,0.44800000000000006,0.48833333333333345,0.5369230769230768,-0.04884615384615376,-0.04048148148148138,962356.6,21.42857142857143,21.42857142857143
