Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5
1/7/2015,OCC,17.7,17.7,17.7,17.7,-9.69,300,5000,29000,158000.0,497000.0,17.7,,,,,300.0,,
1/8/2015,OCC,17.8,18.3,17.8,18.3,3.39,2602,48000,63000,201000.0,540000.0,18.0,,,,,1451.0,,
1/12/2015,OCC,18.2,18.2,18.2,18.2,-0.55,3000,55000,108000,250000.0,502000.0,18.066666666666666,,,,,1967.3333333333333,,
1/13/2015,OCC,17.6,17.9,17.6,17.9,-1.65,2300,41000,149000,188000.0,508000.0,18.025,,,,,2050.5,,
1/15/2015,OCC,17.5,17.5,17.4,17.4,-2.79,1990,34000,130000,216000.0,512000.0,17.9,,,,,2038.4,,
1/16/2015,OCC,17.5,17.5,17.5,17.5,0.57,1500,26000,156000,242000.0,536000.0,17.86,,,,,2278.4,,
1/20/2015,OCC,17.5,17.5,17.5,17.5,0.0,600,10000,70000,229000.0,511000.0,17.7,,,,,1878.0,,
1/22/2015,OCC,18.0,18.0,18.0,18.0,2.86,400,7000,43000,226000.0,518000.0,17.66,,,,,1358.0,,
1/23/2015,OCC,18.1,18.1,18.1,18.1,0.56,100,2000,19000,228000.0,458000.0,17.7,,,,,918.0,,
1/26/2015,OCC,18.2,18.2,18.2,18.2,0.55,110,2000,21000,225000.0,447000.0,17.86,,,,,542.0,,
1/28/2015,OCC,17.6,18.1,17.6,17.6,-3.3,600,11000,22000,188000.0,458000.0,17.880000000000003,,,,,362.0,,
1/29/2015,OCC,17.7,18.0,17.7,18.0,2.27,200,4000,19000,137000.0,454000.0,17.98,17.866666666666664,,,,282.0,,
2/2/2015,OCC,17.7,17.8,17.7,17.8,-1.11,400,7000,22000,103000.0,407000.0,17.94,17.875,,,,282.0,,
2/3/2015,OCC,17.9,18.0,17.9,18.0,1.12,603,11000,33000,80000.0,418000.0,17.919999999999998,17.849999999999998,,,,382.6,50.0,50.0
2/4/2015,OCC,17.8,17.8,17.8,17.8,-1.11,201,4000,26000,58000.0,422000.0,17.84,17.81666666666667,,,,400.8,50.0,50.0
2/6/2015,OCC,18.1,18.1,18.1,18.1,1.69,100,2000,24000,50000.0,417000.0,17.939999999999998,17.833333333333336,,,,300.8,50.0,50.0
2/9/2015,OCC,18.6,18.6,18.6,18.6,2.76,500,9000,26000,59000.0,424000.0,18.059999999999995,17.933333333333334,,,,360.8,57.14285714285714,51.785714285714285
2/10/2015,OCC,18.0,18.0,18.0,18.0,-3.23,100,2000,17000,54000.0,422000.0,18.1,17.974999999999998,,,,300.8,57.14285714285714,52.857142857142854
2/11/2015,OCC,17.9,17.9,17.8,17.8,-1.11,200,4000,17000,56000.0,323000.0,18.06,18.0,,,,220.2,57.14285714285714,54.28571428571429
2/12/2015,OCC,18.1,18.1,18.0,18.0,1.12,1100,20000,37000,74000.0,341000.0,18.1,18.0,,,,400.0,57.14285714285714,55.71428571428571
2/13/2015,OCC,18.6,18.6,18.0,18.0,0.0,4000,72000,107000,146000.0,409000.0,18.080000000000002,17.991666666666667,,,,1180.0,57.14285714285714,57.14285714285713
2/16/2015,OCC,18.6,18.6,18.6,18.6,3.33,301,6000,104000,141000.0,415000.0,18.080000000000002,18.025000000000002,,,,1140.2,57.14285714285714,57.14285714285713
2/26/2015,OCC,18.0,18.0,17.6,17.9,-3.76,2700,48000,48000,152000.0,377000.0,18.060000000000002,18.05,,,,1660.2,50.0,55.71428571428571
3/3/2015,OCC,17.9,17.9,17.9,17.9,0.0,6000,107000,155000,233000.0,388000.0,18.080000000000002,18.041666666666664,,,,2820.2,42.857142857142854,52.857142857142854
3/5/2015,OCC,17.9,18.6,17.9,18.0,0.56,8800,162000,317000,323000.0,516000.0,18.080000000000002,18.058333333333334,,,,4360.2,50.0,51.42857142857142
3/6/2015,OCC,18.0,18.7,18.0,18.7,3.89,2900,54000,323000,371000.0,544000.0,18.220000000000002,18.116666666666667,17.984615384615385,0.16880341880341732,0.16880341880341732,4140.2,50.0,50.0
3/9/2015,OCC,18.1,18.1,17.6,17.7,-5.35,10200,181000,504000,552000.0,725000.0,18.04,18.10833333333333,17.984615384615385,0.08198005698005773,0.12539173789173752,6120.0,50.0,48.57142857142857
3/10/2015,OCC,18.2,18.2,17.7,17.7,0.0,9600,170000,674000,722000.0,885000.0,18.0,18.075,17.96153846153846,0.07514245014245446,0.10864197530864317,7500.0,42.857142857142854,47.142857142857146
3/11/2015,OCC,17.6,18.0,17.3,17.7,0.0,16600,292000,859000,1014000.0,1177000.0,17.96,17.999999999999996,17.94230769230769,0.02948717948718027,0.08885327635327744,9620.0,42.857142857142854,47.142857142857146
3/12/2015,OCC,17.7,18.0,17.7,18.0,1.69,16600,294000,991000,1308000.0,1464000.0,17.96,17.999999999999996,17.946153846153845,0.04985754985754909,0.08105413105413177,11180.0,42.857142857142854,45.714285714285715
3/16/2015,OCC,17.9,18.0,17.9,18.0,0.0,2700,48000,804000,1356000.0,1508000.0,17.82,18.016666666666666,17.969230769230766,0.042592592592594514,0.055811965811967214,11140.0,35.71428571428572,42.85714285714286
